ticker,cik,fy,form,metric,tag_used,value,unit,filed,fp,start,end,source
NVDA,0001045810,2014,10-Q,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,426357000.0,USD,2014-05-21,Q1,,2014-01-26,primary
NVDA,0001045810,2014,10-Q,Assets,Assets,7250894000.0,USD,2014-05-21,Q1,,2014-01-26,primary
NVDA,0001045810,2014,10-Q,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,732786000.0,USD,2014-05-21,Q1,,2013-01-27,primary
NVDA,0001045810,2014,10-Q,CostOfRevenue,CostOfRevenue,436171000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,EarningsPerShareBasic,EarningsPerShareBasic,0.13,USD/shares,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,EarningsPerShareDiluted,EarningsPerShareDiluted,0.13,USD/shares,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,GrossProfit,GrossProfit,518568000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,10171000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,LongTermDebt,LongTermDebt,1356375000.0,USD,2014-05-21,Q1,,2014-01-26,primary
NVDA,0001045810,2014,10-Q,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,175650000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,NetIncomeLoss,NetIncomeLoss,77891000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,OperatingExpenses,OperatingExpenses,435787000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
NVDA,0001045810,2014,10-Q,OperatingIncomeLoss,OperatingIncomeLoss,82781000.0,USD,2014-05-21,Q1,2013-01-28,2013-04-28,primary
