ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ABNB,0001559720,2021,FY,10-K,2022-02-25,2019-12-31,2019-01-01,0001559720-22-000006,null,-674339000,null,null,-501543000,null,976695000,null,10491499000,7589716000,-517308000,2013547000,222727000,125452000,2000000000,910700000,1196313000,null,262636000,null
ABNB,0001559720,2021,Q1,10-Q,2021-05-14,2020-03-31,2020-01-01,0001628280-21-010389,null,-340605000,null,null,-325489000,null,258819000,null,10491499000,7589716000,-807685000,5480557000,-569830000,15667000,null,910700000,277772000,null,-16485000,null
ABNB,0001559720,2021,Q2,10-Q,2021-08-13,2020-06-30,2020-01-01,0001628280-21-016979,null,-916193000,null,null,-908704000,null,476757000,null,10491499000,7589716000,-807685000,5480557000,-826292000,21853000,null,910700000,438970000,null,-80295000,null
ABNB,0001559720,2021,Q3,10-Q,2021-11-05,2020-09-30,2020-01-01,0001559720-21-000017,null,-696865000,null,null,-489967000,null,690677000,null,10491499000,7589716000,-807685000,5480557000,-490622000,29489000,null,910700000,666295000,null,7429000,null
ABNB,0001559720,2022,FY,10-K,2023-02-17,2020-12-31,2020-01-01,0001559720-23-000003,null,-4585000000,null,null,-3590000000,null,2753000000,null,13708000000,8933000000,-808000000,6067000000,-740000000,37000000,null,2255000000,876000000,null,-97000000,null
ABNB,0001559720,2022,Q1,10-Q,2022-05-09,2021-03-31,2021-01-01,0001559720-22-000009,null,-1172211000,null,null,-446945000,null,363061000,null,13708474000,8932761000,2901783000,6067438000,606376000,7706000,null,2255038000,254515000,null,6309000,null
ABNB,0001559720,2022,Q2,10-Q,2022-08-03,2021-06-30,2021-01-01,0001559720-22-000012,null,-1240428000,null,null,-498223000,null,712795000,null,13708474000,8932761000,2901783000,6067438000,1396030000,15358000,null,2255038000,548942000,null,17542000,null
ABNB,0001559720,2022,Q3,10-Q,2022-11-03,2021-09-30,2021-01-01,0001559720-22-000019,null,-406535000,null,null,353750000,null,1057205000,null,13708474000,8932761000,2901783000,6067438000,1930764000,20864000,null,2255038000,860522000,null,34107000,null
ABNB,0001559720,2023,FY,10-K,2024-02-16,2021-12-31,2021-01-01,0001559720-24-000006,null,-352000000,null,null,429000000,null,1425000000,null,16038000000,10478000000,2901000000,7378000000,2313000000,null,null,2244000000,1156000000,null,52000000,null
ABNB,0001559720,2023,Q1,10-Q,2023-05-09,2022-03-31,2022-01-01,0001559720-23-000010,null,-19000000,null,null,-5000000,null,363000000,null,16038000000,10478000000,4775000000,7378000000,1202000000,6000000,null,2244000000,363000000,null,10700000,null
ABNB,0001559720,2023,Q2,10-Q,2023-08-03,2022-03-31,2022-01-01,0001559720-23-000015,null,-19000000,null,null,364000000,null,738000000,null,16038000000,10478000000,4775000000,7378000000,2003000000,11000000,null,2244000000,753000000,null,15000000,null
ABNB,0001559720,2023,Q3,10-Q,2023-11-01,2022-03-31,2022-01-01,0001559720-23-000020,null,-19000000,null,null,1567000000,null,1104000000,null,16038000000,10478000000,4775000000,7378000000,2967000000,17000000,null,2244000000,1154000000,null,71000000,null
ABNB,0001559720,2024,FY,10-K,2025-02-13,2022-12-31,2022-01-01,0001559720-25-000010,null,1893000000,null,null,1802000000,null,1502000000,null,20645000000,12480000000,4775000000,6874000000,3430000000,null,null,3197000000,1499000000,null,96000000,null
ABNB,0001559720,2024,Q1,10-Q,2024-05-08,2023-03-31,2023-01-01,0001559720-24-000017,null,117000000,null,null,-5000000,null,420000000,null,20645000000,12480000000,5560000000,6874000000,1587000000,null,null,3197000000,428000000,null,13000000,null
ABNB,0001559720,2024,Q2,10-Q,2024-08-06,2023-03-31,2023-01-01,0001559720-24-000024,null,117000000,null,null,518000000,null,871000000,null,20645000000,12480000000,5560000000,6874000000,2496000000,null,null,3197000000,860000000,null,39000000,null
ABNB,0001559720,2024,Q3,10-Q,2024-11-07,2023-03-31,2023-01-01,0001559720-24-000032,null,117000000,null,null,2014000000,null,1290000000,null,20645000000,12480000000,5560000000,6874000000,3821000000,null,null,3197000000,1319000000,null,-2656000000,null
ABNB,0001559720,2025,Q1,10-Q,2025-05-01,2024-03-31,2024-01-01,0001559720-25-000017,null,264000000,null,null,101000000,null,475000000,null,20959000000,12547000000,8165000000,6864000000,1923000000,null,null,3747000000,480000000,null,29000000,null
ABNB,0001559720,2025,Q2,10-Q,2025-08-06,2024-03-31,2024-01-01,0001559720-25-000025,null,264000000,null,null,598000000,null,994000000,null,20959000000,12547000000,8165000000,6864000000,2974000000,null,null,3747000000,986000000,null,155000000,null
ABNB,0001559720,2025,Q3,10-Q,2025-11-06,2024-03-31,2024-01-01,0001559720-25-000030,null,264000000,null,null,2123000000,null,1518000000,null,20959000000,12547000000,8165000000,6864000000,4052000000,null,null,3747000000,1451000000,null,522000000,null
