ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ADBE,0000796343,2016,FY,10-K,2017-01-20,2014-11-28,2013-11-30,0000796343-17-000031,4147065000,268395000,0.54,0.53,412685000,3524985000,null,null,11726472000,4724892000,6724634000,834556000,1287482000,148332000,null,3111524000,622080000,3112300000,92981000,672006000
ADBE,0000796343,2016,Q1,10-Q,2016-03-30,2015-02-27,2014-11-29,0000796343-16-000290,1109181000,84888000,0.17,0.17,173025000,942383000,null,null,11726472000,4724892000,7001580000,1117400000,183015000,35546000,1907231000,3111524000,166798000,769358000,78360000,672006000
ADBE,0000796343,2016,Q2,10-Q,2016-06-29,2015-05-29,2014-11-29,0000796343-16-000352,2271339000,232381000,0.47,0.46,366642000,1919368000,null,null,11726472000,4724892000,7001580000,1117400000,654499000,71276000,1907231000,3111524000,351971000,1552726000,111841000,672006000
ADBE,0000796343,2016,Q3,10-Q,2016-09-27,2015-08-28,2014-11-29,0000796343-16-000395,3489107000,406846000,0.82,0.8,612661000,2946151000,null,null,11726472000,4724892000,7001580000,1117400000,1014987000,120260000,1907231000,3111524000,542956000,2333490000,169995000,672006000
ADBE,0000796343,2017,FY,10-K,2018-01-22,2015-11-27,2014-11-29,0000796343-18-000015,4795511000,629551000,1.26,1.24,903095000,4051194000,null,null,12697246000,5272411000,6775905000,1117400000,1469502000,184936000,null,3749985000,744317000,3148099000,244230000,833033000
ADBE,0000796343,2017,Q1,10-Q,2017-03-29,2016-03-04,2015-11-28,0000796343-17-000088,1383335000,254307000,0.51,0.5,307758000,1184763000,null,null,12697246000,5272411000,7424835000,876560000,497527000,46200000,1892200000,3749985000,198572000,877005000,38000000,833033000
ADBE,0000796343,2017,Q2,10-Q,2017-06-28,2016-06-03,2015-11-28,0000796343-17-000130,2782044000,498381000,1,0.99,651997000,2381393000,null,null,12697246000,5272411000,7424835000,876560000,986242000,99959000,1892200000,3749985000,400651000,1729396000,123756000,833033000
ADBE,0000796343,2017,Q3,10-Q,2017-09-27,2016-09-02,2015-11-28,0000796343-17-000157,4246011000,769169000,1.54,1.52,1021322000,3642659000,null,null,12697246000,5272411000,7424835000,876560000,1504127000,155172000,1892200000,3749985000,603352000,2621337000,209269000,833033000
ADBE,0000796343,2018,FY,10-K,2019-01-25,2016-12-02,2015-11-28,0000796343-19-000019,5854430000,1168782000,2.35,2.32,1493602000,5034522000,null,null,14535556000,6075687000,7001580000,876560000,2199728000,203805000,null,3513702000,819908000,3540920000,266356000,1217968000
ADBE,0000796343,2018,Q1,10-Q,2018-03-28,2017-03-03,2016-12-03,0000796343-18-000065,1681646000,398446000,0.81,0.8,468999000,1444309000,null,null,14535556000,6075687000,8459869000,1011315000,730370000,30903000,1881421000,3513702000,237337000,975310000,62186000,1217968000
ADBE,0000796343,2018,Q2,10-Q,2018-06-27,2017-06-02,2016-12-03,0000796343-18-000134,3453836000,772836000,1.56,1.54,973081000,2977139000,null,null,14535556000,6075687000,8459869000,1011315000,1375197000,86200000,1881421000,3513702000,476697000,2004058000,180414000,1217968000
ADBE,0000796343,2018,Q3,10-Q,2018-09-26,2017-09-01,2016-12-03,0000796343-18-000160,5294910000,1192405000,2.41,2.38,1518755000,4555291000,null,null,14535556000,6075687000,8459869000,1011315000,2079633000,140438000,1881421000,3513702000,739619000,3036536000,302224000,1217968000
ADBE,0000796343,2019,FY,10-K,2020-01-21,2017-12-01,2016-12-03,0000796343-20-000013,7301505000,1693954000,3.43,3.38,2168095000,6291014000,null,null,18768682000,9406568000,7424835000,1011315000,2912853000,178122000,null,1586187000,1010491000,4122919000,443687000,1315578000
ADBE,0000796343,2019,Q1,10-Q,2019-03-27,2018-03-02,2017-12-02,0000796343-19-000079,2078947000,583076000,1.18,1.17,702733000,1820045000,null,null,18768682000,9406568000,8459869000,2306072000,989601000,95142000,4124800000,1586187000,258902000,1117312000,119426000,1315578000
ADBE,0000796343,2019,Q2,10-Q,2019-06-26,2018-06-01,2017-12-02,0000796343-19-000142,4274307000,1246243000,2.53,2.5,1401217000,3734061000,null,null,18768682000,9406568000,8459869000,2306072000,1966007000,140458000,4124800000,1586187000,540246000,2332844000,147058000,1315578000
ADBE,0000796343,2019,Q3,10-Q,2019-09-26,2018-08-31,2017-12-02,0000796343-19-000165,6565383000,1912534000,3.89,3.84,2119823000,5729645000,null,null,18768682000,9406568000,8459869000,2306072000,2921311000,204016000,4124800000,1586187000,835738000,3609822000,182125000,1315578000
ADBE,0000796343,2020,FY,10-K,2021-01-15,2018-11-30,2017-12-02,0000796343-21-000004,9030000000,2591000000,5.28,5.2,2840000000,7835000000,null,null,20762000000,10232000000,8459000000,2306000000,4029000000,267000000,989000000,1527000000,1195000000,4995000000,203000000,1535000000
ADBE,0000796343,2020,Q1,10-Q,2020-03-25,2019-03-01,2018-12-01,0000796343-20-000064,2601000000,674000000,1.38,1.36,695000000,2204000000,null,null,20762000000,10232000000,9362000000,1643000000,1013000000,65000000,989000000,1527000000,397000000,1509000000,28000000,1535000000
