ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ADI,0000006281,2016,FY,10-K,2016-11-22,2014-11-01,2013-11-03,0000006281-16-000097,null,629320000,0.57,0.57,752484000,1830188000,559686000,454676000,7058777000,null,5072959000,392089000,871602000,177913000,null,null,null,1077704000,100025000,466527000
ADI,0000006281,2016,Q1,10-Q,2016-02-17,2015-01-31,2014-11-02,0000006281-16-000060,null,178757000,0.57,0.57,207934000,503607000,151706000,120171000,7058777000,null,5072959000,569233000,168653000,23760000,null,null,null,295673000,22013000,466527000
ADI,0000006281,2016,Q2,10-Q,2016-05-18,2015-05-02,2014-11-02,0000006281-16-000067,null,384095000,1.23,1.21,456942000,1048429000,305939000,237542000,7058777000,null,5072959000,569233000,512684000,72989000,null,null,null,591487000,61864000,466527000
ADI,0000006281,2016,Q3,10-Q,2016-08-17,2015-08-01,2014-11-02,0000006281-16-000073,null,600573000,1.92,1.89,722211000,1617466000,466723000,357572000,7058777000,null,5072959000,569233000,709823000,108153000,null,null,null,895255000,104864000,466527000
ADI,0000006281,2017,FY,10-K,2017-11-22,2015-10-31,2014-11-02,0000006281-17-000144,null,696878000,0.53,0.52,830841000,2259262000,637459000,478972000,7970278000,null,5165618000,569233000,907798000,153960000,null,null,null,1428421000,113236000,477609000
ADI,0000006281,2017,Q1,10-Q,2017-02-15,2016-01-30,2015-11-01,0000006281-17-000008,null,164504000,0.53,0.52,195045000,477293000,157428000,107462000,7970278000,null,5165618000,884353000,219705000,23128000,null,null,null,282248000,17673000,477609000
ADI,0000006281,2017,Q2,10-Q,2017-05-31,2016-04-30,2015-11-01,0000006281-17-000086,null,335077000,1.08,1.07,402424000,988196000,317663000,219648000,7970278000,null,5165618000,884353000,539908000,48645000,null,null,null,585772000,42010000,477609000
ADI,0000006281,2017,Q3,10-Q,2017-08-30,2016-07-30,2015-11-01,0000006281-17-000114,null,565507000,1.83,1.81,671131000,1560486000,480890000,342557000,7970278000,null,5165618000,884353000,793911000,86173000,null,null,null,889355000,67980000,477609000
ADI,0000006281,2018,FY,10-K,2018-11-27,2016-10-29,2015-11-01,0000006281-18-000126,3421409000,861664000,0.7,0.69,1028112000,2227173000,653816000,461438000,21141294000,null,10161540000,884353000,1291348000,127397000,null,null,null,1199061000,95257000,688953000
ADI,0000006281,2018,Q1,10-Q,2018-02-28,2017-01-28,2016-10-30,0000006281-18-000018,null,217129000,0.7,0.69,266268000,648504000,183954000,130659000,21141294000,null,10161540000,921132000,322594000,28337000,null,null,null,382236000,16180000,688953000
ADI,0000006281,2018,Q2,10-Q,2018-05-30,2017-04-29,2016-10-30,0000006281-18-000084,null,310693000,0.96,0.94,412103000,1288947000,419186000,321345000,21141294000,null,10161540000,921132000,861909000,75266000,null,null,null,876844000,9330000,688953000
ADI,0000006281,2018,Q3,10-Q,2018-08-22,2017-07-29,2016-10-30,0000006281-18-000106,3566333000,379609000,1.12,1.1,606924000,2055571000,694856000,505325000,21141294000,null,10161540000,921132000,501908000,138883000,null,null,1510762000,1448647000,67212000,688953000
ADI,0000006281,2019,FY,10-K,2019-11-26,2017-10-28,2016-10-30,0000006281-19-000144,null,805379000,0.79,0.78,1162761000,3168241000,968133000,690533000,20438366000,null,11268173000,816591000,1154365000,204098000,null,null,null,2005480000,129368000,639717000
ADI,0000006281,2019,Q1,10-Q,2019-02-20,2018-02-03,2017-10-29,0000006281-19-000013,null,293240000,0.79,0.78,441841000,1071683000,288597000,176908000,20430426000,null,11268173000,1047838000,388688000,63222000,null,null,495187000,629842000,82107000,639717000
ADI,0000006281,2019,Q2,10-Q,2019-05-22,2018-05-05,2017-10-29,0000006281-19-000089,null,693568000,1.87,1.84,944395000,2144073000,578069000,349054000,20438366000,null,11268173000,816591000,1107182000,117122000,null,null,986299000,1199678000,121904000,639717000
ADI,0000006281,2019,Q3,10-Q,2019-08-21,2018-08-04,2017-10-29,0000006281-19-000115,null,1102125000,2.97,2.93,1433346000,3204631000,869711000,520541000,20438366000,null,11268173000,816591000,1727920000,168872000,null,null,1483930000,1771285000,143853000,639717000
ADI,0000006281,2020,FY,10-K,2020-11-24,2018-11-03,2017-10-29,0000006281-20-000156,null,1506980000,null,null,1899589000,4250396000,1165047000,695540000,21392641000,null,11709188000,648322000,2442361000,254876000,null,null,null,2350807000,148334000,635136000
