ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ADP,0000008670,2016,FY,10-K,2016-08-05,2014-06-30,2013-07-01,0000008670-16-000053,10226400000,1515900000,3.17,3.14,null,1007800000,null,2370300000,33110500000,28302000000,4808500000,1584000000,1821400000,null,null,null,null,null,636600000,1546900000
ADP,0000008670,2016,Q1,10-Q,2015-11-05,2014-09-30,2014-07-01,0000008670-15-000026,2566100000,295200000,0.62,0.61,null,null,null,576000000,33110500000,28302000000,4808500000,2173500000,378200000,null,null,null,null,null,153800000,1546900000
ADP,0000008670,2016,Q2,10-Q,2016-02-03,2014-12-31,2014-07-01,0000008670-16-000030,5219600000,626700000,1.31,1.3,null,null,null,1164500000,33110500000,28302000000,4808500000,1848000000,607100000,null,null,null,null,null,320100000,1546900000
ADP,0000008670,2016,Q3,10-Q,2016-05-05,2015-03-31,2014-07-01,0000008670-16-000034,8244000000,1116300000,2.35,2.33,null,null,null,1771700000,33110500000,28302000000,4808500000,1805700000,1464200000,null,null,null,null,null,569600000,1546900000
ADP,0000008670,2017,FY,10-K,2017-08-04,2015-06-30,2014-07-01,0000008670-17-000010,10938500000,1452500000,3.07,3.05,null,1067500000,null,2496900000,43670000000,39188400000,4481600000,1983600000,1974000000,null,null,null,null,null,694200000,1742800000
ADP,0000008670,2017,Q1,10-Q,2016-11-03,2015-09-30,2015-07-01,0000008670-16-000059,2714000000,336600000,0.73,0.72,null,null,null,605300000,43670000000,39188400000,4481600000,1639300000,109100000,null,null,null,null,null,167500000,1742800000
ADP,0000008670,2017,Q2,10-Q,2017-02-01,2015-12-31,2015-07-01,0000008670-17-000003,5521000000,678000000,1.47,1.46,null,null,null,1232400000,43670000000,39188400000,4481600000,1639300000,515400000,null,null,null,null,null,334000000,1742800000
ADP,0000008670,2017,Q3,10-Q,2017-05-04,2016-03-31,2015-07-01,0000008670-17-000005,8769500000,1210500000,2.64,2.63,null,null,null,1866700000,43670000000,39188400000,4481600000,1639300000,1234400000,null,null,null,null,null,596300000,1742800000
ADP,0000008670,2018,FY,10-K,2018-08-03,2016-06-30,2015-07-01,0000008670-18-000011,11667800000,1492500000,3.27,3.25,null,1173300000,null,2637000000,37180000000,33203000000,3977000000,3191100000,1897300000,null,null,null,null,null,741300000,1703600000
ADP,0000008670,2018,Q1,10-Q,2017-11-02,2016-09-30,2016-07-01,0000008670-17-000012,2916900000,368700000,0.82,0.81,null,null,null,647700000,37180000000,33203000000,3977000000,2776600000,329800000,null,null,null,null,null,160000000,1703600000
ADP,0000008670,2018,Q2,10-Q,2018-02-01,2016-12-31,2016-07-01,0000008670-18-000003,5904200000,879600000,1.95,1.94,null,null,null,1288600000,37180000000,33203000000,3977000000,2705200000,841100000,null,null,null,null,null,435200000,1703600000
ADP,0000008670,2018,Q3,10-Q,2018-05-04,2017-03-31,2016-07-01,0000008670-18-000007,9314900000,1467600000,3.27,3.25,null,null,null,1953600000,37180000000,33203000000,3977000000,2995500000,1668700000,null,null,null,null,null,675100000,1703600000
ADP,0000008670,2019,FY,10-K,2019-08-09,2017-06-30,2016-07-01,0000008670-19-000021,12372000000,1787800000,3.99,3.97,null,1225700000,null,2773800000,38886900000,34113200000,4735900000,2780400000,2125900000,null,null,null,null,null,829100000,1984200000
ADP,0000008670,2019,Q1,10-Q,2018-11-01,2017-09-30,2017-07-01,0000008670-18-000017,3077200000,412600000,0.93,0.93,null,null,null,675400000,38849100000,34113200000,4735900000,2363600000,244700000,null,null,null,null,null,152300000,1984200000
ADP,0000008670,2019,Q2,10-Q,2019-01-31,2017-12-31,2017-07-01,0000008670-19-000005,6315500000,1083000000,2.45,2.44,null,null,null,1399000000,38849100000,34113200000,4735900000,1773400000,675100000,null,null,null,null,null,69400000,1984200000
ADP,0000008670,2019,Q3,10-Q,2019-05-03,2018-03-31,2017-07-01,0000008670-19-000013,10011500000,1744000000,3.95,3.93,null,null,null,2149000000,38849100000,34113200000,4735900000,2293600000,1810000000,null,null,null,null,null,283700000,1984200000
ADP,0000008670,2020,FY,10-K,2020-08-05,2018-06-30,2017-07-01,0000008670-20-000032,13274200000,1884900000,4.28,4.25,null,1382700000,null,2959400000,38849100000,36487800000,5399900000,2170000000,2515200000,null,null,null,null,null,397700000,2439300000
ADP,0000008670,2020,Q1,10-Q,2019-11-04,2018-09-30,2018-07-01,0000008670-19-000027,3310300000,505400000,1.16,1.15,null,null,null,713900000,41887700000,36487800000,5399900000,1490300000,149200000,null,null,null,null,null,141400000,2439300000
ADP,0000008670,2020,Q2,10-Q,2020-01-31,2018-12-31,2018-07-01,0000008670-20-000007,6802700000,1063600000,2.44,2.42,null,null,null,1459000000,41887700000,36487800000,5399900000,2785600000,931500000,null,null,null,null,null,324200000,2439300000
ADP,0000008670,2020,Q3,10-Q,2020-05-01,2019-03-31,2018-07-01,0000008670-20-000020,10630900000,1817400000,4.17,4.15,null,null,null,2209400000,41887700000,36487800000,5399900000,1826200000,1956000000,null,null,null,null,null,554900000,2439300000
ADP,0000008670,2021,FY,10-K,2021-08-04,2019-06-30,2018-07-01,0000008670-21-000027,14110200000,2292800000,5.27,5.24,null,null,null,3064200000,41887700000,33413300000,5752200000,1949200000,2688300000,null,null,null,null,null,712800000,2441300000
ADP,0000008670,2021,Q1,10-Q,2020-10-30,2019-09-30,2019-07-01,0000008670-20-000038,3495700000,582400000,1.35,1.34,null,null,null,726500000,39165500000,33413300000,5752200000,1403900000,432800000,null,null,null,null,null,156700000,2441300000
ADP,0000008670,2021,Q2,10-Q,2021-02-01,2019-12-31,2019-07-01,0000008670-21-000007,null,1234000000,2.86,2.84,null,null,null,1480900000,39165500000,33413300000,5399900000,1500400000,1130900000,null,null,null,null,null,340600000,2441300000
ADP,0000008670,2021,Q3,10-Q,2021-04-30,2020-03-31,2019-07-01,0000008670-21-000014,null,2054900000,4.76,4.74,null,null,null,2237400000,39165500000,33413300000,5399900000,1705000000,2249600000,null,null,null,null,null,596400000,2441300000
ADP,0000008670,2022,FY,10-K,2022-08-03,2020-06-30,2019-07-01,0000008670-22-000038,14589800000,2466500000,5.73,5.7,null,null,null,3003000000,39165500000,43102400000,5670100000,1908500000,3026200000,null,null,null,null,null,716100000,2727400000
ADP,0000008670,2022,Q1,10-Q,2021-10-29,2020-09-30,2020-07-01,0000008670-21-000035,null,602100000,1.4,1.4,null,null,null,681000000,48772500000,43102400000,5752200000,1613100000,481900000,null,null,null,null,null,163100000,2727400000
ADP,0000008670,2022,Q2,10-Q,2022-01-31,2020-12-31,2020-07-01,0000008670-22-000014,null,1249600000,2.92,2.91,null,null,null,1436900000,48772500000,43102400000,5752200000,1602200000,1188300000,null,null,null,null,null,348200000,2727400000
ADP,0000008670,2022,Q3,10-Q,2022-04-29,2021-03-31,2020-07-01,0000008670-22-000023,null,2060300000,4.82,4.8,null,null,null,2199800000,48772500000,43102400000,5752200000,1891500000,2440500000,null,null,null,null,null,603800000,2727400000
ADP,0000008670,2023,FY,10-K,2023-08-03,2021-06-30,2020-07-01,0000008670-23-000030,15005400000,2598500000,6.1,6.07,null,null,null,3040500000,48772500000,59842900000,3225300000,2575200000,3093300000,null,null,null,null,null,762700000,3170600000
ADP,0000008670,2023,Q1,10-Q,2022-11-02,2021-09-30,2021-07-01,0000008670-22-000046,null,700500000,1.66,1.65,null,null,null,719200000,63068200000,59842900000,5670100000,1602100000,121900000,null,null,null,null,null,200300000,3170600000
ADP,0000008670,2023,Q2,10-Q,2023-02-02,2021-12-31,2021-07-01,0000008670-23-000008,null,1394900000,3.32,3.3,null,null,null,1501500000,63068200000,59842900000,5670100000,1745000000,1215600000,null,null,null,null,null,416000000,3170600000
ADP,0000008670,2023,Q3,10-Q,2023-05-01,2022-03-31,2021-07-01,0000008670-23-000017,null,2323400000,5.53,5.51,null,null,null,2319000000,63068200000,59842900000,5670100000,1634200000,2186600000,null,null,null,null,null,677300000,3170600000
ADP,0000008670,2024,FY,10-K,2024-08-07,2022-06-30,2021-07-01,0000008670-24-000024,16498300000,2948900000,7.04,7,null,null,798600000,3233200000,63068200000,47461900000,3509100000,1436300000,3099500000,null,null,null,null,null,855200000,3009600000
ADP,0000008670,2024,Q1,10-Q,2023-11-02,2022-09-30,2022-07-01,0000008670-23-000040,null,779000000,1.88,1.87,null,null,209800000,800300000,50971000000,47461900000,3225300000,1207700000,718100000,null,null,null,null,null,231000000,3009600000
ADP,0000008670,2024,Q2,10-Q,2024-02-01,2022-12-31,2022-07-01,0000008670-24-000007,null,1592200000,3.84,3.82,null,null,413900000,1656100000,50971000000,47461900000,3225300000,1345000000,1617800000,null,null,null,null,null,475900000,3009600000
ADP,0000008670,2024,Q3,10-Q,2024-05-02,2023-03-31,2022-07-01,0000008670-24-000014,null,2635300000,6.36,6.33,null,null,622600000,2594200000,50971000000,47461900000,3225300000,1828400000,3021900000,null,null,null,null,null,796700000,3009600000
ADP,0000008670,2025,FY,10-K,2025-08-06,2023-06-30,2022-07-01,0000008670-25-000037,18012200000,3412000000,8.25,8.21,null,null,844800000,3551400000,50971000000,49815100000,4547600000,2083500000,4207600000,null,null,null,null,null,1025600000,3428200000
ADP,0000008670,2025,Q1,10-Q,2024-11-01,2023-09-30,2023-07-01,0000008670-24-000030,null,859400000,2.09,2.08,null,null,236500000,880300000,54362700000,49815100000,3509100000,1441400000,326500000,null,null,null,null,null,233400000,3428200000
ADP,0000008670,2025,Q2,10-Q,2025-01-30,2023-12-31,2023-07-01,0000008670-25-000007,null,1737800000,4.22,4.2,null,null,465100000,1802800000,54362700000,49815100000,3509100000,1641300000,1358900000,null,null,null,null,null,498800000,3428200000
ADP,0000008670,2025,Q3,10-Q,2025-05-01,2024-03-31,2023-07-01,0000008670-25-000015,null,2922700000,7.11,7.07,null,null,707800000,2743600000,54362700000,49815100000,3509100000,3291700000,2857000000,null,null,null,null,null,860300000,3428200000
ADP,0000008670,2026,Q1,10-Q,2025-10-31,2024-09-30,2024-07-01,0000008670-25-000047,null,956300000,2.34,2.34,null,null,232600000,926700000,53369300000,47181300000,4547600000,2104900000,824400000,null,null,null,null,null,279900000,3579100000
