ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ADSK,0000769397,2016,FY,10-K,2016-03-23,2014-01-31,2013-02-01,0000769397-16-000067,null,228800000,1.02,1,284800000,1999600000,611100000,null,4909700000,null,2043200000,1612200000,563500000,null,743100000,null,274300000,1714800000,51100000,458900000
ADSK,0000769397,2016,Q1,10-Q,2015-05-28,2014-04-30,2014-02-01,0000769397-15-000024,null,28300000,0.12,0.12,42200000,513800000,170500000,null,4913800000,null,2219200000,1853000000,218700000,14500000,747200000,null,78700000,471600000,7300000,458900000
ADSK,0000769397,2016,Q2,10-Q,2015-08-31,2014-07-31,2014-02-01,0000769397-15-000040,null,59600000,0.26,0.26,92100000,1063000000,349800000,null,4909700000,null,2219200000,1853000000,314900000,31600000,743100000,null,166600000,970900000,18900000,458900000
ADSK,0000769397,2016,Q3,10-Q,2015-12-09,2014-10-31,2014-02-01,0000769397-15-000050,null,70300000,0.31,0.3,106700000,1595000000,533700000,null,4909700000,null,2219200000,1853000000,450900000,60000000,743100000,null,252600000,1488300000,19800000,458900000
ADSK,0000769397,2017,FY,10-K,2017-03-21,2015-01-31,2014-02-01,0000769397-17-000014,null,81800000,0.36,0.35,120700000,2170100000,725200000,null,5515300000,null,2261500000,1853000000,708600000,null,1487700000,null,342100000,2049400000,1200000,653600000
ADSK,0000769397,2017,Q1,10-Q,2016-06-06,2015-04-30,2015-02-01,0000769397-16-000079,null,19100000,0.08,0.08,21500000,554700000,194500000,null,5515300000,null,1619600000,1410600000,86500000,12500000,1487700000,null,91800000,533200000,2700000,653600000
ADSK,0000769397,2017,Q2,10-Q,2016-08-30,2015-07-31,2015-02-01,0000769397-16-000087,null,-249500000,-1.1,-1.1,25800000,1071200000,387600000,null,5515300000,null,1619600000,1410600000,163700000,29800000,1487700000,null,184800000,1045400000,272200000,653600000
ADSK,0000769397,2017,Q3,10-Q,2016-12-01,2015-07-31,2015-02-01,0000769397-16-000097,null,-249500000,-1.29,-1.29,11000000,1580000000,585500000,null,5515300000,null,1619600000,1410600000,244100000,41800000,1487700000,null,275800000,1569000000,272200000,653600000
ADSK,0000769397,2018,FY,10-K,2018-03-22,2016-01-31,2015-02-01,0000769397-18-000011,null,-330500000,-1.46,-1.46,1300000,2133400000,790000000,null,4798100000,null,2219200000,1410600000,414000000,null,1092000000,null,370700000,2132100000,310200000,452300000
ADSK,0000769397,2018,Q1,10-Q,2017-05-31,2016-04-30,2016-02-01,0000769397-17-000031,null,-167700000,-0.75,-0.75,-149700000,419500000,193500000,null,4798100000,null,733600000,1353000000,164400000,22300000,null,null,92400000,569200000,14400000,452300000
ADSK,0000769397,2018,Q2,10-Q,2017-08-31,2016-07-31,2016-02-01,0000769397-17-000051,null,-265900000,-1.19,-1.19,-212600000,885100000,386500000,null,4798100000,null,733600000,1353000000,146400000,42600000,null,null,177500000,1097700000,39600000,452300000
ADSK,0000769397,2018,Q3,10-Q,2017-12-05,2016-10-31,2016-02-01,0000769397-17-000057,null,-408700000,-1.83,-1.83,-332500000,1293200000,579100000,null,4798100000,null,733600000,1353000000,154100000,65100000,null,null,259000000,1625700000,53100000,452300000
ADSK,0000769397,2019,FY,10-K,2019-03-25,2017-01-31,2016-02-01,0000769397-19-000016,null,-582100000,-2.61,-2.61,-499600000,1689100000,766100000,null,4113600000,null,1619600000,1353000000,169700000,null,1586000000,null,341900000,2188700000,58300000,438200000
ADSK,0000769397,2019,Q1,10-Q,2018-06-08,2017-04-30,2017-02-01,0000769397-18-000024,null,-129600000,-0.59,-0.59,-119600000,407500000,187700000,null,4113600000,null,-256000000,1213100000,45200000,8600000,null,null,78200000,527100000,8200000,438200000
ADSK,0000769397,2019,Q2,10-Q,2018-08-30,2017-07-31,2017-02-01,0000769397-18-000042,null,-273600000,-1.25,-1.25,-227200000,834700000,381500000,null,4113600000,null,-256000000,1213100000,-27300000,26400000,null,null,152800000,1061900000,25800000,438200000
ADSK,0000769397,2019,Q3,10-Q,2018-12-06,2017-04-30,2017-02-01,0000769397-18-000051,null,-129600000,-1.79,-1.79,-327200000,1272500000,573300000,null,4113600000,null,733600000,1213100000,-78400000,39300000,null,null,230300000,1599700000,34400000,438200000
ADSK,0000769397,2020,FY,10-K,2020-03-19,2018-01-31,2017-02-01,0000769397-20-000013,null,-566900000,-2.58,-2.58,-509100000,1753200000,755500000,null,4729200000,null,733600000,1213100000,900000,null,2100000000,null,303400000,2262300000,9600000,474300000
ADSK,0000769397,2020,Q1,10-Q,2019-06-04,2018-04-30,2018-02-01,0000769397-19-000030,null,-82400000,-0.38,-0.38,-55300000,493100000,172800000,null,4729200000,null,-256000000,886000000,-16900000,16700000,null,null,66800000,548400000,18600000,474300000
ADSK,0000769397,2020,Q2,10-Q,2019-09-04,2018-04-30,2018-02-01,0000769397-19-000040,null,-82400000,-0.56,-0.56,-80000000,1035000000,353600000,null,4729200000,null,-256000000,886000000,26400000,36700000,null,null,136600000,1115000000,34600000,474300000
ADSK,0000769397,2020,Q3,10-Q,2019-12-05,2018-04-30,2018-02-01,0000769397-19-000052,null,-82400000,-0.67,-0.67,-65300000,1623600000,534600000,null,4729200000,null,-256000000,886000000,65600000,49400000,null,null,208900000,1688900000,69800000,474300000
ADSK,0000769397,2021,FY,10-K,2021-03-19,2019-01-31,2018-02-01,0000769397-21-000014,null,-80800000,-0.37,-0.37,-25000000,2283900000,725000000,null,6179300000,null,-256000000,1774700000,377100000,67000000,1650000000,null,285900000,2308900000,38100000,652300000
ADSK,0000769397,2021,Q1,10-Q,2020-06-02,2019-04-30,2019-02-01,0000769397-20-000023,null,-24200000,-0.11,-0.11,24800000,652800000,205600000,null,6179300000,null,-210900000,1774700000,221200000,14700000,1650000000,null,82700000,628000000,32800000,652300000
ADSK,0000769397,2021,Q2,10-Q,2020-09-02,2019-04-30,2019-02-01,0000769397-20-000031,null,-24200000,0.07,0.07,98600000,1370100000,421000000,null,6179300000,null,-210900000,1774700000,440500000,29500000,1650000000,null,162200000,1271500000,59100000,652300000
