ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AEP,0000004904,2016,FY,10-K,2017-02-28,2014-12-31,2014-01-01,0000004904-17-000019,16378600000,null,3.34,3.34,3127400000,null,null,null,59544600000,43778200000,17891700000,117500000,4602400000,64800000,19572700000,386800000,null,13251200000,902600000,1640500000
AEP,0000004904,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0000004904-16-000071,4580400000,null,1.29,1.29,1102800000,null,null,null,61683100000,43778200000,17891700000,162500000,1257700000,null,19572700000,386800000,null,3477600000,327200000,1640500000
AEP,0000004904,2016,Q2,10-Q,2016-07-28,2015-06-30,2015-01-01,0000004904-16-000086,8407100000,null,2.16,2.16,1906900000,null,null,null,61683100000,43778200000,17891700000,162500000,null,null,19572700000,386800000,null,6500200000,551500000,1640500000
AEP,0000004904,2016,Q3,10-Q,2016-11-02,2015-09-30,2015-01-01,0000004904-16-000102,12838500000,null,3.22,3.22,2867100000,null,null,null,61683100000,43778200000,17891700000,162500000,null,null,19572700000,386800000,null,9971400000,827100000,1640500000
AEP,0000004904,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0000004904-18-000009,16453200000,null,4.17,4.17,3333500000,null,null,null,61683100000,46047600000,17397000000,210500000,null,5300000,20256400000,138700000,null,13119700000,919600000,1916700000
AEP,0000004904,2017,Q1,10-Q,2017-04-28,2016-03-31,2016-01-01,0000004904-17-000030,4044900000,null,1.02,1.02,892900000,null,null,null,63467700000,46047600000,17397000000,176400000,799900000,null,20256400000,331700000,null,3152000000,235500000,1916700000
AEP,0000004904,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0000004904-17-000045,7937800000,null,2.04,2.04,1759100000,null,null,null,63467700000,46047600000,17397000000,176400000,null,null,20256400000,331700000,null,6178700000,400500000,1916700000
AEP,0000004904,2017,Q3,10-Q,2017-10-27,2016-09-30,2016-01-01,0000004904-17-000060,12590000000,null,0.48,0.48,631200000,null,null,null,63467700000,46047600000,17397000000,176400000,null,null,20256400000,331700000,null,11958800000,-134000000,1916700000
AEP,0000004904,2018,FY,10-K,2019-02-21,2016-12-31,2016-01-01,0000004904-19-000009,16380100000,null,1.24,1.24,1163900000,null,null,null,63467700000,46403600000,18287000000,214600000,null,107900000,21173300000,161700000,null,15216200000,-73700000,1891000000
AEP,0000004904,2018,Q1,10-Q,2018-04-26,2017-03-31,2017-01-01,0000004904-18-000019,3933300000,null,1.2,1.2,1085700000,null,null,null,64729100000,46403600000,18287000000,214600000,806800000,null,21173300000,161700000,null,2847600000,343200000,1891000000
AEP,0000004904,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0000004904-18-000039,7509800000,null,1.97,1.96,1819000000,null,null,null,64729100000,46403600000,18287000000,214600000,1717000000,null,21173300000,161700000,null,5690800000,533800000,1891000000
AEP,0000004904,2018,Q3,10-Q,2018-10-25,2017-09-30,2017-01-01,0000004904-18-000055,11614500000,null,3.07,3.07,2794100000,null,null,null,64729100000,46403600000,18287000000,214600000,3124200000,null,21173300000,161700000,null,8820400000,797800000,1891000000
AEP,0000004904,2019,FY,10-K,2020-02-20,2017-12-31,2017-01-01,0000004904-20-000007,15424900000,null,3.89,3.88,3525000000,null,null,null,64729100000,49634600000,19028400000,234100000,4270400000,0,23346700000,159100000,null,11899900000,969700000,1926500000
AEP,0000004904,2019,Q1,10-Q,2019-04-26,2018-03-31,2018-01-01,0000004904-19-000020,4048300000,null,0.92,0.92,706000000,null,null,null,68802800000,49634600000,19028400000,234100000,802200000,null,23346700000,159100000,null,3342300000,102000000,1926500000
AEP,0000004904,2019,Q2,10-Q,2019-07-25,2018-06-30,2018-01-01,0000004904-19-000040,8061500000,null,2,1.99,1463000000,null,null,null,68802800000,49634600000,19028400000,234100000,2006800000,0,23346700000,159100000,null,6598500000,174200000,1926500000
AEP,0000004904,2019,Q3,10-Q,2019-10-24,2018-09-30,2018-01-01,0000004904-19-000050,12394600000,null,3.17,3.16,2131600000,null,null,null,68802800000,49634600000,19028400000,234100000,3932600000,0,23346700000,159100000,null,10263000000,93500000,1926500000
AEP,0000004904,2020,FY,10-K,2021-02-25,2018-12-31,2018-01-01,0000004904-21-000010,16195700000,null,3.9,3.9,2682700000,null,null,null,68802800000,55870500000,19632200000,246800000,5223200000,0,26725500000,202700000,null,13513000000,115300000,1705100000
AEP,0000004904,2020,Q1,10-Q,2020-05-06,2019-03-31,2019-01-01,0000004904-20-000046,4056800000,null,1.16,1.16,788400000,null,null,null,75892300000,55870500000,19632200000,246800000,808300000,null,26725500000,202700000,null,3268400000,44500000,1705100000
AEP,0000004904,2020,Q2,10-Q,2020-08-06,2019-06-30,2019-01-01,0000004904-20-000062,7630400000,null,2.1,2.09,1339400000,null,null,null,75892300000,55870500000,19632200000,246800000,1800800000,581200000,26725500000,202700000,null,6291000000,-9900000,1705100000
AEP,0000004904,2020,Q3,10-Q,2020-10-22,2019-09-30,2019-01-01,0000004904-20-000084,11945400000,null,3.58,3.57,2297600000,null,null,null,75892300000,55870500000,19632200000,246800000,3349900000,921300000,26725500000,202700000,null,9647800000,30700000,1705100000
AEP,0000004904,2020,Q3,10-Q,2021-04-22,2020-03-31,2020-01-01,0000004904-21-000033,3747500000,null,1,1,751600000,null,null,null,80757200000,59937500000,20550900000,392700000,615700000,0,31072500000,200800000,null,2995900000,46500000,1842700000
AEP,0000004904,2021,FY,10-K,2022-02-24,2019-12-31,2019-01-01,0000004904-22-000024,15561400000,null,3.89,3.88,2592300000,null,null,null,75892300000,59937500000,20550900000,392700000,4270100000,null,26725500000,200800000,null,12969100000,-12900000,1842700000
AEP,0000004904,2021,Q2,10-Q,2021-07-22,2020-06-30,2020-01-01,0000004904-21-000052,7241500000,null,2.05,2.04,1474300000,null,null,null,80757200000,59937500000,20550900000,392700000,1746200000,null,31072500000,200800000,null,5767200000,59100000,1842700000
AEP,0000004904,2021,Q3,10-Q,2021-10-28,2020-09-30,2020-01-01,0000004904-21-000069,11307900000,null,3.56,3.55,2417500000,null,null,null,80757200000,59937500000,20550900000,392700000,2922200000,null,31072500000,200800000,null,8890400000,57900000,1842700000
AEP,0000004904,2022,FY,10-K,2023-02-23,2020-12-31,2020-01-01,0000004904-23-000011,14918500000,null,4.44,4.42,2987700000,null,null,null,87668700000,64945200000,22433200000,403400000,3832900000,null,33454500000,220400000,null,11930800000,40500000,1941600000
