ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AMAT,0000006951,2016,FY,10-K,2016-12-15,2014-10-26,2013-10-28,0000006951-16-000068,null,1072000000,0.88,0.87,1520000000,3843000000,1428000000,null,15308000000,7695000000,7088000000,1711000000,1800000000,241000000,3342000000,168000000,null,2323000000,376000000,1670000000
AMAT,0000006951,2016,Q1,10-Q,2016-02-25,2015-01-25,2014-10-27,0000006951-16-000041,null,348000000,null,null,458000000,959000000,351000000,null,15308000000,7695000000,7868000000,3002000000,60000000,49000000,4542000000,168000000,null,501000000,89000000,1739000000
AMAT,0000006951,2016,Q2,10-Q,2016-05-26,2015-04-26,2014-10-27,0000006951-16-000048,null,712000000,0.58,0.57,874000000,1975000000,716000000,null,15308000000,7695000000,7868000000,3002000000,358000000,113000000,4542000000,168000000,null,1101000000,114000000,1739000000
AMAT,0000006951,2016,Q3,10-Q,2016-08-25,2015-07-26,2014-10-27,0000006951-16-000059,null,1041000000,0.85,0.84,1270000000,2993000000,1088000000,null,15308000000,7695000000,7868000000,3002000000,692000000,162000000,4542000000,168000000,null,1723000000,160000000,1739000000
AMAT,0000006951,2017,FY,10-K,2017-12-15,2015-10-25,2014-10-27,0000006951-17-000038,null,1377000000,1.13,1.12,1693000000,3952000000,1451000000,null,14570000000,7353000000,7868000000,3002000000,1163000000,215000000,3125000000,343000000,null,2259000000,221000000,1739000000
AMAT,0000006951,2017,Q1,10-Q,2017-02-23,2016-01-31,2015-10-26,0000006951-17-000007,null,286000000,null,null,354000000,916000000,374000000,null,14570000000,7353000000,7613000000,4797000000,207000000,68000000,3325000000,343000000,null,562000000,28000000,2279000000
AMAT,0000006951,2017,Q2,10-Q,2017-05-25,2016-05-01,2015-10-26,0000006951-17-000015,null,606000000,0.54,0.53,779000000,1920000000,760000000,null,14570000000,7353000000,7613000000,4797000000,688000000,115000000,3325000000,343000000,null,1141000000,103000000,2279000000
AMAT,0000006951,2017,Q3,10-Q,2017-08-24,2016-07-31,2015-10-26,0000006951-17-000026,null,1111000000,1,0.99,1375000000,3112000000,1146000000,null,14570000000,7353000000,7613000000,4797000000,1669000000,165000000,3325000000,343000000,null,1737000000,162000000,2279000000
AMAT,0000006951,2018,FY,10-K,2018-12-13,2016-10-30,2015-10-26,0000006951-18-000041,10825000000,1721000000,1.56,1.54,2152000000,4511000000,1540000000,null,19419000000,10070000000,7613000000,4797000000,2566000000,253000000,5304000000,2266000000,null,2359000000,292000000,2279000000
AMAT,0000006951,2018,Q1,10-Q,2018-02-22,2017-01-29,2016-10-31,0000006951-18-000008,null,703000000,null,null,807000000,1445000000,417000000,null,19419000000,10070000000,7217000000,3406000000,792000000,64000000,5304000000,2266000000,null,638000000,68000000,2338000000
