ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AMD,0000002488,2016,FY,10-K,2017-02-21,2014-12-27,2013-12-29,0000002488-17-000043,null,-403000000,-0.53,-0.53,-155000000,1839000000,1072000000,604000000,3084000000,null,544000000,869000000,-98000000,95000000,2237000000,null,null,null,5000000,533000000
AMD,0000002488,2016,Q1,10-Q,2016-04-28,2015-03-28,2014-12-28,0000002488-16-000124,null,-180000000,-0.23,-0.23,-137000000,326000000,242000000,131000000,3084000000,null,-412000000,805000000,-172000000,22000000,null,null,null,null,3000000,533000000
AMD,0000002488,2016,Q2,10-Q,2016-07-26,2015-06-27,2014-12-28,0000002488-16-000213,null,-361000000,-0.46,-0.46,-274000000,558000000,477000000,265000000,3084000000,null,-412000000,805000000,-229000000,39000000,null,null,null,null,4000000,533000000
AMD,0000002488,2016,Q3,10-Q,2016-10-26,2015-09-26,2014-12-28,0000002488-16-000263,null,-558000000,-0.72,-0.72,-432000000,797000000,718000000,373000000,3084000000,null,-412000000,805000000,-285000000,64000000,null,null,null,null,0,533000000
AMD,0000002488,2017,FY,10-K,2018-02-27,2015-12-26,2014-12-28,0000002488-18-000042,null,-660000000,-0.84,-0.84,-481000000,1080000000,947000000,482000000,3321000000,null,187000000,805000000,-226000000,96000000,1435000000,null,null,null,14000000,311000000
AMD,0000002488,2017,Q1,10-Q,2017-05-08,2016-03-26,2015-12-27,0000002488-17-000107,null,-109000000,-0.14,-0.14,-68000000,269000000,242000000,105000000,3321000000,null,416000000,785000000,-42000000,26000000,null,null,null,null,1000000,311000000
AMD,0000002488,2017,Q2,10-Q,2017-08-03,2016-06-25,2015-12-27,0000002488-17-000156,null,-40000000,-0.05,-0.05,-76000000,588000000,485000000,222000000,3321000000,null,416000000,785000000,-127000000,47000000,null,null,null,null,30000000,311000000
AMD,0000002488,2017,Q3,10-Q,2017-11-02,2016-09-24,2015-12-27,0000002488-17-000227,null,-446000000,-0.56,-0.56,-369000000,647000000,744000000,339000000,3321000000,null,416000000,785000000,-98000000,56000000,null,null,null,null,34000000,311000000
AMD,0000002488,2018,FY,10-K,2019-02-08,2016-12-31,2015-12-27,0000002488-19-000011,null,-498000000,-0.6,-0.6,-373000000,1003000000,1008000000,466000000,3552000000,null,-350000000,1264000000,81000000,77000000,1395000000,null,null,null,39000000,372000000
AMD,0000002488,2018,Q1,10-Q,2018-05-03,2017-04-01,2017-01-01,0000002488-18-000068,null,-33000000,-0.04,-0.04,11000000,378000000,271000000,123000000,3552000000,null,596000000,722000000,-299000000,23000000,null,null,null,null,5000000,454000000
AMD,0000002488,2018,Q2,10-Q,2018-08-02,2017-07-01,2017-01-01,0000002488-18-000128,2329000000,-75000000,-0.08,-0.08,10000000,764000000,556000000,250000000,3552000000,null,596000000,760000000,-381000000,35000000,null,null,null,null,8000000,454000000
AMD,0000002488,2018,Q3,10-Q,2018-10-31,2017-09-30,2017-01-01,0000002488-18-000189,3913000000,-14000000,-0.01,-0.01,129000000,1335000000,876000000,382000000,3552000000,null,596000000,879000000,-312000000,69000000,null,null,null,null,30000000,454000000
AMD,0000002488,2019,FY,10-K,2020-02-04,2017-12-30,2017-01-01,0000002488-20-000008,null,-33000000,-0.03,-0.03,127000000,1787000000,1196000000,516000000,4556000000,null,596000000,1185000000,12000000,113000000,1250000000,null,null,null,18000000,1235000000
AMD,0000002488,2019,Q1,10-Q,2019-05-01,2018-03-31,2017-12-31,0000002488-19-000045,null,81000000,0.08,0.08,120000000,597000000,343000000,134000000,4556000000,null,715000000,1045000000,-107000000,46000000,null,null,null,null,8000000,1235000000
AMD,0000002488,2019,Q2,10-Q,2019-07-31,2018-06-30,2017-12-31,0000002488-19-000104,null,197000000,0.2,0.19,273000000,1249000000,700000000,276000000,4556000000,null,879000000,948000000,-162000000,89000000,null,null,null,null,14000000,1235000000
AMD,0000002488,2019,Q3,10-Q,2019-10-30,2018-09-29,2017-12-31,0000002488-19-000159,null,299000000,0.31,0.28,423000000,1910000000,1063000000,424000000,4556000000,null,1125000000,1046000000,-86000000,122000000,null,null,null,null,26000000,1235000000
AMD,0000002488,2020,FY,10-K,2021-01-29,2018-12-29,2017-12-31,0001628280-21-001185,null,337000000,0.34,0.32,451000000,2447000000,1434000000,562000000,6028000000,null,1266000000,1078000000,34000000,163000000,486000000,37000000,null,null,-9000000,1859000000
AMD,0000002488,2020,Q1,10-Q,2020-04-29,2019-03-30,2018-12-30,0000002488-20-000051,null,16000000,0.01,0.01,38000000,521000000,373000000,170000000,6028000000,null,1788000000,978000000,-213000000,62000000,null,null,null,null,-13000000,1859000000
AMD,0000002488,2020,Q2,10-Q,2020-07-29,2019-06-29,2018-12-30,0000002488-20-000103,null,51000000,0.05,0.05,97000000,1142000000,746000000,359000000,6028000000,null,1901000000,963000000,-183000000,120000000,null,null,null,null,-11000000,1859000000
AMD,0000002488,2020,Q3,10-Q,2020-10-28,2019-09-28,2018-12-30,0000002488-20-000164,null,171000000,0.16,0.15,283000000,1919000000,1152000000,544000000,6028000000,null,2176000000,1156000000,51000000,175000000,null,37000000,null,null,-4000000,1859000000
AMD,0000002488,2021,FY,10-K,2022-02-03,2019-12-28,2018-12-30,0000002488-22-000016,null,341000000,0.31,0.3,631000000,2868000000,1547000000,750000000,8962000000,null,2827000000,1466000000,493000000,217000000,330000000,695000000,null,null,31000000,2066000000
AMD,0000002488,2021,Q1,10-Q,2021-04-28,2020-03-28,2019-12-29,0000002488-21-000056,null,162000000,0.14,0.14,177000000,818000000,442000000,199000000,8962000000,null,3037000000,1330000000,-65000000,55000000,null,695000000,null,null,6000000,2066000000
AMD,0000002488,2021,Q2,10-Q,2021-07-28,2020-06-27,2019-12-29,0000002488-21-000116,null,319000000,0.27,0.27,350000000,1666000000,902000000,414000000,8962000000,null,3305000000,1775000000,178000000,146000000,null,695000000,null,null,10000000,2066000000
AMD,0000002488,2021,Q3,10-Q,2021-10-27,2020-09-26,2019-12-29,0000002488-21-000178,null,709000000,0.6,0.59,799000000,2896000000,1410000000,687000000,8962000000,null,3867000000,1296000000,517000000,220000000,null,695000000,null,null,22000000,2066000000
AMD,0000002488,2022,FY,10-K,2023-02-27,2020-12-26,2019-12-29,0000002488-23-000047,null,2490000000,2.1,2.06,1369000000,4347000000,1983000000,995000000,12419000000,null,5837000000,2535000000,1071000000,294000000,null,1073000000,null,null,-1210000000,2706000000
AMD,0000002488,2022,Q1,10-Q,2022-05-04,2021-03-27,2020-12-27,0000002488-22-000078,null,555000000,0.46,0.45,662000000,1587000000,610000000,319000000,12419000000,null,6477000000,2535000000,898000000,66000000,null,1073000000,null,null,89000000,2706000000
AMD,0000002488,2022,Q2,10-Q,2022-08-03,2021-06-26,2020-12-27,0000002488-22-000123,null,1265000000,1.04,1.03,1493000000,3417000000,1269000000,660000000,12419000000,null,7065000000,2535000000,1850000000,130000000,null,1073000000,null,null,202000000,2706000000
AMD,0000002488,2022,Q3,10-Q,2022-11-02,2021-09-25,2020-12-27,0000002488-22-000170,null,2188000000,1.8,1.78,2441000000,5503000000,2034000000,1036000000,12419000000,null,7136000000,2535000000,2699000000,215000000,null,1073000000,null,null,284000000,2706000000
AMD,0000002488,2023,FY,10-K,2024-01-31,2021-12-25,2020-12-27,0000002488-24-000012,null,3162000000,2.61,2.57,3648000000,7929000000,2845000000,1448000000,67580000000,null,7497000000,4835000000,3521000000,301000000,null,1020000000,null,null,513000000,4126000000
AMD,0000002488,2023,Q1,10-Q,2023-05-03,2022-03-26,2021-12-26,0000002488-23-000076,null,786000000,0.56,0.56,951000000,2818000000,1060000000,597000000,67580000000,null,55333000000,4835000000,995000000,71000000,null,1020000000,null,null,113000000,4126000000
AMD,0000002488,2023,Q2,10-Q,2023-08-02,2022-06-25,2021-12-26,0000002488-23-000139,null,1233000000,0.82,0.81,1477000000,5846000000,2360000000,1189000000,67580000000,null,55169000000,4835000000,2033000000,203000000,null,1020000000,null,null,167000000,4126000000
AMD,0000002488,2023,Q3,10-Q,2023-11-01,2022-09-24,2021-12-26,0000002488-23-000195,null,1299000000,0.84,0.84,1413000000,8200000000,3639000000,1746000000,67580000000,null,54542000000,4835000000,2998000000,326000000,null,1020000000,null,null,32000000,4126000000
AMD,0000002488,2024,FY,10-K,2025-02-05,2022-12-31,2021-12-26,0000002488-25-000012,null,1320000000,0.85,0.84,1264000000,10603000000,5005000000,2336000000,67885000000,null,54750000000,4835000000,3565000000,450000000,null,1840000000,null,null,-122000000,4323000000
AMD,0000002488,2024,Q1,10-Q,2024-05-01,2023-04-01,2023-01-01,0000002488-24-000056,null,-139000000,-0.09,-0.09,-145000000,2359000000,1411000000,585000000,67885000000,null,54694000000,3933000000,486000000,158000000,null,1840000000,null,null,13000000,5376000000
AMD,0000002488,2024,Q2,10-Q,2024-07-31,2023-07-01,2023-01-01,0000002488-24-000123,null,-112000000,-0.07,-0.07,-165000000,4802000000,2854000000,1132000000,67885000000,null,55136000000,3933000000,865000000,283000000,null,1840000000,null,null,-10000000,5376000000
AMD,0000002488,2024,Q3,10-Q,2024-10-30,2023-09-30,2023-01-01,0000002488-24-000163,null,187000000,0.12,0.11,59000000,7549000000,4361000000,1708000000,67885000000,null,54970000000,3933000000,1286000000,407000000,null,1840000000,null,null,-49000000,5376000000
AMD,0000002488,2025,Q1,10-Q,2025-05-07,2024-03-30,2023-12-31,0000002488-25-000047,null,123000000,0.08,0.07,36000000,2560000000,1525000000,607000000,69226000000,null,56198000000,3787000000,521000000,142000000,null,1345000000,null,2524000000,-52000000,6192000000
AMD,0000002488,2025,Q2,10-Q,2025-08-06,2024-06-29,2023-12-31,0000002488-25-000108,null,388000000,0.24,0.24,305000000,5424000000,3108000000,1247000000,69226000000,null,56538000000,3787000000,1114000000,296000000,null,1345000000,null,5119000000,-11000000,6192000000
AMD,0000002488,2025,Q3,10-Q,2025-11-05,2024-09-28,2023-12-31,0000002488-25-000166,null,1159000000,0.72,0.71,1029000000,8843000000,4744000000,1954000000,69226000000,null,56985000000,3787000000,1742000000,428000000,null,1345000000,null,7814000000,-38000000,6192000000
