ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AMGN,0000318154,2016,FY,10-K,2017-02-14,2014-12-31,2014-01-01,0000318154-17-000004,20063000000,5158000000,6.8,6.7,6191000000,3841000000,null,4699000000,71449000000,null,22096000000,3805000000,8952000000,718000000,31429000000,null,null,null,427000000,2995000000
AMGN,0000318154,2016,Q1,10-Q,2016-05-02,2015-03-31,2015-01-01,0000318154-16-000035,5033000000,1623000000,2.13,2.11,2022000000,null,null,1026000000,71449000000,null,28083000000,3731000000,1482000000,118000000,31429000000,null,null,null,253000000,2995000000
AMGN,0000318154,2016,Q2,10-Q,2016-07-29,2015-06-30,2015-01-01,0000318154-16-000046,10403000000,3276000000,4.3,4.26,4098000000,null,null,2186000000,71449000000,null,28083000000,3731000000,4766000000,251000000,31429000000,null,null,null,597000000,2995000000
AMGN,0000318154,2016,Q3,10-Q,2016-10-28,2015-09-30,2015-01-01,0000318154-16-000053,16126000000,5139000000,6.76,6.7,6437000000,null,null,3430000000,71449000000,null,28083000000,3731000000,7658000000,389000000,31429000000,null,null,null,926000000,2995000000
AMGN,0000318154,2017,FY,10-K,2018-02-13,2015-12-31,2015-01-01,0000318154-18-000004,21662000000,6939000000,9.15,9.06,8470000000,4221000000,null,4846000000,77626000000,null,25778000000,3731000000,9731000000,594000000,34596000000,null,null,null,1039000000,3165000000
AMGN,0000318154,2017,Q1,10-Q,2017-04-27,2016-03-31,2016-01-01,0000318154-17-000009,5527000000,1900000000,2.52,2.5,2402000000,null,null,1203000000,77626000000,null,29875000000,4144000000,1915000000,156000000,34596000000,null,null,null,358000000,3165000000
AMGN,0000318154,2017,Q2,10-Q,2017-07-26,2016-06-30,2016-01-01,0000318154-17-000021,11215000000,3770000000,5.01,4.97,4782000000,null,null,2495000000,77626000000,null,29875000000,4144000000,4592000000,344000000,34596000000,null,null,null,692000000,3165000000
AMGN,0000318154,2017,Q3,10-Q,2017-10-26,2016-09-30,2016-01-01,0000318154-17-000027,17026000000,5787000000,7.7,7.63,7309000000,null,null,3739000000,77626000000,null,29875000000,4144000000,7254000000,511000000,34596000000,null,null,null,1093000000,3165000000
AMGN,0000318154,2018,FY,10-K,2019-02-13,2016-12-31,2016-01-01,0000318154-19-000008,22991000000,7722000000,10.32,10.24,9794000000,4203000000,null,5062000000,79954000000,null,28083000000,4144000000,10354000000,738000000,35342000000,null,null,null,1441000000,3237000000
AMGN,0000318154,2018,Q1,10-Q,2018-04-25,2017-03-31,2017-01-01,0000318154-18-000008,5464000000,2071000000,2.81,2.79,2591000000,null,null,1064000000,79954000000,null,25241000000,3241000000,2385000000,168000000,35342000000,null,null,null,389000000,3237000000
AMGN,0000318154,2018,Q2,10-Q,2018-07-27,2017-06-30,2017-01-01,0000318154-18-000015,11274000000,4222000000,5.74,5.71,5289000000,null,null,2273000000,79954000000,null,25241000000,3241000000,4711000000,353000000,35342000000,null,null,null,780000000,3237000000
AMGN,0000318154,2018,Q3,10-Q,2018-10-31,2017-09-30,2017-01-01,0000318154-18-000022,17047000000,6243000000,8.52,8.46,7728000000,null,null,3443000000,79954000000,null,25241000000,3241000000,8165000000,511000000,35342000000,null,null,null,1140000000,3237000000
AMGN,0000318154,2019,FY,10-K,2020-02-12,2017-12-31,2017-01-01,0000318154-20-000017,22849000000,1979000000,2.71,2.69,9973000000,4399000000,null,4870000000,66416000000,null,29875000000,6945000000,11177000000,664000000,33929000000,null,null,null,7618000000,3580000000
AMGN,0000318154,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0000318154-19-000018,5554000000,2311000000,3.27,3.25,2726000000,null,null,1127000000,66416000000,null,25241000000,3800000000,2727000000,155000000,33929000000,null,null,null,308000000,3580000000
AMGN,0000318154,2019,Q2,10-Q,2019-07-31,2018-06-30,2018-01-01,0000318154-19-000037,11613000000,2311000000,6.76,6.73,5558000000,null,null,2480000000,66416000000,null,25241000000,6945000000,4829000000,342000000,33929000000,null,null,null,659000000,3580000000
AMGN,0000318154,2019,Q3,10-Q,2019-10-30,2018-09-30,2018-01-01,0000318154-19-000046,17517000000,2311000000,9.67,9.61,7881000000,null,null,3773000000,66416000000,null,25241000000,6945000000,8102000000,513000000,33929000000,null,null,null,894000000,3580000000
AMGN,0000318154,2020,FY,10-K,2021-02-09,2018-12-31,2018-01-01,0000318154-21-000010,23747000000,8394000000,12.7,12.62,10263000000,4231000000,null,5332000000,59707000000,null,25241000000,6037000000,11296000000,738000000,29903000000,null,null,null,1151000000,4057000000
AMGN,0000318154,2020,Q1,10-Q,2020-05-01,2019-03-31,2019-01-01,0000318154-20-000031,5557000000,1992000000,3.2,3.18,2472000000,null,null,1154000000,59707000000,null,12500000000,6037000000,1845000000,116000000,29903000000,null,null,null,322000000,4057000000
AMGN,0000318154,2020,Q2,10-Q,2020-07-29,2019-06-30,2019-01-01,0000318154-20-000048,11428000000,1992000000,6.78,6.75,5150000000,null,null,2414000000,59707000000,null,12500000000,6037000000,3259000000,260000000,29903000000,null,null,null,707000000,4057000000
AMGN,0000318154,2020,Q3,10-Q,2020-10-29,2019-09-30,2019-01-01,0000318154-20-000060,17165000000,1992000000,10.08,10.01,7626000000,null,null,3637000000,59707000000,null,12500000000,6037000000,6636000000,430000000,29903000000,null,null,null,1016000000,4057000000
AMGN,0000318154,2021,FY,10-K,2022-02-16,2019-12-31,2019-01-01,0000318154-22-000010,null,7842000000,12.96,12.88,9674000000,null,null,5150000000,62948000000,null,12500000000,6266000000,9150000000,618000000,32986000000,null,null,null,1296000000,4525000000
AMGN,0000318154,2021,Q1,10-Q,2021-04-28,2020-03-31,2020-01-01,0000318154-21-000019,6161000000,1825000000,3.09,3.07,2355000000,null,null,1316000000,62948000000,null,9673000000,6266000000,2134000000,142000000,32986000000,null,null,null,195000000,4525000000
AMGN,0000318154,2021,Q2,10-Q,2021-08-04,2020-06-30,2020-01-01,0000318154-21-000034,12367000000,1825000000,6.16,6.12,4678000000,null,null,2611000000,62948000000,null,9673000000,6266000000,4976000000,300000000,32986000000,null,null,null,422000000,4525000000
AMGN,0000318154,2021,Q3,10-Q,2021-11-03,2020-03-31,2020-01-01,0000318154-21-000045,null,1825000000,9.61,9.54,7131000000,null,null,3957000000,62948000000,null,9673000000,6266000000,8344000000,435000000,32986000000,null,null,null,607000000,4525000000
AMGN,0000318154,2022,FY,10-K,2023-02-09,2020-12-31,2020-01-01,0000318154-23-000017,null,7264000000,12.4,12.31,9139000000,null,null,5730000000,61165000000,null,9673000000,7989000000,10497000000,608000000,33309000000,null,null,null,869000000,4895000000
