ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AMZN,0001018724,2016,FY,10-K,2017-02-10,2014-12-31,2014-01-01,0001018724-17-000011,null,-241000000,-0.52,-0.52,178000000,null,null,null,54505000000,null,9746000000,8658000000,6842000000,4893000000,8562000000,null,null,null,167000000,5654000000
AMZN,0001018724,2016,Q1,10-Q,2016-04-29,2015-03-31,2014-04-01,0001018724-16-000227,null,-405000000,-0.12,-0.12,255000000,null,null,null,64747000000,null,13384000000,5074000000,7845000000,4684000000,8562000000,null,null,null,71000000,5654000000
AMZN,0001018724,2016,Q2,10-Q,2016-07-29,2015-06-30,2014-07-01,0001018724-16-000286,null,-188000000,0.07,0.07,719000000,null,null,null,64747000000,null,13384000000,5057000000,8980000000,4607000000,8562000000,null,null,null,337000000,5654000000
AMZN,0001018724,2016,Q3,10-Q,2016-10-28,2015-09-30,2014-10-01,0001018724-16-000324,null,328000000,0.24,0.24,1124000000,null,null,null,64747000000,null,13384000000,5258000000,9823000000,4424000000,8562000000,null,null,null,498000000,5654000000
AMZN,0001018724,2017,FY,10-K,2018-02-02,2015-12-31,2015-01-01,0001018724-18-000005,null,596000000,1.28,1.25,2233000000,null,null,null,64747000000,null,10741000000,14557000000,12039000000,null,8838000000,null,null,null,950000000,8339000000
AMZN,0001018724,2017,Q1,10-Q,2017-04-28,2016-03-31,2015-04-01,0001018724-17-000051,null,1166000000,1.09,1.07,1071000000,null,null,null,83402000000,null,19285000000,10237000000,11563000000,4897000000,8838000000,null,null,null,475000000,8339000000
AMZN,0001018724,2017,Q2,10-Q,2017-07-28,2016-06-30,2015-07-01,0001018724-17-000100,null,1931000000,2.9,2.84,2356000000,null,null,null,83402000000,null,19285000000,10269000000,13049000000,null,8838000000,null,null,null,782000000,8339000000
AMZN,0001018724,2017,Q3,10-Q,2017-10-27,2016-09-30,2015-10-01,0001018724-17-000135,null,2105000000,3.43,3.36,2931000000,null,null,null,83402000000,null,19285000000,10709000000,15004000000,null,8838000000,null,null,null,1012000000,8339000000
AMZN,0001018724,2018,FY,10-K,2019-02-01,2016-12-31,2016-01-01,0001018724-19-000004,null,2371000000,5.01,4.9,4186000000,null,null,null,83402000000,null,13384000000,20522000000,17203000000,null,24942000000,null,null,null,1425000000,13164000000
AMZN,0001018724,2018,Q1,10-Q,2018-04-27,2017-03-31,2016-04-01,0001018724-18-000072,null,2583000000,1.52,1.48,1005000000,null,null,null,131310000000,null,27709000000,20522000000,17547000000,null,24942000000,null,null,null,229000000,13164000000
AMZN,0001018724,2018,Q2,10-Q,2018-07-27,2017-06-30,2016-07-01,0001018724-18-000108,null,1922000000,1.93,1.87,1632000000,null,null,null,131310000000,null,27709000000,20522000000,17802000000,null,24942000000,null,null,null,695000000,13164000000
AMZN,0001018724,2018,Q3,10-Q,2018-10-26,2017-09-30,2016-10-01,0001018724-18-000159,null,1926000000,2.46,2.39,1979000000,null,null,null,131310000000,null,27709000000,20522000000,16996000000,null,24942000000,null,null,null,755000000,13164000000
AMZN,0001018724,2019,FY,10-K,2020-01-31,2017-12-31,2017-01-01,0001018724-20-000004,null,3033000000,6.32,6.15,4106000000,null,null,null,131310000000,null,19285000000,31750000000,18365000000,null,24965000000,null,null,null,769000000,16677000000
AMZN,0001018724,2019,Q1,10-Q,2019-04-26,2018-03-31,2017-04-01,0001018724-19-000043,null,3938000000,3.36,3.27,1927000000,null,null,null,162648000000,null,27709000000,31750000000,18194000000,null,24965000000,null,null,null,287000000,16677000000
AMZN,0001018724,2019,Q2,10-Q,2019-07-26,2018-06-30,2017-07-01,0001018724-19-000071,null,6275000000,8.58,8.34,4911000000,null,null,null,162648000000,null,27709000000,31750000000,21793000000,null,24965000000,null,null,null,361000000,16677000000
