ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
APP,0001751008,2021,FY,10-K,2022-03-11,2019-12-31,2019-01-01,0001751008-22-000005,994104000,119040000,0.36,0.36,194371000,null,44966000,null,2154593000,2312829000,-378355000,317235000,198462000,3358000,3227644000,null,241274000,null,7194000,296964000
APP,0001751008,2021,Q1,10-Q,2021-05-14,2020-03-31,2020-01-01,0001193125-21-161989,260178000,4664000,0.01,0.01,25136000,null,19112000,null,2154593000,2312829000,-256567000,396247000,45687000,200000,null,null,76453000,null,2864000,296964000
APP,0001751008,2021,Q2,10-Q,2021-08-13,2020-03-31,2020-01-01,0001751008-21-000005,null,4664000,-0.08,-0.08,18374000,null,48814000,null,2154593000,2312829000,-256567000,317235000,85258000,1183000,null,null,194504000,null,2161000,296964000
APP,0001751008,2021,Q3,10-Q,2021-11-12,2020-03-31,2020-01-01,0001751008-21-000009,null,4664000,-0.5,-0.5,-57084000,null,99950000,null,2154593000,2312829000,-256567000,317235000,122726000,2842000,null,null,357564000,null,-2324000,296964000
APP,0001751008,2022,FY,10-K,2023-02-28,2020-12-31,2020-01-01,0001751008-23-000006,1451086000,-125187000,-0.58,-0.58,-62042000,null,180652000,null,6163579000,4025288000,-256567000,1520504000,222883000,3241000,3211722000,null,555578000,null,-9772000,514520000
APP,0001751008,2022,Q1,10-Q,2022-05-13,2021-03-31,2021-01-01,0001751008-22-000010,null,-10521000,-0.05,-0.05,11465000,null,60876000,null,6163579000,4025288000,-158545000,1520504000,61819000,121000,null,null,223061000,null,-3180000,514520000
APP,0001751008,2022,Q2,10-Q,2022-08-12,2021-03-31,2021-01-01,0001751008-22-000016,null,-10521000,0.01,0.01,46443000,null,138338000,null,6163579000,4025288000,-158545000,1520504000,152276000,653000,null,null,468914000,null,-3166000,514520000
APP,0001751008,2022,Q3,10-Q,2022-11-10,2021-03-31,2021-01-01,0001751008-22-000020,null,-10521000,0.01,0.01,91491000,null,246861000,null,6163579000,4025288000,-158545000,1520504000,276836000,962000,null,null,722966000,null,13767000,514520000
APP,0001751008,2023,FY,10-K,2024-02-26,2021-12-31,2021-01-01,0001751008-24-000012,2793104000,35446000,0.1,0.09,150016000,null,366402000,null,5847846000,3945169000,-158545000,1080484000,361851000,1390000,3120906000,null,988095000,null,10973000,702814000
APP,0001751008,2023,Q1,10-Q,2023-05-10,2022-03-31,2022-01-01,0001751008-23-000048,null,-115257000,-0.31,-0.31,-127987000,null,126250000,null,5847846000,3945169000,2138090000,1080484000,-31719000,285000,null,null,281780000,null,-42684000,702814000
APP,0001751008,2023,Q2,10-Q,2023-08-09,2022-03-31,2022-01-01,0001751008-23-000062,null,-115257000,-0.37,-0.37,-74632000,null,267358000,null,5847846000,3945169000,2138090000,1080484000,75092000,400000,null,null,585709000,null,-3517000,702814000
APP,0001751008,2023,Q3,10-Q,2023-11-08,2022-03-31,2022-01-01,0001751008-23-000072,null,-115257000,-0.3,-0.3,-25365000,null,389417000,null,5847846000,3945169000,2138090000,1080484000,249574000,621000,null,null,886697000,null,-25570000,702814000
APP,0001751008,2024,FY,10-K,2025-02-27,2022-12-31,2022-01-01,0001751008-25-000018,2817058000,-192746000,-0.52,-0.52,-47791000,null,507607000,null,5359187000,4102858000,2138090000,502152000,412773000,662000,3120906000,null,1256065000,null,-12230000,953810000
APP,0001751008,2024,Q1,10-Q,2024-05-08,2023-03-31,2023-01-01,0001751008-24-000043,null,-4518000,-0.01,-0.01,61047000,null,144851000,null,5359187000,4102858000,1902677000,502152000,288662000,null,null,null,261960000,null,1165000,953810000
APP,0001751008,2024,Q2,10-Q,2024-08-07,2023-03-31,2023-01-01,0001751008-24-000055,null,-4518000,0.21,0.2,192375000,null,282275000,null,5359187000,4102858000,1902677000,502152000,518456000,null,null,null,520535000,null,16610000,953810000
APP,0001751008,2024,Q3,10-Q,2024-11-06,2023-03-31,2023-01-01,0001751008-24-000062,null,-4518000,0.51,0.5,378693000,null,441563000,null,5359187000,4102858000,1902677000,502152000,717522000,null,null,null,785584000,null,17196000,953810000
APP,0001751008,2025,Q1,10-Q,2025-05-07,2024-03-31,2024-01-01,0001751008-25-000053,null,236183000,0.7,0.67,339559000,null,155323000,null,5869259000,4779441000,1256329000,741411000,392779000,null,null,null,294148000,null,31762000,1414246000
APP,0001751008,2025,Q2,10-Q,2025-08-06,2024-03-31,2024-01-01,0001751008-25-000072,null,236183000,1.62,1.56,748323000,null,188071000,null,5869259000,4779441000,1256329000,697030000,847306000,null,null,null,246301000,null,49147000,1283335000
APP,0001751008,2025,Q3,10-Q,2025-11-05,2024-03-31,2024-01-01,0001751008-25-000081,null,236183000,2.91,2.81,1282622000,null,268847000,null,5869259000,4779441000,1256329000,697030000,1398008000,null,null,null,367220000,null,83803000,1283335000
