ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AVGO,0001730168,2018,FY,10-K,2018-12-21,2016-10-30,2015-11-02,0001730168-18-000084,13240000000,-1739000000,-4.75,-4.86,-409000000,5940000000,2674000000,806000000,54418000000,31232000000,20285000000,1822000000,3411000000,723000000,17548000000,null,null,6349000000,642000000,2448000000
AVGO,0001730168,2018,Q2,10-Q,2018-06-14,2017-04-30,2016-10-31,0001730168-18-000019,8329000000,679000000,1.69,1.63,980000000,3977000000,1637000000,405000000,54418000000,31232000000,20285000000,3097000000,2936000000,581000000,17548000000,null,null,2997000000,-93000000,2448000000
AVGO,0001730168,2018,Q3,10-Q,2018-09-13,2017-07-30,2016-10-31,0001730168-18-000039,12792000000,1160000000,2.88,2.77,1628000000,6126000000,2464000000,605000000,54418000000,31232000000,20285000000,3097000000,4592000000,836000000,17548000000,null,null,4498000000,-54000000,2448000000
AVGO,0001730168,2019,FY,10-K,2019-12-20,2017-10-29,2016-10-31,0001730168-19-000144,null,null,4.18,4.02,2371000000,8509000000,3302000000,789000000,50124000000,23467000000,26657000000,3097000000,6551000000,1069000000,17493000000,null,9127000000,6138000000,35000000,3325000000
AVGO,0001730168,2019,Q1,10-Q,2019-03-15,2018-02-04,2017-10-30,0001730168-19-000036,null,6230000000,15.2,14.62,943000000,2628000000,925000000,291000000,50124000000,23467000000,26657000000,11204000000,1685000000,220000000,17493000000,null,2699000000,1685000000,-5786000000,3325000000
AVGO,0001730168,2019,Q2,10-Q,2019-06-14,2018-05-06,2017-10-30,0001730168-19-000101,null,9948000000,23.97,22.99,2144000000,5179000000,1861000000,585000000,50124000000,23467000000,26657000000,11204000000,3998000000,409000000,17493000000,null,5162000000,3035000000,-8423000000,3325000000
AVGO,0001730168,2019,Q3,10-Q,2019-09-13,2018-08-05,2017-10-30,0001730168-19-000118,null,11144000000,26.53,25.74,3483000000,7798000000,2820000000,819000000,50124000000,23467000000,26657000000,11204000000,6245000000,529000000,17493000000,null,7606000000,4315000000,-8391000000,3325000000
AVGO,0001730168,2020,FY,10-K,2020-12-18,2018-11-04,2017-10-30,0001730168-20-000226,null,null,29.33,28.44,5135000000,10733000000,3768000000,1056000000,67493000000,42523000000,null,11204000000,8880000000,635000000,null,null,10115000000,5598000000,-8084000000,3259000000
AVGO,0001730168,2020,Q1,10-Q,2020-03-13,2019-02-03,2018-11-05,0001730168-20-000045,null,null,1.17,1.12,555000000,3208000000,1133000000,471000000,67493000000,42523000000,null,4292000000,2132000000,99000000,32798000000,null,2581000000,2653000000,-203000000,3259000000
AVGO,0001730168,2020,Q2,10-Q,2020-06-12,2019-05-05,2018-11-05,0001730168-20-000109,null,null,2.91,2.77,1525000000,6297000000,2284000000,890000000,67493000000,42523000000,null,4292000000,4799000000,224000000,32798000000,null,5009000000,4772000000,-239000000,3259000000
