ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
AXON,0001069183,2016,FY,10-K,2017-03-06,2014-12-31,2014-01-01,0001069183-17-000042,null,19918000,0.38,0.37,32505000,101548000,14885000,54158000,229881000,72877000,108347000,42271000,35432000,2505000,null,50254000,null,69043000,12393000,null
AXON,0001069183,2016,Q1,10-Q,2016-05-10,2015-03-31,2015-01-01,0001069183-16-000176,null,7205000,0.14,0.13,10745000,29868000,4558000,14565000,229881000,72877000,157004000,48367000,13008000,424000,null,50254000,null,19123000,3475000,null
AXON,0001069183,2016,Q2,10-Q,2016-08-10,2015-06-30,2015-01-01,0001069183-16-000211,null,13308000,0.25,0.24,20119000,60591000,10464000,30008000,229881000,72877000,157004000,48367000,10969000,1770000,null,50254000,null,40472000,6845000,null
AXON,0001069183,2016,Q3,10-Q,2016-11-09,2015-09-30,2015-01-01,0001069183-16-000234,null,14829000,0.28,0.27,26825000,91659000,16992000,47842000,229881000,72877000,157004000,48367000,30314000,3839000,null,50254000,null,64834000,12008000,null
AXON,0001069183,2017,FY,10-K,2018-03-01,2015-12-31,2015-01-01,0001069183-18-000020,null,19933000,0.37,0.36,35335000,128647000,23614000,69698000,278163000,127275000,129106000,48367000,46445000,6003000,null,48415000,null,93312000,15428000,null
AXON,0001069183,2017,Q1,10-Q,2017-05-10,2016-03-31,2016-01-01,0001069183-17-000081,null,3463000,0.06,0.06,5142000,36902000,6927000,24833000,278163000,127275000,150888000,59526000,7093000,1280000,null,48415000,null,31760000,1797000,null
AXON,0001069183,2017,Q2,10-Q,2017-08-09,2016-06-30,2016-01-01,0001069183-17-000117,null,7113000,0.13,0.13,11352000,74201000,13637000,49212000,278163000,127275000,150888000,59526000,10336000,1964000,null,48415000,null,62849000,4234000,null
AXON,0001069183,2017,Q3,10-Q,2017-11-09,2016-09-30,2016-01-01,0001069183-17-000136,null,10956000,0.21,0.2,22438000,120766000,20995000,77333000,278163000,127275000,150888000,59526000,21959000,3335000,null,48415000,null,98328000,11022000,null
AXON,0001069183,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0001069183-19-000023,null,17297000,0.33,0.32,31851000,170536000,30609000,108076000,338112000,170668000,157004000,40651000,21135000,4957000,null,6862000,null,138685000,14200000,null
AXON,0001069183,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001069183-18-000041,null,4580000,0.09,0.09,5350000,48670000,12463000,30857000,338112000,170668000,167444000,41974000,-6609000,2343000,null,6862000,null,43320000,976000,null
