ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
BKNG,0001075531,2016,FY,10-K,2017-02-27,2014-12-31,2014-01-01,0001075531-17-000009,null,null,46.3,45.67,3073312000,7584130000,null,null,17420575000,8625106000,6909729000,1477265000,null,131504000,6158443000,null,null,4510818000,567695000,645169000
BKNG,0001075531,2016,Q1,10-Q,2016-05-04,2015-03-31,2015-01-01,0001075531-16-000099,null,null,6.42,6.36,433969000,1672236000,null,null,17420575000,8625106000,8795469000,3148651000,null,31263000,6158443000,null,null,1238267000,73916000,645169000
BKNG,0001075531,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0001075531-16-000109,null,null,16.43,16.27,1112300000,3765142000,null,null,17420575000,8625106000,8795469000,3148651000,null,84351000,6158443000,null,null,2652842000,205261000,645169000
BKNG,0001075531,2016,Q3,10-Q,2016-11-07,2015-09-30,2015-01-01,0001075531-16-000118,null,null,39.87,39.4,2601007000,6712424000,null,null,17420575000,8625106000,8795469000,3148651000,null,126637000,6158443000,null,null,4111417000,464699000,645169000
BKNG,0001075531,2017,FY,10-K,2018-02-27,2015-12-31,2015-01-01,0001075531-18-000015,null,null,50.09,49.45,3258907000,8591807000,null,null,19838973000,9990293000,8566694000,1477265000,null,173915000,6170522000,null,null,5332900000,576960000,860115000
BKNG,0001075531,2017,Q1,10-Q,2017-05-09,2016-03-31,2016-01-01,0001075531-17-000017,null,null,7.54,7.47,550318000,2019450000,null,null,19838973000,9990293000,9820142000,2081075000,null,53256000,6170522000,null,null,1469132000,86069000,860115000
BKNG,0001075531,2017,Q2,10-Q,2017-08-08,2016-06-30,2016-01-01,0001075531-17-000029,null,null,19.25,19.06,1282725000,4449268000,null,null,19838973000,9990293000,9820142000,2081075000,null,113699000,6170522000,null,null,3166543000,197979000,860115000
BKNG,0001075531,2017,Q3,10-Q,2017-11-07,2016-09-30,2016-01-01,0001075531-17-000036,null,null,29.49,29.19,2115952000,8038331000,null,null,19838973000,9990293000,9820142000,2081075000,null,168076000,6170522000,null,null,5922379000,489496000,860115000
BKNG,0001075531,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0001075531-19-000009,10743000000,null,43.14,42.65,2906000000,10328000000,null,null,25451000000,14187000000,8795000000,2542000000,3984000000,220000000,8810000000,null,null,7422000000,578000000,1218000000
BKNG,0001075531,2018,Q1,10-Q,2018-05-09,2017-03-31,2017-01-01,0001075531-18-000029,null,null,9.26,9.11,556462000,2339003000,null,null,25451263000,14187702000,11260598000,2541604000,null,70559000,8809788000,null,null,1782541000,71987000,1217801000
BKNG,0001075531,2018,Q2,10-Q,2018-08-09,2017-06-30,2017-01-01,0001075531-18-000044,5443960000,null,23.92,23.49,1449721000,5296134000,null,null,25451263000,14187702000,11260598000,2541604000,1601834000,147269000,8809788000,null,null,3846413000,214895000,1217801000
BKNG,0001075531,2018,Q3,10-Q,2018-11-05,2017-09-30,2017-01-01,0001075531-18-000050,9877989000,null,58.99,57.85,3551522000,9675982000,null,null,25451263000,14187702000,9820142000,2541604000,3488425000,223692000,8809788000,null,null,6124460000,561349000,1217801000
BKNG,0001075531,2019,FY,10-K,2020-02-26,2017-12-31,2017-01-01,0001075531-20-000011,12681000000,null,47.78,46.86,4538000000,12439000000,null,null,22687000000,13902000000,9820000000,2542000000,4662000000,288000000,8649000000,null,null,7901000000,2058000000,null
BKNG,0001075531,2019,Q1,10-Q,2019-05-09,2018-03-31,2018-01-01,0001075531-19-000021,2928000000,null,12.56,12.34,730000000,null,null,null,22687000000,13902000000,11261000000,2624000000,640000000,131000000,8649000000,null,null,2198000000,146000000,1523000000
BKNG,0001075531,2019,Q2,10-Q,2019-08-07,2018-06-30,2018-01-01,0001075531-19-000043,6465000000,null,32.87,32.42,1951000000,null,null,null,22687000000,13902000000,11261000000,2624000000,2290000000,235000000,8649000000,null,null,4514000000,378000000,1523000000
