ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
BKR,0001701605,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0001701605-18-000029,null,0,-0.24,-0.24,-138000000,798000000,408000000,2115000000,21721000000,null,14688000000,1390000000,1277000000,null,null,null,null,null,473000000,null
BKR,0001701605,2017,Q2,10-Q,2017-07-28,2017-06-30,2017-01-01,0001701605-17-000066,null,null,null,null,0,null,0,0,0,0,0,0,0,null,null,null,null,null,0,null
BKR,0001701605,2017,Q3,10-Q,2017-10-31,2016-09-30,2016-01-01,0001701605-17-000100,null,0,null,null,375000000,null,253000000,1476000000,21721000000,null,14688000000,1432000000,-195000000,null,37000000,null,null,null,132000000,null
BKR,0001701605,2018,FY,10-K,2019-02-19,2016-12-31,2016-01-01,0001701605-19-000021,null,0,0,0,457000000,687000000,352000000,1926000000,56500000000,null,14277000000,null,262000000,null,null,null,null,null,173000000,null
BKR,0001701605,2018,Q1,10-Q,2018-04-27,2017-03-31,2017-01-01,0001701605-18-000052,null,0,0.17,0.17,86000000,null,null,492000000,56500000000,null,14277000000,981000000,-346000000,null,null,null,null,null,8000000,null
BKR,0001701605,2018,Q2,10-Q,2018-07-30,2017-06-30,2017-01-01,0001701605-18-000082,null,0,0.12,0.12,20000000,null,null,953000000,56500000000,null,14277000000,null,-389000000,null,null,null,null,null,-2000000,null
BKR,0001701605,2018,Q3,10-Q,2018-10-30,2017-09-30,2017-01-01,0001701605-18-000103,null,-134000000,-0.31,-0.31,-173000000,null,null,1748000000,56500000000,null,14277000000,null,-585000000,null,null,null,null,null,112000000,null
BKR,0001701605,2019,FY,10-K,2020-02-13,2017-12-31,2017-01-01,0001701605-20-000019,null,-103000000,-0.24,-0.24,-284000000,841000000,501000000,2535000000,52439000000,null,17465000000,null,-799000000,null,null,null,null,null,45000000,null
BKR,0001701605,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001701605-19-000038,null,70000000,null,null,-41000000,null,null,674000000,52439000000,null,17465000000,null,294000000,null,null,null,null,null,-86000000,null
BKR,0001701605,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0001701605-19-000058,null,51000000,null,null,37000000,null,null,1336000000,52439000000,null,17465000000,null,433000000,null,null,null,null,null,-24000000,null
