ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CDNS,0000813672,2016,FY,10-K,2017-02-10,2015-01-03,2013-12-29,0000813672-17-000006,null,158898000,0.56,0.52,206644000,null,null,null,2345515000,null,1156105000,536260000,316722000,39810000,null,94498000,null,null,22104000,null
CDNS,0000813672,2016,Q1,10-Q,2016-04-25,2015-04-04,2015-01-04,0000813672-16-000045,null,36259000,0.13,0.12,49285000,null,null,null,2345515000,null,1376115000,932161000,46688000,7520000,null,94498000,null,null,6053000,null
CDNS,0000813672,2016,Q2,10-Q,2016-07-25,2015-07-04,2015-01-04,0000813672-16-000050,null,94419000,0.33,0.3,125689000,null,null,null,2345515000,null,1376115000,932161000,168442000,24067000,null,94498000,null,null,17464000,null
CDNS,0000813672,2016,Q3,10-Q,2016-10-24,2015-10-03,2015-01-04,0000813672-16-000056,null,172043000,0.6,0.55,203590000,null,null,null,2345515000,null,1376115000,932161000,255349000,34093000,null,94498000,null,null,15403000,null
CDNS,0000813672,2017,FY,10-K,2018-02-20,2016-01-02,2015-01-04,0000813672-18-000008,null,252417000,0.88,0.81,285430000,null,null,null,2096908000,null,1333574000,932161000,378200000,44808000,null,3057000,null,null,15179000,null
CDNS,0000813672,2017,Q1,10-Q,2017-04-25,2016-04-02,2016-01-03,0000813672-17-000011,null,50562000,0.17,0.17,58036000,null,null,null,2096908000,null,741770000,616686000,83191000,12116000,null,3057000,null,null,6880000,null
CDNS,0000813672,2017,Q2,10-Q,2017-07-24,2016-07-02,2016-01-03,0000813672-17-000017,null,99897000,0.34,0.33,124942000,null,null,null,2096908000,null,741770000,616686000,163557000,28287000,null,3057000,null,null,21397000,null
CDNS,0000813672,2017,Q3,10-Q,2017-10-26,2016-10-01,2016-01-03,0000813672-17-000023,null,164609000,0.57,0.56,191784000,null,null,null,2096908000,null,741770000,616686000,248017000,42452000,null,3057000,null,null,20310000,null
CDNS,0000813672,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-03,0000813672-19-000008,null,203086000,0.71,0.7,244901000,null,null,null,2418714000,null,1376115000,616686000,444879000,53712000,null,null,null,null,34067000,null
CDNS,0000813672,2018,Q1,10-Q,2018-04-25,2017-04-01,2017-01-01,0000813672-18-000014,null,68259000,0.25,0.25,79602000,null,null,null,2418714000,null,989202000,465232000,92430000,14843000,null,4455000,null,null,5923000,null
CDNS,0000813672,2018,Q2,10-Q,2018-07-23,2017-07-01,2017-01-01,0000813672-18-000020,null,137386000,0.51,0.49,162292000,null,null,null,2418714000,null,989202000,465232000,254570000,27488000,null,4455000,null,null,14162000,null
CDNS,0000813672,2018,Q3,10-Q,2018-10-22,2017-09-30,2017-01-01,0000813672-18-000025,null,218543000,0.8,0.78,242677000,null,null,null,2418714000,null,989202000,465232000,343884000,39676000,null,4455000,null,null,19552000,null
CDNS,0000813672,2019,FY,10-K,2020-02-24,2017-12-30,2017-01-01,0000813672-20-000007,null,204101000,0.75,0.73,323955000,null,null,null,2468654000,null,741770000,465232000,470740000,57901000,null,null,null,null,110945000,null
CDNS,0000813672,2019,Q1,10-Q,2019-04-22,2018-03-31,2017-12-31,0000813672-19-000014,null,72885000,0.27,0.26,85833000,null,null,null,2468654000,null,989202000,688087000,157647000,13128000,null,null,null,null,5284000,null
CDNS,0000813672,2019,Q2,10-Q,2019-07-22,2018-03-31,2017-12-31,0000813672-19-000022,null,72885000,0.54,0.53,178889000,null,null,null,2468654000,null,989202000,688087000,362913000,31105000,null,null,null,null,20160000,null
CDNS,0000813672,2019,Q3,10-Q,2019-10-21,2018-09-29,2017-12-31,0000813672-19-000027,null,247352000,0.9,0.88,282519000,null,null,null,2468654000,null,989202000,688087000,472867000,41761000,null,null,null,null,20401000,null
CDNS,0000813672,2020,FY,10-K,2021-02-22,2018-12-29,2017-12-31,0000813672-21-000009,null,345777000,1.26,1.23,396209000,null,null,null,3357225000,null,989202000,688087000,604751000,61503000,null,null,null,null,30613000,null
CDNS,0000813672,2020,Q1,10-Q,2020-04-20,2019-03-30,2018-12-30,0000813672-20-000013,null,120555000,0.44,0.43,128396000,null,null,null,3357225000,null,1288401000,533298000,185414000,15275000,null,null,null,null,7691000,null
CDNS,0000813672,2020,Q2,10-Q,2020-07-20,2019-06-29,2018-12-30,0000813672-20-000020,null,227790000,0.83,0.81,262071000,null,null,null,3357225000,null,1288401000,705210000,431774000,30562000,null,null,null,null,29045000,null
CDNS,0000813672,2020,Q3,10-Q,2020-10-19,2019-09-28,2018-12-30,0000813672-20-000027,null,329304000,1.21,1.17,382897000,null,null,null,3357225000,null,1288401000,705210000,570304000,47527000,null,null,null,null,44239000,null
CDNS,0000813672,2021,FY,10-K,2022-02-22,2019-12-28,2018-12-30,0000813672-22-000012,null,988979000,3.62,3.53,491796000,null,null,null,3950785000,null,1288401000,533298000,729600000,74605000,null,null,null,null,-510011000,null
CDNS,0000813672,2021,Q1,10-Q,2021-04-26,2020-03-28,2019-12-29,0000813672-21-000016,null,123988000,0.45,0.44,139351000,null,241668000,null,3950785000,null,2102894000,705210000,217719000,22179000,null,null,null,null,6192000,null
CDNS,0000813672,2021,Q2,10-Q,2021-07-26,2020-06-27,2019-12-29,0000813672-21-000028,null,255276000,0.93,0.91,291301000,null,492489000,null,3950785000,null,2102894000,705210000,562843000,43535000,null,null,null,null,25570000,null
CDNS,0000813672,2021,Q3,10-Q,2021-10-25,2020-09-26,2019-12-29,0000813672-21-000037,null,416906000,1.52,1.49,460573000,null,743423000,null,3950785000,null,2102894000,705210000,769400000,63745000,null,null,null,null,29653000,null
CDNS,0000813672,2022,FY,10-K,2023-02-13,2021-01-02,2019-12-29,0000813672-23-000011,null,590644000,2.16,2.11,645552000,null,null,null,4386299000,null,2102894000,1088940000,904922000,94813000,null,null,null,null,42104000,null
CDNS,0000813672,2022,Q1,10-Q,2022-04-25,2021-04-03,2021-01-03,0000813672-22-000022,null,187169000,0.68,0.67,203937000,null,270992000,null,4386299000,null,2493018000,928432000,208442000,16968000,null,null,null,null,15252000,null
CDNS,0000813672,2022,Q2,10-Q,2022-07-25,2021-07-03,2021-01-03,0000813672-22-000037,null,343069000,1.25,1.23,389375000,null,556219000,null,4386299000,null,2493018000,1088940000,588818000,31139000,null,null,null,null,42617000,null
CDNS,0000813672,2022,Q3,10-Q,2022-10-24,2021-10-02,2021-01-03,0000813672-22-000054,null,519376000,1.9,1.86,583409000,null,845324000,null,4386299000,null,2493018000,1088940000,885101000,49977000,null,null,null,null,55005000,null
CDNS,0000813672,2023,FY,10-K,2024-02-14,2022-01-01,2021-01-03,0000813672-24-000034,null,695955000,2.54,2.5,779089000,null,null,null,5137071000,null,2493018000,882325000,1100958000,65298000,null,4490000,null,null,72480000,null
CDNS,0000813672,2023,Q1,10-Q,2023-04-24,2022-04-02,2022-01-02,0000813672-23-000025,null,235335000,0.86,0.85,318929000,null,290895000,null,5137071000,null,2740675000,882325000,336608000,18130000,null,null,null,null,74586000,null
CDNS,0000813672,2023,Q2,10-Q,2023-07-24,2022-07-02,2022-01-02,0000813672-23-000041,null,422255000,1.55,1.53,601817000,null,577492000,null,5137071000,null,2740675000,882325000,661149000,42202000,null,null,null,null,160311000,null
CDNS,0000813672,2023,Q3,10-Q,2023-10-23,2022-10-01,2022-01-02,0000813672-23-000068,null,608560000,2.24,2.21,862569000,null,901121000,null,5137071000,null,2740675000,882325000,978259000,86295000,null,null,null,null,226278000,null
CDNS,0000813672,2024,FY,10-K,2025-02-21,2022-12-31,2022-01-02,0000813672-25-000024,null,848952000,3.13,3.09,1073686000,null,null,null,5669491000,null,2740675000,1008152000,1241894000,123215000,null,130359000,null,null,196411000,null
CDNS,0000813672,2024,Q1,10-Q,2024-04-24,2023-03-31,2023-01-01,0000813672-24-000092,null,241804000,0.9,0.89,322463000,null,350295000,null,5669491000,null,2745113000,1008152000,267401000,26719000,null,null,null,null,79683000,null
CDNS,0000813672,2024,Q2,10-Q,2024-07-24,2023-06-30,2023-01-01,0000813672-24-000155,null,462924000,1.72,1.7,621791000,null,704711000,null,5669491000,null,2745113000,1008152000,681171000,46655000,null,null,null,null,156987000,null
CDNS,0000813672,2024,Q3,10-Q,2024-10-30,2023-09-30,2023-01-01,0000813672-24-000192,null,717245000,2.66,2.63,914697000,null,1074353000,null,5669491000,null,2745113000,1008152000,1077085000,68634000,null,null,null,null,202619000,null
CDNS,0000813672,2025,Q1,10-Q,2025-04-30,2024-03-31,2024-01-01,0000813672-25-000051,null,247643000,0.92,0.91,249956000,null,378958000,null,8974482000,null,3404271000,2644030000,253232000,49601000,null,null,null,null,62400000,null
CDNS,0000813672,2025,Q2,10-Q,2025-07-30,2024-06-30,2024-01-01,0000813672-25-000113,null,477163000,1.77,1.74,543832000,null,749698000,null,8974482000,null,3404271000,2644030000,409197000,78800000,null,null,null,null,148590000,null
CDNS,0000813672,2025,Q3,10-Q,2025-10-29,2024-09-30,2024-01-01,0000813672-25-000148,null,715274000,2.64,2.61,893888000,null,1157067000,null,8974482000,null,3404271000,2644030000,819192000,105340000,null,null,null,null,243893000,null
