ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CDW,0001402057,2016,FY,10-K,2017-03-01,2014-12-31,2014-01-01,0001402057-17-000007,null,244900000,1.44,1.42,673000000,1921300000,null,1110300000,6755300000,null,711700000,188100000,435000000,55000000,null,null,null,null,142800000,2017400000
CDW,0001402057,2016,Q1,10-Q,2016-05-05,2015-03-31,2015-01-01,0001402057-16-000107,null,54700000,0.32,0.32,151600000,456500000,null,275500000,6755300000,null,1095900000,344500000,177800000,10000000,null,null,null,null,32300000,2017400000
CDW,0001402057,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0001402057-16-000113,null,162900000,0.95,0.94,357500000,991000000,null,566100000,6755300000,null,1095900000,344500000,99100000,22900000,null,null,null,null,96200000,2017400000
CDW,0001402057,2016,Q3,10-Q,2016-11-03,2015-09-30,2015-01-01,0001402057-16-000116,null,313800000,1.84,1.82,562100000,1558200000,null,887500000,6755300000,null,1095900000,344500000,294900000,43900000,null,null,null,null,191500000,2017400000
CDW,0001402057,2017,FY,10-K,2018-03-01,2015-12-31,2015-01-01,0001402057-18-000038,null,403100000,2.37,2.35,742000000,2115800000,null,1226000000,6948400000,5902900000,936500000,344500000,277500000,90100000,null,null,null,null,243900000,2168600000
CDW,0001402057,2017,Q1,10-Q,2017-05-04,2016-03-31,2016-01-01,0001402057-17-000056,null,77800000,0.47,0.46,161000000,524500000,null,329300000,6948400000,null,1045500000,37600000,427800000,11000000,null,null,null,null,46100000,2168600000
CDW,0001402057,2017,Q2,10-Q,2017-08-04,2016-06-30,2016-01-01,0001402057-17-000106,null,195300000,1.18,1.16,384500000,1135000000,null,674000000,6948400000,null,1045500000,37600000,313100000,25700000,null,null,null,null,116100000,2168600000
CDW,0001402057,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001402057-17-000166,null,321200000,1.95,1.93,622000000,1749300000,null,1009000000,6948400000,null,1045500000,37600000,499300000,41400000,null,null,null,null,188400000,2168600000
CDW,0001402057,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0001402057-19-000046,null,425100000,2.6,2.56,820000000,2328300000,null,1345400000,6958400000,5910500000,1097800000,37600000,604000000,63500000,null,null,null,null,248100000,2168900000
CDW,0001402057,2018,Q1,10-Q,2018-05-03,2017-03-31,2017-01-01,0001402057-18-000121,null,58200000,0.36,0.36,170700000,553500000,null,347400000,6966700000,5981100000,982900000,263700000,369900000,19600000,null,null,null,null,16300000,2329300000
CDW,0001402057,2018,Q2,10-Q,2018-08-03,2017-06-30,2017-01-01,0001402057-18-000177,null,199000000,1.26,1.24,401500000,1194300000,null,710900000,6966700000,5981100000,982900000,263700000,376200000,36800000,null,null,null,null,70800000,2329300000
CDW,0001402057,2018,Q3,10-Q,2018-10-31,2017-09-30,2017-01-01,0001402057-18-000230,null,328300000,2.1,2.06,645600000,1836500000,null,1062800000,6966700000,5981100000,982900000,263700000,439100000,58600000,null,null,null,null,148400000,2329300000
CDW,0001402057,2019,FY,10-K,2020-02-28,2017-12-31,2017-01-01,0001402057-20-000042,null,523100000,3.37,3.31,866500000,2450200000,null,1410000000,7167700000,null,1047900000,205800000,777700000,81100000,null,null,null,null,137600000,2671200000
CDW,0001402057,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0001402057-19-000137,null,127000000,0.83,0.82,204100000,603900000,null,362700000,7167700000,null,985600000,144200000,222200000,15900000,null,null,null,null,38700000,2671200000
CDW,0001402057,2019,Q2,10-Q,2019-07-31,2018-06-30,2018-01-01,0001402057-19-000174,null,300000000,1.98,1.94,469600000,1299500000,null,744100000,7167700000,null,985600000,205800000,332300000,33600000,null,null,null,null,95500000,2671200000
CDW,0001402057,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0001402057-19-000219,null,483700000,3.19,3.14,744400000,2013100000,null,1134800000,7167700000,null,985600000,205800000,602300000,53400000,null,null,null,null,150200000,2671200000
CDW,0001402057,2020,FY,10-K,2021-02-26,2018-12-31,2018-01-01,0001402057-21-000022,null,643000000,4.26,4.19,987300000,2706900000,null,1719600000,7999400000,null,985600000,154000000,905900000,86100000,null,null,null,null,197500000,3002200000
CDW,0001402057,2020,Q1,10-Q,2020-05-06,2019-03-31,2019-01-01,0001402057-20-000092,null,152900000,1.04,1.02,228900000,672100000,null,443200000,7999400000,null,975200000,205800000,252400000,19400000,null,null,null,null,38700000,3002200000
CDW,0001402057,2020,Q2,10-Q,2020-08-05,2019-06-30,2019-01-01,0001402057-20-000124,null,349500000,2.39,2.35,529200000,1445900000,null,916700000,7999400000,null,975200000,154000000,414500000,43900000,null,null,null,null,103300000,3002200000
CDW,0001402057,2020,Q3,10-Q,2020-11-02,2019-09-30,2019-01-01,0001402057-20-000157,null,551200000,3.78,3.72,849800000,2262400000,null,1412600000,7999400000,null,975200000,154000000,682300000,75000000,null,null,null,null,162500000,3002200000
CDW,0001402057,2021,FY,10-K,2022-02-28,2019-12-31,2019-01-01,0001402057-22-000020,null,736800000,5.08,4.99,1133600000,3039900000,null,1906300000,9344700000,null,975200000,1410200000,1027200000,236300000,null,null,null,null,212900000,3212600000
CDW,0001402057,2021,Q1,10-Q,2021-05-05,2020-03-31,2020-01-01,0001402057-21-000073,null,167900000,1.18,1.16,245800000,756500000,null,510700000,9344700000,null,960300000,1410200000,223000000,25400000,null,null,null,null,43900000,3212600000
CDW,0001402057,2021,Q2,10-Q,2021-08-04,2020-06-30,2020-01-01,0001402057-21-000109,null,357000000,2.5,2.47,529200000,1503700000,null,974500000,9344700000,null,960300000,1410200000,515800000,100000000,null,null,null,null,100200000,3212600000
CDW,0001402057,2021,Q3,10-Q,2021-11-03,2020-09-30,2020-01-01,0001402057-21-000153,null,550200000,3.86,3.8,847000000,2329200000,null,1482200000,9344700000,null,960300000,1410200000,738400000,133600000,null,null,null,null,157100000,3212600000
CDW,0001402057,2022,FY,10-K,2023-02-24,2020-12-31,2020-01-01,0001402057-23-000052,null,788500000,5.53,5.45,1179200000,3210100000,null,2030900000,13199400000,null,960300000,258100000,1314300000,158000000,null,null,null,null,213800000,4499400000
CDW,0001402057,2022,Q1,10-Q,2022-05-04,2021-03-31,2021-01-01,0001402057-22-000084,null,232600000,1.65,1.63,323400000,795200000,null,471800000,13199400000,null,1297100000,258100000,344600000,20700000,null,null,null,null,56300000,4499400000
