ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CEG,0001868275,2022,FY,10-K,2023-02-16,2020-12-31,2020-01-01,0001868275-23-000014,17603000000,589000000,0,0,256000000,null,null,null,48086000000,36472000000,11219000000,303000000,584000000,1747000000,4650000000,null,null,null,67000000,1669000000
CEG,0001868275,2022,Q1,10-Q,2022-05-12,2021-03-31,2021-01-01,0001868275-22-000044,5559000000,-793000000,0,0,-1042000000,null,null,null,48086000000,36472000000,11219000000,226000000,-1612000000,382000000,null,null,null,null,-179000000,1669000000
CEG,0001868275,2022,Q2,10-Q,2022-08-04,2021-06-30,2021-01-01,0001868275-22-000067,9712000000,-854000000,0,0,-1350000000,null,null,null,48086000000,36472000000,11219000000,226000000,-357000000,719000000,null,null,null,null,-70000000,1669000000
CEG,0001868275,2022,Q3,10-Q,2022-11-08,2021-09-30,2021-01-01,0001868275-22-000094,14117000000,-247000000,0,0,-344000000,null,null,null,48086000000,36472000000,11219000000,226000000,974000000,1086000000,null,null,null,null,108000000,1669000000
CEG,0001868275,2023,FY,10-K,2024-02-27,2021-12-31,2021-01-01,0001868275-24-000014,19649000000,-205000000,0,0,-346000000,null,null,null,46909000000,35537000000,11018000000,504000000,-1338000000,1329000000,7677000000,null,null,null,225000000,2585000000
CEG,0001868275,2023,Q1,10-Q,2023-05-04,2022-03-31,2022-01-01,0001868275-23-000032,5591000000,106000000,0.32,0.32,435000000,null,null,null,46909000000,35537000000,11018000000,504000000,1351000000,410000000,null,null,null,null,-53000000,2585000000
CEG,0001868275,2023,Q2,10-Q,2023-08-03,2022-06-30,2022-01-01,0001868275-23-000064,11056000000,-5000000,-0.02,-0.02,708000000,null,null,null,46909000000,35537000000,11018000000,504000000,1263000000,800000000,null,null,null,null,-381000000,2585000000
CEG,0001868275,2023,Q3,10-Q,2023-11-06,2022-09-30,2022-01-01,0001868275-23-000080,17107000000,-194000000,-0.59,-0.59,667000000,null,null,null,46909000000,35537000000,11018000000,1192000000,69000000,1090000000,null,null,null,null,-504000000,2585000000
CEG,0001868275,2024,FY,10-K,2025-02-18,2022-12-31,2022-01-01,0001868275-25-000023,24440000000,-160000000,-0.49,-0.49,495000000,null,null,null,50758000000,39472000000,10925000000,422000000,-2353000000,1689000000,8474000000,null,null,null,-388000000,1934000000
CEG,0001868275,2024,Q1,10-Q,2024-05-09,2023-03-31,2023-01-01,0001868275-24-000026,7565000000,96000000,0.29,0.29,31000000,null,null,null,50758000000,39472000000,10925000000,237000000,-934000000,660000000,null,null,null,null,131000000,1934000000
CEG,0001868275,2024,Q2,10-Q,2024-08-06,2023-06-30,2023-01-01,0001868275-24-000054,13011000000,929000000,2.85,2.84,700000000,null,null,null,50758000000,39472000000,10925000000,269000000,-1126000000,1336000000,null,null,null,null,472000000,1934000000
CEG,0001868275,2024,Q3,10-Q,2024-11-04,2023-09-30,2023-01-01,0001868275-24-000069,19122000000,1660000000,5.12,5.11,1677000000,null,null,null,50758000000,39472000000,10925000000,1889000000,-2119000000,1735000000,null,null,null,null,677000000,1934000000
CEG,0001868275,2025,Q1,10-Q,2025-05-06,2024-03-31,2024-01-01,0001868275-25-000044,6161000000,883000000,2.79,2.78,813000000,null,null,null,52926000000,39387000000,13166000000,562000000,-723000000,738000000,null,null,null,null,165000000,3116000000
CEG,0001868275,2025,Q2,10-Q,2025-08-07,2024-06-30,2024-01-01,0001868275-25-000073,11637000000,1697000000,5.37,5.35,1913000000,null,null,null,52926000000,39387000000,13166000000,311000000,-1336000000,1284000000,null,null,null,null,318000000,3116000000
CEG,0001868275,2025,Q3,10-Q,2025-11-07,2024-09-30,2024-01-01,0001868275-25-000092,18186000000,2897000000,9.2,9.17,3380000000,null,null,null,52926000000,39387000000,13166000000,1793000000,-1448000000,1836000000,null,null,null,null,768000000,3116000000
