ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CHTR,0001091667,2016,FY,10-K,2017-02-16,2014-12-31,2014-01-01,0001091667-17-000030,9108000000,-183000000,-1.88,-1.88,971000000,null,null,null,39316000000,null,-46000000,21000000,2359000000,2221000000,35723000000,null,null,5973000000,236000000,279000000
CHTR,0001091667,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001091667-16-000470,2362000000,-81000000,null,null,249000000,null,null,null,39316000000,null,null,3000000,528000000,351000000,35723000000,null,null,1581000000,35000000,279000000
CHTR,0001091667,2016,Q2,10-Q,2016-08-09,2015-06-30,2015-01-01,0001091667-16-000549,4792000000,-203000000,-2.01,-2.01,518000000,null,null,null,39316000000,null,-46000000,3000000,1059000000,783000000,35723000000,null,null,3182000000,70000000,279000000
CHTR,0001091667,2016,Q3,10-Q,2016-11-03,2015-09-30,2015-01-01,0001091667-16-000576,7242000000,-149000000,-1.48,-1.48,791000000,null,null,null,39316000000,null,-46000000,3000000,1748000000,1292000000,35723000000,null,null,4802000000,-72000000,279000000
CHTR,0001091667,2017,Q1,10-Q,2017-05-02,2016-03-31,2016-01-01,0001091667-17-000072,2530000000,-188000000,-1.86,-1.86,302000000,null,null,null,149067000000,null,40139000000,5000000,424000000,429000000,61747000000,null,null,1671000000,28000000,1432000000
CHTR,0001091667,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001091667-17-000095,8691000000,2879000000,20.21,19,472000000,null,null,null,149067000000,null,40139000000,5000000,2014000000,1689000000,61747000000,null,null,5675000000,-3151000000,1432000000
CHTR,0001091667,2017,Q3,10-Q,2017-10-26,2016-09-30,2016-01-01,0001091667-17-000105,18728000000,3068000000,16.52,15.23,1383000000,null,null,null,149067000000,null,40139000000,5000000,4815000000,3437000000,61747000000,null,null,12157000000,-3135000000,1432000000
CHTR,0001091667,2017,Q4,10-K,2018-02-02,2015-12-31,2015-01-01,0001091667-18-000025,9754000000,-271000000,-2.68,-2.68,1114000000,null,null,null,149067000000,null,40139000000,3000000,2359000000,1840000000,61747000000,null,null,6426000000,-60000000,1432000000
CHTR,0001091667,2018,Q1,10-Q,2018-04-27,2017-03-31,2017-01-01,0001091667-18-000063,10164000000,155000000,0.58,0.57,941000000,null,null,null,146623000000,null,39084000000,1535000000,2843000000,1555000000,70231000000,null,null,6579000000,25000000,1635000000
CHTR,0001091667,2018,Q2,10-Q,2018-07-31,2017-06-30,2017-01-01,0001091667-18-000090,20521000000,294000000,1.11,1.09,1993000000,null,null,null,146623000000,null,39084000000,1535000000,5788000000,3703000000,70231000000,null,null,13154000000,73000000,1635000000
CHTR,0001091667,2018,Q3,10-Q,2018-10-26,2017-09-30,2017-01-01,0001091667-18-000103,30979000000,342000000,1.31,1.29,2902000000,null,null,null,146623000000,null,39084000000,621000000,8696000000,6096000000,70231000000,null,null,19857000000,99000000,1635000000
CHTR,0001091667,2018,Q4,10-K,2019-01-31,2016-12-31,2016-01-01,0001091667-19-000029,29003000000,3522000000,17.05,15.94,2456000000,null,null,null,146623000000,null,39084000000,621000000,8041000000,5325000000,70231000000,null,null,18655000000,-2925000000,1635000000
CHTR,0001091667,2019,FY,10-K,2020-01-31,2017-12-31,2017-01-01,0001091667-20-000024,41581000000,9895000000,38.55,34.09,4106000000,null,null,null,146130000000,null,36285000000,551000000,11954000000,8681000000,72827000000,null,null,26541000000,-9087000000,1733000000
CHTR,0001091667,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001091667-19-000085,10657000000,168000000,0.71,0.7,1042000000,null,null,null,146130000000,null,36285000000,551000000,2699000000,2183000000,72827000000,null,null,6836000000,28000000,1733000000
CHTR,0001091667,2019,Q2,10-Q,2019-07-26,2018-06-30,2018-01-01,0001091667-19-000097,21511000000,441000000,1.87,1.84,2402000000,null,null,null,146130000000,null,36285000000,551000000,5795000000,4574000000,72827000000,null,null,13709000000,69000000,1733000000
CHTR,0001091667,2019,Q3,10-Q,2019-10-25,2018-09-30,2018-01-01,0001091667-19-000113,32403000000,934000000,3.99,3.93,3782000000,null,null,null,146130000000,null,36285000000,551000000,8599000000,6692000000,72827000000,null,null,20721000000,178000000,1733000000
CHTR,0001091667,2020,FY,10-K,2021-01-29,2018-12-31,2018-01-01,0001091667-21-000022,43634000000,1230000000,5.29,5.22,5221000000,null,null,null,148188000000,null,31445000000,3483000000,11767000000,9125000000,79078000000,null,null,27860000000,180000000,2227000000
CHTR,0001091667,2020,Q1,10-Q,2020-05-01,2019-03-31,2019-01-01,0001091667-20-000105,11206000000,253000000,1.13,1.11,1425000000,null,null,null,148188000000,null,31445000000,3483000000,2686000000,1665000000,79078000000,null,null,7236000000,119000000,2227000000
CHTR,0001091667,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0001091667-20-000158,22553000000,567000000,2.54,2.5,2966000000,null,null,null,148188000000,null,31445000000,3483000000,5447000000,3262000000,79078000000,null,null,14480000000,203000000,2227000000
CHTR,0001091667,2020,Q3,10-Q,2020-10-30,2019-09-30,2019-01-01,0001091667-20-000195,34003000000,954000000,4.3,4.23,4552000000,null,null,null,148188000000,null,31445000000,3483000000,8390000000,4913000000,79078000000,null,null,21915000000,329000000,2227000000
CHTR,0001091667,2021,FY,10-K,2022-01-28,2019-12-31,2019-01-01,0001091667-22-000024,45764000000,1668000000,7.6,7.45,6511000000,null,null,null,144206000000,null,23805000000,1001000000,11748000000,7195000000,82752000000,null,null,29224000000,439000000,2539000000
CHTR,0001091667,2021,Q1,10-Q,2021-04-30,2020-03-31,2020-01-01,0001091667-21-000084,11738000000,396000000,1.91,1.86,1802000000,null,null,null,144206000000,null,23805000000,1001000000,3220000000,1461000000,82752000000,null,null,7432000000,29000000,2539000000
CHTR,0001091667,2021,Q2,10-Q,2021-07-30,2020-06-30,2020-01-01,0001091667-21-000134,23434000000,1162000000,5.62,5.48,3771000000,null,null,null,144206000000,null,23805000000,1001000000,6749000000,3338000000,82752000000,null,null,14729000000,195000000,2539000000
CHTR,0001091667,2021,Q3,10-Q,2021-10-29,2020-09-30,2020-01-01,0001091667-21-000163,35473000000,1976000000,9.62,9.35,5943000000,null,null,null,144206000000,null,23805000000,1001000000,10413000000,5352000000,82752000000,null,null,22212000000,372000000,2539000000
CHTR,0001091667,2022,FY,10-K,2023-01-27,2020-12-31,2020-01-01,0001091667-23-000024,48097000000,3222000000,15.85,15.4,8405000000,null,null,null,142491000000,null,14050000000,601000000,14562000000,7415000000,91561000000,null,null,29930000000,626000000,2579000000
CHTR,0001091667,2022,Q1,10-Q,2022-04-29,2021-03-31,2021-01-01,0001091667-22-000066,12522000000,807000000,4.22,4.11,2068000000,null,null,null,142491000000,null,14050000000,601000000,3751000000,1821000000,91561000000,null,null,7711000000,216000000,2579000000
CHTR,0001091667,2022,Q2,10-Q,2022-07-29,2021-06-30,2021-01-01,0001091667-22-000090,25324000000,1827000000,9.69,9.37,4643000000,null,null,null,142491000000,null,14050000000,601000000,7750000000,3702000000,91561000000,null,null,15593000000,497000000,2579000000
CHTR,0001091667,2022,Q3,10-Q,2022-10-28,2021-09-30,2021-01-01,0001091667-22-000115,38470000000,3044000000,16.33,15.78,7570000000,null,null,null,142491000000,null,14050000000,601000000,12013000000,5563000000,91561000000,null,null,23551000000,844000000,2579000000
CHTR,0001091667,2023,FY,10-K,2024-02-02,2021-12-31,2021-01-01,0001091667-24-000028,51682000000,4654000000,25.34,24.47,10526000000,null,null,null,144523000000,null,9119000000,645000000,16239000000,7635000000,97603000000,null,null,31482000000,1068000000,2921000000
CHTR,0001091667,2023,Q1,10-Q,2023-04-28,2022-03-31,2022-01-01,0001091667-23-000084,13200000000,1203000000,7.05,6.9,2771000000,null,null,null,144523000000,null,9119000000,645000000,3647000000,1857000000,97603000000,null,null,8134000000,345000000,2921000000
CHTR,0001091667,2023,Q2,10-Q,2023-07-28,2022-06-30,2022-01-01,0001091667-23-000108,26798000000,2674000000,15.98,15.66,5998000000,null,null,null,144523000000,null,9119000000,645000000,7381000000,4050000000,97603000000,null,null,16327000000,834000000,2921000000
CHTR,0001091667,2023,Q3,10-Q,2023-10-27,2022-09-30,2022-01-01,0001091667-23-000143,40348000000,3859000000,23.51,23.06,8922000000,null,null,null,144523000000,null,9119000000,645000000,11138000000,6456000000,97603000000,null,null,24574000000,1194000000,2921000000
CHTR,0001091667,2024,FY,10-K,2025-01-31,2022-12-31,2022-01-01,0001091667-25-000034,54022000000,5055000000,31.3,30.74,11962000000,null,null,null,147193000000,null,11086000000,709000000,14925000000,9376000000,97777000000,null,null,32876000000,1613000000,2965000000
CHTR,0001091667,2024,Q1,10-Q,2024-04-26,2023-03-31,2023-01-01,0001091667-24-000085,13653000000,1021000000,6.74,6.65,2926000000,null,null,null,147193000000,null,11086000000,709000000,3323000000,2464000000,97777000000,null,null,8511000000,374000000,2965000000
CHTR,0001091667,2024,Q2,10-Q,2024-07-26,2023-06-30,2023-01-01,0001091667-24-000104,27312000000,2244000000,14.89,14.69,6166000000,null,null,null,147193000000,null,11086000000,709000000,6634000000,5298000000,97777000000,null,null,16816000000,818000000,2965000000
CHTR,0001091667,2024,Q3,10-Q,2024-11-01,2023-09-30,2023-01-01,0001091667-24-000123,40896000000,3499000000,23.3,22.94,9292000000,null,null,null,147193000000,null,11086000000,709000000,10578000000,8259000000,97777000000,null,null,25115000000,1187000000,2965000000
CHTR,0001091667,2025,Q1,10-Q,2025-04-25,2024-03-31,2024-01-01,0001091667-25-000099,13679000000,1106000000,7.66,7.55,3131000000,null,null,null,150020000000,null,15587000000,459000000,3212000000,2791000000,93933000000,null,null,8396000000,446000000,3097000000
CHTR,0001091667,2025,Q2,10-Q,2025-07-25,2024-06-30,2024-01-01,0001091667-25-000127,27364000000,2337000000,16.24,16.03,6394000000,null,null,null,150020000000,null,15587000000,459000000,7065000000,5644000000,93933000000,null,null,16569000000,873000000,3097000000
CHTR,0001091667,2025,Q3,10-Q,2025-10-31,2024-09-30,2024-01-01,0001091667-25-000168,41159000000,3617000000,25.23,24.86,9729000000,null,null,null,150020000000,null,15587000000,459000000,10970000000,8207000000,93933000000,null,null,24863000000,1279000000,3097000000
