ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CMCSA,0001166691,2016,FY,10-K,2017-02-03,2014-12-31,2014-01-01,0001193125-17-030512,68775000000,8380000000,3.24,3.2,14904000000,null,null,null,166574000000,null,52269000000,1718000000,16945000000,7420000000,null,106000000,null,null,3873000000,6896000000
CMCSA,0001166691,2016,Q1,10-Q,2016-04-27,2015-03-31,2015-01-01,0001193125-16-558907,17853000000,2059000000,0.82,0.81,3890000000,null,null,null,166574000000,null,52269000000,3910000000,5245000000,1726000000,null,106000000,null,null,1261000000,6896000000
CMCSA,0001166691,2016,Q2,10-Q,2016-07-27,2015-06-30,2015-01-01,0001193125-16-659869,36596000000,4196000000,1.67,1.65,7995000000,null,null,null,166574000000,null,52269000000,3910000000,8834000000,3697000000,null,106000000,null,null,2574000000,6896000000
CMCSA,0001166691,2016,Q3,10-Q,2016-10-26,2015-09-30,2015-01-01,0001193125-16-747958,55265000000,6192000000,2.48,2.45,11996000000,null,null,null,166574000000,null,52269000000,3910000000,13813000000,5862000000,null,106000000,null,null,3797000000,6896000000
CMCSA,0001166691,2017,FY,10-K,2018-01-31,2015-12-31,2015-01-01,0001166691-18-000004,74510000000,8163000000,1.64,1.62,15998000000,null,null,null,180500000000,null,53943000000,3910000000,19485000000,8499000000,null,97000000,null,null,4959000000,7955000000
CMCSA,0001166691,2017,Q1,10-Q,2017-04-27,2016-03-31,2016-01-01,0001166691-17-000009,18790000000,2134000000,0.44,0.43,4089000000,null,null,null,180500000000,null,53943000000,2295000000,5399000000,1885000000,null,97000000,null,null,1311000000,7955000000
CMCSA,0001166691,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001166691-17-000022,38059000000,4162000000,0.86,0.85,8155000000,null,null,null,180500000000,null,53943000000,2295000000,9794000000,4156000000,null,97000000,null,null,2589000000,7955000000
CMCSA,0001166691,2017,Q3,10-Q,2017-10-26,2016-09-30,2016-01-01,0001166691-17-000031,59378000000,6399000000,1.32,1.31,12595000000,null,null,null,180500000000,null,53943000000,2295000000,13989000000,6562000000,null,97000000,null,null,3989000000,7955000000
CMCSA,0001166691,2018,FY,10-K,2019-01-31,2016-12-31,2016-01-01,0001166691-19-000005,80736000000,8678000000,1.8,1.78,16831000000,null,null,null,187462000000,null,68616000000,3428000000,19691000000,9135000000,null,19000000,null,null,5298000000,8834000000
CMCSA,0001166691,2018,Q1,10-Q,2018-04-25,2017-03-31,2017-01-01,0001166691-18-000010,20587000000,2573000000,0.54,0.53,4542000000,null,null,null,187462000000,null,68616000000,3428000000,5625000000,2078000000,null,19000000,null,null,1262000000,8834000000
CMCSA,0001166691,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0001166691-18-000019,41873000000,5094000000,1.08,1.06,9110000000,null,null,null,187462000000,null,68616000000,3428000000,10749000000,4405000000,null,19000000,null,null,2629000000,8834000000
CMCSA,0001166691,2018,Q3,10-Q,2018-10-25,2017-09-30,2017-01-01,0001166691-18-000024,62954000000,7736000000,1.64,1.61,13889000000,null,null,null,187462000000,null,68616000000,3428000000,15857000000,6839000000,null,19000000,null,null,4038000000,8834000000
CMCSA,0001166691,2019,FY,10-K,2020-01-30,2017-12-31,2017-01-01,0001166691-20-000008,85029000000,22735000000,4.83,4.75,18018000000,null,null,null,251684000000,null,71613000000,3814000000,21261000000,9550000000,null,94000000,null,null,-7569000000,11104000000
CMCSA,0001166691,2019,Q1,10-Q,2019-04-25,2018-03-31,2018-01-01,0001166691-19-000010,22791000000,3118000000,0.67,0.66,4645000000,null,null,null,251684000000,null,71613000000,3814000000,5474000000,1973000000,null,94000000,null,null,818000000,11104000000
CMCSA,0001166691,2019,Q2,10-Q,2019-07-25,2018-06-30,2018-01-01,0001166691-19-000015,44526000000,6334000000,1.37,1.36,9659000000,null,null,null,251684000000,null,71613000000,3814000000,12537000000,4223000000,null,94000000,null,null,1895000000,11104000000
CMCSA,0001166691,2019,Q3,10-Q,2019-10-24,2018-09-30,2018-01-01,0001166691-19-000020,66661000000,9220000000,2,1.98,14495000000,null,null,null,251684000000,null,71613000000,3814000000,18507000000,6607000000,null,94000000,null,null,2894000000,11104000000
CMCSA,0001166691,2020,FY,10-K,2021-02-04,2018-12-31,2018-01-01,0001166691-21-000008,94507000000,11731000000,2.56,2.53,19009000000,null,null,null,263414000000,null,82726000000,5500000000,24297000000,9774000000,null,1709000000,null,null,3380000000,11292000000
CMCSA,0001166691,2020,Q1,10-Q,2020-04-30,2019-03-31,2019-01-01,0001166691-20-000017,26859000000,3553000000,0.78,0.77,5182000000,null,null,null,263414000000,null,82726000000,5500000000,7231000000,2092000000,null,1709000000,null,null,1076000000,11292000000
CMCSA,0001166691,2020,Q2,10-Q,2020-07-30,2019-06-30,2019-01-01,0001166691-20-000024,53717000000,6678000000,1.47,1.45,10538000000,null,null,null,263414000000,null,82726000000,5500000000,14271000000,4355000000,null,1709000000,null,null,2037000000,11292000000
CMCSA,0001166691,2020,Q3,10-Q,2020-10-29,2019-09-30,2019-01-01,0001166691-20-000032,80544000000,9895000000,2.18,2.15,15878000000,null,null,null,263414000000,null,82726000000,5500000000,19462000000,6866000000,null,1709000000,null,null,2812000000,11292000000
CMCSA,0001166691,2021,FY,10-K,2022-02-02,2019-12-31,2019-01-01,0001166691-22-000009,108942000000,13057000000,2.87,2.83,21125000000,null,null,null,273869000000,null,90323000000,11740000000,25697000000,9953000000,null,292000000,null,null,3673000000,11466000000
CMCSA,0001166691,2021,Q1,10-Q,2021-04-29,2020-03-31,2020-01-01,0001166691-21-000020,26609000000,2147000000,0.47,0.46,4852000000,null,null,null,273869000000,null,90323000000,11740000000,5824000000,1881000000,null,292000000,null,null,700000000,11466000000
CMCSA,0001166691,2021,Q2,10-Q,2021-07-29,2020-06-30,2020-01-01,0001166691-21-000029,50324000000,5135000000,1.12,1.11,9499000000,null,null,null,273869000000,null,90323000000,11740000000,14467000000,3957000000,null,292000000,null,null,1646000000,11466000000
CMCSA,0001166691,2021,Q3,10-Q,2021-10-28,2020-09-30,2020-01-01,0001166691-21-000036,75856000000,7154000000,1.57,1.55,13575000000,null,null,null,273869000000,null,90323000000,11740000000,19695000000,6344000000,null,292000000,null,null,2385000000,11466000000
CMCSA,0001166691,2022,FY,10-K,2023-02-03,2020-12-31,2020-01-01,0001166691-23-000010,103564000000,10534000000,2.3,2.28,17493000000,null,null,null,275905000000,null,96092000000,8711000000,24737000000,9179000000,null,368000000,null,null,3364000000,12008000000
CMCSA,0001166691,2022,Q1,10-Q,2022-04-28,2021-03-31,2021-01-01,0001166691-22-000018,27205000000,3329000000,0.73,0.71,5039000000,null,null,null,275905000000,null,96092000000,8711000000,7751000000,1859000000,null,368000000,null,null,1119000000,12008000000
CMCSA,0001166691,2022,Q2,10-Q,2022-07-28,2021-06-30,2021-01-01,0001166691-22-000030,55751000000,7067000000,1.54,1.51,10546000000,null,null,null,275905000000,null,96092000000,8711000000,15357000000,4003000000,null,368000000,null,null,3119000000,12008000000
CMCSA,0001166691,2022,Q3,10-Q,2022-10-27,2021-09-30,2021-01-01,0001166691-22-000039,86049000000,11102000000,2.42,2.38,15996000000,null,null,null,275905000000,null,96092000000,8711000000,21457000000,6146000000,null,368000000,null,null,4354000000,12008000000
