ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
COST,0000909832,2016,FY,10-K,2016-10-12,2014-08-31,2013-09-02,0000909832-16-000032,112640000000,2058000000,4.69,4.65,3220000000,null,null,10899000000,32662000000,22174000000,10617000000,4644000000,null,1993000000,6135000000,1618000000,null,null,1109000000,null
COST,0000909832,2016,Q1,10-Q,2015-12-18,2014-11-23,2014-09-01,0000909832-15-000017,26866000000,496000000,1.13,1.12,770000000,null,null,2696000000,34605000000,22585000000,10617000000,5738000000,null,555000000,6135000000,1618000000,null,null,274000000,null
COST,0000909832,2016,Q2,10-Q,2016-03-09,2015-02-15,2014-09-01,0000909832-16-000023,54320000000,1094000000,2.49,2.47,1647000000,null,null,5367000000,33217000000,22174000000,10617000000,5738000000,null,1167000000,6135000000,1618000000,null,null,537000000,null
COST,0000909832,2016,Q3,10-Q,2016-06-01,2015-05-10,2014-09-01,0000909832-16-000028,80421000000,1610000000,3.66,3.64,2468000000,null,null,7946000000,33109000000,22174000000,10617000000,5738000000,null,1588000000,6135000000,1618000000,null,null,817000000,null
COST,0000909832,2017,FY,10-K,2017-10-18,2015-08-30,2014-09-01,0000909832-17-000014,116199000000,2377000000,5.41,5.37,3624000000,null,null,11445000000,33017000000,20831000000,12079000000,5738000000,null,2393000000,5161000000,1350000000,null,null,1195000000,null
COST,0000909832,2017,Q1,10-Q,2016-12-16,2015-11-22,2015-08-31,0000909832-16-000040,27220000000,480000000,1.1,1.09,767000000,null,null,2806000000,35037000000,20831000000,12079000000,4801000000,null,715000000,5161000000,1350000000,null,null,275000000,null
COST,0000909832,2017,Q2,10-Q,2017-03-09,2016-02-14,2015-08-31,0000909832-17-000004,55390000000,1026000000,2.34,2.32,1623000000,null,null,5641000000,32388000000,20831000000,12079000000,4801000000,null,1339000000,5161000000,1350000000,null,null,561000000,null
COST,0000909832,2017,Q3,10-Q,2017-06-01,2016-05-08,2015-08-31,0000909832-17-000009,82159000000,1571000000,3.58,3.56,2481000000,null,null,8372000000,33873000000,20831000000,12079000000,4801000000,null,1800000000,5161000000,1350000000,null,null,847000000,null
COST,0000909832,2018,FY,10-K,2018-10-26,2016-08-28,2015-08-31,0000909832-18-000013,118719000000,2350000000,5.36,5.33,3672000000,null,null,12068000000,33163000000,25268000000,10778000000,4801000000,null,2649000000,6659000000,1233000000,null,null,1243000000,null
COST,0000909832,2018,Q1,10-Q,2017-12-21,2016-11-20,2016-08-29,0000909832-17-000022,28099000000,545000000,1.24,1.24,849000000,null,null,2940000000,36532000000,25268000000,10778000000,3379000000,null,667000000,6659000000,1233000000,null,null,291000000,null
