ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CPRT,0000900075,2016,FY,10-K,2016-09-28,2014-07-31,2013-08-01,0000900075-16-000081,1163489000,178687000,1.42,1.36,274934000,122308000,null,null,1506121000,834196000,762401000,63631000,null,81510000,638000000,null,null,null,91348000,215696000
CPRT,0000900075,2016,Q1,10-Q,2015-11-24,2014-10-31,2014-08-01,0001628280-15-008971,null,52615000,0.42,0.4,82401000,null,null,null,1799952000,835488000,964464000,158668000,null,23388000,null,null,null,null,29608000,215696000
CPRT,0000900075,2016,Q2,10-Q,2016-02-25,2015-01-31,2014-08-01,0000900075-16-000018,null,104808000,0.83,0.8,162869000,null,null,null,1799952000,835488000,964464000,158668000,null,39459000,null,null,null,null,57519000,215696000
CPRT,0000900075,2016,Q3,10-Q,2016-05-26,2015-04-30,2014-08-01,0000900075-16-000038,null,162371000,1.29,1.23,257636000,null,null,null,1799952000,835488000,964464000,158668000,null,49079000,null,null,null,null,88252000,215696000
CPRT,0000900075,2017,FY,10-K,2017-09-28,2015-07-31,2014-08-01,0000900075-17-000044,1146079000,219783000,0.87,0.84,344401000,120861000,null,null,1798660000,875364000,null,158668000,null,79153000,631000000,null,null,null,112286000,266270000
CPRT,0000900075,2017,Q1,10-Q,2016-11-30,2015-10-31,2015-08-01,0000900075-16-000108,288838000,52610000,0.44,0.41,86246000,null,null,null,1649820000,875364000,774456000,456012000,null,20167000,null,null,null,null,29150000,266270000
CPRT,0000900075,2017,Q2,10-Q,2017-02-28,2016-01-31,2015-08-01,0000900075-17-000013,588544000,111614000,0.94,0.89,178331000,null,null,null,1649820000,875364000,774456000,456012000,null,77763000,null,null,null,null,61698000,266270000
CPRT,0000900075,2017,Q3,10-Q,2017-05-25,2016-04-30,2015-08-01,0000900075-17-000032,935790000,186238000,0.8,0.75,300279000,null,null,null,1649820000,875364000,774456000,456012000,null,143833000,null,null,null,null,103642000,266270000
CPRT,0000900075,2018,FY,10-K,2018-10-01,2016-07-31,2015-08-01,0000900075-18-000048,1268449000,270360000,1.18,1.11,406470000,145293000,null,null,1649820000,883901000,null,456012000,null,173917000,400000000,null,null,null,125505000,311846000
CPRT,0000900075,2018,Q1,10-Q,2017-11-28,2016-10-31,2016-08-01,0000900075-17-000062,345991000,167280000,0.74,0.7,104824000,null,null,null,1982501000,883901000,1098600000,155849000,null,38209000,null,null,null,null,-64746000,311846000
CPRT,0000900075,2018,Q2,10-Q,2018-02-27,2017-01-31,2016-08-01,0000900075-18-000015,695523000,233346000,1.03,0.99,213704000,null,null,null,1982501000,883901000,1098600000,155849000,null,92412000,null,null,null,null,-30713000,311846000
