ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CRWD,0001535527,2020,FY,10-K,2020-03-23,2018-01-31,2017-02-01,0001535527-20-000006,null,-135490000,null,null,-131440000,64266000,58887000,null,433219000,363100000,-487793000,null,-58766000,22906000,null,null,null,195706000,929000,92476000
CRWD,0001535527,2020,Q1,10-Q,2019-07-19,2018-04-30,2018-02-01,0001558370-19-006161,null,-33617000,null,null,-33114000,27895000,17615000,null,433219000,363100000,-369474000,88408000,-6393000,8649000,null,null,null,61009000,121000,92476000
CRWD,0001535527,2020,Q1,10-Q,2020-06-03,2019-04-30,2019-02-01,0001535527-20-000012,null,-25977000,null,null,-25775000,66804000,23875000,null,1404906000,662299000,-487793000,264798000,1415000,15541000,null,null,null,92579000,595000,164987000
CRWD,0001535527,2020,Q2,10-Q,2019-09-06,2018-07-31,2018-02-01,0001558370-19-008521,null,-66494000,null,null,-63541000,65021000,36578000,null,433219000,363100000,-369474000,88408000,-35137000,14068000,null,null,null,128562000,483000,92476000
CRWD,0001535527,2020,Q2,10-Q,2020-09-03,2019-07-31,2019-02-01,0001535527-20-000019,null,-77866000,null,null,-76415000,143329000,55505000,null,1404906000,662299000,-487793000,264798000,-4799000,37159000,null,null,null,219744000,1230000,164987000
CRWD,0001535527,2020,Q3,10-Q,2019-12-06,2018-10-31,2018-02-01,0001535527-19-000011,null,-108817000,null,null,-105632000,109126000,62546000,null,433219000,363100000,-369474000,88408000,-38776000,21664000,null,null,null,214758000,1018000,92476000
CRWD,0001535527,2020,Q3,10-Q,2020-12-03,2019-10-31,2019-02-01,0001535527-20-000025,null,-113371000,null,null,-114933000,231093000,91497000,null,1404906000,662299000,-487793000,264798000,33836000,66848000,null,null,null,346026000,1664000,164987000
CRWD,0001535527,2021,FY,10-K,2021-03-18,2019-01-31,2018-02-01,0001535527-21-000007,null,-140077000,null,null,-136864000,162586000,84551000,null,1404906000,662299000,742107000,null,-22968000,35851000,null,null,null,299450000,1367000,164987000
CRWD,0001535527,2021,Q1,10-Q,2021-06-04,2020-04-30,2020-02-01,0001535527-21-000013,null,-19222000,-0.09,-0.09,-22576000,131183000,40578000,null,2732533000,1860659000,870574000,1918608000,98577000,9694000,null,null,null,153759000,1036000,239199000
CRWD,0001535527,2021,Q2,10-Q,2021-09-01,2020-07-31,2020-02-01,0001535527-21-000022,null,-49096000,-0.23,-0.23,-52567000,275763000,91061000,null,2732533000,1860659000,870574000,1918608000,153602000,30334000,null,null,null,328330000,1477000,239199000
