ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CSCO,0000858877,2016,FY,10-K,2016-09-08,2014-07-26,2013-07-28,0000858877-16-000117,47142000000,7853000000,1.5,1.49,9345000000,27769000000,6294000000,null,113373000000,53666000000,59698000000,7925000000,null,1275000000,25351000000,null,null,18424000000,1862000000,5344000000
CSCO,0000858877,2016,Q1,10-Q,2015-11-19,2014-10-25,2014-07-27,0000858877-15-000073,12245000000,1828000000,0.36,0.35,2342000000,7333000000,1583000000,null,113481000000,53774000000,59698000000,6726000000,null,285000000,25351000000,null,null,4991000000,532000000,5344000000
CSCO,0000858877,2016,Q2,10-Q,2016-02-18,2015-01-24,2014-07-27,0000858877-16-000090,24181000000,4225000000,0.83,0.82,4964000000,14423000000,3112000000,null,113481000000,53774000000,59698000000,6726000000,null,550000000,25351000000,null,null,9459000000,1008000000,5344000000
CSCO,0000858877,2016,Q3,10-Q,2016-05-24,2015-04-25,2014-07-27,0000858877-16-000109,36318000000,6662000000,1.3,1.29,7889000000,21948000000,4659000000,null,113481000000,53774000000,59698000000,6726000000,null,907000000,25351000000,null,null,14059000000,1606000000,5344000000
CSCO,0000858877,2017,FY,10-K,2017-09-07,2015-07-25,2014-07-27,0000858877-17-000016,null,8981000000,1.76,1.75,10770000000,29681000000,6207000000,null,121652000000,58067000000,63586000000,6726000000,null,1227000000,28642000000,null,null,18911000000,2220000000,5847000000
CSCO,0000858877,2017,Q1,10-Q,2016-11-22,2015-10-24,2015-07-26,0000858877-16-000123,12682000000,2430000000,0.48,0.48,3079000000,7832000000,1560000000,null,121652000000,58067000000,63586000000,6877000000,null,262000000,28642000000,null,null,4753000000,707000000,5847000000
CSCO,0000858877,2017,Q2,10-Q,2017-02-21,2016-01-23,2015-07-26,0000858877-17-000004,null,5577000000,1.1,1.09,6373000000,15264000000,3069000000,null,121652000000,58067000000,63586000000,6877000000,6688000000,576000000,28642000000,null,null,8891000000,866000000,5847000000
CSCO,0000858877,2017,Q3,10-Q,2017-05-23,2016-04-30,2015-07-26,0000858877-17-000010,null,7926000000,1.57,1.56,9357000000,22985000000,4695000000,null,121652000000,58067000000,63586000000,6877000000,9752000000,880000000,28642000000,null,null,13628000000,1600000000,5847000000
CSCO,0000858877,2018,FY,10-K,2018-09-06,2016-07-30,2015-07-26,0000858877-18-000011,49247000000,10739000000,2.13,2.11,12660000000,30960000000,6296000000,null,129818000000,63681000000,66137000000,6877000000,13570000000,1146000000,30472000000,null,null,18300000000,2181000000,5146000000
CSCO,0000858877,2018,Q1,10-Q,2017-11-21,2016-10-29,2016-07-31,0000858877-17-000019,null,2322000000,0.46,0.46,2877000000,7884000000,1545000000,null,129818000000,63681000000,66137000000,7631000000,2730000000,275000000,30472000000,null,null,5007000000,631000000,5146000000
