ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CSGP,0001057352,2016,FY,10-K,2017-02-24,2014-12-31,2014-01-01,0001057352-17-000008,575936000,44869000,1.48,1.46,80878000,418957000,null,null,2079571000,535791000,927862000,255953000,143909000,null,355112000,null,156979000,338079000,26044000,40276000
CSGP,0001057352,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001057352-16-000128,159020000,-6127000,-0.19,-0.19,-3507000,113624000,null,null,2079571000,535791000,1543780000,527012000,30169000,null,355112000,0,45396000,117131000,571000,40276000
CSGP,0001057352,2016,Q2,10-Q,2016-07-28,2015-06-30,2015-01-01,0001057352-16-000143,329677000,-21093000,-0.66,-0.66,-23636000,239647000,null,null,2079571000,535791000,1543780000,527012000,26956000,null,355112000,0,90030000,263283000,-6809000,40276000
CSGP,0001057352,2016,Q3,10-Q,2016-10-27,2015-09-30,2015-01-01,0001057352-16-000165,518755000,-26455000,-0.83,-0.83,-24067000,374997000,null,null,2079571000,535791000,1543780000,527012000,69716000,null,355112000,0,143758000,399064000,-4199000,40276000
CSGP,0001057352,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0001057352-18-000011,711764000,-3465000,-0.11,-0.11,11455000,522879000,null,null,2185063000,530850000,1513546000,527012000,139773000,null,338339000,null,188885000,511424000,6046000,48537000
CSGP,0001057352,2017,Q1,10-Q,2017-04-27,2016-03-31,2016-01-01,0001057352-17-000027,199739000,16721000,0.52,0.52,30301000,156839000,null,null,2185063000,530850000,1654213000,421818000,48356000,null,338339000,null,42900000,126538000,11155000,48537000
CSGP,0001057352,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001057352-17-000045,406608000,32297000,1.01,1,58420000,321029000,null,null,2185063000,530850000,1654213000,421818000,86694000,null,338339000,null,85579000,262609000,21402000,48537000
CSGP,0001057352,2017,Q3,10-Q,2017-10-26,2016-09-30,2016-01-01,0001057352-17-000075,619319000,55498000,1.73,1.71,98016000,491518000,null,null,2185063000,530850000,1654213000,421818000,148460000,null,338339000,null,127801000,393502000,35643000,48537000
CSGP,0001057352,2018,FY,10-K,2019-02-28,2016-12-31,2016-01-01,0001057352-19-000017,null,85071000,2.64,2.62,144905000,663816000,null,null,2873441000,222191000,1543780000,421818000,200642000,null,0,null,51346000,518911000,51591000,60900000
CSGP,0001057352,2018,Q1,10-Q,2018-04-25,2017-03-31,2017-01-01,0001057352-18-000066,226553000,22130000,0.69,0.68,37662000,175207000,null,null,2873441000,222191000,2651250000,567223000,64557000,null,null,null,51346000,137545000,13275000,60900000
CSGP,0001057352,2018,Q2,10-Q,2018-07-25,2017-06-30,2017-01-01,0001057352-18-000082,null,44314000,1.37,1.36,65545000,357087000,null,null,2873441000,222191000,2651250000,567223000,95363000,null,null,null,null,291542000,16886000,60900000
CSGP,0001057352,2018,Q3,10-Q,2018-10-24,2017-09-30,2017-01-01,0001057352-18-000115,null,78491000,2.42,2.4,123058000,549137000,null,null,2873441000,222191000,2651250000,567223000,163307000,null,null,null,null,426079000,37876000,60900000
CSGP,0001057352,2019,FY,10-K,2020-02-26,2017-12-31,2017-01-01,0001057352-20-000036,null,122695000,3.7,3.66,173816000,744827000,null,null,3312957000,291015000,1654213000,1100416000,234703000,null,0,null,62477000,571011000,42363000,89192000
CSGP,0001057352,2019,Q1,10-Q,2019-04-24,2018-03-31,2018-01-01,0001057352-19-000052,null,52231000,1.46,1.44,53445000,211241000,null,null,3312957000,291015000,2651250000,1211463000,72985000,null,0,null,null,157796000,3511000,89192000
CSGP,0001057352,2019,Q2,10-Q,2019-07-24,2018-03-31,2018-01-01,0001057352-19-000065,null,52231000,2.67,2.64,97219000,441123000,null,null,3312957000,291015000,2651250000,1211463000,119317000,null,0,null,null,343904000,5374000,89192000
