ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CSX,0000277948,2016,FY,10-K,2017-02-14,2014-12-26,2013-12-28,0000277948-17-000009,null,1927000000,1.93,1.92,3613000000,null,null,null,34745000000,23077000000,null,592000000,3343000000,2449000000,null,810000000,null,9056000000,1117000000,982000000
CSX,0000277948,2016,Q1,10-Q,2016-04-13,2015-03-27,2014-12-27,0000277948-16-000056,null,442000000,0.45,0.45,843000000,null,null,null,34871000000,23203000000,null,669000000,690000000,598000000,null,810000000,null,2184000000,269000000,982000000
CSX,0000277948,2016,Q2,10-Q,2016-07-14,2015-06-26,2014-12-27,0000277948-16-000073,null,995000000,1.01,1,1860000000,null,null,null,34745000000,23077000000,null,669000000,1582000000,1288000000,null,810000000,null,4231000000,603000000,982000000
CSX,0000277948,2016,Q3,10-Q,2016-10-12,2015-09-25,2014-12-27,0000277948-16-000082,null,1502000000,1.52,1.52,2793000000,null,null,null,34745000000,23077000000,null,669000000,2512000000,1909000000,null,810000000,null,6237000000,895000000,982000000
CSX,0000277948,2017,FY,10-K,2018-02-07,2015-12-25,2014-12-27,0000277948-18-000009,null,1968000000,2,2,3584000000,null,null,null,35414000000,23720000000,null,669000000,3370000000,2562000000,null,417000000,null,8227000000,1170000000,938000000
CSX,0000277948,2017,Q1,10-Q,2017-04-20,2016-03-25,2015-12-26,0000277948-17-000019,null,356000000,0.37,0.37,704000000,null,null,null,35414000000,23720000000,null,628000000,754000000,425000000,null,417000000,null,1914000000,212000000,938000000
CSX,0000277948,2017,Q2,10-Q,2017-07-19,2016-06-24,2015-12-26,0000277948-17-000045,null,801000000,0.84,0.84,1544000000,null,null,null,35414000000,23720000000,null,628000000,1592000000,1066000000,null,417000000,null,3778000000,474000000,938000000
CSX,0000277948,2017,Q3,10-Q,2017-10-18,2016-09-23,2015-12-26,0000277948-17-000059,null,1256000000,1.32,1.32,2385000000,null,null,null,35414000000,23720000000,null,628000000,2488000000,1590000000,null,417000000,null,5647000000,734000000,938000000
CSX,0000277948,2018,FY,10-K,2019-02-06,2016-12-30,2015-12-26,0000277948-19-000011,null,1714000000,1.81,1.81,3413000000,null,null,null,35739000000,21018000000,null,628000000,3041000000,2398000000,null,18000000,null,7656000000,1027000000,970000000
CSX,0000277948,2018,Q1,10-Q,2018-04-18,2017-03-31,2016-12-31,0000277948-18-000019,null,362000000,0.39,0.39,769000000,null,null,null,35739000000,21018000000,null,603000000,1043000000,441000000,null,18000000,null,2100000000,220000000,970000000
CSX,0000277948,2018,Q2,10-Q,2018-07-18,2017-06-30,2016-12-31,0000277948-18-000040,5802000000,872000000,0.94,0.94,1726000000,null,null,null,35739000000,21018000000,null,603000000,1566000000,955000000,null,18000000,null,4076000000,537000000,970000000
CSX,0000277948,2018,Q3,10-Q,2018-10-17,2017-09-30,2016-12-31,0000277948-18-000050,null,1331000000,1.45,1.45,2594000000,null,null,null,35739000000,21018000000,null,603000000,2861000000,1462000000,null,18000000,null,5951000000,828000000,970000000
CSX,0000277948,2019,FY,10-K,2020-02-12,2017-12-31,2016-12-31,0000277948-20-000008,null,5471000000,6.01,5.99,3720000000,null,null,null,36729000000,24149000000,null,603000000,3472000000,2040000000,null,253000000,null,null,-2329000000,1010000000
CSX,0000277948,2019,Q1,10-Q,2019-04-17,2018-03-31,2018-01-01,0000277948-19-000022,null,695000000,0.78,0.78,1044000000,null,null,null,36729000000,24149000000,null,401000000,966000000,368000000,null,253000000,null,1832000000,217000000,1010000000
CSX,0000277948,2019,Q2,10-Q,2019-07-17,2018-03-31,2018-01-01,0000277948-19-000036,null,695000000,1.8,1.79,2327000000,null,null,null,36729000000,24149000000,null,401000000,2009000000,823000000,null,253000000,null,3651000000,484000000,1010000000
CSX,0000277948,2019,Q3,10-Q,2019-10-17,2018-03-31,2018-01-01,0000277948-19-000047,null,695000000,2.85,2.83,3620000000,null,null,null,36729000000,24149000000,null,401000000,3406000000,1240000000,null,253000000,null,5487000000,740000000,1010000000
CSX,0000277948,2020,FY,10-K,2021-02-10,2018-12-31,2018-01-01,0000277948-21-000014,null,3309000000,3.86,3.84,4869000000,null,null,null,38257000000,26394000000,null,958000000,4641000000,1745000000,null,996000000,null,null,995000000,986000000
CSX,0000277948,2020,Q1,10-Q,2020-04-23,2019-03-31,2019-01-01,0000277948-20-000014,null,834000000,1.02,1.02,1219000000,null,null,null,38257000000,26394000000,null,null,1173000000,353000000,null,996000000,null,null,230000000,986000000
CSX,0000277948,2020,Q2,10-Q,2020-07-23,2019-03-31,2019-01-01,0000277948-20-000032,null,834000000,2.1,2.1,2524000000,null,null,null,38257000000,26394000000,null,null,2267000000,769000000,null,996000000,null,null,506000000,986000000
CSX,0000277948,2020,Q3,10-Q,2020-10-22,2019-03-31,2019-01-01,0000277948-20-000048,null,834000000,3.19,3.18,3811000000,null,null,null,38257000000,26394000000,null,null,3737000000,1191000000,null,996000000,null,null,775000000,986000000
CSX,0000277948,2021,FY,10-K,2022-02-16,2019-12-31,2019-01-01,0000277948-22-000009,null,3331000000,1.39,1.39,4965000000,null,null,null,39793000000,26683000000,null,3129000000,4850000000,1657000000,null,2000000,null,null,985000000,912000000
CSX,0000277948,2021,Q1,10-Q,2021-04-21,2020-03-31,2020-01-01,0000277948-21-000024,null,770000000,1,1,1178000000,null,null,null,39793000000,26683000000,null,null,1178000000,381000000,null,2000000,null,null,243000000,912000000
CSX,0000277948,2021,Q2,10-Q,2021-07-22,2020-03-31,2020-01-01,0000277948-21-000041,null,770000000,0.55,0.55,2006000000,null,null,null,39793000000,26683000000,null,null,2184000000,801000000,null,2000000,null,null,396000000,912000000
CSX,0000277948,2021,Q3,10-Q,2021-10-21,2020-03-31,2020-01-01,0000277948-21-000050,null,770000000,0.87,0.87,3147000000,null,null,null,39793000000,26683000000,null,null,3128000000,1209000000,null,null,null,null,628000000,912000000
CSX,0000277948,2022,FY,10-K,2023-02-15,2020-12-31,2020-01-01,0000277948-23-000006,null,2765000000,1.2,1.2,4362000000,null,null,null,40531000000,27031000000,null,2239000000,4263000000,1626000000,null,77000000,null,null,862000000,1148000000
CSX,0000277948,2022,Q1,10-Q,2022-04-21,2021-03-31,2021-01-01,0000277948-22-000020,null,706000000,0.31,0.31,1101000000,null,null,null,40531000000,27031000000,null,null,1232000000,306000000,null,77000000,null,null,231000000,1148000000
CSX,0000277948,2022,Q2,10-Q,2022-07-21,2021-03-31,2021-01-01,0000277948-22-000034,null,706000000,0.83,0.82,2792000000,null,null,null,40531000000,27031000000,null,null,2399000000,754000000,null,77000000,null,null,588000000,1148000000
CSX,0000277948,2022,Q3,10-Q,2022-10-21,2021-03-31,2021-01-01,0000277948-22-000045,null,706000000,1.26,1.26,4228000000,null,null,null,40531000000,27031000000,null,null,3819000000,1220000000,null,77000000,null,null,899000000,1148000000
CSX,0000277948,2023,FY,10-K,2024-02-14,2021-12-31,2021-01-01,0000277948-24-000010,null,3781000000,1.68,1.68,5594000000,null,null,null,41912000000,29287000000,null,null,5099000000,1791000000,null,129000000,null,null,1170000000,1313000000
CSX,0000277948,2023,Q1,10-Q,2023-04-20,2022-03-31,2022-01-01,0000277948-23-000027,null,859000000,0.39,0.39,1282000000,null,null,null,41912000000,29287000000,null,null,1299000000,331000000,null,129000000,null,null,270000000,1313000000
CSX,0000277948,2023,Q2,10-Q,2023-07-20,2022-03-31,2022-01-01,0000277948-23-000043,null,859000000,0.94,0.94,2985000000,null,null,null,41912000000,29287000000,null,null,2530000000,811000000,null,129000000,null,null,650000000,1313000000
CSX,0000277948,2023,Q3,10-Q,2023-10-20,2022-03-31,2022-01-01,0000277948-23-000053,null,859000000,1.46,1.46,4564000000,null,null,null,41912000000,29287000000,null,null,4255000000,1437000000,null,129000000,null,null,962000000,1313000000
CSX,0000277948,2024,FY,10-K,2025-02-27,2022-12-31,2022-01-01,0000277948-25-000008,null,4114000000,1.93,1.92,5954000000,null,null,null,41682000000,29213000000,null,null,5526000000,2113000000,null,83000000,null,null,1231000000,1393000000
CSX,0000277948,2024,Q1,10-Q,2024-04-18,2023-03-31,2023-01-01,0000277948-24-000032,null,987000000,0.48,0.48,1464000000,null,null,null,42408000000,30275000000,null,null,1251000000,443000000,null,83000000,null,null,317000000,1393000000
CSX,0000277948,2024,Q2,10-Q,2024-08-05,2022-12-31,2022-01-01,0000277948-24-000047,null,4114000000,1.93,1.92,5954000000,null,null,null,41682000000,29213000000,null,null,1256000000,2113000000,null,83000000,null,null,1231000000,1393000000
CSX,0000277948,2024,Q3,10-Q,2024-10-17,2022-12-31,2022-01-01,0000277948-24-000054,null,4114000000,1.93,1.92,5954000000,null,null,null,41682000000,29213000000,null,null,5526000000,2113000000,null,83000000,null,null,1231000000,1393000000
CSX,0000277948,2025,Q1,10-Q,2025-04-16,2024-03-31,2024-01-01,0000277948-25-000028,null,880000000,0.45,0.45,1337000000,null,null,null,42764000000,30257000000,null,null,1066000000,517000000,null,72000000,null,null,288000000,1326000000
CSX,0000277948,2025,Q2,10-Q,2025-07-23,2024-03-31,2024-01-01,0000277948-25-000044,null,880000000,0.94,0.94,2785000000,null,null,null,42764000000,30257000000,null,null,2173000000,1066000000,null,72000000,null,null,592000000,1326000000
CSX,0000277948,2025,Q3,10-Q,2025-10-16,2024-03-31,2024-01-01,0000277948-25-000054,null,880000000,1.41,1.4,4139000000,null,null,null,42764000000,30257000000,null,null,3859000000,1691000000,null,72000000,null,null,882000000,1326000000
