ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CTAS,0000723254,2016,FY,10-K,2016-07-29,2014-05-31,2013-06-01,0000723254-16-000050,4193844000,374442000,3.08,3.05,602720000,1749759000,null,1147039000,4462452000,null,2201492000,417073000,605969000,145580000,null,null,null,null,199355000,496130000
CTAS,0000723254,2016,Q1,10-Q,2015-10-09,2014-08-31,2014-06-01,0000723254-15-000031,1102077000,110108000,0.94,0.93,163488000,null,null,314458000,4556270000,null,1932455000,513288000,null,68050000,null,null,null,null,62792000,496130000
CTAS,0000723254,2016,Q2,10-Q,2016-01-08,2014-11-30,2014-06-01,0000723254-16-000037,2225456000,230520000,1.96,1.93,345071000,null,null,614299000,4697571000,null,1932455000,513288000,null,113025000,null,null,null,null,124764000,496130000
CTAS,0000723254,2016,Q3,10-Q,2016-04-08,2015-02-28,2014-06-01,0000723254-16-000041,3334303000,325403000,2.77,2.73,518688000,null,null,915989000,4266346000,null,1932455000,513288000,377646000,163040000,null,null,null,null,181892000,496130000
CTAS,0000723254,2017,FY,10-K,2017-07-31,2015-05-31,2014-06-01,0000723254-17-000020,4369677000,430618000,3.68,3.63,683639000,1892923000,null,1209284000,4185674000,null,2192858000,513288000,null,217720000,1044422000,null,null,null,238003000,546488000
CTAS,0000723254,2017,Q1,10-Q,2016-10-11,2015-08-31,2015-06-01,0000723254-16-000065,1198890000,100181000,0.89,0.88,185507000,null,null,338637000,4116465000,null,1842659000,417073000,143083000,62631000,null,null,null,null,63016000,563178000
CTAS,0000723254,2017,Q2,10-Q,2017-01-06,2015-11-30,2015-06-01,0000723254-17-000002,2417970000,445281000,4,3.94,385856000,null,null,665688000,4444610000,null,1842659000,417073000,265037000,121817000,null,null,null,null,131852000,563178000
CTAS,0000723254,2017,Q3,10-Q,2017-04-07,2016-02-29,2015-06-01,0000723254-17-000014,3634053000,562622000,5.08,5,578808000,null,null,997344000,4231210000,null,1842659000,417073000,297154000,207502000,null,null,null,null,191697000,563178000
CTAS,0000723254,2018,FY,10-K,2018-07-27,2016-05-31,2015-06-01,0000723254-18-000015,4795772000,693520000,6.3,6.21,768941000,2101340000,null,1332399000,4098815000,null,1932455000,417073000,null,275385000,2770624000,null,null,null,256710000,736008000
CTAS,0000723254,2018,Q1,10-Q,2017-10-06,2016-08-31,2016-06-01,0000723254-17-000030,1266650000,138091000,1.29,1.26,203937000,null,null,369703000,4167145000,null,2302793000,139357000,157588000,78580000,2770624000,null,null,null,53622000,736008000
CTAS,0000723254,2018,Q2,10-Q,2018-01-05,2016-11-30,2016-06-01,0000723254-18-000002,2537727000,278468000,2.61,2.55,404393000,null,null,731118000,4214579000,null,2302793000,139357000,301721000,155173000,2770624000,null,null,null,118892000,736008000
CTAS,0000723254,2018,Q3,10-Q,2018-04-06,2017-02-28,2016-06-01,0000723254-18-000006,3793094000,396473000,3.71,3.62,596384000,null,null,1089707000,4271164000,null,2302793000,139357000,483758000,218621000,2770624000,null,null,null,180244000,736008000
CTAS,0000723254,2019,FY,10-K,2019-07-26,2017-05-31,2016-06-01,0000723254-19-000021,5323381000,480708000,4.49,4.38,773691000,2380295000,null,1527380000,6844057000,null,1842659000,138724000,763887000,273317000,2535309000,null,null,null,230118000,804583000
CTAS,0000723254,2019,Q1,10-Q,2018-10-05,2017-08-31,2017-06-01,0000723254-18-000030,1611503000,217211000,2.02,1.96,249099000,null,null,486283000,6851606000,null,3016526000,169266000,254366000,62517000,2535309000,null,null,null,57971000,804583000
CTAS,0000723254,2019,Q2,10-Q,2019-01-08,2017-11-30,2017-06-01,0000723254-19-000002,3217944000,354320000,3.28,3.19,484310000,null,null,954367000,6978801000,null,3016526000,169266000,379009000,132466000,2535309000,null,null,null,126607000,804583000
CTAS,0000723254,2019,Q3,10-Q,2019-04-05,2018-02-28,2017-06-01,0000723254-19-000008,4807082000,217211000,6.07,5.9,684334000,null,null,1444985000,6928593000,null,2302793000,169266000,660864000,196040000,2535309000,null,null,null,5325000,804583000
CTAS,0000723254,2020,FY,10-K,2020-07-29,2018-08-31,2018-06-01,0000723254-20-000025,1697975000,842586000,7.78,7.56,949834000,2908523000,null,1916792000,6958214000,null,2302793000,96645000,964160000,271699000,2537507000,null,null,null,57069000,910120000
CTAS,0000723254,2020,Q1,10-Q,2019-10-08,2018-08-31,2018-06-01,0000723254-19-000030,1697975000,212515000,1.96,1.89,265228000,null,null,504634000,7287204000,null,3016526000,96645000,162985000,64528000,2537507000,null,null,null,28873000,910120000
CTAS,0000723254,2020,Q2,10-Q,2020-01-09,2018-11-30,2018-06-01,0000723254-20-000003,3416243000,212515000,4.21,4.07,540868000,null,null,996305000,7405083000,null,3016526000,96645000,344567000,137614000,2537507000,null,null,null,106403000,910120000
CTAS,0000723254,2020,Q3,10-Q,2020-03-31,2019-02-28,2018-06-01,0000723254-20-000014,5098573000,212515000,6.12,5.93,819123000,null,null,1472404000,7433673000,null,3016526000,96645000,670717000,207805000,2537507000,null,null,null,157035000,910120000
CTAS,0000723254,2021,FY,10-K,2021-07-28,2019-05-31,2018-06-01,0000723254-21-000021,null,884981000,8.25,7.99,1133534000,3128588000,null,1980644000,7436662000,null,3016526000,145402000,1067862000,276719000,2539705000,null,null,null,219764000,870369000
CTAS,0000723254,2021,Q1,10-Q,2020-10-09,2019-08-31,2019-06-01,0000723254-20-000041,null,250812000,2.4,2.32,306146000,null,null,542996000,7661900000,null,3002721000,145402000,276901000,64743000,2539705000,null,null,null,28175000,870369000
CTAS,0000723254,2021,Q2,10-Q,2021-01-08,2019-08-31,2019-06-01,0000723254-21-000002,null,250812000,4.75,4.6,640610000,null,null,1060923000,7887337000,null,3002721000,145402000,571351000,126167000,2539705000,null,null,null,90302000,870369000
CTAS,0000723254,2021,Q3,10-Q,2021-04-06,2019-08-31,2019-06-01,0000723254-21-000009,null,250812000,6.98,6.76,955262000,null,null,1570666000,7901980000,null,3002721000,145402000,934549000,189379000,2539705000,null,null,null,144838000,870369000
CTAS,0000723254,2022,FY,10-K,2022-07-27,2020-05-31,2019-06-01,0000723254-22-000019,null,876037000,8.36,8.11,1162696000,3233748000,null,2071052000,7669885000,null,3002721000,493640000,1291483000,230289000,1642833000,null,null,null,181931000,901710000
CTAS,0000723254,2022,Q1,10-Q,2021-10-07,2020-08-31,2020-06-01,0000723254-21-000032,null,300005000,2.86,2.78,349706000,null,null,476495000,8043381000,null,3235202000,493640000,312292000,30876000,1642833000,null,null,null,25215000,901710000
CTAS,0000723254,2022,Q2,10-Q,2022-01-06,2020-08-31,2020-06-01,0000723254-22-000002,null,300005000,5.55,5.4,702578000,null,null,943507000,8454753000,null,3235202000,493640000,572964000,57659000,1642833000,null,null,null,68891000,901710000
