ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
CTSH,0001058290,2016,FY,10-K,2017-03-01,2014-12-31,2014-01-01,0001058290-17-000008,null,1439000000,2.37,2.35,1885000000,null,null,2037000000,13061000000,3783000000,6136000000,2213000000,1473000000,212000000,881000000,2824000000,null,null,485000000,2253000000
CTSH,0001058290,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0001058290-16-000061,null,382900000,0.63,0.62,500300000,null,null,610800000,13061000000,3782900000,9278100000,2010100000,189300000,58000000,null,2824300000,null,null,127700000,2252600000
CTSH,0001058290,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0001058290-16-000074,null,803000000,1.32,1.31,1045800000,null,null,1222800000,13061000000,3782900000,9278100000,2010100000,645400000,133600000,null,2824300000,null,null,256400000,2252600000
CTSH,0001058290,2016,Q3,10-Q,2016-11-07,2015-09-30,2015-01-01,0001058290-16-000076,null,1200200000,1.97,1.96,1588600000,null,null,1849900000,13061000000,3782900000,9278100000,2010100000,1463300000,198700000,null,2824300000,null,null,402200000,2252600000
CTSH,0001058290,2017,FY,10-K,2018-02-27,2015-12-31,2015-01-01,0001058290-18-000009,null,1624000000,2.67,2.65,2142000000,null,null,2509000000,14262000000,3534000000,7740000000,2010000000,2187000000,273000000,800000000,3135000000,null,null,540000000,2556000000
CTSH,0001058290,2017,Q1,10-Q,2017-05-05,2016-03-31,2016-01-01,0001058290-17-000020,null,441000000,0.73,0.72,554000000,null,null,646000000,14262000000,3534000000,10728000000,2125000000,72000000,64000000,null,3135000000,null,null,148000000,2556000000
CTSH,0001058290,2017,Q2,10-Q,2017-08-03,2016-06-30,2016-01-01,0001058290-17-000029,null,693000000,1.14,1.14,1145000000,null,null,1300000000,14262000000,3534000000,10728000000,2125000000,438000000,139000000,null,3135000000,null,null,491000000,2556000000
CTSH,0001058290,2017,Q3,10-Q,2017-11-01,2016-09-30,2016-01-01,0001058290-17-000044,null,1137000000,1.88,1.87,1728000000,null,null,2001000000,14262000000,3534000000,10728000000,2125000000,1041000000,213000000,null,3135000000,null,null,661000000,2556000000
CTSH,0001058290,2018,FY,10-K,2019-02-19,2016-12-31,2016-01-01,0001058290-19-000009,13487000000,1553000000,2.56,2.55,2289000000,null,null,2731000000,15221000000,4552000000,9278000000,2125000000,1645000000,300000000,750000000,3131000000,null,null,805000000,2865000000
CTSH,0001058290,2018,Q1,10-Q,2018-05-07,2017-03-31,2017-01-01,0001058290-18-000015,null,557000000,0.92,0.92,570000000,null,null,686000000,15221000000,4552000000,10728000000,2034000000,277000000,66000000,null,3131000000,null,null,92000000,2865000000
CTSH,0001058290,2018,Q2,10-Q,2018-08-02,2017-06-30,2017-01-01,0001058290-18-000028,null,1027000000,1.72,1.71,1176000000,null,null,1395000000,15221000000,4552000000,10728000000,2034000000,798000000,126000000,null,3131000000,null,null,257000000,2865000000
CTSH,0001058290,2018,Q3,10-Q,2018-10-30,2017-09-30,2017-01-01,0001058290-18-000042,null,1522000000,2.56,2.55,1824000000,null,null,2069000000,15221000000,4552000000,10728000000,2034000000,1571000000,204000000,null,3131000000,null,null,421000000,2865000000
CTSH,0001058290,2019,FY,10-K,2020-02-14,2017-12-31,2017-01-01,0001058290-20-000008,14810000000,1504000000,2.54,2.53,2481000000,null,null,2697000000,15846000000,4422000000,10728000000,2034000000,2407000000,284000000,null,3350000000,null,null,1153000000,3190000000
CTSH,0001058290,2019,Q1,10-Q,2019-05-03,2018-03-31,2018-01-01,0001058290-19-000017,3912000000,520000000,0.89,0.88,693000000,null,null,711000000,15913000000,4489000000,10669000000,1925000000,388000000,96000000,null,3350000000,null,null,177000000,3257000000
CTSH,0001058290,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0001058290-19-000026,7918000000,520000000,1.67,1.66,1363000000,null,null,1516000000,15913000000,4489000000,10669000000,1925000000,1028000000,187000000,null,3350000000,null,null,345000000,3257000000
CTSH,0001058290,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0001058290-19-000036,11996000000,520000000,2.49,2.48,2108000000,null,null,2250000000,15913000000,4489000000,10669000000,1925000000,1890000000,281000000,null,3350000000,null,null,530000000,3257000000
CTSH,0001058290,2020,FY,10-K,2021-02-12,2018-12-31,2018-01-01,0001058290-21-000031,16125000000,2101000000,3.61,3.6,2801000000,null,null,3007000000,16204000000,5182000000,10669000000,2645000000,2592000000,377000000,null,779000000,null,null,698000000,3256000000
CTSH,0001058290,2020,Q1,10-Q,2020-05-08,2019-03-31,2019-01-01,0001058290-20-000033,4110000000,441000000,0.77,0.77,539000000,null,null,871000000,16204000000,5182000000,11424000000,2645000000,269000000,106000000,null,779000000,null,null,142000000,3256000000
CTSH,0001058290,2020,Q2,10-Q,2020-07-30,2019-06-30,2019-01-01,0001058290-20-000048,8251000000,441000000,1.67,1.67,1158000000,null,null,1590000000,16204000000,5182000000,11424000000,2645000000,844000000,202000000,null,779000000,null,null,309000000,3256000000
CTSH,0001058290,2020,Q3,10-Q,2020-10-29,2019-09-30,2019-01-01,0001058290-20-000137,12499000000,441000000,2.57,2.57,1827000000,null,null,2296000000,16204000000,5182000000,11424000000,2645000000,1561000000,299000000,null,779000000,null,null,469000000,3256000000
CTSH,0001058290,2021,FY,10-K,2022-02-16,2019-12-31,2019-01-01,0001058290-22-000023,16783000000,1842000000,3.3,3.29,2453000000,null,null,2972000000,16923000000,6087000000,11424000000,2680000000,2499000000,392000000,null,44000000,null,null,643000000,3087000000
