ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
DASH,0001792789,2020,FY,10-K,2021-03-05,2018-12-31,2018-01-01,0001628280-21-004032,null,-204000000,null,null,-210000000,null,51000000,null,1732000000,550000000,-198000000,215000000,-159000000,13000000,null,null,null,null,0,58000000
DASH,0001792789,2021,FY,10-K,2022-03-01,2019-12-31,2019-01-01,0001628280-22-004350,null,-667000000,-15.44,-15.44,-616000000,null,107000000,null,6353000000,1653000000,-436000000,257000000,-467000000,78000000,null,null,null,null,1000000,291000000
DASH,0001792789,2021,Q1,10-Q,2021-05-14,2020-03-31,2020-01-01,0001628280-21-010313,null,-129000000,null,null,-123000000,null,33000000,null,6353000000,1653000000,-1082000000,469000000,-125000000,22000000,null,null,null,null,1000000,291000000
DASH,0001792789,2021,Q2,10-Q,2021-08-13,2020-03-31,2020-01-01,0001628280-21-016985,null,-129000000,-2.39,-2.39,-96000000,null,71000000,null,6353000000,1653000000,-1082000000,995000000,85000000,37000000,null,null,null,null,1000000,291000000
DASH,0001792789,2021,Q3,10-Q,2021-11-10,2020-03-31,2020-01-01,0001628280-21-022884,null,-129000000,-3.34,-3.34,-131000000,null,112000000,null,6353000000,1653000000,-1082000000,1096000000,315000000,86000000,null,null,null,null,2000000,291000000
DASH,0001792789,2022,FY,10-K,2023-02-27,2020-12-31,2020-01-01,0001628280-23-005131,null,-461000000,-7.39,-7.39,-436000000,null,321000000,null,6809000000,2142000000,-1082000000,4345000000,252000000,106000000,null,null,null,null,3000000,349000000
DASH,0001792789,2022,Q1,10-Q,2022-05-06,2021-03-31,2021-01-01,0001628280-22-013038,null,-110000000,-0.34,-0.34,-99000000,null,82000000,null,6809000000,2142000000,4700000000,4007000000,166000000,32000000,null,null,null,null,1000000,349000000
DASH,0001792789,2022,Q2,10-Q,2022-08-05,2021-03-31,2021-01-01,0001628280-22-021372,null,-110000000,-0.64,-0.64,-198000000,null,182000000,null,6809000000,2142000000,4700000000,3334000000,418000000,63000000,null,null,null,null,3000000,349000000
DASH,0001792789,2022,Q3,10-Q,2022-11-04,2021-03-31,2021-01-01,0001628280-22-028457,null,-110000000,-0.94,-0.94,-298000000,null,297000000,null,6809000000,2142000000,4700000000,2861000000,525000000,94000000,null,null,null,null,3000000,349000000
DASH,0001792789,2023,FY,10-K,2024-02-20,2021-12-31,2021-01-01,0001628280-24-005600,null,-468000000,-1.39,-1.39,-452000000,null,430000000,null,9789000000,3021000000,4700000000,2504000000,692000000,129000000,null,null,null,null,5000000,400000000
DASH,0001792789,2023,Q1,10-Q,2023-05-05,2022-03-31,2022-01-01,0001628280-23-016140,null,-167000000,-0.48,-0.48,-173000000,null,148000000,null,9789000000,3021000000,4667000000,2243000000,-20000000,32000000,null,null,null,null,0,400000000
DASH,0001792789,2023,Q2,10-Q,2023-08-02,2022-03-31,2022-01-01,0001628280-23-026756,null,-167000000,-1.21,-1.21,-446000000,null,353000000,null,9789000000,3021000000,4667000000,2727000000,145000000,77000000,null,null,null,null,-9000000,400000000
DASH,0001792789,2023,Q3,10-Q,2023-11-01,2022-03-31,2022-01-01,0001628280-23-035973,null,-167000000,-1.98,-1.98,-754000000,null,579000000,null,9789000000,3021000000,4667000000,2320000000,344000000,131000000,null,null,null,null,-14000000,400000000
DASH,0001792789,2024,FY,10-K,2025-02-14,2022-12-31,2022-01-01,0001628280-25-005715,null,-1365000000,-3.68,-3.68,-1124000000,null,829000000,null,10839000000,4026000000,4667000000,1977000000,367000000,176000000,null,null,null,null,-31000000,533000000
DASH,0001792789,2024,Q1,10-Q,2024-05-01,2023-03-31,2023-01-01,0001628280-24-019605,null,-161000000,-0.41,-0.41,-171000000,null,231000000,null,10839000000,4026000000,6754000000,1833000000,397000000,39000000,null,null,null,null,17000000,533000000
DASH,0001792789,2024,Q2,10-Q,2024-08-01,2023-03-31,2023-01-01,0001628280-24-034131,null,-161000000,-0.85,-0.85,-382000000,null,500000000,null,10839000000,4026000000,6754000000,1904000000,790000000,66000000,null,null,null,null,8000000,533000000
DASH,0001792789,2024,Q3,10-Q,2024-10-30,2023-03-31,2023-01-01,0001628280-24-044312,null,-161000000,-1.03,-1.03,-490000000,null,750000000,null,10839000000,4026000000,6754000000,2344000000,1188000000,94000000,null,null,null,null,14000000,533000000
DASH,0001792789,2025,Q1,10-Q,2025-05-07,2024-03-31,2024-01-01,0001628280-25-023171,null,-23000000,-0.06,-0.06,-61000000,null,279000000,null,12845000000,5035000000,6806000000,3124000000,553000000,17000000,null,null,null,null,7000000,732000000
DASH,0001792789,2025,Q2,10-Q,2025-08-06,2024-03-31,2024-01-01,0001792789-25-000012,null,-23000000,-0.44,-0.44,-262000000,null,582000000,null,12845000000,5035000000,6806000000,3430000000,1083000000,40000000,null,null,null,null,8000000,732000000
DASH,0001792789,2025,Q3,10-Q,2025-11-06,2024-03-31,2024-01-01,0001792789-25-000020,null,-23000000,-0.04,-0.04,-155000000,null,871000000,null,12845000000,5035000000,6806000000,3664000000,1614000000,72000000,null,null,null,null,2000000,732000000
