ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
DDOG,0001561550,2019,FY,10-K,2020-02-25,2017-12-31,2017-01-01,0001564590-20-006422,null,-2570000,-0.04,-0.04,-2956000,77347000,24734000,null,179750000,114986000,-81691000,60024000,13832000,2351000,null,null,null,80303000,457000,55822000
DDOG,0001561550,2019,Q3,10-Q,2019-11-13,2018-09-30,2018-01-01,0001564590-19-043256,null,-4175000,-0.06,-0.06,-4359000,105777000,37456000,null,179750000,114986000,-75701000,64003000,15384000,8205000,null,null,null,110136000,428000,55822000
DDOG,0001561550,2020,FY,10-K,2021-03-01,2018-12-31,2018-01-01,0001564590-21-009770,null,-10762000,-0.15,-0.15,-11033000,151548000,55176000,null,1038041000,255700000,-75701000,53639000,10829000,9662000,null,null,null,162581000,522000,102394000
DDOG,0001561550,2020,Q1,10-Q,2020-05-12,2019-03-31,2019-01-01,0001564590-20-024662,null,-9491000,-0.12,-0.12,-9662000,51100000,22815000,null,1038041000,255700000,-76041000,54554000,3418000,2197000,null,null,null,60762000,59000,102394000
DDOG,0001561550,2020,Q2,10-Q,2020-08-07,2019-06-30,2019-01-01,0001564590-20-038405,null,-13440000,-0.17,-0.17,-13656000,113344000,46847000,null,1038041000,255700000,-76041000,52286000,2980000,4979000,null,null,null,127000000,340000,102394000
DDOG,0001561550,2020,Q3,10-Q,2020-11-12,2019-09-30,2019-01-01,0001564590-20-053609,null,-17601000,null,null,-17874000,185911000,75531000,null,1038041000,255700000,-76041000,760945000,6804000,9813000,null,null,null,203785000,373000,102394000
DDOG,0001561550,2021,FY,10-K,2022-02-25,2019-12-31,2019-01-01,0001561550-22-000009,null,-16710000,-0.12,-0.12,-20140000,273831000,111425000,null,1890285000,932853000,-76041000,597297000,24234000,13315000,null,null,null,293971000,734000,163359000
DDOG,0001561550,2021,Q1,10-Q,2021-05-07,2020-03-31,2020-01-01,0001561550-21-000007,null,6479000,0.02,0.02,3778000,104769000,40824000,null,1890285000,932853000,782341000,194350000,24255000,1526000,null,null,null,100991000,195000,163359000
DDOG,0001561550,2021,Q2,10-Q,2021-08-06,2020-06-30,2020-01-01,0001561550-21-000018,null,6763000,0.02,0.02,4432000,215903000,86488000,null,1890285000,932853000,782341000,206202000,48993000,2924000,null,null,null,211471000,737000,163359000
DDOG,0001561550,2021,Q3,10-Q,2021-11-05,2020-09-30,2020-01-01,0001561550-21-000026,null,-8387000,-0.03,-0.03,-4835000,336595000,142928000,null,1890285000,932853000,782341000,198523000,85263000,4336000,null,null,null,341430000,1332000,163359000
DDOG,0001561550,2022,FY,10-K,2023-02-24,2020-12-31,2020-01-01,0001561550-23-000006,null,-24547000,-0.08,-0.08,-13773000,473269000,210626000,null,2380794000,1339591000,782341000,224927000,109091000,5415000,null,null,null,487042000,2325000,268824000
DDOG,0001561550,2022,Q1,10-Q,2022-05-06,2021-03-31,2021-01-01,0001561550-22-000026,null,-13068000,-0.04,-0.04,-12830000,151883000,79266000,null,2380794000,1339591000,957432000,369706000,51650000,998000,null,null,null,164713000,539000,268824000
DDOG,0001561550,2022,Q2,10-Q,2022-08-08,2021-06-30,2021-01-01,0001561550-22-000038,null,-22430000,-0.07,-0.07,-22716000,328334000,174045000,null,2380794000,1339591000,957432000,247442000,103373000,4227000,null,null,null,351050000,243000,268824000
DDOG,0001561550,2022,Q3,10-Q,2022-11-04,2021-09-30,2021-01-01,0001561550-22-000045,null,-27914000,-0.09,-0.09,-27611000,535490000,286720000,null,2380794000,1339591000,957432000,286966000,170752000,7551000,null,null,null,563101000,960000,268824000
DDOG,0001561550,2023,FY,10-K,2024-02-23,2021-12-31,2021-01-01,0001561550-24-000009,null,-20745000,-0.07,-0.07,-19156000,794539000,419769000,null,3004852000,1594347000,957432000,270973000,286545000,9956000,null,null,null,813695000,2323000,399551000
DDOG,0001561550,2023,Q1,10-Q,2023-05-05,2022-03-31,2022-01-01,0001561550-23-000023,null,9738000,0.03,0.03,10414000,288568000,150608000,null,3004852000,1594347000,1041203000,271686000,147388000,9514000,null,null,null,278154000,1116000,399551000
DDOG,0001561550,2023,Q2,10-Q,2023-08-09,2022-06-30,2022-01-01,0001561550-23-000039,null,4859000,0.02,0.01,7275000,612781000,328307000,null,3004852000,1594347000,1041203000,238859000,220348000,15501000,null,null,null,605506000,5984000,399551000
DDOG,0001561550,2023,Q3,10-Q,2023-11-07,2022-09-30,2022-01-01,0001561550-23-000055,null,-21126000,-0.07,-0.07,-24067000,955715000,533695000,null,3004852000,1594347000,1041203000,294815000,303966000,25207000,null,null,null,979782000,8910000,399551000
DDOG,0001561550,2024,FY,10-K,2025-02-20,2022-12-31,2022-01-01,0001561550-25-000025,null,-50160000,-0.16,-0.16,-58695000,1328357000,752351000,null,3936072000,1910718000,1041203000,338985000,418407000,35261000,null,null,null,1387052000,12090000,509279000
DDOG,0001561550,2024,Q1,10-Q,2024-05-08,2023-03-31,2023-01-01,0001561550-24-000051,null,-24086000,-0.08,-0.08,-34970000,381800000,229478000,null,3936072000,1910718000,1410505000,222548000,133787000,8739000,null,null,null,416770000,3662000,509279000
DDOG,0001561550,2024,Q2,10-Q,2024-08-09,2023-06-30,2023-01-01,0001561550-24-000112,null,-28055000,-0.09,-0.09,-56976000,789414000,468972000,null,3936072000,1910718000,1410505000,291304000,286945000,11078000,null,null,null,846390000,6723000,509279000
DDOG,0001561550,2024,Q3,10-Q,2024-11-08,2023-09-30,2023-01-01,0001561550-24-000175,null,-5425000,-0.02,-0.02,-61206000,1233631000,709197000,null,3936072000,1910718000,1410505000,261309000,439728000,17191000,null,null,null,1294837000,8393000,509279000
DDOG,0001561550,2025,Q1,10-Q,2025-05-07,2024-03-31,2024-01-01,0001561550-25-000123,null,42631000,0.13,0.12,11996000,501155000,269988000,null,5785339000,3070976000,2025354000,1246983000,212270000,14158000,null,null,null,489159000,3554000,598919000
DDOG,0001561550,2025,Q2,10-Q,2025-08-08,2024-06-30,2024-01-01,0001561550-25-000220,null,86455000,0.26,0.24,24614000,1022935000,544587000,null,5785339000,3070976000,2025354000,1246983000,376694000,18573000,null,null,null,998321000,7523000,598919000
DDOG,0001561550,2025,Q3,10-Q,2025-11-07,2024-09-30,2024-01-01,0001561550-25-000313,null,138152000,0.41,0.39,44892000,1575195000,836389000,null,5785339000,3070976000,2025354000,1246983000,605375000,26958000,null,null,null,1530303000,11962000,598919000
