ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
DXCM,0001093557,2016,FY,10-K,2017-02-28,2015-03-31,2015-01-01,0001093557-17-000048,72800000,-22400000,null,null,-21500000,176300000,69400000,128400000,292000000,70800000,null,43200000,23600000,16200000,null,null,82900000,197800000,100000,74100000
DXCM,0001093557,2016,Q1,10-Q,2016-04-27,2015-03-31,2015-01-01,0001093557-16-000511,null,-12900000,null,null,-12700000,46500000,19800000,39400000,292000000,70800000,null,71800000,3400000,8000000,null,null,null,59200000,null,74100000
DXCM,0001093557,2016,Q2,10-Q,2016-08-02,2015-06-30,2015-01-01,0001093557-16-000624,166000000,-16600000,null,null,-16300000,112500000,44200000,84600000,292000000,70800000,null,71800000,19800000,14300000,null,null,null,128800000,0,74100000
DXCM,0001093557,2016,Q3,10-Q,2016-11-01,2015-09-30,2015-01-01,0001093557-16-000746,271200000,-59100000,null,null,-58700000,187200000,109000000,136900000,292000000,70800000,null,71800000,37700000,21700000,null,null,null,245900000,0,74100000
DXCM,0001093557,2017,FY,10-K,2018-02-27,2016-03-31,2016-01-01,0001093557-18-000018,116200000,-57600000,null,null,-57100000,278400000,137500000,198000000,402800000,119000000,null,71800000,49000000,33300000,null,null,null,335500000,100000,101700000
DXCM,0001093557,2017,Q1,10-Q,2017-05-02,2016-03-31,2016-01-01,0001093557-17-000119,116200000,-19200000,null,null,-19200000,75100000,32200000,62100000,402800000,119000000,null,86100000,-200000,11500000,null,null,null,94300000,0,101700000
DXCM,0001093557,2017,Q2,10-Q,2017-08-01,2016-06-30,2016-01-01,0001093557-17-000171,253500000,-39400000,null,null,-39300000,160600000,68500000,131400000,402800000,119000000,null,86100000,19900000,22000000,null,null,null,199900000,100000,101700000
DXCM,0001093557,2017,Q3,10-Q,2017-11-01,2016-09-30,2016-01-01,0001093557-17-000221,402100000,-58200000,null,null,-57800000,261700000,112400000,207100000,402800000,119000000,null,86100000,42900000,38100000,null,null,null,319500000,300000,101700000
DXCM,0001093557,2018,FY,10-K,2019-02-21,2016-12-31,2016-01-01,0001093557-19-000041,null,-65600000,-0.49,-0.49,-63900000,378400000,156100000,286200000,904100000,484700000,null,94500000,56200000,55700000,null,null,null,442300000,700000,134300000
DXCM,0001093557,2018,Q1,10-Q,2018-05-02,2017-03-31,2017-01-01,0001093557-18-000084,142300000,-41700000,null,null,-40400000,94100000,48100000,86400000,904100000,484700000,null,153500000,300000,22900000,null,null,null,134500000,1400000,134300000
DXCM,0001093557,2018,Q2,10-Q,2018-08-01,2017-06-30,2017-01-01,0001093557-18-000159,312900000,-38800000,-0.45,-0.45,-54000000,211600000,93400000,172200000,904100000,484700000,null,395900000,14600000,34900000,null,null,null,265600000,-15900000,134300000
DXCM,0001093557,2018,Q3,10-Q,2018-11-06,2017-09-30,2017-01-01,0001093557-18-000230,497500000,-40800000,-0.47,-0.47,-54500000,338600000,136700000,256400000,904100000,484700000,null,441500000,50800000,48400000,null,null,null,393100000,-16400000,134300000
DXCM,0001093557,2019,FY,10-K,2020-02-13,2017-12-31,2017-01-01,0001093557-20-000029,null,-50200000,-0.58,-0.58,-42500000,492100000,185400000,349200000,1916000000,1252700000,null,441500000,92000000,66000000,null,null,null,534600000,1600000,226700000
DXCM,0001093557,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0001093557-19-000119,null,-24200000,null,null,-30700000,118900000,44800000,104800000,1916000000,1252700000,null,420400000,-8700000,15300000,null,null,null,149600000,200000,226700000
