ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
EA,0000712515,2016,FY,10-K,2016-05-27,2014-03-31,2013-04-01,0000712515-16-000111,null,8000000,0.03,0.03,33000000,2228000000,null,null,6147000000,3080000000,2267000000,1292000000,null,null,null,null,null,2195000000,-1000000,362000000
EA,0000712515,2016,Q1,10-Q,2015-08-11,2014-06-30,2014-04-01,0000712515-15-000053,null,335000000,1.07,1.04,362000000,847000000,null,null,6147000000,3080000000,3036000000,1782000000,null,null,null,null,367000000,485000000,19000000,362000000
EA,0000712515,2016,Q2,10-Q,2015-11-10,2014-09-30,2014-04-01,0000712515-15-000070,null,338000000,1.08,1.05,386000000,1410000000,null,null,6147000000,3080000000,3036000000,1782000000,null,null,null,null,794000000,1024000000,34000000,362000000
EA,0000712515,2016,Q3,10-Q,2016-02-08,2014-12-31,2014-04-01,0000712515-16-000086,null,480000000,1.54,1.49,548000000,2135000000,null,null,6147000000,3080000000,3036000000,1782000000,null,null,null,null,1195000000,1587000000,48000000,362000000
EA,0000712515,2017,FY,10-K,2017-05-24,2015-03-31,2014-04-01,0000712515-17-000035,null,875000000,2.81,2.69,948000000,3086000000,null,null,7050000000,3652000000,2422000000,1782000000,null,null,null,null,null,2138000000,50000000,233000000
EA,0000712515,2017,Q1,10-Q,2016-08-09,2015-06-30,2015-04-01,0000712515-16-000138,null,442000000,1.42,1.32,512000000,1030000000,null,null,7050000000,3652000000,3396000000,2068000000,null,null,null,null,173000000,518000000,67000000,233000000
EA,0000712515,2017,Q2,10-Q,2016-11-08,2015-09-30,2015-04-01,0000712515-16-000149,null,302000000,0.97,0.9,393000000,1436000000,null,null,7050000000,3652000000,3396000000,2068000000,null,null,null,null,582000000,1043000000,79000000,233000000
EA,0000712515,2017,Q3,10-Q,2017-02-07,2015-12-31,2015-04-01,0000712515-17-000010,null,257000000,0.83,0.77,362000000,1960000000,null,null,7050000000,3652000000,3396000000,2068000000,null,null,null,null,1128000000,1598000000,94000000,233000000
EA,0000712515,2018,FY,10-K,2018-05-23,2016-03-31,2015-04-01,0000712515-18-000024,null,1156000000,3.73,3.5,898000000,3042000000,null,null,7718000000,3658000000,3036000000,2068000000,null,null,null,null,null,2144000000,-279000000,359000000
EA,0000712515,2018,Q1,10-Q,2017-08-08,2016-06-30,2016-04-01,0000712515-17-000063,null,440000000,1.46,1.4,560000000,1092000000,null,null,7718000000,3658000000,4060000000,2493000000,null,null,null,null,179000000,532000000,112000000,359000000
EA,0000712515,2018,Q2,10-Q,2017-11-07,2016-09-30,2016-04-01,0000712515-17-000078,null,402000000,1.34,1.28,511000000,1589000000,null,null,7718000000,3658000000,4060000000,2493000000,null,null,null,null,580000000,1078000000,98000000,359000000
EA,0000712515,2018,Q3,10-Q,2018-02-06,2016-12-31,2016-04-01,0000712515-18-000008,null,401000000,1.33,1.28,507000000,2222000000,null,null,7718000000,3658000000,4060000000,2493000000,null,null,null,null,1096000000,1715000000,93000000,359000000
EA,0000712515,2019,FY,10-K,2019-05-24,2017-03-31,2016-04-01,0000712515-19-000019,4845000000,967000000,3.19,3.08,1224000000,3547000000,null,null,8584000000,3989000000,3396000000,2493000000,null,null,null,null,1298000000,2323000000,243000000,385000000
EA,0000712515,2019,Q1,10-Q,2018-08-08,2017-06-30,2017-04-01,0000712515-18-000045,1449000000,644000000,2.08,2.06,743000000,1295000000,null,null,8584000000,3989000000,4595000000,2565000000,null,null,null,null,154000000,552000000,105000000,385000000
EA,0000712515,2019,Q2,10-Q,2018-11-06,2017-09-30,2017-04-01,0000712515-18-000059,2408000000,622000000,2.01,1.99,702000000,1865000000,null,null,8584000000,3989000000,4595000000,2565000000,null,null,null,null,543000000,1163000000,89000000,385000000
EA,0000712515,2019,Q3,10-Q,2019-02-06,2017-12-31,2017-04-01,0000712515-19-000004,3568000000,436000000,1.41,1.4,681000000,2524000000,null,null,8584000000,3989000000,4595000000,2565000000,null,null,null,null,1044000000,1843000000,259000000,385000000
EA,0000712515,2020,FY,10-K,2020-05-20,2018-03-31,2017-04-01,0000712515-20-000019,5150000000,1043000000,3.39,3.34,1434000000,3873000000,null,null,8957000000,3626000000,4060000000,2565000000,null,null,null,null,1277000000,2439000000,406000000,623000000
EA,0000712515,2020,Q1,10-Q,2019-08-06,2018-06-30,2018-04-01,0000712515-19-000049,1137000000,293000000,0.96,0.95,300000000,922000000,null,null,8957000000,3626000000,4595000000,4258000000,null,null,null,null,215000000,622000000,26000000,623000000
EA,0000712515,2020,Q2,10-Q,2019-11-06,2018-09-30,2018-04-01,0000712515-19-000129,2423000000,548000000,1.8,1.77,558000000,1790000000,null,null,8957000000,3626000000,4595000000,4258000000,null,null,null,null,633000000,1232000000,47000000,623000000
EA,0000712515,2020,Q3,10-Q,2020-02-04,2018-12-31,2018-04-01,0000712515-20-000006,3712000000,810000000,2.66,2.64,800000000,2666000000,null,null,8957000000,3626000000,4595000000,4258000000,null,null,null,null,1046000000,1866000000,50000000,623000000
EA,0000712515,2021,FY,10-K,2021-05-26,2019-03-31,2018-04-01,0000712515-21-000064,4950000000,1019000000,3.36,3.33,996000000,3628000000,null,null,11112000000,3651000000,4595000000,4258000000,1547000000,null,null,null,1322000000,2632000000,60000000,461000000
EA,0000712515,2021,Q1,10-Q,2020-08-07,2019-06-30,2019-04-01,0000712515-20-000068,1209000000,1421000000,4.78,4.75,415000000,1022000000,null,null,11112000000,3651000000,5331000000,4708000000,null,null,null,null,187000000,607000000,-985000000,461000000
EA,0000712515,2021,Q2,10-Q,2020-11-10,2019-09-30,2019-04-01,0000712515-20-000075,2557000000,2275000000,7.69,7.66,683000000,1965000000,null,null,11112000000,3651000000,5331000000,4708000000,null,null,null,null,592000000,1282000000,-1555000000,461000000
EA,0000712515,2021,Q3,10-Q,2021-02-08,2019-12-31,2019-04-01,0000712515-21-000016,4150000000,2621000000,8.91,8.85,1044000000,3050000000,null,null,11112000000,3651000000,5331000000,4708000000,null,null,null,null,1100000000,2006000000,-1527000000,461000000
