ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
EXC,0001109357,2016,FY,10-K,2017-02-13,2014-12-31,2014-01-01,0001193125-17-039639,27429000000,null,0.8,1.88,3096000000,null,null,null,95384000000,68062000000,25793000000,1609000000,4457000000,6077000000,33959000000,null,null,25039000000,666000000,3187000000
EXC,0001109357,2016,Q1,10-Q,2016-05-10,2015-03-31,2015-01-01,0001193125-16-585702,8830000000,null,0.8,0.8,1366000000,null,null,null,95384000000,68062000000,25793000000,1878000000,1490000000,1784000000,null,null,null,null,363000000,3187000000
EXC,0001109357,2016,Q2,10-Q,2016-08-09,2015-06-30,2015-01-01,0001193125-16-676366,15345000000,null,1.54,1.54,2501000000,null,null,null,95384000000,68062000000,25793000000,1878000000,3969000000,3460000000,null,null,null,null,690000000,3187000000
EXC,0001109357,2016,Q3,10-Q,2016-10-26,2015-09-30,2015-01-01,0001193125-16-747892,22746000000,null,2.23,2.22,3701000000,null,null,null,95384000000,68062000000,25793000000,1878000000,5674000000,5443000000,null,null,null,null,805000000,3187000000
EXC,0001109357,2017,FY,10-K,2018-02-09,2015-12-31,2015-01-01,0001628280-18-001324,29447000000,null,2.55,2.54,4409000000,null,null,null,114904000000,87292000000,25837000000,1878000000,7616000000,7624000000,34047000000,null,null,25056000000,1073000000,4158000000
EXC,0001109357,2017,Q1,10-Q,2017-05-03,2016-03-31,2016-01-01,0001193125-17-155836,7573000000,null,0.19,0.19,483000000,null,null,null,114904000000,87292000000,25837000000,6502000000,1473000000,2202000000,null,null,null,null,184000000,4158000000
EXC,0001109357,2017,Q2,10-Q,2017-08-02,2016-06-30,2016-01-01,0001193125-17-245630,14485000000,null,0.48,0.48,1130000000,null,null,null,114904000000,87292000000,25837000000,6502000000,4553000000,4489000000,null,null,null,null,285000000,4158000000
EXC,0001109357,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001628280-17-010625,23486000000,null,1.01,1,2399000000,null,null,null,114904000000,87292000000,25837000000,6502000000,7363000000,6368000000,null,null,null,null,625000000,4158000000
EXC,0001109357,2018,FY,10-K,2019-02-08,2016-12-31,2016-01-01,0001628280-19-001107,31366000000,null,1.21,1.21,3212000000,null,null,null,116770000000,84583000000,29896000000,6502000000,8461000000,8553000000,35301000000,null,null,28106000000,753000000,4445000000
EXC,0001109357,2018,Q1,10-Q,2018-05-02,2017-03-31,2017-01-01,0001628280-18-005662,8747000000,null,1.07,1.06,1308000000,null,null,null,116770000000,84583000000,29896000000,635000000,1074000000,2009000000,null,null,null,null,211000000,4445000000
EXC,0001109357,2018,Q2,10-Q,2018-08-02,2017-06-30,2017-01-01,0001628280-18-010287,16413000000,null,1.17,1.17,1608000000,null,null,null,116770000000,84583000000,29896000000,635000000,2895000000,3845000000,null,null,null,null,149000000,4445000000
EXC,0001109357,2018,Q3,10-Q,2018-11-01,2017-09-30,2017-01-01,0001628280-18-013257,25180000000,null,2.03,2.02,3105000000,null,null,null,116770000000,84583000000,29896000000,635000000,5673000000,5556000000,null,null,null,null,601000000,4445000000
EXC,0001109357,2019,FY,10-K,2020-02-11,2017-12-31,2017-01-01,0001109357-20-000053,33558000000,null,3.99,3.98,4388000000,null,null,null,119634000000,86587000000,30741000000,635000000,7480000000,7584000000,35950000000,null,null,29619000000,-126000000,4607000000
EXC,0001109357,2019,Q1,10-Q,2019-05-02,2018-03-31,2018-01-01,0001628280-19-005692,9693000000,null,0.61,0.6,1101000000,null,null,null,119666000000,86596000000,30764000000,898000000,1502000000,1880000000,null,null,null,8648000000,59000000,4607000000
EXC,0001109357,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0001628280-19-009752,17769000000,null,1.16,1.16,2043000000,null,null,null,119666000000,86596000000,30764000000,898000000,3869000000,3807000000,null,null,null,15786000000,125000000,4607000000
EXC,0001109357,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0001109357-19-000112,27170000000,null,1.92,1.92,3189000000,null,null,null,119666000000,86596000000,30764000000,898000000,6675000000,5497000000,null,null,null,24036000000,262000000,4607000000
EXC,0001109357,2020,FY,10-K,2021-02-24,2018-12-31,2018-01-01,0001109357-21-000022,35978000000,null,2.07,2.07,3891000000,null,null,null,124977000000,90404000000,32224000000,898000000,8644000000,7594000000,36906000000,null,null,32143000000,118000000,4592000000
EXC,0001109357,2020,Q1,10-Q,2020-05-08,2019-03-31,2019-01-01,0001109357-20-000108,9477000000,null,0.93,0.93,1218000000,null,null,null,124977000000,90404000000,32224000000,1349000000,1044000000,1873000000,null,null,null,8262000000,310000000,4592000000
EXC,0001109357,2020,Q2,10-Q,2020-08-04,2019-06-30,2019-01-01,0001109357-20-000165,17166000000,null,1.43,1.43,2060000000,null,null,null,124977000000,90404000000,32224000000,1349000000,2898000000,3572000000,null,null,null,15142000000,454000000,4592000000
EXC,0001109357,2020,Q3,10-Q,2020-11-03,2019-09-30,2019-01-01,0001109357-20-000207,26096000000,null,2.23,2.22,3412000000,null,null,null,124977000000,90404000000,32224000000,1349000000,5399000000,5259000000,null,null,null,22703000000,626000000,4592000000
EXC,0001109357,2021,FY,10-K,2022-02-25,2019-12-31,2019-01-01,0001109357-22-000039,34438000000,null,3.02,3.01,4374000000,null,null,null,129317000000,94449000000,32585000000,1349000000,6659000000,7248000000,38756000000,null,null,30096000000,774000000,3231000000
EXC,0001109357,2021,Q1,10-Q,2021-05-05,2020-03-31,2020-01-01,0001109357-21-000050,8747000000,null,0.6,0.6,1220000000,null,null,null,129317000000,94449000000,32585000000,587000000,1080000000,2016000000,null,null,null,7529000000,-294000000,3231000000
EXC,0001109357,2021,Q2,10-Q,2021-08-04,2020-06-30,2020-01-01,0001109357-21-000079,16069000000,null,1.13,1.13,1784000000,null,null,null,129317000000,94449000000,32585000000,587000000,2680000000,3773000000,null,null,null,14298000000,-75000000,3231000000
EXC,0001109357,2021,Q3,10-Q,2021-11-03,2020-09-30,2020-01-01,0001109357-21-000110,24925000000,null,1.64,1.64,2554000000,null,null,null,129317000000,94449000000,32585000000,587000000,4222000000,5606000000,null,null,null,22387000000,141000000,3231000000
EXC,0001109357,2022,FY,10-K,2023-02-14,2020-12-31,2020-01-01,0001109357-23-000018,16663000000,null,null,null,2191000000,null,null,null,133013000000,98218000000,34393000000,587000000,4235000000,8048000000,37169000000,null,null,14485000000,-7000000,1869000000
EXC,0001109357,2022,Q1,10-Q,2022-05-09,2021-03-31,2021-01-01,0001109357-22-000059,4632000000,null,null,null,824000000,null,null,null,133013000000,98218000000,34393000000,663000000,-1261000000,2140000000,null,null,null,3808000000,39000000,1869000000
EXC,0001109357,2022,Q2,10-Q,2022-08-03,2021-06-30,2021-01-01,0001109357-22-000092,8652000000,null,null,null,1404000000,null,null,null,133013000000,98218000000,34393000000,432000000,1138000000,4040000000,null,null,null,null,42000000,1869000000
EXC,0001109357,2022,Q3,10-Q,2022-11-03,2021-09-30,2021-01-01,0001109357-22-000113,13514000000,null,null,null,2160000000,null,null,null,133013000000,98218000000,34393000000,432000000,4141000000,5970000000,null,null,null,null,76000000,1869000000
