ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
FANG,0001539838,2016,FY,10-K,2017-02-15,2014-12-31,2014-01-01,0001539838-17-000009,null,193755000,3.67,3.64,212670000,null,null,21266000,2750719000,641746000,1875972000,15555000,null,null,487807000,null,null,null,108985000,36004000
FANG,0001539838,2016,Q1,10-Q,2016-05-05,2015-03-31,2015-01-01,0001539838-16-000171,null,5849000,0.1,0.1,1437000,null,null,8236000,2750719000,641746000,1875972000,30183000,null,null,487807000,null,null,99964000,3370000,77313000
FANG,0001539838,2016,Q2,10-Q,2016-08-09,2015-06-30,2015-01-01,0001539838-16-000209,null,-206438000,-3.44,-3.44,-297683000,null,null,15920000,2750719000,641746000,1875972000,30183000,null,null,487807000,null,null,518147000,-113362000,77313000
FANG,0001539838,2016,Q3,10-Q,2016-11-08,2015-09-30,2015-01-01,0001539838-16-000253,null,-363219000,-5.88,-5.88,-552456000,null,null,23446000,2750719000,641746000,1875972000,30183000,null,null,487807000,null,null,884866000,-194823000,77313000
FANG,0001539838,2017,FY,10-K,2018-02-15,2015-12-31,2015-01-01,0001539838-18-000014,null,-550628000,-8.74,-8.74,-740269000,null,null,31968000,5349680000,1331388000,3697462000,30183000,null,null,1105912000,null,null,null,-201310000,70349000
FANG,0001539838,2017,Q1,10-Q,2017-05-04,2016-03-31,2016-01-01,0001539838-17-000076,null,-32912000,-0.46,-0.46,-27603000,null,null,12979000,5349680000,1331388000,3697462000,20115000,null,null,1105912000,null,null,null,0,70349000
FANG,0001539838,2017,Q2,10-Q,2017-08-02,2016-06-30,2016-01-01,0001539838-17-000105,null,-188402000,-2.64,-2.64,-162389000,null,null,22503000,5349680000,1331388000,3697462000,20115000,null,null,1105912000,null,null,null,368000,70349000
FANG,0001539838,2017,Q3,10-Q,2017-11-07,2016-09-30,2016-01-01,0001539838-17-000127,null,-190632000,-2.6,-2.6,-155696000,null,null,32411000,5349680000,1331388000,3697462000,20115000,null,null,1105912000,null,null,null,368000,70349000
FANG,0001539838,2018,FY,10-K,2019-02-25,2016-12-31,2016-01-01,0001539838-19-000008,null,-165034000,-2.2,-2.2,-68617000,null,null,42619000,7770985000,2189248000,5254860000,20115000,null,null,1477347000,null,null,null,192000,158575000
FANG,0001539838,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001539838-18-000054,null,136273000,1.46,1.46,116410000,null,null,13744000,7770985000,2189248000,5254860000,1666574000,null,null,1477347000,null,null,null,1957000,158575000
FANG,0001539838,2018,Q2,10-Q,2018-08-09,2017-06-30,2017-01-01,0001539838-18-000093,null,294678000,3.08,3.07,248718000,null,null,25636000,7770985000,2189248000,5254860000,1666574000,null,null,1477347000,null,null,null,3536000,158575000
FANG,0001539838,2018,Q3,10-Q,2018-11-07,2017-09-30,2017-01-01,0001539838-18-000117,null,367702000,3.81,3.8,391357000,null,null,37524000,7770985000,2189248000,5254860000,1666574000,null,null,1477347000,null,null,null,4393000,158575000
FANG,0001539838,2019,FY,10-K,2020-02-27,2017-12-31,2017-01-01,0001539838-20-000021,1205000000,482000000,4.95,4.94,605000000,null,null,48000000,7771000000,7429000000,13700000000,215000000,889000000,null,4464000000,null,null,null,-20000000,296000000
FANG,0001539838,2019,Q1,10-Q,2019-05-10,2018-03-31,2018-01-01,0001539838-19-000057,null,163000000,1.65,1.65,267000000,null,null,16000000,21596000000,7429000000,13700000000,112000000,null,null,4464000000,null,null,null,47000000,296000000
FANG,0001539838,2019,Q2,10-Q,2019-08-09,2018-06-30,2018-01-01,0001539838-19-000095,1006000000,382000000,3.87,3.87,548000000,null,null,31000000,8954000000,7429000000,13700000000,112000000,null,null,4464000000,null,null,null,40000000,296000000
FANG,0001539838,2019,Q3,10-Q,2019-11-06,2018-09-30,2018-01-01,0001539838-19-000117,1543000000,539000000,5.47,5.45,816000000,null,null,45000000,9807000000,7429000000,13700000000,215000000,1153000000,null,4464000000,null,null,null,83000000,296000000
FANG,0001539838,2020,FY,10-K,2021-02-25,2018-12-31,2018-01-01,0001539838-21-000015,2176000000,846000000,8.09,8.06,1011000000,null,null,65000000,21596000000,8625000000,13249000000,123000000,1565000000,null,5371000000,null,null,null,168000000,429000000
FANG,0001539838,2020,Q1,10-Q,2020-05-08,2019-03-31,2019-01-01,0001539838-20-000054,864000000,10000000,0.06,0.06,319000000,null,null,27000000,23531000000,8625000000,13249000000,149000000,377000000,null,5371000000,null,null,null,-33000000,429000000
FANG,0001539838,2020,Q2,10-Q,2020-08-10,2019-06-30,2019-01-01,0001539838-20-000101,1885000000,359000000,2.18,2.17,730000000,null,null,49000000,23531000000,8625000000,13249000000,123000000,1043000000,null,5371000000,null,null,null,69000000,429000000
FANG,0001539838,2020,Q3,10-Q,2020-11-05,2019-09-30,2019-01-01,0001539838-20-000111,2860000000,727000000,4.44,4.42,1079000000,null,null,68000000,23531000000,8625000000,13249000000,123000000,1852000000,null,5371000000,null,null,null,171000000,429000000
FANG,0001539838,2021,FY,10-K,2022-02-24,2019-12-31,2019-01-01,0001539838-22-000008,3964000000,240000000,1.47,1.47,695000000,null,null,104000000,23531000000,7815000000,8794000000,104000000,2739000000,null,5624000000,null,null,null,47000000,281000000
FANG,0001539838,2021,Q1,10-Q,2021-05-07,2020-03-31,2020-01-01,0001539838-21-000069,899000000,-272000000,-1.72,-1.72,-802000000,null,null,24000000,17619000000,7815000000,8794000000,149000000,849000000,null,5624000000,null,null,null,83000000,281000000
FANG,0001539838,2021,Q2,10-Q,2021-08-05,2020-06-30,2020-01-01,0001539838-21-000117,1324000000,-2665000000,-16.86,-16.86,-3474000000,null,null,44000000,17619000000,7815000000,8794000000,51000000,1173000000,null,5624000000,null,null,null,-598000000,281000000
FANG,0001539838,2021,Q3,10-Q,2021-11-04,2020-09-30,2020-01-01,0001539838-21-000126,2044000000,-3778000000,-23.91,-23.91,-4730000000,null,null,64000000,17619000000,7815000000,8794000000,92000000,1715000000,null,5624000000,null,null,null,-902000000,281000000
FANG,0001539838,2022,FY,10-K,2023-02-23,2020-12-31,2020-01-01,0001539838-23-000022,2813000000,-4517000000,-28.61,-28.61,-5476000000,null,null,88000000,17619000000,9653000000,12088000000,654000000,2118000000,null,6642000000,null,null,null,-1104000000,598000000
FANG,0001539838,2022,Q1,10-Q,2022-05-05,2021-03-31,2021-01-01,0001539838-22-000058,1184000000,220000000,1.34,1.33,571000000,null,null,25000000,22898000000,9653000000,12088000000,121000000,624000000,null,6642000000,null,null,null,65000000,598000000
FANG,0001539838,2022,Q2,10-Q,2022-08-03,2021-06-30,2021-01-01,0001539838-22-000133,2865000000,531000000,3.05,3.04,1526000000,null,null,61000000,22898000000,9653000000,12088000000,344000000,1578000000,null,6642000000,null,null,null,159000000,598000000
FANG,0001539838,2022,Q3,10-Q,2022-11-08,2021-09-30,2021-01-01,0001539838-22-000167,4775000000,1180000000,6.66,6.66,2690000000,null,null,99000000,22898000000,9653000000,12088000000,457000000,2777000000,null,6642000000,null,null,null,352000000,598000000
FANG,0001539838,2023,FY,10-K,2024-02-22,2021-12-31,2021-01-01,0001539838-24-000019,6797000000,2182000000,12.24,12.24,4001000000,null,null,146000000,22898000000,10519000000,15009000000,157000000,3944000000,null,6238000000,null,null,null,631000000,618000000
FANG,0001539838,2023,Q1,10-Q,2023-05-03,2022-03-31,2022-01-01,0001539838-23-000045,2408000000,779000000,4.35,4.35,1660000000,null,null,36000000,26209000000,10519000000,15009000000,157000000,1252000000,null,6238000000,null,null,null,221000000,618000000
FANG,0001539838,2023,Q2,10-Q,2023-08-03,2022-06-30,2022-01-01,0001539838-23-000101,5176000000,2195000000,12.28,12.28,3638000000,null,null,75000000,26209000000,10519000000,15009000000,157000000,2959000000,null,6238000000,null,null,null,623000000,618000000
FANG,0001539838,2023,Q3,10-Q,2023-11-08,2022-09-30,2022-01-01,0001539838-23-000134,7613000000,3379000000,18.99,18.99,5252000000,null,null,109000000,26209000000,10519000000,15009000000,157000000,4884000000,null,6238000000,null,null,null,913000000,618000000
FANG,0001539838,2024,FY,10-K,2025-02-26,2022-12-31,2022-01-01,0001539838-25-000021,9643000000,4386000000,24.61,24.61,6508000000,null,null,144000000,29001000000,11571000000,16625000000,582000000,6325000000,null,6641000000,null,null,null,1174000000,654000000
FANG,0001539838,2024,Q1,10-Q,2024-05-02,2023-03-31,2023-01-01,0001539838-24-000094,1925000000,712000000,3.88,3.88,1025000000,null,null,40000000,29001000000,11571000000,16625000000,582000000,1425000000,null,6641000000,null,null,null,207000000,654000000
FANG,0001539838,2024,Q2,10-Q,2024-08-07,2023-06-30,2023-01-01,0001539838-24-000150,3844000000,1268000000,6.95,6.95,2025000000,null,null,77000000,29001000000,11571000000,16625000000,582000000,2938000000,null,6641000000,null,null,null,372000000,654000000
FANG,0001539838,2024,Q3,10-Q,2024-11-07,2023-09-30,2023-01-01,0001539838-24-000198,6184000000,2183000000,12.01,12.01,3365000000,null,null,111000000,29001000000,11571000000,16625000000,582000000,4296000000,null,6641000000,null,null,null,648000000,654000000
FANG,0001539838,2025,Q1,10-Q,2025-05-07,2024-03-31,2024-01-01,0001539838-25-000066,2227000000,768000000,4.28,4.28,1118000000,null,null,46000000,67292000000,27430000000,37736000000,161000000,1334000000,null,12075000000,null,null,null,223000000,1387000000
FANG,0001539838,2025,Q2,10-Q,2025-08-06,2024-06-30,2024-01-01,0001539838-25-000127,4710000000,1605000000,8.93,8.93,2274000000,null,null,92000000,67292000000,27430000000,37736000000,161000000,2863000000,null,12075000000,null,null,null,475000000,1387000000
FANG,0001539838,2025,Q3,10-Q,2025-11-05,2024-09-30,2024-01-01,0001539838-25-000147,7355000000,2264000000,12,12,2984000000,null,null,141000000,67292000000,27430000000,37736000000,161000000,4072000000,null,12075000000,null,null,null,685000000,1387000000
