ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
FAST,0000815556,2016,FY,10-K,2017-02-06,2014-12-31,2014-01-01,0000815556-17-000009,null,494150000,1.67,1.66,787590000,1897402000,null,1110776000,2532462000,null,1772697000,58506000,499392000,189474000,365000000,null,null,null,293284000,468375000
FAST,0000815556,2016,Q1,10-Q,2016-04-15,2015-03-31,2015-01-01,0000815556-16-000097,null,127606000,0.43,0.43,203771000,484050000,null,280387000,2532462000,null,1801289000,114496000,180105000,43922000,365000000,null,null,null,75906000,468375000
FAST,0000815556,2016,Q2,10-Q,2016-07-15,2015-06-30,2015-01-01,0000815556-16-000113,null,267963000,0.91,0.91,429604000,986137000,null,557031000,2532462000,null,1801289000,114496000,261154000,88020000,365000000,null,null,null,160648000,468375000
FAST,0000815556,2016,Q3,10-Q,2016-10-14,2015-09-30,2015-01-01,0000815556-16-000122,null,404457000,1.38,1.38,649612000,1488362000,null,839409000,2532462000,null,1801289000,114496000,401985000,119462000,365000000,null,null,null,243358000,468375000
FAST,0000815556,2017,FY,10-K,2018-02-05,2015-12-31,2015-01-01,0000815556-18-000010,null,516400000,1.77,1.77,828800000,1948900000,null,1121500000,2668900000,null,1915300000,114400000,550300000,155200000,390000000,null,null,null,309700000,499700000
FAST,0000815556,2017,Q1,10-Q,2017-04-17,2016-03-31,2016-01-01,0000815556-17-000021,null,126200000,0.44,0.44,201200000,491500000,null,290200000,2668900000,null,1933100000,129000000,166500000,29700000,390000000,null,null,null,73700000,499700000
FAST,0000815556,2017,Q2,10-Q,2017-07-17,2016-06-30,2016-01-01,0000815556-17-000039,null,257700000,0.89,0.89,410400000,993100000,null,582800000,2668900000,null,1933100000,129000000,253500000,88700000,390000000,null,null,null,150000000,499700000
FAST,0000815556,2017,Q3,10-Q,2017-10-16,2016-09-30,2016-01-01,0000815556-17-000045,null,384600000,1.33,1.33,613300000,1492900000,null,879900000,2668900000,null,1933100000,129000000,386900000,162000000,390000000,null,null,null,224300000,499700000
FAST,0000815556,2018,FY,10-K,2019-02-06,2016-12-31,2016-01-01,0000815556-19-000015,null,499400000,1.73,1.73,795800000,1964800000,null,1169500000,2910500000,null,1801400000,129000000,519900000,189500000,415000000,null,null,null,290300000,607800000
FAST,0000815556,2018,Q1,10-Q,2018-04-16,2017-03-31,2017-01-01,0000815556-18-000019,null,134200000,0.46,0.46,212500000,518000000,null,305900000,2910500000,null,2096900000,112700000,210400000,21200000,415000000,null,null,null,76700000,607800000
