ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
FTNT,0001262039,2016,FY,10-K,2017-03-01,2014-12-31,2014-01-01,0001262039-17-000008,null,25343000,0.15,0.15,59324000,539355000,122880000,null,1790510000,1035133000,585760000,115873000,196582000,null,null,348074000,null,480031000,36206000,259563000
FTNT,0001262039,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0001262039-16-000064,null,1560000,0.01,0.01,898000,149284000,35816000,null,1790510000,1035133000,755377000,283254000,64619000,null,null,348074000,null,148386000,83000,259563000
FTNT,0001262039,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0001262039-16-000079,null,2352000,0.01,0.01,3850000,319571000,73205000,null,1790510000,1035133000,755377000,283254000,148924000,null,null,348074000,null,315721000,2777000,259563000
FTNT,0001262039,2016,Q3,10-Q,2016-11-08,2015-09-30,2015-01-01,0001262039-16-000087,null,10521000,0.06,0.06,2010000,507938000,115315000,null,1790510000,1035133000,755377000,283254000,213989000,null,null,348074000,null,505928000,-6552000,259563000
FTNT,0001262039,2017,FY,10-K,2018-02-26,2015-12-31,2015-01-01,0001262039-18-000009,null,7987000,0.05,0.05,14877000,722491000,158129000,null,2139941000,1302260000,675966000,283254000,282547000,null,null,376522000,null,707614000,9018000,312998000
FTNT,0001262039,2017,Q1,10-Q,2017-05-03,2016-03-31,2016-01-01,0001262039-17-000017,null,2118000,0.01,0.01,-3692000,206932000,44754000,null,2139941000,1302260000,837681000,543277000,100591000,null,null,376522000,null,210624000,-5376000,312998000
FTNT,0001262039,2017,Q2,10-Q,2017-08-02,2016-06-30,2016-01-01,0001262039-17-000027,null,730000,0,0,-7737000,433820000,90256000,null,2139941000,1302260000,837681000,543277000,168532000,null,null,376522000,null,441557000,-7678000,312998000
FTNT,0001262039,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001262039-17-000034,null,7021000,0.04,0.04,-2249000,665667000,137495000,null,2139941000,1302260000,837681000,543277000,244671000,null,null,376522000,null,667916000,-7380000,312998000
FTNT,0001262039,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0001262039-19-000006,null,32200000,0.19,0.18,42900000,937600000,183100000,null,2257900000,1668500000,755400000,543300000,345700000,null,null,440300000,null,894700000,10900000,348200000
FTNT,0001262039,2018,Q1,10-Q,2018-05-08,2017-03-31,2017-01-01,0001262039-18-000019,null,10700000,0.06,0.06,5400000,250000000,51200000,null,2257900000,1668500000,589400000,709000000,129700000,null,null,440300000,null,244600000,-2600000,348200000
FTNT,0001262039,2018,Q2,10-Q,2018-08-07,2017-06-30,2017-01-01,0001262039-18-000029,null,33700000,0.19,0.19,33900000,517800000,102400000,null,2257900000,1668500000,589400000,709000000,274500000,null,null,440300000,null,483900000,7300000,348200000
FTNT,0001262039,2018,Q3,10-Q,2018-11-07,2017-09-30,2017-01-01,0001262039-18-000040,null,60400000,0.34,0.34,67600000,798400000,155900000,null,2257900000,1668500000,589400000,709000000,436900000,null,null,440300000,null,730800000,18600000,348200000
FTNT,0001262039,2019,FY,10-K,2020-02-26,2017-12-31,2017-01-01,0001262039-20-000011,null,31400000,0.18,0.18,109800000,1109600000,210600000,null,3078000000,2067800000,837700000,709000000,594400000,null,null,537200000,null,999800000,92600000,444500000
FTNT,0001262039,2019,Q1,10-Q,2019-05-08,2018-03-31,2018-01-01,0001262039-19-000014,null,41600000,0.25,0.24,32400000,301800000,59100000,null,3078000000,2067800000,589400000,811000000,139700000,11600000,null,537200000,null,269400000,-4900000,444500000
FTNT,0001262039,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0001262039-19-000023,null,90900000,0.54,0.53,83100000,630000000,120300000,null,3078000000,2067800000,589400000,811000000,282000000,23200000,null,537200000,null,546900000,-2700000,444500000
FTNT,0001262039,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0001262039-19-000033,null,149600000,0.89,0.86,145900000,972300000,179000000,null,3078000000,2067800000,589400000,811000000,458700000,41400000,null,537200000,null,826400000,9200000,444500000
FTNT,0001262039,2020,FY,10-K,2021-02-19,2018-12-31,2018-01-01,0001262039-21-000008,null,334900000,1.98,1.92,234400000,1354200000,244500000,null,3879200000,2536800000,602000000,1222500000,638900000,null,null,843100000,null,1119800000,-80600000,544300000
FTNT,0001262039,2020,Q1,10-Q,2020-05-07,2019-03-31,2019-01-01,0001262039-20-000032,null,58800000,0.35,0.34,50600000,359600000,68600000,null,3885500000,2563600000,1010200000,1222500000,201300000,10200000,null,843100000,null,309000000,1500000,544300000
FTNT,0001262039,2020,Q2,10-Q,2020-08-06,2019-06-30,2019-01-01,0001262039-20-000053,null,131500000,0.77,0.75,125800000,753000000,136000000,null,3885500000,2563600000,1010200000,1222500000,396400000,27500000,null,843100000,null,627200000,14600000,544300000
