ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
GEHC,0001932393,2023,FY,10-K,2024-02-06,2021-12-31,2021-01-01,0001932393-24-000013,null,2247000000,4.95,4.95,2795000000,7174000000,816000000,3563000000,27539000000,17947000000,9357000000,1440000000,null,null,8249000000,null,null,4379000000,600000000,null
GEHC,0001932393,2023,Q1,10-Q,2023-04-25,2022-03-31,2022-01-01,0001932393-23-000087,null,389000000,0.86,0.86,509000000,1678000000,238000000,931000000,27539000000,17947000000,9357000000,1440000000,468000000,100000000,null,null,null,1169000000,131000000,null
GEHC,0001932393,2023,Q2,10-Q,2023-07-25,2022-06-30,2022-01-01,0001932393-23-000112,null,874000000,1.93,1.93,1140000000,3474000000,495000000,1839000000,27539000000,17947000000,9357000000,1440000000,449000000,159000000,null,null,null,2334000000,284000000,null
GEHC,0001932393,2023,Q3,10-Q,2023-10-31,2022-09-30,2022-01-01,0001932393-23-000125,null,1362000000,3,3,1745000000,5247000000,755000000,2747000000,27539000000,17947000000,9357000000,1440000000,1071000000,null,null,null,null,3502000000,412000000,null
GEHC,0001932393,2024,FY,10-K,2025-02-13,2022-12-31,2022-01-01,0001932393-25-000005,null,1916000000,4.22,4.22,2522000000,7179000000,1026000000,3631000000,32454000000,25144000000,7133000000,2494000000,null,null,9442000000,null,null,4657000000,563000000,null
GEHC,0001932393,2024,Q1,10-Q,2024-04-30,2023-03-31,2023-01-01,0001932393-24-000034,null,372000000,0.42,0.41,559000000,1891000000,270000000,1062000000,32454000000,25144000000,7133000000,2494000000,468000000,null,9442000000,null,null,1332000000,163000000,null
GEHC,0001932393,2024,Q2,10-Q,2024-07-31,2023-06-30,2023-01-01,0001932393-24-000044,null,790000000,1.34,1.33,1129000000,3831000000,568000000,2134000000,32454000000,25144000000,7133000000,2494000000,401000000,null,9442000000,null,null,2702000000,300000000,null
GEHC,0001932393,2024,Q3,10-Q,2024-10-30,2023-09-30,2023-01-01,0001932393-24-000050,null,1165000000,2.16,2.15,1746000000,5766000000,890000000,3130000000,32454000000,25144000000,7133000000,2494000000,null,null,9442000000,null,null,4020000000,550000000,null
GEHC,0001932393,2025,Q1,10-Q,2025-04-30,2024-03-31,2024-01-01,0001932393-25-000014,null,374000000,0.82,0.81,540000000,1902000000,324000000,1038000000,33089000000,24437000000,8446000000,2874000000,419000000,null,8951000000,null,null,1362000000,124000000,null
GEHC,0001932393,2025,Q2,10-Q,2025-07-30,2024-06-30,2024-01-01,0001932393-25-000049,null,802000000,1.76,1.75,1148000000,3904000000,651000000,2105000000,33089000000,24437000000,8446000000,2874000000,300000000,null,8951000000,null,null,2756000000,267000000,null
GEHC,0001932393,2025,Q3,10-Q,2025-10-29,2024-09-30,2024-01-01,0001932393-25-000053,null,1272000000,2.79,2.77,1824000000,5930000000,967000000,3139000000,33089000000,24437000000,8446000000,2874000000,null,null,8951000000,null,null,4106000000,435000000,null
