ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
GILD,0000882095,2016,FY,10-K,2017-02-27,2014-12-31,2014-01-01,0000882095-17-000006,null,12101000000,7.95,7.35,15265000000,6523000000,2854000000,2983000000,51716000000,null,18534000000,2113000000,12818000000,null,null,null,null,null,2797000000,5854000000
GILD,0000882095,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0000882095-16-000046,null,4333000000,2.91,2.76,5371000000,null,696000000,645000000,51716000000,null,18534000000,10027000000,5701000000,null,null,null,null,null,907000000,5854000000
GILD,0000882095,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0000882095-16-000054,null,8825000000,5.96,5.68,10987000000,null,1514000000,1457000000,51716000000,null,18534000000,10027000000,11359000000,null,null,null,null,null,1921000000,5854000000
GILD,0000882095,2016,Q3,10-Q,2016-11-07,2015-09-30,2015-01-01,0000882095-16-000060,null,13425000000,9.11,8.73,16572000000,null,2257000000,2360000000,51716000000,null,18534000000,10027000000,15455000000,null,null,null,null,null,2801000000,5854000000
GILD,0000882095,2017,FY,10-K,2018-02-27,2015-12-31,2015-01-01,0000882095-18-000008,null,18108000000,12.37,11.91,22193000000,6488000000,3014000000,3426000000,56977000000,null,18887000000,10027000000,21250000000,null,null,null,null,null,3553000000,4514000000
GILD,0000882095,2017,Q1,10-Q,2017-05-10,2016-03-31,2016-01-01,0000882095-17-000013,null,3566000000,2.58,2.53,4651000000,null,1265000000,685000000,56977000000,null,18887000000,12851000000,4130000000,177000000,null,null,null,null,935000000,4514000000
GILD,0000882095,2017,Q2,10-Q,2017-08-07,2016-06-30,2016-01-01,0000882095-17-000020,null,7063000000,5.2,5.11,9189000000,null,2749000000,1575000000,56977000000,null,18887000000,12851000000,9115000000,381000000,null,null,null,null,1837000000,4514000000
GILD,0000882095,2017,Q3,10-Q,2017-11-07,2016-09-30,2016-01-01,0000882095-17-000027,null,10393000000,7.72,7.59,13588000000,null,3890000000,2406000000,56977000000,null,18887000000,12851000000,13508000000,579000000,null,null,null,null,2788000000,4514000000
GILD,0000882095,2018,FY,10-K,2019-02-26,2016-12-31,2016-01-01,0000882095-19-000006,30390000000,13501000000,10.08,9.94,17633000000,5420000000,5098000000,3398000000,70283000000,null,20442000000,12851000000,17047000000,null,null,null,null,null,3609000000,3851000000
GILD,0000882095,2018,Q1,10-Q,2018-05-09,2017-03-31,2017-01-01,0000882095-18-000015,null,2702000000,2.07,2.05,3767000000,null,931000000,850000000,70283000000,null,20442000000,8229000000,2925000000,118000000,null,null,null,null,918000000,3851000000
GILD,0000882095,2018,Q2,10-Q,2018-08-06,2017-06-30,2017-01-01,0000882095-18-000022,13646000000,5775000000,4.42,4.38,8021000000,null,1795000000,1747000000,70283000000,null,20442000000,8229000000,6451000000,241000000,33542000000,null,null,null,1964000000,3851000000
GILD,0000882095,2018,Q3,10-Q,2018-11-06,2017-09-30,2017-01-01,0000882095-18-000029,20158000000,8493000000,6.5,6.44,11833000000,null,2584000000,2626000000,70283000000,null,20442000000,8229000000,9145000000,370000000,33542000000,null,null,null,2923000000,3851000000
GILD,0000882095,2019,FY,10-K,2020-02-25,2017-12-31,2017-01-01,0000882095-20-000006,26107000000,4628000000,3.54,3.51,14124000000,4000000000,3734000000,3878000000,63675000000,null,21387000000,17940000000,11898000000,null,null,null,null,null,8885000000,3327000000
GILD,0000882095,2019,Q1,10-Q,2019-05-08,2018-03-31,2018-01-01,0000882095-19-000014,5088000000,1538000000,1.18,1.17,2153000000,null,937000000,997000000,63675000000,null,21387000000,7588000000,2270000000,212000000,null,null,null,null,494000000,3327000000
GILD,0000882095,2019,Q2,10-Q,2019-08-06,2018-06-30,2018-01-01,0000882095-19-000020,10736000000,3355000000,2.58,2.55,4433000000,null,2129000000,1977000000,63675000000,null,21387000000,7588000000,3843000000,509000000,null,null,null,null,761000000,3327000000
GILD,0000882095,2019,Q3,10-Q,2019-11-05,2018-09-30,2018-01-01,0000882095-19-000027,16332000000,5452000000,4.19,4.15,7056000000,null,3068000000,2925000000,63675000000,null,21387000000,null,6055000000,676000000,null,null,null,null,1326000000,3327000000
GILD,0000882095,2020,FY,10-K,2021-02-25,2018-12-31,2018-01-01,0000882095-21-000008,22127000000,5455000000,4.2,4.17,8200000000,4243000000,null,4056000000,61627000000,null,22525000000,11631000000,8400000000,924000000,30500000000,null,null,null,2339000000,3582000000
GILD,0000882095,2020,Q1,10-Q,2020-05-06,2019-03-31,2019-01-01,0000882095-20-000013,5281000000,1975000000,1.55,1.54,2237000000,null,1057000000,1030000000,61627000000,null,22525000000,null,1577000000,237000000,null,null,null,null,382000000,3582000000
GILD,0000882095,2020,Q2,10-Q,2020-08-06,2019-06-30,2019-01-01,0000882095-20-000019,10966000000,3855000000,3.03,3.01,4667000000,null,null,2125000000,61627000000,null,22525000000,null,3919000000,422000000,null,null,null,null,917000000,3582000000
GILD,0000882095,2020,Q3,10-Q,2020-11-04,2019-09-30,2019-01-01,0000882095-20-000027,16570000000,2690000000,2.12,2.1,3194000000,null,null,3177000000,61627000000,null,22525000000,null,6564000000,622000000,null,null,null,null,584000000,3582000000
GILD,0000882095,2021,FY,10-K,2022-02-23,2019-12-31,2019-01-01,0000882095-22-000007,null,5386000000,4.24,4.22,4287000000,null,null,4381000000,68407000000,null,18202000000,5997000000,9144000000,825000000,31402000000,null,null,null,-204000000,4892000000
GILD,0000882095,2021,Q1,10-Q,2021-05-06,2020-03-31,2020-01-01,0000882095-21-000013,null,1551000000,1.23,1.22,2402000000,null,null,1076000000,68407000000,null,18202000000,null,1436000000,171000000,31402000000,null,null,null,465000000,4892000000
GILD,0000882095,2021,Q2,10-Q,2021-08-05,2020-06-30,2020-01-01,0000882095-21-000021,null,-1788000000,-1.42,-1.42,-581000000,null,null,2315000000,68407000000,null,18202000000,null,4002000000,314000000,31402000000,null,null,null,838000000,4892000000
