ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
GOOGL,0001652044,2016,FY,10-K,2017-02-03,2014-12-31,2014-01-01,0001652044-17-000008,66001000000,14136000000,null,null,16496000000,null,9832000000,null,147461000000,27130000000,86977000000,18898000000,23024000000,11014000000,4000000000,null,25691000000,null,3639000000,11556000000
GOOGL,0001652044,2016,Q1,10-Q,2016-05-03,2015-03-31,2015-01-01,0001652044-16-000021,17258000000,3515000000,null,null,4447000000,null,2753000000,null,147461000000,27130000000,120331000000,18347000000,6722000000,2927000000,null,null,6356000000,null,1089000000,11556000000
GOOGL,0001652044,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0001652044-16-000032,34985000000,7446000000,null,null,9272000000,null,5542000000,null,147461000000,27130000000,120331000000,18347000000,13818000000,5442000000,null,null,12939000000,null,2114000000,11556000000
GOOGL,0001652044,2016,Q3,10-Q,2016-11-03,2015-09-30,2015-01-01,0001652044-16-000038,53660000000,11425000000,null,null,13980000000,null,8772000000,null,147461000000,27130000000,120331000000,18347000000,19963000000,7848000000,null,null,19976000000,null,3026000000,11556000000
GOOGL,0001652044,2017,FY,10-K,2018-02-06,2015-12-31,2015-01-01,0001652044-18-000007,74989000000,16348000000,null,null,19360000000,null,12282000000,null,167497000000,28461000000,103860000000,18347000000,26572000000,9950000000,4026000000,null,28164000000,null,3303000000,14137000000
GOOGL,0001652044,2017,Q1,10-Q,2017-05-02,2016-03-31,2016-01-01,0001652044-17-000014,20257000000,4207000000,6.12,6.02,5342000000,null,3367000000,null,167497000000,28461000000,139036000000,16549000000,7658000000,2444000000,null,null,7648000000,null,922000000,14137000000
GOOGL,0001652044,2017,Q2,10-Q,2017-07-25,2016-06-30,2016-01-01,0001652044-17-000026,41757000000,9084000000,13.23,13.01,11310000000,null,6730000000,null,167497000000,28461000000,139036000000,16549000000,16778000000,4580000000,null,null,15778000000,null,2164000000,14137000000
GOOGL,0001652044,2017,Q3,10-Q,2017-10-27,2016-09-30,2016-01-01,0001652044-17-000042,64208000000,14145000000,20.59,20.26,17077000000,null,10326000000,null,167497000000,28461000000,139036000000,16549000000,26623000000,7134000000,null,null,24477000000,null,3148000000,14137000000
GOOGL,0001652044,2018,FY,10-K,2019-02-05,2016-12-31,2016-01-01,0001652044-19-000004,null,19478000000,28.32,27.85,23716000000,null,13948000000,null,197295000000,44793000000,120331000000,16549000000,36036000000,10212000000,4062000000,null,35138000000,null,4672000000,18336000000
GOOGL,0001652044,2018,Q1,10-Q,2018-04-24,2017-03-31,2017-01-01,0001652044-18-000016,24750000000,5426000000,7.85,7.73,6568000000,null,3942000000,null,197295000000,44793000000,152502000000,12918000000,9548000000,2508000000,null,null,9795000000,null,1393000000,18336000000
GOOGL,0001652044,2018,Q2,10-Q,2018-07-24,2017-06-30,2017-01-01,0001652044-18-000027,50760000000,8950000000,12.94,12.74,10700000000,null,8114000000,null,197295000000,44793000000,152502000000,12918000000,16951000000,5339000000,null,null,20168000000,null,2246000000,18336000000
GOOGL,0001652044,2018,Q3,10-Q,2018-10-26,2017-09-30,2017-01-01,0001652044-18-000035,78532000000,15682000000,22.65,22.3,18482000000,null,12319000000,null,197295000000,44793000000,152502000000,12918000000,26823000000,8877000000,null,null,31316000000,null,3493000000,18336000000
GOOGL,0001652044,2019,FY,10-K,2020-02-04,2017-12-31,2017-01-01,0001652044-20-000008,null,12662000000,18.27,18,26178000000,null,16625000000,null,232792000000,55164000000,139036000000,16701000000,37091000000,13184000000,4685000000,null,45583000000,null,14531000000,20838000000
GOOGL,0001652044,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001652044-19-000015,31146000000,9401000000,13.53,13.33,7633000000,null,5039000000,null,232792000000,55164000000,152502000000,10715000000,11642000000,7299000000,null,null,13467000000,null,1142000000,20838000000
GOOGL,0001652044,2019,Q2,10-Q,2019-07-26,2018-06-30,2018-01-01,0001652044-19-000023,null,12596000000,18.13,17.89,10678000000,null,10153000000,null,232792000000,55164000000,152502000000,16701000000,21774000000,12776000000,null,null,27350000000,null,2162000000,20838000000
GOOGL,0001652044,2019,Q3,10-Q,2019-10-29,2018-09-30,2018-01-01,0001652044-19-000032,null,21788000000,31.34,30.95,19303000000,null,15385000000,null,232792000000,55164000000,152502000000,16701000000,34984000000,18058000000,null,null,41631000000,null,3053000000,20838000000
GOOGL,0001652044,2020,FY,10-K,2021-02-03,2018-12-31,2018-01-01,0001652044-21-000010,136819000000,30736000000,44.22,43.7,27524000000,null,21419000000,null,275909000000,74467000000,152502000000,18498000000,47971000000,25139000000,15319000000,null,59549000000,null,4177000000,25326000000
GOOGL,0001652044,2020,Q1,10-Q,2020-04-29,2019-03-31,2019-01-01,0001652044-20-000021,null,6657000000,9.58,9.5,6608000000,null,6029000000,null,275909000000,74467000000,177628000000,18498000000,12000000000,4638000000,null,null,16012000000,null,1489000000,25326000000
GOOGL,0001652044,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0001652044-20-000032,null,16604000000,23.91,23.71,15788000000,null,12242000000,null,275909000000,74467000000,177628000000,18498000000,24627000000,10764000000,null,null,33308000000,null,3689000000,25326000000
GOOGL,0001652044,2020,Q3,10-Q,2020-10-30,2019-09-30,2019-01-01,0001652044-20-000050,null,23672000000,34.12,33.83,24965000000,null,18796000000,null,275909000000,74467000000,177628000000,18498000000,40093000000,17496000000,null,null,50876000000,null,5249000000,25326000000
GOOGL,0001652044,2021,FY,10-K,2022-02-02,2019-12-31,2019-01-01,0001652044-22-000019,161857000000,34343000000,49.59,49.16,34231000000,null,26018000000,null,319616000000,97072000000,177628000000,26465000000,54520000000,23548000000,15440000000,null,71896000000,null,5282000000,30930000000
GOOGL,0001652044,2021,Q1,10-Q,2021-04-28,2020-03-31,2020-01-01,0001652044-21-000020,41159000000,6836000000,9.96,9.87,7977000000,null,6820000000,null,319616000000,97072000000,201442000000,26465000000,11451000000,6005000000,null,null,18982000000,null,921000000,30930000000
