ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
HON,0000773840,2016,FY,10-K,2017-02-10,2014-12-31,2014-01-01,0000930413-17-000391,null,4239000000,5.4,5.33,null,2851000000,1892000000,5518000000,45451000000,null,18283000000,6422000000,null,1094000000,6131000000,null,null,null,1489000000,null
HON,0000773840,2016,Q1,10-Q,2016-04-22,2015-03-31,2015-01-01,0000930413-16-006542,null,1116000000,1.42,1.41,null,null,null,1230000000,49316000000,null,18283000000,6959000000,null,165000000,6131000000,null,null,null,418000000,null
HON,0000773840,2016,Q2,10-Q,2016-07-22,2015-06-30,2015-01-01,0000930413-16-007670,null,2310000000,2.95,2.91,null,null,null,2472000000,49316000000,null,18283000000,6959000000,null,408000000,6131000000,null,null,null,858000000,null
HON,0000773840,2016,Q3,10-Q,2016-10-21,2015-09-30,2015-01-01,0000930413-16-008530,null,3574000000,4.57,4.51,null,null,null,3674000000,49316000000,null,18283000000,6959000000,null,685000000,6131000000,null,null,null,1289000000,null
HON,0000773840,2017,FY,10-K,2018-02-09,2015-12-31,2015-01-01,0000930413-18-000292,null,4768000000,6.11,6.04,null,2975000000,1856000000,5006000000,49316000000,null,19369000000,6959000000,5519000000,1073000000,12409000000,1520000000,null,null,1739000000,8177000000
HON,0000773840,2017,Q1,10-Q,2017-04-21,2016-03-31,2016-01-01,0000930413-17-001646,null,1216000000,1.58,1.56,null,null,null,1280000000,54146000000,null,19369000000,5455000000,null,194000000,12409000000,1520000000,null,null,402000000,8177000000
HON,0000773840,2017,Q2,10-Q,2017-07-21,2016-06-30,2016-01-01,0000930413-17-002534,null,2535000000,3.31,3.26,null,null,null,2609000000,54146000000,null,19369000000,5455000000,null,475000000,12409000000,1520000000,null,null,830000000,8177000000
HON,0000773840,2017,Q3,10-Q,2017-10-20,2016-09-30,2016-01-01,0000930413-17-003588,null,3775000000,4.93,4.86,null,null,null,3976000000,54146000000,null,19369000000,5455000000,3456000000,749000000,12409000000,1520000000,null,null,1214000000,8177000000
HON,0000773840,2018,FY,10-K,2019-02-08,2016-12-31,2016-01-01,0000930413-19-000366,null,4812000000,6.3,6.21,null,2966000000,1864000000,5574000000,54566000000,null,16502000000,5455000000,5498000000,1095000000,13924000000,3758000000,null,null,1603000000,8866000000
HON,0000773840,2018,Q1,10-Q,2018-04-20,2017-03-31,2017-01-01,0000930413-18-001371,null,1326000000,1.74,1.71,null,null,null,1422000000,59387000000,null,17276000000,7843000000,940000000,168000000,13924000000,3758000000,null,null,392000000,8866000000
