ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
IDXX,0000874716,2016,FY,10-K,2017-02-17,2014-12-31,2014-01-01,0000874716-17-000004,null,181906000,1.82,1.79,260255000,816116000,98263000,null,1474993000,1558988000,-84125000,279058000,null,60523000,597100000,null,669691000,null,64604000,188318000
IDXX,0000874716,2016,Q1,10-Q,2016-04-29,2015-03-31,2015-01-01,0000874716-16-000026,null,46594000,0.49,0.49,72803000,215544000,25006000,null,1474993000,1558988000,-84125000,322536000,null,23017000,null,null,166933000,null,20346000,188318000
IDXX,0000874716,2016,Q2,10-Q,2016-08-02,2015-06-30,2015-01-01,0000874716-16-000030,null,103506000,1.1,1.09,161106000,448301000,49323000,null,1474993000,1558988000,-84125000,322536000,null,46873000,null,null,347519000,null,45011000,188318000
IDXX,0000874716,2016,Q3,10-Q,2016-11-01,2015-09-30,2015-01-01,0000874716-16-000034,null,147729000,1.59,1.57,233001000,672575000,74185000,null,1474993000,1558988000,-84125000,322536000,null,67517000,null,null,529632000,null,65611000,188318000
IDXX,0000874716,2017,FY,10-K,2018-02-16,2015-12-31,2015-01-01,0000874716-18-000005,null,192078000,2.07,2.05,299912000,890270000,99681000,null,1530704000,1638917000,-108352000,322536000,null,82921000,593700000,null,711622000,null,81006000,204494000
IDXX,0000874716,2017,Q1,10-Q,2017-04-28,2016-03-31,2016-01-01,0000874716-17-000007,null,46019000,0.51,0.51,73793000,227537000,24620000,null,1530704000,1638917000,-108352000,128994000,null,21906000,null,null,190013000,null,20284000,204494000
IDXX,0000874716,2017,Q2,10-Q,2017-08-01,2016-06-30,2016-01-01,0000874716-17-000011,null,113221000,1.26,1.25,177955000,488080000,50032000,null,1530704000,1638917000,-108352000,128994000,null,37868000,null,null,396039000,null,49964000,204494000
IDXX,0000874716,2017,Q3,10-Q,2017-10-31,2016-09-30,2016-01-01,0000874716-17-000016,null,169676000,1.89,1.87,266414000,734810000,75704000,null,1530704000,1638917000,-108352000,128994000,null,49956000,null,null,597617000,null,75036000,204494000
IDXX,0000874716,2018,FY,10-K,2019-02-15,2016-12-31,2016-01-01,0000874716-19-000004,null,222045000,2.47,2.44,350239000,975436000,101122000,null,1713416000,1767258000,-54106000,128994000,400084000,64787000,606600000,null,799987000,750207000,99792000,234597000
IDXX,0000874716,2018,Q1,10-Q,2018-05-04,2017-03-31,2017-01-01,0000874716-18-000008,null,69019000,0.78,0.77,92243000,258191000,25790000,null,1713416000,1767258000,-54106000,187675000,31274000,23647000,null,null,203830000,null,15679000,234597000
IDXX,0000874716,2018,Q2,10-Q,2018-08-01,2017-06-30,2017-01-01,0000874716-18-000012,null,154376000,1.75,1.72,214807000,550906000,52788000,null,1713416000,1767258000,-54106000,187675000,141466000,38566000,null,null,420055000,null,44857000,234597000
IDXX,0000874716,2018,Q3,10-Q,2018-11-01,2017-09-30,2017-01-01,0000874716-18-000015,null,224887000,2.56,2.51,315220000,824908000,80373000,null,1713416000,1767258000,-54106000,187675000,252150000,54370000,null,null,638029000,565193000,66392000,234597000
IDXX,0000874716,2019,FY,10-K,2020-02-14,2017-12-31,2017-01-01,0000874716-20-000006,null,263144000,3,2.94,413028000,1097382000,109182000,null,1537349000,1546582000,-9513000,123794000,373276000,74384000,601800000,null,871676000,null,117788000,248855000
IDXX,0000874716,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0000874716-19-000017,null,89451000,1.02,1.01,113044000,303099000,29023000,null,1537349000,1546582000,-9513000,123794000,34898000,23726000,null,null,234557000,null,14873000,248855000
IDXX,0000874716,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0000874716-19-000033,null,198142000,2.27,2.23,258638000,635538000,58533000,null,1537349000,1546582000,-9513000,123794000,153728000,51377000,null,null,482870000,null,43502000,248855000
IDXX,0000874716,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0000874716-19-000036,null,291393000,3.35,3.29,375988000,941181000,87725000,null,1537349000,1546582000,-9513000,123794000,264436000,82642000,null,null,722675000,null,59327000,248855000
IDXX,0000874716,2020,FY,10-K,2021-02-12,2018-12-31,2018-01-01,0000874716-21-000008,null,377031000,4.34,4.26,491335000,1241542000,117863000,null,1832475000,1654650000,177473000,90326000,400084000,115751000,699400000,null,971700000,null,80695000,269312000
IDXX,0000874716,2020,Q1,10-Q,2020-04-30,2019-03-31,2019-01-01,0000874716-20-000018,null,102681000,1.19,1.17,133138000,331597000,31514000,null,1832475000,1654650000,177473000,90326000,34378000,38206000,null,null,244459000,null,22083000,269312000
IDXX,0000874716,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0000874716-20-000031,null,228387000,2.65,2.61,297413000,689450000,63773000,null,1832475000,1654650000,177473000,90326000,171480000,71987000,null,null,506709000,null,52504000,269312000
