ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
INTC,0000050863,2016,FY,10-K,2017-02-17,2014-12-27,2013-12-29,0000050863-17-000012,null,11704000000,2.39,2.31,15347000000,35609000000,11537000000,8136000000,101459000000,null,58256000000,5674000000,null,10105000000,22707000000,null,null,20262000000,4097000000,4787000000
INTC,0000050863,2016,Q1,10-Q,2016-05-02,2015-03-28,2014-12-28,0000050863-16-000125,null,1992000000,0.42,0.41,2615000000,7730000000,2995000000,1953000000,101459000000,null,61085000000,2561000000,null,2025000000,22707000000,null,null,5115000000,681000000,4787000000
INTC,0000050863,2016,Q2,10-Q,2016-08-01,2015-06-27,2014-12-28,0000050863-16-000142,null,4698000000,0.99,0.96,5511000000,15978000000,6082000000,3902000000,101459000000,null,61085000000,2561000000,null,3792000000,22707000000,null,null,10467000000,958000000,4787000000
INTC,0000050863,2016,Q3,10-Q,2016-10-31,2015-09-26,2014-12-28,0000050863-16-000153,null,7807000000,1.64,1.59,9703000000,25089000000,9009000000,5812000000,101459000000,null,61085000000,2561000000,null,4998000000,22707000000,null,null,15386000000,2102000000,4787000000
INTC,0000050863,2017,FY,10-K,2018-02-16,2015-12-26,2014-12-28,0000050863-18-000007,null,11420000000,2.41,2.33,14002000000,34679000000,12128000000,7930000000,113327000000,null,55865000000,2561000000,null,7326000000,25258000000,null,null,20677000000,2792000000,4690000000
INTC,0000050863,2017,Q1,10-Q,2017-04-27,2016-04-02,2015-12-27,0000050863-17-000029,null,2046000000,0.43,0.42,2568000000,8130000000,3246000000,2226000000,113327000000,null,66226000000,15308000000,null,1346000000,null,null,null,5562000000,462000000,4690000000
INTC,0000050863,2017,Q2,10-Q,2017-07-27,2016-07-02,2015-12-27,0000050863-17-000041,null,3376000000,0.71,0.69,3886000000,16103000000,6391000000,4233000000,113327000000,null,66226000000,15308000000,null,3632000000,25337000000,null,null,12217000000,802000000,4690000000
INTC,0000050863,2017,Q3,10-Q,2017-10-26,2016-10-01,2015-12-27,0000050863-17-000048,null,6754000000,1.43,1.39,8348000000,26086000000,9460000000,6239000000,113327000000,null,66226000000,15308000000,null,6095000000,25337000000,null,null,17738000000,1742000000,4690000000
INTC,0000050863,2018,FY,10-K,2019-02-01,2016-12-31,2015-12-27,0000050863-19-000007,null,10316000000,2.18,2.12,13133000000,36233000000,12685000000,8377000000,123249000000,null,61085000000,15308000000,null,9625000000,26776000000,null,null,23100000000,2620000000,5607000000
INTC,0000050863,2018,Q1,10-Q,2018-04-27,2017-04-01,2017-01-01,0000050863-18-000013,null,2964000000,0.63,0.61,3632000000,9160000000,3311000000,2099000000,123249000000,null,69019000000,5560000000,null,1952000000,null,null,null,5528000000,851000000,5607000000
INTC,0000050863,2018,Q2,10-Q,2018-07-27,2017-07-01,2017-01-01,0000050863-18-000022,null,5772000000,1.22,1.19,7474000000,18256000000,6573000000,3949000000,123249000000,null,69019000000,5560000000,null,4730000000,null,null,null,10782000000,2615000000,5607000000
INTC,0000050863,2018,Q3,10-Q,2018-10-26,2017-09-30,2017-01-01,0000050863-18-000029,null,10288000000,2.19,2.12,12615000000,28320000000,9782000000,5610000000,123249000000,null,69019000000,5560000000,null,7709000000,null,null,null,15705000000,4029000000,5607000000
INTC,0000050863,2019,FY,10-K,2020-01-24,2017-12-30,2017-01-01,0000050863-20-000011,null,9601000000,2.04,1.99,18050000000,39098000000,13035000000,7452000000,127963000000,null,66226000000,null,22110000000,11778000000,25859000000,null,null,21048000000,10751000000,6722000000
INTC,0000050863,2019,Q1,10-Q,2019-04-26,2018-03-31,2017-12-31,0000050863-19-000013,null,4454000000,0.95,0.93,4470000000,9731000000,3311000000,1900000000,127963000000,null,69019000000,3433000000,null,2910000000,null,null,null,5261000000,557000000,6722000000
INTC,0000050863,2019,Q2,10-Q,2019-07-26,2018-06-30,2017-12-31,0000050863-19-000023,null,9460000000,2.03,1.98,9743000000,20150000000,6682000000,3625000000,127963000000,null,69019000000,3433000000,null,7440000000,null,null,null,10407000000,1080000000,6722000000
