ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
INTU,0000896878,2016,FY,10-K,2016-09-01,2014-07-31,2013-08-01,0000896878-16-000286,null,907000000,3.18,3.12,1300000000,null,714000000,null,4968000000,2636000000,3531000000,1009000000,1446000000,104000000,500000000,null,null,562000000,447000000,91000000
INTU,0000896878,2016,Q1,10-Q,2015-11-20,2014-10-31,2014-08-01,0000896878-15-000140,null,-84000000,-0.29,-0.29,-109000000,null,189000000,null,4968000000,2636000000,3078000000,849000000,-118000000,55000000,500000000,null,null,null,-35000000,91000000
INTU,0000896878,2016,Q2,10-Q,2016-02-25,2015-01-31,2014-08-01,0000896878-16-000197,null,-150000000,-0.53,-0.53,-198000000,null,377000000,null,4968000000,2636000000,3078000000,849000000,247000000,116000000,500000000,null,null,null,-69000000,91000000
INTU,0000896878,2016,Q3,10-Q,2016-05-24,2015-04-30,2014-08-01,0000896878-16-000225,null,351000000,1.24,1.22,868000000,null,583000000,null,4968000000,2636000000,3078000000,849000000,1722000000,183000000,500000000,null,null,null,335000000,91000000
INTU,0000896878,2017,FY,10-K,2017-09-01,2015-07-31,2014-08-01,0000896878-17-000130,null,365000000,1.3,1.28,738000000,null,798000000,null,4250000000,3089000000,3078000000,849000000,1589000000,142000000,488000000,null,null,576000000,299000000,108000000
INTU,0000896878,2017,Q1,10-Q,2016-11-18,2015-10-31,2015-08-01,0000896878-16-000316,null,-31000000,-0.11,-0.11,-29000000,null,213000000,null,4250000000,3089000000,2332000000,808000000,-188000000,70000000,488000000,null,null,null,-9000000,108000000
INTU,0000896878,2017,Q2,10-Q,2017-02-23,2016-01-31,2015-08-01,0000896878-17-000030,null,-7000000,-0.03,-0.03,13000000,null,418000000,null,4250000000,3089000000,2332000000,808000000,129000000,394000000,488000000,null,null,null,-10000000,108000000
INTU,0000896878,2017,Q3,10-Q,2017-05-23,2016-04-30,2015-08-01,0000896878-17-000048,null,1019000000,3.86,3.81,1298000000,null,646000000,null,4250000000,3089000000,2332000000,808000000,1741000000,449000000,488000000,null,null,null,419000000,108000000
INTU,0000896878,2018,FY,10-K,2018-08-31,2016-07-31,2015-08-01,0000896878-18-000171,4694000000,979000000,3.73,3.69,1242000000,null,881000000,null,4068000000,2714000000,2332000000,808000000,1460000000,416000000,438000000,null,null,656000000,397000000,103000000
INTU,0000896878,2018,Q1,10-Q,2017-11-20,2016-10-31,2016-08-01,0000896878-17-000170,null,-30000000,-0.12,-0.12,-61000000,null,246000000,null,4068000000,2714000000,1161000000,638000000,-205000000,86000000,438000000,null,null,null,-42000000,103000000
INTU,0000896878,2018,Q2,10-Q,2018-02-22,2017-01-31,2016-08-01,0000896878-18-000036,null,-17000000,-0.07,-0.07,-39000000,null,489000000,null,4068000000,2714000000,1161000000,638000000,87000000,132000000,438000000,null,null,null,-45000000,103000000
INTU,0000896878,2018,Q3,10-Q,2018-05-22,2017-04-30,2016-08-01,0000896878-18-000075,null,947000000,3.68,3.63,1405000000,null,735000000,null,4068000000,2714000000,1161000000,638000000,1889000000,178000000,438000000,null,null,null,430000000,103000000
INTU,0000896878,2019,FY,10-K,2019-08-30,2017-07-31,2016-08-01,0000896878-19-000132,5196000000,985000000,3.83,3.78,1418000000,null,998000000,null,5134000000,2318000000,1492000000,529000000,1599000000,102000000,388000000,null,null,747000000,405000000,98000000
INTU,0000896878,2019,Q1,10-Q,2018-11-20,2017-10-31,2017-08-01,0000896878-18-000212,null,-2000000,-0.01,-0.01,-35000000,null,293000000,null,5134000000,2318000000,1699000000,529000000,-78000000,50000000,388000000,null,null,null,-35000000,98000000
INTU,0000896878,2019,Q2,10-Q,2019-02-22,2018-01-31,2017-08-01,0000896878-19-000042,null,181000000,0.71,0.7,159000000,null,579000000,null,5134000000,2318000000,1699000000,478000000,174000000,77000000,388000000,null,null,null,-25000000,98000000
INTU,0000896878,2019,Q3,10-Q,2019-05-23,2018-04-30,2017-08-01,0000896878-19-000077,null,1367000000,5.34,5.25,1760000000,null,875000000,null,5134000000,2318000000,1699000000,1614000000,2149000000,97000000,388000000,null,null,null,392000000,98000000
INTU,0000896878,2020,FY,10-K,2020-08-31,2018-07-31,2017-08-01,0000896878-20-000148,6025000000,1329000000,5.18,5.09,1560000000,null,1186000000,null,6283000000,2534000000,1699000000,1464000000,2112000000,38000000,2048000000,null,null,779000000,237000000,87000000
INTU,0000896878,2020,Q1,10-Q,2019-11-21,2018-10-31,2018-08-01,0000896878-19-000174,null,34000000,0.13,0.13,-10000000,null,294000000,null,6283000000,2534000000,2816000000,1084000000,-143000000,35000000,386000000,null,null,null,-48000000,87000000
INTU,0000896878,2020,Q2,10-Q,2020-02-24,2019-01-31,2018-08-01,0000896878-20-000027,null,223000000,0.86,0.84,223000000,null,589000000,null,6283000000,2534000000,2816000000,1075000000,198000000,80000000,386000000,null,null,null,-2000000,87000000
INTU,0000896878,2020,Q3,10-Q,2020-05-21,2019-04-30,2018-08-01,0000896878-20-000065,null,1601000000,6.16,6.06,2007000000,null,900000000,null,6283000000,2534000000,2816000000,2946000000,2446000000,129000000,386000000,null,null,null,417000000,87000000
INTU,0000896878,2021,FY,10-K,2021-09-08,2019-07-31,2018-08-01,0000896878-21-000233,6784000000,1557000000,5.99,5.89,1854000000,null,1233000000,null,10931000000,5825000000,2816000000,2116000000,2324000000,76000000,2048000000,null,null,null,324000000,149000000
