ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ISRG,0001035267,2016,FY,10-K,2017-02-06,2014-12-31,2014-01-01,0001035267-17-000021,null,418800000,11.35,11.11,544800000,1413800000,178000000,691000000,4907300000,587800000,3501400000,782100000,665100000,null,null,null,717900000,869000000,130200000,394300000
ISRG,0001035267,2016,Q1,10-Q,2016-04-19,2015-03-31,2015-01-01,0001035267-16-000174,null,97000000,2.64,2.57,130400000,336800000,44400000,162000000,4907300000,587800000,4319500000,600300000,123700000,null,null,null,195300000,206400000,37700000,394300000
ISRG,0001035267,2016,Q2,10-Q,2016-07-20,2015-06-30,2015-01-01,0001035267-16-000215,null,231500000,6.29,6.14,304200000,723300000,93800000,325300000,4907300000,587800000,4319500000,600300000,308800000,null,null,null,394900000,419100000,81600000,394300000
ISRG,0001035267,2016,Q3,10-Q,2016-10-19,2015-09-30,2015-01-01,0001035267-16-000240,null,398800000,10.78,10.55,494100000,1119100000,144800000,480200000,4907300000,587800000,4319500000,600300000,488500000,null,null,null,588800000,625000000,107900000,394300000
ISRG,0001035267,2017,FY,10-K,2018-02-02,2015-12-31,2015-01-01,0001035267-18-000013,null,588800000,5.29,5.18,740000000,1577900000,197400000,640500000,6486900000,709100000,5777800000,600300000,806200000,null,null,null,806500000,837900000,169700000,430200000
ISRG,0001035267,2017,Q1,10-Q,2017-04-19,2016-03-31,2016-01-01,0001035267-17-000063,null,136400000,3.62,3.54,179000000,405000000,53200000,172800000,6486900000,709100000,5777800000,714600000,226800000,null,null,null,189500000,226000000,48100000,430200000
ISRG,0001035267,2017,Q2,10-Q,2017-07-21,2016-06-30,2016-01-01,0001035267-17-000101,null,320900000,8.44,8.25,424400000,875900000,107900000,343600000,6486900000,709100000,5777800000,714600000,488500000,null,null,null,388700000,451500000,117000000,430200000
ISRG,0001035267,2017,Q3,10-Q,2017-10-20,2016-09-30,2016-01-01,0001035267-17-000147,null,531900000,4.64,4.52,680800000,1362900000,170500000,511600000,6486900000,709100000,5777800000,714600000,757300000,null,null,null,584600000,682100000,172800000,430200000
ISRG,0001035267,2018,FY,10-K,2019-02-04,2016-12-31,2016-01-01,0001035267-19-000012,null,738300000,6.43,6.26,949700000,1892900000,239600000,703600000,5776800000,996400000,4778800000,648200000,1087000000,null,null,null,null,943200000,247000000,507900000
ISRG,0001035267,2018,Q1,10-Q,2018-04-18,2017-03-31,2017-01-01,0001035267-18-000048,null,180800000,1.62,1.57,193400000,469800000,73500000,202900000,5776800000,996400000,4778800000,648200000,241500000,null,null,null,209800000,276400000,21300000,507900000
