ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
KHC,0001637459,2016,FY,10-K,2017-02-23,2014-12-28,2013-12-30,0001637459-17-000007,null,657000000,-0.17,-0.17,1568000000,3277000000,58000000,1709000000,122973000000,56737000000,57685000000,2459000000,2140000000,399000000,null,null,null,null,131000000,871000000
KHC,0001637459,2016,Q1,10-Q,2016-05-05,2015-03-29,2014-12-29,0001637459-16-000147,null,276000000,0.26,0.24,509000000,847000000,null,338000000,122973000000,56737000000,57685000000,2298000000,-83000000,53000000,null,null,null,null,68000000,871000000
KHC,0001637459,2016,Q2,10-Q,2016-08-05,2015-06-28,2014-12-29,0001637459-16-000179,null,112000000,-0.66,-0.66,953000000,1729000000,null,776000000,122973000000,56737000000,57685000000,2298000000,411000000,163000000,null,null,null,null,33000000,871000000
KHC,0001637459,2016,Q3,10-Q,2016-11-04,2015-09-27,2014-12-29,0001637459-16-000207,null,-11000000,-0.87,-0.87,1352000000,3357000000,null,2005000000,122973000000,56737000000,57685000000,2298000000,746000000,366000000,null,null,null,null,-16000000,871000000
KHC,0001637459,2017,FY,10-K,2018-02-16,2016-01-03,2014-12-29,0001637459-18-000015,null,634000000,-0.34,-0.34,2639000000,5761000000,105000000,3122000000,120480000000,62906000000,57358000000,4204000000,1272000000,648000000,null,null,null,null,366000000,769000000
KHC,0001637459,2017,Q1,10-Q,2017-05-04,2016-04-03,2016-01-04,0001637459-17-000081,null,896000000,0.74,0.73,1513000000,2378000000,null,865000000,120480000000,62906000000,57358000000,4204000000,270000000,303000000,null,null,null,null,372000000,769000000
KHC,0001637459,2017,Q2,10-Q,2017-08-04,2016-07-03,2016-01-04,0001637459-17-000101,null,1846000000,1.37,1.36,3149000000,4909000000,null,1760000000,120480000000,62906000000,57358000000,4204000000,2104000000,514000000,null,null,null,null,783000000,769000000
KHC,0001637459,2017,Q3,10-Q,2017-11-07,2016-10-02,2016-01-04,0001637459-17-000118,null,2688000000,2.06,2.05,4562000000,7127000000,null,2565000000,120480000000,62906000000,57358000000,4204000000,1016000000,836000000,null,null,null,null,1045000000,769000000
KHC,0001637459,2018,FY,10-K,2019-06-07,2016-12-31,2016-01-04,0001637459-19-000049,null,3596000000,2.81,2.78,5601000000,9146000000,120000000,3545000000,120946000000,63128000000,57606000000,3242000000,2648000000,1247000000,null,null,null,null,1333000000,936000000
KHC,0001637459,2018,Q1,10-Q,2018-05-03,2017-04-01,2017-01-01,0001637459-18-000099,null,893000000,0.73,0.73,1433000000,2199000000,null,766000000,120232000000,53985000000,66034000000,1629000000,-615000000,368000000,null,null,null,null,359000000,921000000
