ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
KLAC,0000319201,2016,FY,10-K,2016-08-05,2014-06-30,2013-07-01,0000319201-16-000090,null,582755000,3.51,3.47,null,354434000,539469000,384907000,4826012000,4404573000,3482152000,985390000,778886000,67502000,3190416000,null,1232962000,null,151706000,585494000
KLAC,0000319201,2016,Q1,10-Q,2015-10-22,2014-09-30,2014-07-01,0000319201-15-000060,null,72233000,0.44,0.43,null,null,143637000,101644000,4826012000,4404573000,421439000,630861000,34926000,13445000,3190416000,null,288467000,null,26774000,585494000
KLAC,0000319201,2016,Q2,10-Q,2016-01-28,2014-12-31,2014-07-01,0000319201-16-000065,null,92501000,0.56,0.56,null,null,277194000,206517000,4826012000,4404573000,421439000,630861000,46010000,26228000,3190416000,null,571680000,null,238000,585494000
KLAC,0000319201,2016,Q3,10-Q,2016-04-26,2015-03-31,2014-07-01,0000319201-16-000077,null,224139000,1.37,1.36,null,null,401777000,305125000,4826012000,4404573000,421439000,630861000,288427000,36554000,3190416000,null,891962000,null,35054000,585494000
KLAC,0000319201,2017,FY,10-K,2017-08-04,2015-06-30,2014-07-01,0000319201-17-000034,null,366158000,2.26,2.24,null,372400000,530616000,406864000,4962432000,4273318000,3669346000,630861000,605906000,45791000,3057936000,null,1215229000,null,67973000,613233000
KLAC,0000319201,2017,Q1,10-Q,2016-10-20,2015-09-30,2015-07-01,0000319201-16-000104,null,104897000,0.67,0.66,null,null,119943000,91663000,4962432000,4273318000,689114000,838025000,193782000,7341000,3057936000,null,270244000,null,29402000,613233000
KLAC,0000319201,2017,Q2,10-Q,2017-01-27,2015-12-31,2015-07-01,0000319201-17-000006,null,257104000,1.65,1.64,null,null,238215000,188195000,4962432000,4273318000,689114000,838025000,294106000,15279000,3057936000,null,551224000,null,62670000,613233000
KLAC,0000319201,2017,Q3,10-Q,2017-04-28,2016-03-31,2015-07-01,0000319201-17-000017,null,432881000,2.78,2.76,null,null,353804000,275602000,4962432000,4273318000,689114000,838025000,405603000,24233000,3057936000,null,825823000,null,96824000,613233000
KLAC,0000319201,2018,FY,10-K,2018-08-06,2016-06-30,2015-07-01,0000319201-18-000045,null,704422000,4.52,4.49,null,472837000,481258000,379399000,5532173000,4205756000,421439000,838025000,759696000,31741000,2930457000,null,1163391000,null,153770000,571117000
KLAC,0000319201,2018,Q1,10-Q,2017-10-27,2016-09-30,2016-07-01,0000319201-17-000045,null,178101000,1.14,1.13,null,null,129233000,94388000,5532173000,4205756000,1326417000,1108488000,169777000,9883000,2930457000,null,277836000,null,44119000,571117000
KLAC,0000319201,2018,Q2,10-Q,2018-01-26,2016-12-31,2016-07-01,0000319201-18-000008,null,416352000,2.66,2.65,null,null,260145000,187920000,5532173000,4205756000,1326417000,1108488000,392190000,18512000,2930457000,null,596343000,null,112713000,571117000
KLAC,0000319201,2018,Q3,10-Q,2018-04-27,2017-03-31,2016-07-01,0000319201-18-000021,null,669914000,4.28,4.26,null,null,390315000,284172000,5532173000,4205756000,1326417000,1108488000,617028000,27926000,2930457000,null,939617000,null,178300000,571117000
KLAC,0000319201,2019,FY,10-K,2019-08-16,2017-06-30,2016-07-01,0000319201-19-000031,null,926076000,5.92,5.88,null,616464000,526688000,388211000,5638619000,4018108000,1620511000,1404382000,1079665000,38594000,2237402000,null,1286215000,null,247170000,651678000
KLAC,0000319201,2019,Q1,10-Q,2018-10-31,2017-09-30,2017-07-01,0000319201-18-000055,null,280936000,1.79,1.78,null,null,146687000,107432000,5619356000,3998845000,1620511000,1153051000,373629000,15756000,2237402000,null,353117000,null,55216000,651678000
KLAC,0000319201,2019,Q2,10-Q,2019-01-29,2017-12-31,2017-07-01,0000319201-19-000009,null,146617000,0.94,0.93,null,null,303387000,212697000,5619356000,3998845000,1620511000,1153051000,503000000,29125000,2237402000,null,700119000,null,536842000,651678000
KLAC,0000319201,2019,Q3,10-Q,2019-05-08,2018-03-31,2017-07-01,0000319201-19-000018,null,453498000,2.9,2.88,null,null,456626000,325934000,5638619000,4018108000,1620511000,1404382000,855607000,44119000,2237402000,null,1068475000,null,595944000,651678000
KLAC,0000319201,2020,FY,10-K,2020-08-10,2018-06-30,2017-07-01,0000319201-20-000047,null,802265000,5.13,5.1,null,711873000,608531000,442304000,9008516000,6330823000,2659108000,null,1229120000,66947000,3423382000,null,1446041000,null,653666000,635878000
KLAC,0000319201,2020,Q1,10-Q,2019-10-31,2018-09-30,2018-07-01,0000319201-19-000039,null,395944000,2.55,2.54,null,null,153530000,114438000,9008516000,6330823000,2659108000,1015994000,381405000,22330000,3423382000,null,381387000,null,31624000,990113000
KLAC,0000319201,2020,Q2,10-Q,2020-02-05,2018-09-30,2018-07-01,0000319201-20-000008,null,395944000,4.98,4.96,null,null,319433000,226900000,9008516000,6330823000,2659108000,1015994000,663577000,48696000,3423382000,null,789647000,null,78487000,990113000
KLAC,0000319201,2020,Q3,10-Q,2020-05-06,2018-09-30,2018-07-01,0000319201-20-000026,null,395944000,6.2,6.17,null,null,504320000,409084000,9008516000,6330823000,2659108000,1015994000,827171000,74652000,3423382000,null,1276592000,null,107232000,990113000
KLAC,0000319201,2021,FY,10-K,2021-08-06,2019-06-30,2018-07-01,0000319201-21-000029,null,1175617000,7.53,7.49,null,809173000,711030000,599124000,9279960000,6598950000,2665424000,1234409000,1152632000,130498000,3469670000,null,1869377000,null,121214000,990113000
KLAC,0000319201,2021,Q1,10-Q,2020-10-30,2019-09-30,2019-07-01,0000319201-20-000057,null,346525000,2.18,2.16,null,null,210580000,188345000,9279960000,6598950000,2665424000,1234409000,496245000,32566000,3469670000,null,604241000,null,25120000,1107413000
KLAC,0000319201,2021,Q2,10-Q,2021-02-04,2019-09-30,2019-07-01,0000319201-21-000008,null,346525000,4.6,4.56,null,null,431331000,380598000,9279960000,6598950000,2665424000,1234409000,883976000,67440000,3469670000,null,1237859000,null,69742000,1107413000
KLAC,0000319201,2021,Q3,10-Q,2021-04-30,2019-09-30,2019-07-01,0000319201-21-000017,null,346525000,5.12,5.08,null,null,646764000,566358000,9279960000,6598950000,2665424000,1234409000,1326004000,110885000,3469670000,null,1828017000,null,106932000,1107413000
KLAC,0000319201,2022,FY,10-K,2022-08-05,2020-06-30,2019-07-01,0000319201-22-000023,null,1216785000,7.76,7.7,null,null,863864000,734149000,10271124000,6895482000,3377554000,1434610000,1778850000,152675000,3422767000,null,2449561000,null,101686000,1107413000
KLAC,0000319201,2022,Q1,10-Q,2021-10-28,2020-09-30,2020-07-01,0000319201-21-000037,null,420567000,2.71,2.69,null,null,219038000,172631000,10271124000,6895482000,3377554000,1434610000,512171000,55925000,3422767000,null,620562000,null,63664000,1305479000
KLAC,0000319201,2022,Q2,10-Q,2022-01-28,2020-09-30,2020-07-01,0000319201-22-000006,null,420567000,5.67,5.62,null,null,448102000,354540000,10271124000,6895482000,3377554000,1434610000,1073252000,115069000,3422767000,null,1290295000,null,134083000,1305479000
KLAC,0000319201,2022,Q3,10-Q,2022-04-29,2020-09-30,2020-07-01,0000319201-22-000012,null,420567000,9.36,9.28,null,null,687059000,537580000,10271124000,6895482000,3377554000,1434610000,1719402000,176252000,3422767000,null,1999924000,null,207316000,1305479000
KLAC,0000319201,2023,FY,10-K,2023-08-04,2021-06-30,2020-07-01,0000319201-23-000031,null,2078292000,13.49,13.37,null,null,928487000,729602000,12597088000,11197998000,1401351000,1584908000,2185026000,231628000,6660718000,null,2772165000,null,283101000,1305479000
KLAC,0000319201,2023,Q1,10-Q,2022-10-28,2021-09-30,2021-07-01,0001628280-22-027311,null,1068417000,7.01,6.96,null,null,258153000,193261000,12597088000,11197998000,1401351000,1584908000,863797000,68955000,6660718000,null,813624000,null,-302137000,1811877000
KLAC,0000319201,2023,Q2,10-Q,2023-01-27,2021-09-30,2021-07-01,0000319201-23-000010,null,1068417000,11.77,11.68,null,null,523184000,406740000,12597088000,11197998000,1401351000,1584908000,1674595000,133856000,6660718000,null,1721786000,null,-92749000,1811877000
KLAC,0000319201,2023,Q3,10-Q,2023-04-28,2021-09-30,2021-07-01,0000319201-23-000020,null,1068417000,16.64,16.52,null,null,808373000,623229000,12597088000,11197998000,1401351000,1584908000,2493473000,234160000,6660718000,null,2613877000,null,22876000,1811877000
KLAC,0000319201,2024,FY,10-K,2024-08-05,2022-06-30,2021-07-01,0000319201-24-000021,null,3321807000,22.07,21.92,null,null,1105254000,860007000,14072357000,11152604000,2919753000,1927865000,3312702000,307320000,5890736000,null,3592441000,null,167177000,1811877000
KLAC,0000319201,2024,Q1,10-Q,2023-10-27,2022-09-30,2022-07-01,0000319201-23-000039,null,1025991000,7.23,7.2,null,null,318515000,253980000,14072357000,11152604000,null,1927865000,1011545000,84352000,5890736000,null,1041226000,null,43963000,1753361000
KLAC,0000319201,2024,Q2,10-Q,2024-01-26,2022-09-30,2022-07-01,0000319201-24-000006,null,1025991000,14.16,14.09,null,null,651341000,497076000,14072357000,11152604000,2919753000,1927865000,1699835000,177994000,5890736000,null,2250012000,null,208141000,1753361000
KLAC,0000319201,2024,Q3,10-Q,2024-04-26,2022-09-30,2022-07-01,0000319201-24-000012,null,1025991000,19.26,19.16,null,null,979617000,735469000,14072357000,11152604000,2919753000,1927865000,2710690000,262908000,5890736000,null,3255358000,null,310987000,1753361000
KLAC,0000319201,2025,FY,10-K,2025-08-08,2023-06-30,2022-07-01,0000319201-25-000024,null,3387277000,24.28,24.15,null,null,1296727000,986326000,15433566000,12065238000,3368328000,1977129000,3669805000,341591000,5880199000,null,4218307000,null,401839000,1753361000
KLAC,0000319201,2025,Q1,10-Q,2024-10-31,2023-09-30,2023-07-01,0000319201-24-000027,null,741375000,5.43,5.41,null,null,311214000,239645000,15433566000,12065238000,3368328000,1977129000,883740000,68045000,5880199000,null,946891000,null,110336000,1833041000
KLAC,0000319201,2025,Q2,10-Q,2025-01-31,2023-09-30,2023-07-01,0000319201-25-000006,null,741375000,9.74,9.69,null,null,631632000,476889000,15433566000,12065238000,3368328000,1977129000,1505982000,144846000,5880199000,null,1923637000,null,219072000,1833041000
KLAC,0000319201,2025,Q3,10-Q,2025-05-01,2023-09-30,2023-07-01,0000319201-25-000012,null,741375000,14.2,14.11,null,null,953222000,714403000,15433566000,12065238000,3368328000,1977129000,2415960000,216639000,5880199000,null,2917522000,null,319539000,1833041000
KLAC,0000319201,2026,Q1,10-Q,2025-10-31,2024-09-30,2024-07-01,0000319201-25-000034,null,945851000,7.05,7.01,null,null,323145000,251042000,16067926000,11375473000,3368328000,2078908000,995238000,60393000,5884257000,null,1147431000,null,132836000,2263915000
