ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
LIN,0001707925,2017,Q3,10-Q,2017-10-30,2017-06-30,2017-04-18,0001707925-17-000008,null,-462640,-30.14,-30.14,-753465,null,null,null,9067652,null,-462640,83342,-34798,null,null,null,null,null,null,null
LIN,0001707925,2017,Q4,10-K,2018-03-23,2017-06-30,2017-04-18,0001707925-18-000004,null,-462640,null,-18.51,-462640,null,null,null,9214424,null,-1931845,84862,-34798,null,null,null,null,null,null,null
LIN,0001707925,2018,FY,10-K,2019-03-18,2016-12-31,2016-01-01,0001628280-19-003050,null,1500000000,5.25,5.21,2247000000,null,92000000,1145000000,20436000000,13914000000,6018000000,147000000,null,1465000000,8762000000,null,null,null,551000000,1710000000
LIN,0001707925,2018,Q3,10-Q,2018-11-09,2017-09-30,2017-04-18,0001707925-18-000033,null,-753465,null,-30.14,-753465,null,null,null,9214424,null,-1931845,83342,-34798,null,null,null,null,null,0,null
LIN,0001707925,2019,FY,10-K,2020-03-02,2017-12-31,2017-01-01,0001707925-20-000015,null,1247000000,4.36,4.32,2444000000,null,93000000,1207000000,93386000000,36290000000,51596000000,4466000000,null,1311000000,13811000000,null,null,null,1026000000,4297000000
LIN,0001707925,2019,Q1,10-Q,2019-05-10,2018-03-31,2018-01-01,0001628280-19-006519,null,462000000,1.61,1.59,653000000,null,24000000,310000000,93386000000,36290000000,51596000000,4466000000,null,325000000,13811000000,null,null,null,148000000,4297000000
LIN,0001707925,2019,Q2,10-Q,2019-08-09,2018-06-30,2018-01-01,0001707925-19-000059,null,942000000,3.27,3.24,1342000000,null,48000000,617000000,93386000000,36290000000,51596000000,4466000000,null,676000000,13811000000,null,null,null,306000000,4297000000
LIN,0001707925,2019,Q3,10-Q,2019-11-12,2018-09-30,2018-01-01,0001707925-19-000076,null,1403000000,4.87,4.82,2011000000,null,71000000,911000000,93386000000,36290000000,51596000000,4466000000,null,1056000000,13811000000,null,null,null,462000000,4297000000
LIN,0001707925,2020,FY,10-K,2021-03-01,2018-12-31,2018-01-01,0001628280-21-003574,null,4381000000,13.26,13.11,5247000000,null,113000000,1629000000,86612000000,34977000000,49074000000,2700000000,null,1883000000,12224000000,null,null,null,817000000,4322000000
LIN,0001707925,2020,Q1,10-Q,2020-05-07,2019-03-31,2019-01-01,0001707925-20-000047,null,517000000,0.95,0.94,609000000,null,46000000,879000000,86612000000,34977000000,49074000000,2700000000,null,843000000,12224000000,null,null,null,140000000,4322000000
LIN,0001707925,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0001628280-20-011079,null,1039000000,1.91,1.9,1278000000,null,91000000,1763000000,86612000000,34977000000,49074000000,2700000000,null,1708000000,12224000000,null,null,null,309000000,4322000000
LIN,0001707925,2020,Q3,10-Q,2020-11-05,2019-09-30,2019-01-01,0001628280-20-015678,null,1774000000,3.27,3.25,2278000000,null,135000000,2613000000,86612000000,34977000000,49074000000,2700000000,null,2667000000,12224000000,null,null,null,607000000,4322000000
LIN,0001707925,2021,FY,10-K,2022-02-28,2019-12-31,2019-01-01,0001628280-22-004180,null,2285000000,4.22,4.19,2933000000,null,184000000,3457000000,88229000000,38647000000,47317000000,3754000000,null,3682000000,12903000000,null,null,null,769000000,4167000000
LIN,0001707925,2021,Q1,10-Q,2021-05-06,2020-03-31,2020-01-01,0001628280-21-009226,null,573000000,1.07,1.07,733000000,null,44000000,861000000,88229000000,38647000000,47317000000,3754000000,1347000000,803000000,12903000000,null,null,null,165000000,4167000000
LIN,0001707925,2021,Q2,10-Q,2021-07-30,2020-06-30,2020-01-01,0001628280-21-015013,null,1031000000,1.95,1.93,1324000000,null,78000000,1621000000,88229000000,38647000000,47317000000,3754000000,3111000000,1586000000,12903000000,null,null,null,329000000,4167000000
LIN,0001707925,2021,Q3,10-Q,2021-10-29,2020-09-30,2020-01-01,0001628280-21-020801,null,1731000000,3.29,3.26,2293000000,null,114000000,2391000000,88229000000,38647000000,47317000000,3754000000,4995000000,2373000000,12903000000,null,null,null,594000000,4167000000
LIN,0001707925,2022,FY,10-K,2023-02-28,2020-12-31,2020-01-01,0001628280-23-005434,null,2501000000,4.75,4.71,3322000000,null,152000000,3193000000,81605000000,36164000000,44035000000,2823000000,7429000000,3400000000,13044000000,null,null,null,847000000,4499000000
LIN,0001707925,2022,Q1,10-Q,2022-05-02,2021-03-31,2021-01-01,0001628280-22-011722,null,980000000,1.87,1.86,1213000000,null,35000000,787000000,81605000000,36164000000,44035000000,2823000000,2109000000,762000000,13044000000,null,null,null,268000000,4499000000
LIN,0001707925,2022,Q2,10-Q,2022-07-28,2021-06-30,2021-01-01,0001628280-22-019683,null,1821000000,3.49,3.46,2355000000,null,69000000,1609000000,81605000000,36164000000,44035000000,2823000000,3936000000,1506000000,13044000000,null,null,null,602000000,4499000000
LIN,0001707925,2022,Q3,10-Q,2022-10-27,2021-09-30,2021-01-01,0001628280-22-027183,null,2800000000,5.4,5.35,3647000000,null,105000000,2402000000,81605000000,36164000000,44035000000,2823000000,6492000000,2247000000,13044000000,null,null,null,923000000,4499000000
LIN,0001707925,2023,FY,10-K,2024-02-28,2021-12-31,2021-01-01,0001628280-24-007424,null,3826000000,7.4,7.33,4984000000,null,143000000,3189000000,79658000000,38271000000,40028000000,5436000000,9725000000,3086000000,13797000000,null,null,null,1262000000,4559000000
LIN,0001707925,2023,Q1,10-Q,2023-04-27,2022-03-31,2022-01-01,0001628280-23-013457,null,1174000000,2.31,2.3,1480000000,null,35000000,802000000,79658000000,38271000000,40028000000,5436000000,2000000000,649000000,13797000000,null,null,null,369000000,4559000000
LIN,0001707925,2023,Q2,10-Q,2023-07-27,2022-06-30,2022-01-01,0001628280-23-025878,null,1546000000,3.07,3.04,2069000000,null,72000000,1573000000,79658000000,38271000000,40028000000,5436000000,4133000000,1475000000,13797000000,null,null,null,655000000,4559000000
LIN,0001707925,2023,Q3,10-Q,2023-10-26,2022-09-30,2022-01-01,0001628280-23-035251,null,2819000000,5.62,5.57,3682000000,null,107000000,2343000000,79658000000,38271000000,40028000000,5436000000,6769000000,2237000000,13797000000,null,null,null,1046000000,4559000000
LIN,0001707925,2024,FY,10-K,2025-02-26,2022-12-31,2022-01-01,0001628280-25-007990,null,4147000000,8.3,8.23,5369000000,null,143000000,3107000000,80811000000,39716000000,39720000000,4664000000,8864000000,3173000000,14660000000,null,null,null,1434000000,4718000000
LIN,0001707925,2024,Q1,10-Q,2024-05-02,2023-03-31,2023-01-01,0001707925-24-000090,null,1516000000,3.08,3.06,1933000000,null,36000000,822000000,80811000000,39716000000,39720000000,4664000000,1908000000,829000000,14660000000,null,null,null,430000000,4718000000
LIN,0001707925,2024,Q2,10-Q,2024-08-02,2023-06-30,2023-01-01,0001628280-24-034299,null,3091000000,6.3,6.25,3944000000,null,71000000,1655000000,80811000000,39716000000,39720000000,4664000000,4058000000,1688000000,14660000000,null,null,null,868000000,4718000000
LIN,0001707925,2024,Q3,10-Q,2024-10-31,2023-09-30,2023-01-01,0001628280-24-044457,null,4656000000,9.51,9.43,5996000000,null,107000000,2463000000,80811000000,39716000000,39720000000,4664000000,6578000000,2636000000,14660000000,null,null,null,1355000000,4718000000
LIN,0001707925,2025,Q1,10-Q,2025-05-01,2024-03-31,2024-01-01,0001628280-25-021379,null,1627000000,3.38,3.35,2095000000,null,38000000,860000000,80147000000,40659000000,38092000000,4850000000,1954000000,1048000000,17400000000,null,null,null,463000000,4622000000
LIN,0001707925,2025,Q2,10-Q,2025-08-01,2024-06-30,2024-01-01,0001628280-25-037164,null,3290000000,6.84,6.79,4279000000,null,74000000,1700000000,80147000000,40659000000,38092000000,4850000000,3883000000,2181000000,17400000000,null,null,null,971000000,4622000000
LIN,0001707925,2025,Q3,10-Q,2025-10-31,2024-09-30,2024-01-01,0001628280-25-047710,null,4840000000,10.09,10.02,6365000000,null,111000000,2523000000,80147000000,40659000000,38092000000,4850000000,6614000000,3247000000,17400000000,null,null,null,1469000000,4622000000
