ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
LRCX,0000707549,2016,FY,10-K,2016-08-17,2014-06-29,2013-07-01,0000707549-16-000050,null,632289000,3.84,3.62,677669000,2007481000,716471000,613341000,9364648000,4019696000,4488872000,1162473000,null,null,2352086000,null,null,1329812000,91074000,1093582000
LRCX,0000707549,2016,Q1,10-Q,2015-11-03,2014-09-28,2014-06-30,0001193125-15-364406,null,141081000,0.87,0.8,168298000,505539000,188934000,148307000,9364648000,4019696000,5103144000,1452677000,null,null,null,null,null,337241000,21569000,1093582000
LRCX,0000707549,2016,Q2,10-Q,2016-02-03,2014-12-28,2014-06-30,0001628280-16-010687,null,318021000,1.98,1.8,357039000,1042196000,385702000,299455000,9364648000,4019696000,5103144000,1452677000,null,null,null,null,null,685157000,23571000,1093582000
LRCX,0000707549,2016,Q3,10-Q,2016-04-25,2015-03-29,2014-06-30,0000707549-16-000014,null,524306000,3.28,2.96,597004000,1642798000,603567000,442227000,9364648000,4019696000,5103144000,1452677000,null,null,null,null,null,1045794000,45862000,1093582000
LRCX,0000707549,2017,FY,10-K,2017-08-15,2015-06-28,2014-06-30,0000707549-17-000100,null,655577000,4.11,3.7,788039000,2284336000,825242000,591611000,12264315000,6162246000,5029735000,1452677000,null,null,4318461000,null,null,1496297000,85273000,1262145000
LRCX,0000707549,2017,Q1,10-Q,2016-10-25,2015-09-27,2015-06-29,0000707549-16-000085,null,288679000,1.82,1.66,335428000,722363000,234209000,152726000,12264315000,6162246000,5894517000,1501539000,null,null,4318461000,null,null,386935000,19628000,1262145000
LRCX,0000707549,2017,Q2,10-Q,2017-01-30,2015-12-27,2015-06-29,0000707549-17-000010,null,511659000,3.23,2.94,574262000,1348873000,454963000,319648000,12264315000,6162246000,5894517000,1501539000,null,null,4318461000,null,null,774611000,5547000,1262145000
LRCX,0000707549,2017,Q3,10-Q,2017-04-24,2016-03-27,2015-06-29,0000707549-17-000056,null,655110000,4.13,3.76,765015000,1920138000,676457000,478666000,12264315000,6162246000,5894517000,1501539000,null,null,4318461000,null,null,1155123000,23015000,1262145000
LRCX,0000707549,2018,FY,10-K,2018-08-14,2016-06-26,2015-06-29,0000707549-18-000115,null,914049000,5.75,5.22,1074256000,2618922000,913712000,630954000,12122765000,5135453000,5103144000,1501539000,null,null,2686658000,null,null,1544666000,46068000,1673398000
LRCX,0000707549,2018,Q1,10-Q,2017-10-23,2016-09-25,2016-06-27,0000707549-17-000139,null,263835000,1.64,1.47,315947000,716197000,235240000,165010000,12122765000,5135453000,6817451000,5039322000,null,null,2686658000,null,null,400250000,28958000,1673398000
LRCX,0000707549,2018,Q2,10-Q,2018-01-30,2016-12-25,2016-06-27,0000707549-18-000016,null,596626000,3.69,3.28,755775000,1562994000,482044000,325175000,12122765000,5135453000,6817451000,5039322000,null,null,2686658000,null,null,807219000,80972000,1673398000
LRCX,0000707549,2018,Q3,10-Q,2018-04-24,2017-03-26,2016-06-27,0000707549-18-000084,null,1171339000,7.22,6.4,1294193000,2534398000,748030000,492175000,12122765000,5135453000,6817451000,5039322000,null,null,2686658000,null,null,1240205000,36839000,1673398000
LRCX,0000707549,2019,FY,10-K,2019-08-20,2017-06-25,2016-06-27,0000707549-19-000124,null,1697763000,10.47,9.24,1902132000,3603359000,1033742000,667485000,12479478000,5899435000,5894517000,2377534000,2029282000,null,2368748000,null,null,1701227000,113910000,2176936000
LRCX,0000707549,2019,Q1,10-Q,2018-10-23,2017-09-24,2017-06-26,0000707549-18-000125,null,590690000,3.64,3.21,693222000,1149343000,275078000,181043000,12479478000,5899435000,6817451000,2406462000,858306000,null,2368748000,null,null,456121000,97030000,2176936000
LRCX,0000707549,2019,Q2,10-Q,2019-01-30,2017-12-24,2017-06-26,0000707549-19-000008,null,580735000,3.59,3.16,1430593000,2354910000,556389000,367928000,12479478000,5899435000,6817451000,1745173000,887010000,null,2368748000,null,null,924317000,841204000,2176936000
LRCX,0000707549,2019,Q3,10-Q,2019-04-30,2018-03-25,2017-06-26,0000707549-19-000078,null,1359535000,8.4,7.45,2258104000,3685624000,861801000,565719000,12479478000,5899435000,6817451000,4698995000,1937389000,null,2368748000,null,null,1427520000,834105000,2176936000
LRCX,0000707549,2020,FY,10-K,2020-08-18,2018-06-24,2017-06-26,0000707549-20-000138,null,2380681000,14.73,13.17,3213299000,5165032000,1189514000,762219000,12001333000,7278029000,6817451000,4512257000,2655747000,null,4430011000,null,null,1951733000,771108000,1455522000
LRCX,0000707549,2020,Q1,10-Q,2019-10-29,2018-09-23,2018-06-25,0000707549-19-000163,null,533360000,3.43,3.23,591751000,1058198000,291672000,174775000,12001333000,7278029000,6501851000,2568085000,720286000,null,4430011000,null,null,466447000,58014000,1455522000
LRCX,0000707549,2020,Q2,10-Q,2020-02-04,2018-12-23,2018-06-25,0000707549-20-000020,null,1102215000,7.1,6.73,1282130000,2203231000,577228000,343873000,12001333000,7278029000,6501851000,3359793000,1362705000,null,4430011000,null,null,921101000,148889000,1455522000
LRCX,0000707549,2020,Q3,10-Q,2020-04-28,2019-03-31,2018-06-25,0000707549-20-000081,null,1649605000,10.72,10.2,1847647000,3277568000,895742000,534179000,12001333000,7278029000,6501851000,4931611000,2295526000,null,4430011000,null,null,1429921000,187548000,1455522000
LRCX,0000707549,2021,FY,10-K,2021-08-17,2019-06-30,2018-06-25,0000707549-21-000136,null,2191430000,14.37,13.7,2464732000,4358459000,1191320000,702407000,14559047000,9375558000,6501851000,3658219000,3176013000,null,5795478000,null,null,1893727000,255141000,2097099000
LRCX,0000707549,2021,Q1,10-Q,2020-10-27,2019-09-29,2019-07-01,0000707549-20-000173,null,465789000,3.22,3.09,537455000,981710000,286827000,157428000,14559047000,9375558000,4673865000,4607182000,464047000,null,5795478000,null,null,444255000,58938000,2097099000
LRCX,0000707549,2021,Q2,10-Q,2021-02-02,2019-12-29,2019-07-01,0000707549-21-000017,null,980299000,6.79,6.52,1223966000,2161354000,605688000,331700000,14559047000,9375558000,4673865000,3035887000,771975000,null,5795478000,null,null,937388000,217015000,2097099000
LRCX,0000707549,2021,Q3,10-Q,2021-04-28,2020-03-29,2019-07-01,0000707549-21-000089,null,1555080000,10.75,10.39,1918080000,3328361000,913602000,496679000,14559047000,9375558000,4673865000,3961586000,1313403000,null,5795478000,null,null,1410281000,271729000,2097099000
LRCX,0000707549,2022,FY,10-K,2022-08-24,2020-06-28,2019-07-01,0000707549-22-000107,null,2251753000,15.55,15.1,2673802000,4608693000,1252412000,682479000,15892152000,9864964000,4673865000,4915172000,2126451000,null,4960935000,null,null,1934891000,323225000,3026430000
LRCX,0000707549,2022,Q1,10-Q,2021-10-26,2020-09-27,2020-06-29,0000707549-21-000155,null,823451000,5.67,5.59,961064000,1506179000,355367000,189748000,15892152000,9864964000,5172494000,4129067000,642511000,null,4960935000,null,null,545115000,98821000,3026430000
LRCX,0000707549,2022,Q2,10-Q,2022-02-01,2020-12-27,2020-06-29,0000707549-22-000012,null,1692680000,11.71,11.55,1970788000,3109974000,730539000,408647000,15892152000,9864964000,5172494000,3687165000,987148000,null,4960935000,null,null,1139186000,209375000,3026430000
LRCX,0000707549,2022,Q3,10-Q,2022-04-26,2021-03-28,2020-06-29,0000707549-22-000067,null,2763801000,19.2,18.94,3166096000,4890105000,1111659000,612350000,15892152000,9864964000,5172494000,3673366000,2152228000,null,4960935000,null,null,1724009000,298242000,3026430000
LRCX,0000707549,2023,FY,10-K,2023-08-15,2021-06-27,2020-06-29,0000707549-23-000102,null,3908458000,27.22,26.9,4482023000,6805306000,1493408000,829875000,17195632000,10917266000,5172494000,4418263000,3588163000,null,4962459000,null,null,2323283000,462346000,4313818000
LRCX,0000707549,2023,Q1,10-Q,2022-10-24,2021-09-26,2021-06-28,0000707549-22-000124,null,1179744000,8.32,8.27,1372233000,1976754000,382327000,222194000,17195632000,10917266000,6027188000,4042151000,457524000,null,null,null,null,604521000,163632000,4313818000
LRCX,0000707549,2023,Q2,10-Q,2023-01-30,2021-12-26,2021-06-28,0000707549-23-000008,null,2374574000,16.82,16.71,2710372000,3954670000,785971000,458327000,17195632000,10917266000,6027188000,5086544000,1898030000,null,null,null,null,1244298000,324940000,4313818000
LRCX,0000707549,2023,Q3,10-Q,2023-04-24,2022-03-27,2021-06-28,0000707549-23-000081,null,3396352000,24.17,24.02,3902469000,5771295000,1193091000,675735000,17195632000,10917266000,6027188000,4194719000,2655740000,null,null,null,null,1868826000,437857000,4313818000
