ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
LULU,0001397187,2016,FY,10-K,2017-03-29,2015-02-01,2014-02-03,0001397187-17-000008,null,239033000,1.66,1.66,376033000,914180000,null,538147000,1314077000,286595000,1096682000,698649000,314449000,119733000,null,null,null,null,144102000,null
LULU,0001397187,2016,Q1,10-Q,2016-06-08,2015-05-03,2015-02-02,0001397187-16-000108,null,47810000,0.34,0.34,68036000,205877000,null,137841000,1314077000,286595000,1027482000,664479000,20940000,27936000,null,null,null,null,20755000,null
LULU,0001397187,2016,Q2,10-Q,2016-09-01,2015-08-02,2015-02-02,0001397187-16-000127,null,95478000,0.67,0.67,134615000,417902000,null,283287000,1314077000,286595000,1027482000,664479000,32161000,65118000,null,null,null,null,40508000,null
LULU,0001397187,2016,Q3,10-Q,2016-12-07,2015-11-01,2015-02-02,0001397187-16-000134,null,148631000,1.05,1.05,202793000,642699000,null,439906000,1314077000,286595000,1027482000,664479000,25940000,108061000,null,null,null,null,52643000,null
LULU,0001397187,2017,FY,10-K,2018-03-27,2016-01-31,2015-02-02,0001397187-18-000013,null,266047000,1.9,1.89,369076000,997166000,null,628090000,1657541000,297568000,1089568000,664479000,297538000,143487000,null,null,null,null,102448000,null
LULU,0001397187,2017,Q1,10-Q,2017-06-01,2016-05-01,2016-02-01,0001397187-17-000027,null,45336000,0.33,0.33,57589000,239131000,null,181542000,1657541000,297568000,1359973000,501482000,40027000,26644000,null,null,null,null,11767000,null
LULU,0001397187,2017,Q2,10-Q,2017-08-31,2016-07-31,2016-02-01,0001397187-17-000039,null,98961000,0.72,0.72,131548000,493292000,null,361744000,1657541000,297568000,1359973000,501482000,101193000,71261000,null,null,null,null,32679000,null
LULU,0001397187,2017,Q3,10-Q,2017-12-06,2016-10-30,2016-02-01,0001397187-17-000048,null,167246000,1.22,1.22,224523000,771718000,null,547195000,1657541000,297568000,1359973000,501482000,98659000,106168000,null,null,null,null,57997000,null
LULU,0001397187,2018,FY,10-K,2019-03-27,2017-01-29,2016-02-01,0001397187-19-000011,null,303381000,2.21,2.21,421152000,1199617000,null,778465000,1998483000,401523000,1027482000,501482000,386392000,149511000,null,null,null,null,119348000,null
LULU,0001397187,2018,Q1,10-Q,2018-05-31,2017-04-30,2017-01-30,0001397187-18-000030,null,31246000,0.23,0.23,45423000,256895000,null,199141000,1998483000,401523000,1596960000,734846000,19400000,19879000,null,null,null,null,15084000,null
