ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MAR,0001048286,2016,FY,10-K,2017-02-21,2014-12-31,2014-01-01,0001628280-17-001506,13796000000,753000000,2.6,2.54,1159000000,null,null,null,6082000000,null,-1415000000,126000000,1224000000,411000000,null,null,null,null,335000000,null
MAR,0001048286,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001628280-16-014893,3513000000,207000000,0.75,0.73,332000000,null,null,null,6082000000,null,-3590000000,104000000,262000000,75000000,null,null,null,null,100000000,null
MAR,0001048286,2016,Q2,10-Q,2016-07-28,2015-06-30,2015-01-01,0001628280-16-017871,7202000000,447000000,1.63,1.59,701000000,null,null,null,6082000000,null,-3590000000,104000000,752000000,159000000,null,null,null,null,215000000,null
MAR,0001048286,2016,Q3,10-Q,2016-11-09,2015-09-30,2015-01-01,0001628280-16-021074,10780000000,657000000,2.43,2.38,1040000000,null,null,null,6082000000,null,-3590000000,104000000,1080000000,218000000,null,null,null,null,314000000,null
MAR,0001048286,2017,FY,10-K,2018-02-15,2015-12-31,2015-01-01,0001628280-18-001756,14486000000,859000000,3.22,3.15,1350000000,null,null,null,24140000000,null,-2200000000,104000000,1515000000,305000000,null,null,null,null,396000000,null
MAR,0001048286,2017,Q1,10-Q,2017-05-09,2016-03-31,2016-01-01,0001628280-17-005211,3772000000,219000000,0.86,0.85,367000000,null,null,null,24140000000,null,5357000000,96000000,394000000,42000000,null,null,null,null,107000000,null
MAR,0001048286,2017,Q2,10-Q,2017-08-08,2016-06-30,2016-01-01,0001628280-17-008302,7674000000,466000000,1.83,1.8,756000000,null,null,null,24140000000,null,5357000000,96000000,862000000,78000000,null,null,null,null,204000000,null
MAR,0001048286,2017,Q3,10-Q,2017-11-08,2016-09-30,2016-01-01,0001628280-17-011156,11616000000,536000000,2.08,2.04,927000000,null,null,null,24140000000,null,5357000000,96000000,1206000000,132000000,null,null,null,null,265000000,null
MAR,0001048286,2018,FY,10-K,2019-03-01,2016-12-31,2016-01-01,0001628280-19-002337,15407000000,808000000,2.78,2.73,1424000000,null,null,null,23846000000,null,-3590000000,383000000,1619000000,199000000,null,null,null,null,431000000,null
MAR,0001048286,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001628280-18-006463,4912000000,371000000,0.96,0.95,546000000,null,null,null,23846000000,null,3731000000,383000000,462000000,48000000,null,null,null,null,123000000,null
MAR,0001048286,2018,Q2,10-Q,2018-08-07,2017-06-30,2017-01-01,0001628280-18-010613,10123000000,860000000,2.25,2.23,1290000000,null,null,null,23846000000,null,3731000000,383000000,1186000000,104000000,null,null,null,null,350000000,null
MAR,0001048286,2018,Q3,10-Q,2018-11-06,2017-09-30,2017-01-01,0001628280-18-013710,15201000000,1345000000,3.55,3.51,2080000000,null,null,null,23846000000,null,3731000000,383000000,1751000000,155000000,null,null,null,null,603000000,null
MAR,0001048286,2019,FY,10-K,2020-02-27,2017-12-31,2017-01-01,0001628280-20-002376,20452000000,1459000000,3.89,3.84,2504000000,null,null,null,23696000000,null,5121000000,316000000,2227000000,240000000,null,null,null,null,1523000000,null
MAR,0001048286,2019,Q1,10-Q,2019-05-10,2018-03-31,2018-01-01,0001628280-19-006493,5009000000,420000000,1.17,1.16,530000000,null,null,null,23696000000,null,3731000000,316000000,675000000,64000000,null,null,null,null,112000000,null
MAR,0001048286,2019,Q2,10-Q,2019-08-06,2018-06-30,2018-01-01,0001628280-19-010070,10418000000,420000000,3.06,3.02,1348000000,null,null,null,23696000000,null,3731000000,316000000,1129000000,388000000,null,null,null,null,319000000,null
MAR,0001048286,2019,Q3,10-Q,2019-11-05,2018-09-30,2018-01-01,0001628280-19-013294,15469000000,420000000,4.51,4.45,1944000000,null,null,null,23696000000,null,3731000000,316000000,1824000000,462000000,null,null,null,null,410000000,null
MAR,0001048286,2020,FY,10-K,2021-02-18,2018-12-31,2018-01-01,0001628280-21-002433,20758000000,1907000000,5.45,5.38,2366000000,null,null,null,25051000000,null,3582000000,225000000,2357000000,556000000,247000000,null,null,null,438000000,null
MAR,0001048286,2020,Q1,10-Q,2020-05-11,2019-03-31,2019-01-01,0001628280-20-007376,5012000000,375000000,1.1,1.09,510000000,null,null,null,25051000000,null,2225000000,225000000,151000000,66000000,null,null,null,null,57000000,null
MAR,0001048286,2020,Q2,10-Q,2020-08-10,2019-06-30,2019-01-01,0001628280-20-012272,10317000000,375000000,1.8,1.79,919000000,null,null,null,25051000000,null,2225000000,225000000,738000000,142000000,null,null,null,null,139000000,null
MAR,0001048286,2020,Q3,10-Q,2020-11-06,2019-09-30,2019-01-01,0001628280-20-015909,15601000000,375000000,2.97,2.95,1526000000,null,null,null,25051000000,null,2225000000,225000000,1190000000,235000000,null,null,null,null,279000000,null
MAR,0001048286,2021,FY,10-K,2022-02-15,2019-12-31,2019-01-01,0001628280-22-002666,20972000000,1273000000,3.83,3.8,1800000000,null,null,null,24701000000,null,2225000000,877000000,1685000000,653000000,143000000,null,null,null,326000000,null
MAR,0001048286,2021,Q1,10-Q,2021-05-10,2020-03-31,2020-01-01,0001628280-21-009633,4681000000,31000000,0.1,0.09,114000000,null,null,null,24701000000,null,430000000,877000000,514000000,30000000,null,null,null,null,-12000000,null
MAR,0001048286,2021,Q2,10-Q,2021-08-03,2020-06-30,2020-01-01,0001628280-21-015288,6145000000,31000000,-0.63,-0.63,-40000000,null,null,null,24701000000,null,703000000,877000000,1505000000,79000000,null,null,null,null,-76000000,null
MAR,0001048286,2021,Q3,10-Q,2021-11-03,2020-09-30,2020-01-01,0001628280-21-021326,8399000000,31000000,-0.32,-0.32,212000000,null,null,null,24701000000,null,703000000,877000000,1623000000,97000000,null,null,null,null,-49000000,null
MAR,0001048286,2022,FY,10-K,2023-02-14,2020-12-31,2020-01-01,0001628280-23-003485,10571000000,-267000000,-0.82,-0.82,84000000,null,null,null,25553000000,null,703000000,1393000000,1639000000,135000000,135000000,null,null,null,-199000000,null
MAR,0001048286,2022,Q1,10-Q,2022-05-04,2021-03-31,2021-01-01,0001628280-22-012175,2316000000,-11000000,-0.03,-0.03,84000000,null,null,null,25553000000,null,430000000,1393000000,27000000,30000000,null,null,null,null,-16000000,null
MAR,0001048286,2022,Q2,10-Q,2022-08-02,2021-06-30,2021-01-01,0001628280-22-020126,5465000000,-11000000,1.26,1.25,570000000,null,null,null,25553000000,null,430000000,1393000000,126000000,70000000,null,null,null,null,-57000000,null
MAR,0001048286,2022,Q3,10-Q,2022-11-03,2021-09-30,2021-01-01,0001628280-22-028021,9411000000,-11000000,1.93,1.92,1115000000,null,null,null,25553000000,null,430000000,1393000000,745000000,114000000,null,null,null,null,1000000,null
MAR,0001048286,2023,FY,10-K,2024-02-13,2021-12-31,2021-01-01,0001628280-24-004372,13857000000,1099000000,3.36,3.34,1750000000,null,null,null,24815000000,null,430000000,507000000,1177000000,183000000,92000000,null,null,null,81000000,null
MAR,0001048286,2023,Q1,10-Q,2023-05-02,2022-03-31,2022-01-01,0001628280-23-014793,4199000000,377000000,1.15,1.14,558000000,null,null,null,24815000000,null,1414000000,507000000,398000000,49000000,92000000,null,null,null,99000000,null
MAR,0001048286,2023,Q2,10-Q,2023-08-01,2022-06-30,2022-01-01,0001628280-23-026380,9537000000,377000000,3.21,3.2,1508000000,null,null,null,24815000000,null,1414000000,507000000,1048000000,119000000,92000000,null,null,null,299000000,null
MAR,0001048286,2023,Q3,10-Q,2023-11-02,2022-09-30,2022-01-01,0001628280-23-036256,14850000000,377000000,5.15,5.13,2466000000,null,null,null,24815000000,null,1414000000,507000000,1922000000,192000000,92000000,null,null,null,538000000,null
MAR,0001048286,2024,FY,10-K,2025-02-11,2022-12-31,2022-01-01,0001628280-25-004818,20773000000,2358000000,7.27,7.24,3462000000,null,null,null,25674000000,null,1414000000,338000000,2363000000,332000000,56000000,null,null,null,756000000,null
