ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MCHP,0000827054,2016,FY,10-K,2016-05-24,2014-03-31,2013-04-01,0000827054-16-000344,null,395281000,1.99,1.82,458864000,1128743000,305043000,267278000,4780713000,null,2044654000,528334000,null,null,null,1351054000,null,669879000,37073000,273937000
MCHP,0000827054,2016,Q1,10-Q,2015-08-06,2014-06-30,2014-04-01,0000827054-15-000134,null,89909000,0.45,0.4,115946000,306519000,84370000,69255000,4780713000,null,2044654000,466603000,165788000,null,null,1351054000,null,190573000,17082000,273937000
MCHP,0000827054,2016,Q2,10-Q,2015-11-09,2014-09-30,2014-04-01,0000827054-15-000218,null,183550000,0.92,0.82,217264000,613973000,173184000,140369000,4780713000,null,2044654000,466603000,357834000,null,null,1351054000,null,396709000,15748000,273937000
MCHP,0000827054,2016,Q3,10-Q,2016-02-05,2014-12-31,2014-04-01,0000827054-16-000265,null,269607000,1.34,1.2,315273000,915932000,261881000,207037000,4780713000,null,2044654000,466603000,542672000,null,null,1351054000,null,600659000,17141000,273937000
MCHP,0000827054,2017,FY,10-K,2017-05-30,2015-03-31,2014-04-01,0000827054-17-000098,null,369009000,1.84,1.65,425620000,1229564000,349543000,274815000,5537883000,null,11076000,466603000,null,null,2453400000,353284000,null,803944000,-19418000,290183000
MCHP,0000827054,2017,Q1,10-Q,2016-08-09,2015-06-30,2015-04-01,0000827054-16-000385,null,130667000,0.65,0.6,121319000,309017000,84680000,66849000,5537883000,null,2150919000,607815000,181528000,null,null,353284000,null,187698000,-10895000,290183000
MCHP,0000827054,2017,Q2,10-Q,2016-11-08,2015-09-30,2015-04-01,0000827054-16-000472,null,195566000,0.96,0.9,196267000,609967000,179936000,147107000,5537883000,null,2150919000,607815000,331414000,null,null,353284000,null,413700000,-21837000,290183000
MCHP,0000827054,2017,Q3,10-Q,2017-02-08,2015-12-31,2015-04-01,0000827054-17-000018,null,256777000,1.26,1.18,272399000,902685000,276958000,223377000,5537883000,null,2150919000,607815000,541891000,null,null,353284000,null,630286000,-32890000,290183000
MCHP,0000827054,2018,FY,10-K,2018-05-18,2016-03-31,2015-04-01,0001628280-18-006982,null,324100000,1.59,1.49,352300000,1205500000,372600000,301700000,7686900000,null,null,607800000,null,null,2950500000,394100000,null,853200000,-42600000,478400000
MCHP,0000827054,2018,Q1,10-Q,2017-08-04,2016-06-30,2016-04-01,0000827054-17-000132,null,-113363000,-0.53,-0.53,-59104000,348490000,147883000,157505000,7686881000,null,3270711000,2092751000,223967000,null,2950500000,394100000,null,407594000,18478000,478373000
MCHP,0000827054,2018,Q2,10-Q,2017-11-07,2016-09-30,2016-04-01,0000827054-17-000203,null,-79444000,-0.37,-0.37,3656000,759111000,285678000,277634000,7686881000,null,3270711000,2092751000,446090000,null,2950500000,394088000,null,755455000,8138000,478373000
MCHP,0000827054,2018,Q3,10-Q,2018-02-07,2016-12-31,2016-04-01,0000827054-18-000021,null,27731000,0.13,0.12,121730000,1224370000,418111000,388651000,7686881000,null,3270711000,2092751000,736892000,null,2950500000,394088000,null,1102640000,-15699000,478373000
MCHP,0000827054,2019,FY,10-K,2019-05-30,2017-03-31,2016-04-01,0000827054-19-000143,3407800000,164600000,0.76,0.71,275800000,1757200000,545300000,499800000,8257200000,null,null,901300000,null,null,3068300000,1295300000,1650600000,1481400000,-80800000,563700000
MCHP,0000827054,2019,Q1,10-Q,2018-08-09,2017-06-30,2017-04-01,0000827054-18-000143,null,170600000,0.74,0.7,221600000,584400000,130500000,114300000,8257200000,null,3279800000,901300000,345000000,null,3068300000,1295300000,null,362800000,-4400000,563700000
MCHP,0000827054,2019,Q2,10-Q,2018-11-07,2017-09-30,2017-04-01,0000827054-18-000249,null,359700000,1.55,1.48,447000000,1198500000,264000000,228600000,8257200000,null,3279800000,901300000,695100000,null,3068300000,1295300000,785800000,751500000,-7300000,563700000
MCHP,0000827054,2019,Q3,10-Q,2019-02-06,2017-12-31,2017-04-01,0000827054-19-000018,2978500000,108700000,0.47,0.44,692200000,1805600000,395700000,337600000,8257200000,null,3279800000,901300000,1060100000,null,3068300000,1295300000,1172900000,1113400000,440400000,563700000
MCHP,0000827054,2020,FY,10-K,2020-05-22,2018-03-31,2017-04-01,0000827054-20-000119,null,255400000,1.1,1.03,936300000,2420700000,529300000,452100000,18350000000,null,3270700000,428600000,1419600000,206800000,10307000000,2300000,1560100000,1484400000,481900000,880600000
MCHP,0000827054,2020,Q1,10-Q,2019-08-07,2018-06-30,2018-04-01,0000827054-19-000197,1212500000,35700000,0.15,0.14,132300000,642000000,171900000,164000000,18350000000,null,null,428600000,302400000,null,10307000000,2300000,570500000,509700000,2000000,880600000
MCHP,0000827054,2020,Q2,10-Q,2019-11-06,2018-06-30,2018-04-01,0000827054-19-000288,null,35700000,0.56,0.52,234900000,1331300000,393800000,340700000,18350000000,null,3279800000,428600000,789900000,null,10307000000,2300000,1313600000,1096400000,-133700000,880600000
MCHP,0000827054,2020,Q3,10-Q,2020-02-04,2018-06-30,2018-04-01,0000827054-20-000029,null,35700000,0.77,0.73,429600000,2110900000,611600000,515500000,18350000000,null,3279800000,428600000,1271400000,188800000,10307000000,2300000,1908800000,1681300000,-127900000,880600000
MCHP,0000827054,2021,FY,10-K,2021-05-18,2019-03-31,2018-04-01,0000827054-21-000106,null,355900000,1.51,1.42,714300000,2931300000,826300000,682900000,17426100000,null,3279800000,401000000,1674800000,228900000,9482200000,2000000,2418200000,2217000000,-151400000,934000000
MCHP,0000827054,2021,Q1,10-Q,2020-08-04,2019-06-30,2019-04-01,0000827054-20-000186,null,50700000,0.21,0.2,171600000,815200000,219100000,167900000,17426100000,null,5287500000,401000000,380600000,23900000,9482200000,2000000,507400000,643600000,-10200000,934000000
MCHP,0000827054,2021,Q2,10-Q,2020-11-05,2019-06-30,2019-04-01,0000827054-20-000278,null,50700000,0.67,0.63,355200000,1642700000,438900000,340200000,17426100000,null,5287500000,401000000,776600000,41600000,9482200000,2000000,1017700000,1287500000,-65600000,934000000
MCHP,0000827054,2021,Q3,10-Q,2021-02-04,2019-06-30,2019-04-01,0000827054-21-000025,null,50700000,1.97,1.84,486400000,2428200000,656000000,510900000,17426100000,null,5287500000,401000000,1172100000,55700000,9482200000,2000000,1519600000,1941800000,-366100000,934000000
MCHP,0000827054,2022,FY,10-K,2022-05-20,2020-03-31,2019-04-01,0000827054-22-000094,null,570600000,1.19,1.11,647100000,3242100000,877800000,676600000,16478800000,null,5287500000,280000000,1543800000,67600000,8904100000,2000000,2032100000,2595000000,-420200000,997700000
MCHP,0000827054,2022,Q1,10-Q,2021-08-03,2020-06-30,2020-04-01,0000827054-21-000187,null,123600000,0.5,0.48,218300000,798300000,198000000,146300000,16478800000,null,5585500000,280000000,501800000,9500000,8904100000,2000000,511400000,580000000,-34100000,997700000
MCHP,0000827054,2022,Q2,10-Q,2021-11-04,2020-06-30,2020-04-01,0000827054-21-000280,null,123600000,0.39,0.38,444500000,1606200000,397800000,291000000,16478800000,null,5585500000,280000000,957600000,15800000,8904100000,2000000,1013000000,1161700000,-18900000,997700000
MCHP,0000827054,2022,Q3,10-Q,2022-02-03,2020-06-30,2020-04-01,0000827054-22-000025,null,123600000,0.46,0.44,690100000,2452000000,607900000,445200000,16478800000,null,5585500000,280000000,1467300000,37200000,8904100000,2000000,1519300000,1761900000,-38300000,997700000
MCHP,0000827054,2023,FY,10-K,2023-05-25,2021-03-31,2020-04-01,0000827054-23-000080,null,349400000,0.67,0.65,998100000,3378800000,836400000,610300000,16199500000,null,5585500000,317400000,1916500000,92600000,7687400000,2000000,2059600000,2380700000,-9900000,1072600000
MCHP,0000827054,2023,Q1,10-Q,2022-08-02,2021-06-30,2021-04-01,0000827054-22-000148,null,252800000,0.46,0.45,368800000,1007600000,238400000,174300000,16199500000,null,5337100000,317400000,629900000,86300000,7687400000,2000000,561800000,638800000,44200000,1072600000
MCHP,0000827054,2023,Q2,10-Q,2022-11-03,2021-06-30,2021-04-01,0000827054-22-000193,null,252800000,0.9,0.87,785100000,2075900000,484600000,354200000,16199500000,null,5337100000,317400000,1241600000,164800000,7687400000,2000000,1143300000,1290800000,67000000,1072600000
MCHP,0000827054,2023,Q3,10-Q,2023-02-02,2021-06-30,2021-04-01,0000827054-23-000020,null,252800000,1.54,1.5,1300100000,3229200000,730000000,531700000,16199500000,null,5337100000,317400000,2095000000,255500000,7687400000,2000000,1747500000,1929100000,155700000,1072600000
MCHP,0000827054,2024,FY,10-K,2024-05-23,2022-03-31,2021-04-01,0000827054-24-000098,null,1285500000,2.33,2.27,1849600000,4449600000,989100000,718900000,16370300000,null,5337100000,234000000,2842700000,370100000,6439900000,null,2371300000,2600000000,197000000,1305300000
MCHP,0000827054,2024,Q1,10-Q,2023-08-03,2022-06-30,2022-04-01,0000827054-23-000132,null,507200000,0.92,0.9,701300000,1309900000,269000000,188900000,16370300000,null,5894800000,234000000,840400000,121900000,6439900000,null,653700000,608600000,139400000,1305300000
MCHP,0000827054,2024,Q2,10-Q,2023-11-02,2022-06-30,2022-04-01,0000827054-23-000185,null,507200000,1.91,1.88,1456400000,2707800000,537600000,391300000,16370300000,null,5894800000,234000000,1633600000,232200000,6439900000,null,1329000000,1251400000,292300000,1305300000
MCHP,0000827054,2024,Q3,10-Q,2024-02-01,2022-06-30,2022-04-01,0000827054-24-000024,null,507200000,2.96,2.93,2268000000,4178600000,820000000,594200000,16370300000,null,5894800000,234000000,2911500000,373500000,6439900000,null,2027400000,1910600000,474200000,1305300000
MCHP,0000827054,2025,FY,10-K,2025-05-23,2023-03-31,2022-04-01,0000827054-25-000077,null,2237700000,4.07,4.02,3116000000,5697900000,1118300000,797700000,15873200000,null,5894800000,319700000,3621000000,486200000,5999800000,null,2740800000,2581900000,672000000,1143700000
MCHP,0000827054,2025,Q1,10-Q,2024-08-01,2023-06-30,2023-04-01,0000827054-24-000139,null,666400000,1.22,1.21,903100000,1558400000,298500000,203600000,15873200000,null,6513600000,319700000,993200000,111100000,5999800000,null,730200000,655300000,181900000,1143700000
MCHP,0000827054,2025,Q2,10-Q,2024-11-05,2023-06-30,2023-04-01,0000827054-24-000206,null,666400000,2.45,2.42,1788100000,3085800000,591100000,400200000,15873200000,null,6513600000,319700000,1609400000,185500000,5999800000,null,1457100000,1297700000,348900000,1143700000
MCHP,0000827054,2025,Q3,10-Q,2025-02-06,2023-06-30,2023-04-01,0000827054-25-000019,null,666400000,3.23,3.19,2317500000,4205800000,857100000,572400000,15873200000,null,6513600000,319700000,2462700000,245000000,5999800000,null,2102800000,1888300000,414000000,1143700000
MCHP,0000827054,2026,Q1,10-Q,2025-08-07,2024-06-30,2024-04-01,0000827054-25-000133,null,129300000,0.24,0.24,219100000,736900000,241700000,150500000,15374600000,null,6657800000,771700000,377100000,72900000,5630400000,null,504400000,517800000,32500000,689700000
MCHP,0000827054,2026,Q2,10-Q,2025-11-06,2024-06-30,2024-04-01,0000827054-25-000183,null,129300000,0.39,0.38,365700000,1405400000,482400000,307500000,15374600000,null,6657800000,771700000,420700000,93700000,5630400000,null,999700000,1039700000,45600000,689700000
