ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MDLZ,0001103982,2016,FY,10-K,2017-02-24,2014-12-31,2014-01-01,0001193125-17-055858,34244000000,2184000000,1.29,1.28,3242000000,12597000000,455000000,8457000000,66771000000,34743000000,28012000000,null,3562000000,1642000000,14737000000,null,null,null,353000000,2634000000
MDLZ,0001103982,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001193125-16-561707,7762000000,324000000,0.2,0.19,811000000,2941000000,null,1924000000,62843000000,34743000000,28012000000,null,-282000000,439000000,null,null,null,null,113000000,2634000000
MDLZ,0001103982,2016,Q2,10-Q,2016-07-27,2015-06-30,2015-01-01,0001193125-16-660006,15423000000,730000000,0.45,0.44,1652000000,6007000000,null,3885000000,62843000000,34743000000,28012000000,null,571000000,790000000,null,null,null,null,213000000,2634000000
MDLZ,0001103982,2016,Q3,10-Q,2016-10-26,2015-09-30,2015-01-01,0001193125-16-747755,22272000000,7996000000,4.91,4.86,9454000000,8677000000,null,5675000000,62843000000,34743000000,28012000000,null,1412000000,1178000000,null,null,null,null,561000000,2634000000
MDLZ,0001103982,2017,FY,10-K,2018-02-09,2015-12-31,2015-01-01,0001193125-18-037332,29636000000,7267000000,4.49,4.44,8897000000,11512000000,409000000,7577000000,62843000000,36323000000,25161000000,null,3728000000,1514000000,14199000000,null,null,null,593000000,2611000000
MDLZ,0001103982,2017,Q1,10-Q,2017-05-03,2016-03-31,2016-01-01,0001193125-17-155252,6455000000,554000000,0.35,0.35,722000000,2535000000,null,1615000000,61538000000,36323000000,25161000000,null,-454000000,335000000,null,null,null,null,49000000,2611000000
MDLZ,0001103982,2017,Q2,10-Q,2017-08-02,2016-06-30,2016-01-01,0001193125-17-245459,12757000000,1018000000,0.65,0.64,1360000000,5051000000,null,3283000000,61538000000,36323000000,25161000000,null,337000000,604000000,null,null,null,null,167000000,2611000000
MDLZ,0001103982,2017,Q3,10-Q,2017-10-31,2016-09-30,2016-01-01,0001193125-17-326282,19153000000,1566000000,1,0.99,2062000000,7539000000,null,4835000000,61538000000,36323000000,25161000000,null,1138000000,909000000,null,null,null,null,207000000,2611000000
MDLZ,0001103982,2018,FY,10-K,2019-02-08,2016-12-31,2016-01-01,0001103982-19-000005,25923000000,1635000000,1.05,1.04,2554000000,10104000000,376000000,6546000000,61506000000,36883000000,25994000000,null,2838000000,1224000000,15250000000,null,null,null,114000000,2691000000
MDLZ,0001103982,2018,Q1,10-Q,2018-05-02,2017-03-31,2017-01-01,0001103982-18-000005,6414000000,630000000,0.41,0.41,825000000,2518000000,null,1483000000,63109000000,36918000000,26111000000,null,-557000000,306000000,null,null,null,null,154000000,2691000000
MDLZ,0001103982,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0001103982-18-000009,12400000000,1128000000,0.74,0.73,1461000000,4832000000,null,2938000000,63109000000,36918000000,26111000000,null,262000000,488000000,null,null,null,null,238000000,2691000000
MDLZ,0001103982,2018,Q3,10-Q,2018-10-30,2017-09-30,2017-01-01,0001103982-18-000013,18930000000,2133000000,1.41,1.39,2632000000,7381000000,null,4276000000,62957000000,36883000000,25994000000,null,797000000,721000000,null,null,null,null,510000000,2691000000
MDLZ,0001103982,2019,FY,10-K,2020-02-07,2017-12-31,2017-01-01,0001103982-20-000003,25896000000,2828000000,1.87,1.85,3462000000,10034000000,366000000,5938000000,62957000000,37016000000,25637000000,null,2593000000,1014000000,15875000000,null,null,null,666000000,2262000000
MDLZ,0001103982,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0001103982-19-000010,6765000000,1046000000,0.7,0.7,1224000000,2849000000,null,1527000000,62729000000,37016000000,25637000000,null,407000000,284000000,null,null,null,null,337000000,2262000000
MDLZ,0001103982,2019,Q2,10-Q,2019-07-31,2018-06-30,2018-01-01,0001103982-19-000014,12877000000,1364000000,0.92,0.91,1705000000,5389000000,null,3431000000,62729000000,37016000000,25637000000,null,1182000000,532000000,null,null,null,null,352000000,2262000000
MDLZ,0001103982,2019,Q3,10-Q,2019-10-30,2018-09-30,2018-01-01,0001103982-19-000017,19165000000,2558000000,1.73,1.72,2442000000,7803000000,null,4939000000,62729000000,37016000000,25637000000,null,1885000000,810000000,null,null,null,null,662000000,2262000000
MDLZ,0001103982,2020,FY,10-K,2021-02-05,2018-12-31,2018-01-01,0001103982-21-000004,25938000000,3317000000,2.25,2.23,3312000000,10352000000,362000000,6475000000,62618000000,37198000000,27241000000,null,3948000000,1095000000,null,null,null,null,773000000,2212000000
MDLZ,0001103982,2020,Q1,10-Q,2020-04-29,2019-03-31,2019-01-01,0001103982-20-000006,6538000000,914000000,0.63,0.63,1036000000,2593000000,null,1493000000,64549000000,37198000000,27275000000,null,465000000,265000000,null,null,null,null,189000000,2212000000
MDLZ,0001103982,2020,Q2,10-Q,2020-07-29,2019-06-30,2019-01-01,0001103982-20-000009,12600000000,1770000000,1.22,1.21,2061000000,5062000000,null,2920000000,64515000000,37198000000,27241000000,null,1046000000,465000000,null,null,null,null,405000000,2212000000
MDLZ,0001103982,2020,Q3,10-Q,2020-11-03,2019-09-30,2019-01-01,0001103982-20-000014,18955000000,3196000000,2.21,2.19,2937000000,7578000000,null,4386000000,64515000000,37198000000,27241000000,null,1882000000,686000000,null,null,null,null,-228000000,2212000000
MDLZ,0001103982,2021,FY,10-K,2022-02-04,2019-12-31,2019-01-01,0001103982-22-000003,25868000000,3929000000,2.72,2.69,3843000000,10337000000,351000000,6136000000,64515000000,40156000000,27578000000,null,3965000000,925000000,null,null,null,null,2000000,2297000000
