ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MELI,0001099590,2016,FY,10-K,2017-02-24,2014-12-31,2014-01-01,0001562762-17-000024,null,72581000,0.69,0.69,120471000,83843000,null,null,1003606000,664148000,343483000,140285000,null,34426000,null,202112000,158978000,277087000,49143000,28428000
MELI,0001099590,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0001562762-16-000383,null,1721000,0.04,0.04,25588000,103395000,null,null,1003606000,664148000,339458000,223144000,null,7315000,null,202112000,44708000,77807000,14655000,28428000
MELI,0001099590,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0001562762-16-000414,null,21184000,0.48,0.48,60224000,207398000,null,null,1003606000,664148000,339458000,223144000,null,16305000,null,202112000,95019000,147174000,28663000,28428000
MELI,0001099590,2016,Q3,10-Q,2016-11-04,2015-09-30,2015-01-01,0001562762-16-000445,null,66824000,1.51,1.51,105504000,319226000,null,null,1003606000,664148000,339458000,223144000,null,19063000,null,202112000,151832000,213722000,30639000,28428000
MELI,0001099590,2017,FY,10-K,2018-02-23,2015-03-31,2015-01-01,0001562762-18-000040,null,null,0.04,0.04,139196000,103395000,null,null,1367435000,938581000,355788000,223144000,221370000,39150000,null,253321000,214994000,297600000,44702000,25435000
MELI,0001099590,2017,Q1,10-Q,2017-05-05,2016-03-31,2016-01-01,0001562762-17-000054,null,null,0.68,0.68,30489000,102182000,null,null,1367435000,938581000,428854000,166881000,null,14552000,null,253321000,55448000,71693000,6956000,25435000
MELI,0001099590,2017,Q2,10-Q,2017-08-04,2016-06-30,2016-01-01,0001562762-17-000120,null,null,1.04,1.04,62676000,228480000,null,null,1367435000,938581000,428854000,166881000,null,32590000,null,253321000,128794000,165804000,19316000,25435000
MELI,0001099590,2017,Q3,10-Q,2017-11-03,2016-09-30,2016-01-01,0001562762-17-000173,null,null,1.93,1.93,116384000,374128000,null,null,1367435000,938581000,428854000,166881000,null,55510000,null,253321000,213993000,257744000,32690000,25435000
MELI,0001099590,2018,FY,10-K,2019-02-28,2016-03-31,2016-01-01,0001562762-19-000047,157630000,null,0.68,0.68,181056000,102182000,98479000,null,1673187000,1347408000,339458000,388260000,190259000,68527000,null,209432000,307538000,355802000,48962000,28168000
MELI,0001099590,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001562762-18-000158,269675000,null,1.1,1.1,63314000,168856000,null,null,1673187000,1347408000,325779000,234140000,104757000,10268000,null,209432000,100819000,105542000,21145000,28168000
MELI,0001099590,2018,Q2,10-Q,2018-08-09,2017-06-30,2017-01-01,0001562762-18-000229,553558000,null,1.22,1.22,93340000,340410000,null,null,1673187000,1347408000,325779000,388260000,226314000,26147000,null,209432000,213148000,247070000,28252000,28168000
MELI,0001099590,2018,Q3,10-Q,2018-11-02,2017-09-30,2017-01-01,0001562762-18-000323,858479000,null,1.85,1.85,120882000,516238000,null,null,1673187000,1347408000,325779000,388260000,242389000,39280000,null,209432000,342241000,395356000,37241000,28168000
MELI,0001099590,2019,FY,10-K,2020-02-14,2017-03-31,2017-01-01,0001562762-20-000055,null,48518000,1.1,1.1,56273000,168856000,127160000,null,2239519000,1902819000,428854000,440332000,269010000,55156000,null,461541000,null,663327000,40290000,35153000
MELI,0001099590,2019,Q1,10-Q,2019-05-03,2018-03-31,2018-01-01,0001562762-19-000123,320976000,-12919000,-0.29,-0.29,-29419000,162758000,38396000,null,2239519000,1902819000,325779000,440332000,-37006000,19542000,null,461541000,158218000,192177000,-12438000,35153000
MELI,0001099590,2019,Q2,10-Q,2019-08-08,2018-03-31,2018-01-01,0001562762-19-000186,null,-12919000,-0.55,-0.55,-57661000,322506000,71833000,null,2239519000,1902819000,325779000,440332000,107154000,42092000,null,461541000,null,380167000,-20138000,35153000
MELI,0001099590,2019,Q3,10-Q,2019-11-01,2018-03-31,2018-01-01,0001562762-19-000273,null,-12919000,-0.77,-0.77,-68664000,492224000,107311000,null,2239519000,1902819000,325779000,440332000,196101000,65133000,null,461541000,null,560888000,-24372000,35153000
MELI,0001099590,2020,FY,10-K,2021-03-01,2018-03-31,2018-01-01,0001562762-21-000079,null,-12919000,-0.29,-0.29,-69482000,162758000,146273000,null,4781691000,2699728000,325779000,1384740000,230907000,93136000,null,1597241000,null,766490000,-28867000,35446000
MELI,0001099590,2020,Q1,10-Q,2020-05-06,2019-03-31,2019-01-01,0001562762-20-000170,null,11864000,0.13,0.13,10139000,237004000,52369000,null,4781691000,2699728000,336700000,1384740000,138371000,32928000,null,1597241000,null,226865000,3491000,35446000
MELI,0001099590,2020,Q2,10-Q,2020-08-10,2019-03-31,2019-01-01,0001562762-20-000324,null,11864000,0.45,0.45,-2349000,509434000,106292000,null,4781691000,2699728000,336700000,1384740000,165925000,71361000,null,1597241000,null,511783000,-5426000,35446000
MELI,0001099590,2020,Q3,10-Q,2020-11-05,2019-03-31,2019-01-01,0001562762-20-000390,null,11864000,-2.6,-2.6,-84274000,793776000,165787000,null,4781691000,2699728000,336700000,1384740000,372817000,100732000,null,1597241000,null,878050000,73729000,35446000
MELI,0001099590,2021,FY,10-K,2022-02-23,2019-03-31,2019-01-01,0001562762-22-000049,null,11864000,0.13,0.13,-153161000,237004000,223807000,null,6526332000,4874754000,336700000,1856394000,451091000,136798000,null,1241306000,null,1255284000,64753000,49691000
MELI,0001099590,2021,Q1,10-Q,2021-05-06,2020-03-31,2020-01-01,0001562762-21-000200,null,-21109000,-0.44,-0.44,-29694000,312814000,73435000,null,6526332000,4874754000,1983120000,1856394000,-85651000,45175000,null,1241306000,null,342508000,4429000,49691000
MELI,0001099590,2021,Q2,10-Q,2021-08-05,2020-03-31,2020-01-01,0001562762-21-000313,null,-21109000,0.66,0.66,69744000,739986000,146689000,null,6526332000,4874754000,1983120000,1856394000,564685000,94834000,null,1241306000,null,670242000,37822000,49691000
MELI,0001099590,2021,Q3,10-Q,2021-11-05,2020-03-31,2020-01-01,0001562762-21-000420,null,-21109000,0.94,0.94,152818000,1220176000,235485000,null,6526332000,4874754000,1983120000,1856394000,925995000,159797000,null,1241306000,null,1067358000,75457000,49691000
MELI,0001099590,2022,FY,10-K,2023-02-24,2020-03-31,2020-01-01,0001099590-23-000007,null,-21000000,-0.44,-0.44,128000000,313000000,353000000,null,10101000000,8570000000,1983000000,2585000000,1182000000,247000000,3518000000,810000000,null,1581000000,82000000,98000000
MELI,0001099590,2022,Q1,10-Q,2022-05-06,2021-03-31,2021-01-01,0001562762-22-000223,null,-34000000,-0.68,-0.68,91000000,591000000,126000000,null,10101000000,8570000000,1652000000,2585000000,-265000000,113000000,null,810000000,null,500000000,44000000,98000000
MELI,0001099590,2022,Q2,10-Q,2022-08-04,2021-03-31,2021-01-01,0001562762-22-000334,null,-34000000,0.69,0.69,257000000,1345000000,273000000,null,10101000000,8570000000,1652000000,2585000000,-1000000,263000000,null,810000000,null,1088000000,114000000,98000000
MELI,0001099590,2022,Q3,10-Q,2022-11-04,2021-03-31,2021-01-01,0001562762-22-000430,null,-34000000,2.6,2.6,417000000,2152000000,411000000,null,10101000000,8570000000,1652000000,2585000000,264000000,425000000,3518000000,810000000,null,1735000000,145000000,98000000
MELI,0001099590,2023,FY,10-K,2024-02-23,2021-03-31,2021-01-01,0001099590-24-000008,1378000000,-34000000,-0.68,-0.68,441000000,591000000,590000000,null,13736000000,11909000000,1651000000,1910000000,965000000,573000000,4758000000,2339000000,null,2564000000,149000000,130000000
MELI,0001099590,2023,Q1,10-Q,2023-05-04,2022-03-31,2022-01-01,0001099590-23-000013,null,65000000,1.3,1.3,139000000,1073000000,234000000,null,13736000000,11909000000,1531000000,1910000000,-233000000,137000000,4758000000,2339000000,null,934000000,46000000,130000000
MELI,0001099590,2023,Q2,10-Q,2023-08-03,2022-03-31,2022-01-01,0001099590-23-000020,null,65000000,3.73,3.73,389000000,2357000000,496000000,null,13736000000,11909000000,1531000000,1910000000,674000000,236000000,4758000000,2339000000,null,1968000000,85000000,130000000
MELI,0001099590,2023,Q3,10-Q,2023-11-02,2022-03-31,2022-01-01,0001099590-23-000033,null,65000000,6.3,6.29,685000000,3705000000,774000000,null,13736000000,11909000000,1531000000,1910000000,1398000000,342000000,4758000000,2339000000,null,3020000000,154000000,130000000
MELI,0001099590,2024,FY,10-K,2025-02-21,2022-12-31,2022-01-01,0001099590-25-000007,10780000000,482000000,9.57,9.53,1069000000,5198000000,1099000000,null,17612000000,14541000000,1531000000,2556000000,2940000000,null,4495000000,3480000000,null,4129000000,298000000,156000000
MELI,0001099590,2024,Q1,10-Q,2024-05-03,2023-03-31,2023-01-01,0001099590-24-000017,3186000000,201000000,4.01,3.97,418000000,1614000000,381000000,null,17646000000,14575000000,1827000000,2556000000,859000000,89000000,4495000000,3480000000,null,1196000000,122000000,156000000
MELI,0001099590,2024,Q2,10-Q,2024-08-02,2023-03-31,2023-01-01,0001099590-24-000026,3186000000,201000000,9.23,9.12,418000000,1614000000,381000000,null,17646000000,14575000000,1827000000,2556000000,2271000000,203000000,4495000000,3480000000,null,1196000000,122000000,156000000
MELI,0001099590,2024,Q3,10-Q,2024-11-07,2023-03-31,2023-01-01,0001099590-24-000042,3186000000,201000000,16.4,16.36,418000000,1614000000,381000000,null,17646000000,14575000000,1827000000,2556000000,3212000000,329000000,4495000000,3480000000,null,1196000000,122000000,156000000
MELI,0001099590,2025,Q1,10-Q,2025-05-08,2024-03-31,2024-01-01,0001099590-25-000028,4333000000,344000000,6.78,6.78,528000000,2024000000,458000000,null,25196000000,20845000000,3071000000,2635000000,1512000000,null,5715000000,4485000000,null,1496000000,137000000,255000000
MELI,0001099590,2025,Q2,10-Q,2025-08-05,2024-06-30,2024-01-01,0001099590-25-000044,9406000000,344000000,17.26,17.26,1254000000,4389000000,918000000,null,25196000000,20845000000,3071000000,2635000000,3394000000,null,5715000000,4485000000,null,3135000000,274000000,255000000
MELI,0001099590,2025,Q3,10-Q,2025-10-30,2024-09-30,2024-01-01,0001099590-25-000051,14718000000,344000000,25.09,25.09,1811000000,6828000000,1422000000,null,25196000000,20845000000,3071000000,2635000000,4994000000,null,5715000000,4485000000,null,5017000000,397000000,255000000
