ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
META,0001326801,2016,FY,10-K,2017-02-03,2014-12-31,2014-01-01,0001326801-17-000007,12466000000,2940000000,1.12,1.1,4994000000,null,2666000000,null,49407000000,5189000000,15470000000,3323000000,7326000000,1831000000,null,null,2153000000,null,1970000000,2559000000
META,0001326801,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001326801-16-000067,3543000000,512000000,0.18,0.18,933000000,null,1062000000,null,49407000000,5189000000,44218000000,4315000000,1700000000,502000000,null,null,654000000,null,420000000,2559000000
META,0001326801,2016,Q2,10-Q,2016-07-28,2015-06-30,2015-01-01,0001326801-16-000082,7586000000,1231000000,0.44,0.43,2206000000,null,2231000000,null,49407000000,5189000000,44218000000,4315000000,3580000000,1051000000,null,null,1323000000,null,974000000,2559000000
META,0001326801,2016,Q3,10-Q,2016-11-03,2015-09-30,2015-01-01,0001326801-16-000087,12087000000,2127000000,0.76,0.75,3665000000,null,3502000000,null,49407000000,5189000000,44218000000,4315000000,5772000000,1831000000,null,null,2043000000,null,1510000000,2559000000
META,0001326801,2017,FY,10-K,2018-02-01,2015-12-31,2015-01-01,0001326801-18-000009,17928000000,3688000000,1.31,1.29,6225000000,null,4816000000,null,64961000000,5767000000,36096000000,4315000000,10320000000,2523000000,null,null,2867000000,null,2506000000,3993000000
META,0001326801,2017,Q1,10-Q,2017-05-04,2016-03-31,2016-01-01,0001326801-17-000024,5382000000,1738000000,0.61,0.6,2010000000,null,1343000000,null,64961000000,5767000000,59194000000,4907000000,3477000000,1132000000,null,null,838000000,null,328000000,3993000000
META,0001326801,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001326801-17-000038,11818000000,4021000000,1.41,1.38,4743000000,null,2814000000,null,64961000000,5767000000,59194000000,4907000000,7142000000,2127000000,null,null,1755000000,null,800000000,3993000000
META,0001326801,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001326801-17-000053,18829000000,6648000000,2.32,2.28,7860000000,null,4356000000,null,64961000000,5767000000,59194000000,4907000000,11178000000,3222000000,null,null,2742000000,null,1337000000,3993000000
META,0001326801,2018,FY,10-K,2019-01-31,2016-12-31,2016-01-01,0001326801-19-000009,null,10217000000,3.56,3.49,12427000000,null,5919000000,null,84524000000,10177000000,44218000000,8903000000,16108000000,4491000000,null,null,3789000000,null,2301000000,5832000000
META,0001326801,2018,Q1,10-Q,2018-04-26,2017-03-31,2017-01-01,0001326801-18-000032,8032000000,3064000000,1.06,1.04,3327000000,null,1834000000,null,84524000000,10177000000,74347000000,7104000000,5058000000,1271000000,null,null,1159000000,null,344000000,5832000000
META,0001326801,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0001326801-18-000057,17353000000,6959000000,2.4,2.36,7729000000,null,3753000000,null,84524000000,10177000000,74347000000,6252000000,10418000000,2715000000,null,null,2395000000,null,938000000,5832000000
META,0001326801,2018,Q3,10-Q,2018-10-31,2017-09-30,2017-01-01,0001326801-18-000067,27681000000,11665000000,4.02,3.95,12851000000,null,5805000000,null,84524000000,10177000000,59194000000,7201000000,16545000000,4470000000,null,null,3843000000,null,1467000000,5832000000
META,0001326801,2019,FY,10-K,2020-01-30,2017-12-31,2017-01-01,0001326801-20-000013,null,15934000000,5.49,5.39,20203000000,null,7754000000,null,97334000000,13207000000,59194000000,8079000000,24216000000,6733000000,null,null,5454000000,null,4660000000,7587000000
META,0001326801,2019,Q1,10-Q,2019-04-25,2018-03-31,2018-01-01,0001326801-19-000037,null,4988000000,1.72,1.69,5449000000,null,2238000000,null,97334000000,13207000000,74347000000,12082000000,7860000000,2812000000,null,null,1927000000,null,622000000,7587000000
META,0001326801,2019,Q2,10-Q,2019-07-25,2018-06-30,2018-01-01,0001326801-19-000055,null,10093000000,3.48,3.43,11313000000,null,4761000000,null,97334000000,13207000000,74347000000,11552000000,14158000000,6272000000,null,null,4141000000,null,1385000000,7587000000
META,0001326801,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0001326801-19-000069,null,15230000000,5.26,5.2,17093000000,null,7418000000,null,97334000000,13207000000,74347000000,9637000000,21656000000,9614000000,null,null,6559000000,null,2160000000,7587000000
META,0001326801,2020,FY,10-K,2021-01-28,2018-12-31,2018-01-01,0001326801-21-000014,null,22112000000,7.65,7.57,24913000000,null,10273000000,null,133376000000,32322000000,74347000000,10019000000,29274000000,13915000000,null,null,9355000000,null,3249000000,9518000000
META,0001326801,2020,Q1,10-Q,2020-04-30,2019-03-31,2019-01-01,0001326801-20-000048,null,2429000000,0.85,0.85,3317000000,null,2860000000,null,133376000000,32322000000,84127000000,11076000000,9308000000,3837000000,null,null,2816000000,null,1053000000,9518000000
META,0001326801,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0001326801-20-000076,null,5045000000,1.77,1.76,7943000000,null,6175000000,null,133376000000,32322000000,84127000000,13877000000,17924000000,7470000000,null,null,6123000000,null,3269000000,9518000000
META,0001326801,2020,Q3,10-Q,2020-10-30,2019-09-30,2019-01-01,0001326801-20-000084,null,11136000000,3.9,3.87,15128000000,null,9722000000,null,133376000000,32322000000,84127000000,15979000000,27231000000,11002000000,null,null,9279000000,null,4507000000,9518000000
META,0001326801,2021,FY,10-K,2022-02-03,2019-12-31,2019-01-01,0001326801-22-000018,null,18485000000,6.48,6.43,23986000000,null,13600000000,null,159316000000,31026000000,84127000000,19079000000,36314000000,15102000000,null,null,12770000000,null,6327000000,11335000000
META,0001326801,2021,Q1,10-Q,2021-04-29,2020-03-31,2020-01-01,0001326801-21-000033,null,4902000000,1.72,1.71,5893000000,null,4015000000,null,159316000000,31026000000,101054000000,23618000000,11001000000,3558000000,null,null,3459000000,null,959000000,11335000000
META,0001326801,2021,Q2,10-Q,2021-07-29,2020-06-30,2020-01-01,0001326801-21-000049,null,10081000000,3.54,3.51,11856000000,null,8477000000,null,159316000000,31026000000,101054000000,21045000000,14878000000,6813000000,null,null,7288000000,null,1911000000,11335000000
META,0001326801,2021,Q3,10-Q,2021-10-26,2020-09-30,2020-01-01,0001326801-21-000065,null,17927000000,6.29,6.22,19896000000,null,13240000000,null,159316000000,31026000000,101054000000,11617000000,24707000000,10502000000,null,null,11482000000,null,2198000000,11335000000
META,0001326801,2022,FY,10-K,2023-02-02,2020-12-31,2020-01-01,0001326801-23-000013,null,29146000000,10.22,10.09,32671000000,null,18447000000,null,165987000000,41108000000,101054000000,17576000000,38747000000,15163000000,null,null,16692000000,null,4034000000,14039000000
META,0001326801,2022,Q1,10-Q,2022-04-28,2021-03-31,2021-01-01,0001326801-22-000057,null,9497000000,3.34,3.3,11378000000,null,5197000000,null,165987000000,41108000000,128290000000,19513000000,12242000000,4303000000,null,null,5131000000,null,2006000000,14039000000
META,0001326801,2022,Q2,10-Q,2022-07-28,2021-06-30,2021-01-01,0001326801-22-000082,null,19892000000,7,6.9,23745000000,null,11293000000,null,165987000000,41108000000,128290000000,16186000000,25489000000,8944000000,null,null,10530000000,null,4124000000,14039000000
META,0001326801,2022,Q3,10-Q,2022-10-27,2021-09-30,2021-01-01,0001326801-22-000108,null,29085000000,10.27,10.11,34168000000,null,17609000000,null,165987000000,41108000000,128290000000,14496000000,39579000000,13290000000,null,null,16301000000,null,5496000000,14039000000
META,0001326801,2023,FY,10-K,2024-02-02,2021-12-31,2021-01-01,0001326801-24-000012,null,39370000000,13.99,13.77,46753000000,null,24655000000,null,185727000000,60014000000,128290000000,16601000000,57683000000,18690000000,9923000000,null,22649000000,null,7914000000,13466000000
META,0001326801,2023,Q1,10-Q,2023-04-27,2022-03-31,2022-01-01,0001326801-23-000067,null,7465000000,2.74,2.72,8524000000,null,7707000000,null,185727000000,60014000000,124879000000,14886000000,14076000000,5441000000,9923000000,null,6005000000,null,1443000000,13466000000
META,0001326801,2023,Q2,10-Q,2023-07-27,2022-06-30,2022-01-01,0001326801-23-000093,null,14152000000,5.21,5.19,16881000000,null,16397000000,null,185727000000,60014000000,124879000000,12681000000,26272000000,13013000000,9923000000,null,11197000000,null,2942000000,13466000000
META,0001326801,2023,Q3,10-Q,2023-10-26,2022-09-30,2022-01-01,0001326801-23-000103,null,18547000000,6.86,6.82,22545000000,null,25567000000,null,185727000000,60014000000,124879000000,14308000000,35964000000,22388000000,9923000000,null,16913000000,null,4123000000,13466000000
META,0001326801,2024,FY,10-K,2025-01-30,2022-12-31,2022-01-01,0001326801-25-000017,null,23200000000,8.63,8.59,28944000000,null,35338000000,null,229623000000,76455000000,124879000000,14681000000,50475000000,31186000000,18385000000,null,25249000000,null,5619000000,16169000000
META,0001326801,2024,Q1,10-Q,2024-04-25,2023-03-31,2023-01-01,0001326801-24-000049,null,5709000000,2.21,2.2,7227000000,null,9381000000,null,229623000000,76455000000,125713000000,11551000000,13998000000,6823000000,null,null,6108000000,null,1598000000,16169000000
