ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MNST,0000865752,2016,FY,10-K,2017-03-01,2014-12-31,2014-01-01,0001104659-17-013048,null,null,null,null,747505000,1339810000,null,null,5571277000,null,992279000,211349000,null,27952000,null,744610000,null,592305000,262603000,352955000
MNST,0000865752,2016,Q1,10-Q,2016-05-02,2015-03-31,2015-01-01,0001104659-16-116437,null,null,null,null,7629000,368957000,null,null,5675189000,null,4809410000,370323000,null,4687000,null,744610000,null,361328000,4448000,352955000
MNST,0000865752,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0001104659-16-137481,null,null,null,null,373767000,763464000,null,null,5675189000,null,4809410000,370323000,null,15827000,null,744610000,null,551167000,140568000,352955000
MNST,0000865752,2016,Q3,10-Q,2016-11-07,2015-09-30,2015-01-01,0001104659-16-155163,null,null,null,null,665205000,1228940000,null,null,5571277000,null,4809410000,370323000,null,25627000,null,744610000,null,725205000,254070000,352955000
MNST,0000865752,2017,FY,10-K,2018-03-01,2015-12-31,2015-01-01,0001104659-18-014057,null,null,null,null,893653000,1632301000,null,null,4153471000,null,1515150000,370323000,522723000,35605000,null,220554000,null,900118000,344815000,448051000
MNST,0000865752,2017,Q1,10-Q,2017-05-08,2016-03-31,2016-01-01,0001104659-17-030369,null,null,null,null,254713000,423098000,null,null,4153471000,null,3329709000,2175417000,null,8205000,null,220554000,null,168385000,91444000,448051000
MNST,0000865752,2017,Q2,10-Q,2017-08-09,2016-06-30,2016-01-01,0001104659-17-050342,null,null,null,null,543237000,940912000,null,null,4153471000,null,3329709000,2175417000,247555000,17813000,null,220554000,null,397675000,195526000,448051000
MNST,0000865752,2017,Q3,10-Q,2017-11-09,2016-09-30,2016-01-01,0001104659-17-067073,null,null,null,null,833610000,1443887000,null,null,4153471000,null,3329709000,2175417000,420702000,67527000,null,220554000,null,610277000,293221000,448051000
MNST,0000865752,2018,FY,10-K,2019-02-28,2016-12-31,2016-01-01,0001104659-19-011581,null,null,null,null,1085338000,1942000000,null,null,4791012000,null,4809410000,2175417000,701355000,99819000,null,672933000,null,856662000,367000000,449476000
MNST,0000865752,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001104659-18-032034,null,null,null,null,264262000,480874000,null,null,4791012000,null,3895212000,377582000,192964000,19093000,null,672933000,null,216612000,86940000,449476000
MNST,0000865752,2018,Q2,10-Q,2018-08-09,2017-06-30,2017-01-01,0001104659-18-050877,null,null,null,null,614303000,1064371000,null,null,4791012000,null,3895212000,528622000,533222000,40477000,null,672933000,null,450068000,211797000,449476000
MNST,0000865752,2018,Q3,10-Q,2018-11-08,2017-09-30,2017-01-01,0001104659-18-066941,null,null,null,null,931675000,1634080000,null,null,4791012000,null,3895212000,528622000,790057000,67738000,null,672933000,null,702405000,314422000,449476000
MNST,0000865752,2019,FY,10-K,2020-02-28,2017-12-31,2017-01-01,0001104659-20-027209,null,null,null,null,1198787000,2137690000,null,null,4526891000,null,3329709000,377582000,987731000,83435000,null,320650000,null,938903000,380945000,484562000
MNST,0000865752,2019,Q1,10-Q,2019-05-03,2018-03-31,2018-01-01,0001104659-19-026789,null,null,null,null,279915000,515257000,null,null,4526891000,null,3895212000,528622000,148911000,13049000,null,320650000,null,235342000,65670000,484562000
MNST,0000865752,2019,Q2,10-Q,2019-08-08,2018-06-30,2018-01-01,0001410578-19-000733,null,null,null,null,637535000,1135514000,null,null,4526891000,null,3895212000,528622000,501300000,34619000,null,320650000,null,497979000,153651000,484562000
MNST,0000865752,2019,Q3,10-Q,2019-11-08,2018-09-30,2018-01-01,0001104659-19-061273,null,null,null,null,977108000,1743173000,null,null,4526891000,null,3895212000,528622000,821360000,49862000,null,320650000,null,766065000,228480000,484562000
MNST,0000865752,2020,FY,10-K,2021-03-01,2018-12-31,2018-01-01,0001104659-21-029943,null,null,null,null,1283619000,2295375000,null,null,5150352000,null,3895212000,528622000,1161881000,61941000,null,533063000,null,1011756000,300268000,540330000
MNST,0000865752,2020,Q1,10-Q,2020-05-11,2019-03-31,2019-01-01,0001104659-20-058939,null,null,null,null,311461000,573532000,null,null,5150352000,null,3610901000,637513000,123396000,8485000,null,533063000,null,262071000,52718000,540330000
MNST,0000865752,2020,Q2,10-Q,2020-08-06,2019-06-30,2019-01-01,0001104659-20-091376,null,null,null,null,690452000,1234816000,null,null,5150352000,null,3610901000,637513000,454785000,21077000,null,533063000,null,544364000,142208000,540330000
MNST,0000865752,2020,Q3,10-Q,2020-11-06,2019-09-30,2019-01-01,0001104659-20-122598,null,null,null,null,1085894000,1907817000,null,null,5150352000,null,3610901000,637513000,821069000,44392000,null,533063000,null,821923000,241848000,540330000
MNST,0000865752,2021,FY,10-K,2022-02-28,2019-12-31,2019-01-01,0001104659-22-028182,null,null,null,null,1402939000,2518585000,null,null,6202716000,null,3610901000,1180413000,1113762000,101661000,null,881354000,null,1115646000,308127000,666012000
MNST,0000865752,2021,Q1,10-Q,2021-05-07,2020-03-31,2020-01-01,0001104659-21-063189,null,null,null,null,364988000,637196000,null,null,6202716000,null,4171281000,797957000,191132000,11119000,null,881354000,null,272208000,87025000,666012000
MNST,0000865752,2021,Q2,10-Q,2021-08-09,2020-06-30,2020-01-01,0001104659-21-101583,null,null,null,null,772252000,1296664000,null,null,6202716000,null,4171281000,797957000,440458000,29116000,null,881354000,null,524412000,181125000,666012000
MNST,0000865752,2021,Q3,10-Q,2021-11-05,2020-09-30,2020-01-01,0001104659-21-135130,null,null,null,null,1230852000,2033195000,null,null,6202716000,null,4171281000,797957000,949236000,42062000,null,881354000,null,802343000,287503000,666012000
MNST,0000865752,2022,FY,10-K,2023-03-01,2020-12-31,2020-01-01,0001104659-23-027245,null,null,null,null,1633153000,2723880000,null,null,7804784000,null,4171281000,1326462000,1364163000,48722000,null,1749727000,null,1090727000,216563000,896658000
MNST,0000865752,2022,Q1,10-Q,2022-05-06,2021-03-31,2021-01-01,0001104659-22-057028,null,null,null,null,414146000,714935000,null,null,7804784000,null,5160860000,1326462000,175473000,8400000,null,1749727000,null,300789000,98193000,896658000
MNST,0000865752,2022,Q2,10-Q,2022-08-05,2021-06-30,2021-01-01,0001104659-22-086741,null,null,null,null,940123000,1551775000,null,null,7804784000,null,5160860000,1326462000,586586000,15522000,null,1749727000,null,611652000,221278000,896658000
MNST,0000865752,2022,Q3,10-Q,2022-11-04,2021-09-30,2021-01-01,0001104659-22-114849,null,null,null,null,1384587000,2340933000,null,null,7804784000,null,5160860000,1326462000,927982000,28131000,null,1749727000,null,956346000,326247000,896658000
MNST,0000865752,2023,FY,10-K,2024-02-29,2021-12-31,2021-01-01,0001104659-24-029425,null,null,null,null,1797467000,3108513000,null,null,8293105000,null,5160860000,1307141000,1155741000,43868000,null,1362314000,null,1311046000,423944000,1016203000
MNST,0000865752,2023,Q1,10-Q,2023-05-05,2022-03-31,2022-01-01,0001104659-23-056507,null,null,null,null,399489000,776667000,null,null,8293105000,null,6566951000,1307141000,-351000,21511000,null,1362314000,null,377178000,97986000,1016203000
MNST,0000865752,2023,Q2,10-Q,2023-08-04,2022-06-30,2022-01-01,0001104659-23-087927,null,null,null,null,772439000,1556527000,null,null,8293105000,null,6566951000,1307141000,130663000,99446000,null,1362314000,null,784088000,190796000,1016203000
MNST,0000865752,2023,Q3,10-Q,2023-11-06,2022-09-30,2022-01-01,0001104659-23-114789,null,null,null,null,1190369000,2390252000,null,null,8293105000,null,6566951000,1307141000,589186000,136158000,null,1362314000,null,1199883000,288487000,1016203000
MNST,0000865752,2024,FY,10-K,2025-02-28,2022-12-31,2022-01-01,0001410578-25-000248,null,null,null,null,1584721000,3174567000,null,null,9686522000,null,6566951000,2297675000,887699000,188726000,373951000,955605000,null,1589846000,380340000,1193964000
MNST,0000865752,2024,Q1,10-Q,2024-05-07,2023-03-31,2023-01-01,0001410578-24-000605,null,null,null,null,485064000,897849000,null,null,9686522000,null,7025041000,2297675000,424475000,40100000,null,955605000,null,412785000,100116000,1193964000
MNST,0000865752,2024,Q2,10-Q,2024-08-08,2023-06-30,2023-01-01,0001410578-24-001239,null,null,null,null,1008870000,1872071000,null,null,9686522000,null,7025041000,2297675000,763162000,82425000,748740000,955605000,null,863201000,225208000,1193964000
MNST,0000865752,2024,Q3,10-Q,2024-11-08,2023-09-30,2023-01-01,0001410578-24-001818,null,null,null,null,1519396000,2855833000,null,null,9686522000,null,7025041000,2297675000,1283426000,110224000,0,955605000,null,1336437000,354397000,1193964000
MNST,0000865752,2025,Q1,10-Q,2025-05-09,2024-03-31,2024-01-01,0001410578-25-001122,null,null,null,null,541991000,1027129000,null,null,7719089000,null,8228744000,1533287000,412142000,66044000,373951000,null,null,485138000,135696000,1221646000
MNST,0000865752,2025,Q2,10-Q,2025-08-08,2024-06-30,2024-01-01,0001410578-25-001620,null,null,null,null,1069154000,2046634000,null,null,7719089000,null,8228744000,1533287000,848433000,125812000,373951000,0,null,977480000,261867000,1221646000
MNST,0000865752,2025,Q3,10-Q,2025-11-07,2024-09-30,2024-01-01,0001104659-25-107944,null,null,null,null,1549070000,3046433000,null,null,7719089000,null,8228744000,1533287000,1466832000,172795000,373951000,0,null,1497363000,365044000,1221646000
