ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MRVL,0001835632,2022,FY,10-K,2022-03-10,2020-02-01,2019-02-03,0001835632-22-000016,null,1584391000,2.38,2.34,-243358000,1356941000,1080391000,null,10764924000,2329120000,7306410000,748467000,360297000,81921000,1192811000,null,null,null,-786009000,536668000
MRVL,0001835632,2022,Q1,10-Q,2021-06-09,2020-05-02,2020-02-02,0001835632-21-000010,null,-113033000,-0.17,-0.17,-95996000,326902000,279584000,122027000,10764924000,2329120000,8678580000,748467000,175628000,35343000,1192811000,null,null,null,5019000,536668000
MRVL,0001835632,2022,Q2,10-Q,2021-08-27,2020-05-02,2020-02-02,0001835632-21-000022,null,-113033000,-0.41,-0.41,-247263000,686158000,556723000,234821000,10764924000,2329120000,8678580000,748467000,401458000,52883000,1192811000,null,null,null,-3853000,536668000
MRVL,0001835632,2022,Q3,10-Q,2021-12-03,2020-05-02,2020-02-02,0001835632-21-000032,null,-113033000,-0.44,-0.44,-256653000,1067218000,812360000,350322000,10764924000,2329120000,8678580000,748467000,658992000,88242000,1192811000,null,null,null,-5494000,536668000
MRVL,0001835632,2023,FY,10-K,2023-03-09,2021-01-30,2020-02-02,0001835632-23-000013,null,-277300000,-0.41,-0.41,-258400000,1488300000,1072700000,null,22108600000,6406500000,8678600000,613500000,817300000,106800000,4548000000,null,null,null,-44900000,1048600000
MRVL,0001835632,2023,Q1,10-Q,2022-05-27,2021-05-01,2021-01-31,0001835632-22-000028,null,-88200000,-0.13,-0.13,-82300000,418200000,286100000,201500000,22108600000,6406500000,8435800000,613500000,-13700000,21400000,4548000000,null,null,null,-27800000,1048600000
MRVL,0001835632,2023,Q2,10-Q,2022-08-26,2021-05-01,2021-01-31,0001835632-22-000041,null,-88200000,-0.48,-0.48,-349000000,790000000,653100000,460700000,22108600000,6406500000,8435800000,613500000,208400000,53600000,4548000000,null,null,null,-53400000,1048600000
MRVL,0001835632,2023,Q3,10-Q,2022-12-02,2021-05-01,2021-01-31,0001835632-22-000053,null,-88200000,-0.55,-0.55,-382400000,1377800000,1025000000,704100000,22108600000,6406500000,8435800000,613500000,473100000,130400000,4548000000,null,null,null,-58400000,1048600000
MRVL,0001835632,2024,FY,10-K,2024-03-13,2022-01-29,2021-01-31,0001835632-24-000009,null,-421000000,-0.53,-0.53,-347700000,2064200000,1424200000,955300000,22522100000,6884900000,8435800000,911000000,819300000,169200000,4492100000,null,null,null,-62500000,1192200000
MRVL,0001835632,2024,Q1,10-Q,2023-05-26,2022-04-30,2022-01-30,0001835632-23-000029,null,-165700000,-0.2,-0.2,69800000,750900000,444100000,235700000,22522100000,6884900000,15702100000,911000000,194800000,36900000,4492100000,null,null,null,204900000,1192200000
MRVL,0001835632,2024,Q2,10-Q,2023-08-25,2022-04-30,2022-01-30,0001835632-23-000038,null,-165700000,-0.19,-0.19,108900000,1536900000,893100000,432400000,22522100000,6884900000,15702100000,911000000,526300000,109500000,4492100000,null,null,null,204400000,1192200000
MRVL,0001835632,2024,Q3,10-Q,2023-12-01,2022-04-30,2022-01-30,0001835632-23-000046,null,-165700000,-0.17,-0.17,214700000,2314200000,1341200000,640200000,22522100000,6884900000,15702100000,911000000,937300000,152200000,4492100000,null,null,null,256400000,1192200000
MRVL,0001835632,2025,FY,10-K,2025-03-12,2023-01-28,2022-01-30,0001835632-25-000057,null,-163500000,-0.19,-0.19,238000000,2987500000,1784300000,843600000,21228500000,6397100000,15702100000,950800000,1288800000,206200000,4165900000,null,null,null,248600000,1121600000
MRVL,0001835632,2025,Q1,10-Q,2024-05-31,2023-04-29,2023-01-29,0001835632-24-000063,null,-168900000,-0.2,-0.2,-182400000,557200000,480700000,199000000,21228500000,6397100000,15637200000,950800000,208400000,99800000,4165900000,null,null,null,-63400000,1121600000
MRVL,0001835632,2025,Q2,10-Q,2024-08-30,2023-04-29,2023-01-29,0001835632-24-000142,null,-168900000,-0.44,-0.44,-388100000,1078300000,955500000,409000000,21228500000,6397100000,15637200000,950800000,320900000,210900000,4165900000,null,null,null,-107500000,1121600000
MRVL,0001835632,2025,Q3,10-Q,2024-12-04,2023-04-29,2023-01-29,0001835632-24-000200,null,-168900000,-0.63,-0.63,-534400000,1629500000,1436600000,622000000,21228500000,6397100000,15637200000,950800000,823900000,265300000,4165900000,null,null,null,-130700000,1121600000
MRVL,0001835632,2026,Q1,10-Q,2025-05-30,2024-05-04,2024-02-04,0001835632-25-000117,null,-215600000,-0.25,-0.25,-152300000,527800000,476100000,199900000,20204500000,6777500000,14831400000,948300000,324500000,91500000,4063800000,null,null,null,17800000,1028400000
MRVL,0001835632,2026,Q2,10-Q,2025-08-29,2024-05-04,2024-02-04,0001835632-25-000189,null,-215600000,-0.47,-0.47,-252700000,1115400000,962800000,397200000,20204500000,6777500000,14831400000,948300000,630900000,139700000,4063800000,null,null,null,64900000,1028400000
