ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MSFT,0000789019,2016,FY,10-K,2016-07-28,2014-06-30,2013-07-01,0001193125-16-662209,null,22074000000,2.66,2.63,27759000000,59755000000,11381000000,null,174472000000,94389000000,89784000000,3804000000,null,5485000000,30300000000,null,27078000000,null,5746000000,17908000000
MSFT,0000789019,2016,Q1,10-Q,2015-10-22,2014-09-30,2014-07-01,0001193125-15-350718,null,4540000000,0.55,0.54,5844000000,14928000000,3065000000,null,176223000000,96140000000,90170000000,8669000000,null,1282000000,30300000000,null,8273000000,null,1356000000,17908000000
MSFT,0000789019,2016,Q2,10-Q,2016-01-28,2014-12-31,2014-07-01,0001193125-16-441821,null,10403000000,1.26,1.25,13620000000,31262000000,5968000000,null,176223000000,96140000000,91879000000,8669000000,null,2772000000,30300000000,null,18409000000,null,3343000000,17908000000
MSFT,0000789019,2016,Q3,10-Q,2016-04-21,2015-03-31,2014-07-01,0001193125-16-550254,null,15388000000,1.87,1.86,20214000000,45830000000,8952000000,null,176223000000,96140000000,90132000000,8669000000,null,4163000000,30300000000,null,25570000000,null,4875000000,17908000000
MSFT,0000789019,2017,FY,10-K,2017-08-02,2015-06-30,2014-07-01,0001564590-17-014900,null,12193000000,1.49,1.48,18161000000,60542000000,12046000000,null,193468000000,121471000000,80083000000,8669000000,null,5944000000,40600000000,null,33038000000,null,6314000000,18277000000
MSFT,0000789019,2017,Q1,10-Q,2016-10-20,2015-09-30,2015-07-01,0001193125-16-742796,null,4902000000,0.61,0.61,5793000000,13172000000,2962000000,null,193468000000,121471000000,77445000000,5595000000,null,1356000000,40600000000,null,7207000000,null,611000000,18277000000
MSFT,0000789019,2017,Q2,10-Q,2017-01-26,2015-12-31,2015-07-01,0001564590-17-000654,null,9920000000,1.24,1.23,11819000000,27096000000,5862000000,null,193468000000,121471000000,76780000000,5595000000,null,3380000000,40600000000,null,17079000000,null,1448000000,18277000000
MSFT,0000789019,2017,Q3,10-Q,2017-04-27,2016-03-31,2015-07-01,0001564590-17-007547,null,13676000000,1.72,1.7,17102000000,39905000000,8842000000,null,193468000000,121471000000,74806000000,5595000000,null,5688000000,40600000000,null,24801000000,null,2728000000,18277000000
MSFT,0000789019,2018,FY,10-K,2018-08-03,2016-06-30,2015-07-01,0001564590-18-019062,null,20539000000,2.59,2.56,26078000000,58374000000,11988000000,null,250312000000,162601000000,83090000000,5595000000,33325000000,8343000000,77100000000,null,null,null,5100000000,22431000000
MSFT,0000789019,2018,Q1,10-Q,2017-10-26,2016-09-30,2016-07-01,0001564590-17-020171,null,5667000000,0.73,0.72,6715000000,14084000000,3106000000,null,250312000000,162601000000,82462000000,6510000000,null,2163000000,77100000000,null,7844000000,null,1160000000,22431000000
MSFT,0000789019,2018,Q2,10-Q,2018-01-31,2016-12-31,2016-07-01,0001564590-18-001129,null,11934000000,1.54,1.52,14620000000,30009000000,6168000000,null,250312000000,162601000000,81829000000,6510000000,17842000000,4151000000,77100000000,null,17745000000,null,2915000000,22431000000
MSFT,0000789019,2018,Q3,10-Q,2018-04-26,2017-03-31,2016-07-01,0001564590-18-009307,null,17420000000,2.25,2.22,21343000000,45161000000,9523000000,null,250312000000,162601000000,83491000000,6510000000,28502000000,5846000000,77100000000,null,25805000000,null,4523000000,22431000000
MSFT,0000789019,2019,FY,10-K,2019-08-01,2017-06-30,2016-07-01,0001564590-19-027952,null,25489000000,3.29,3.25,29025000000,62310000000,13037000000,null,258848000000,176130000000,87711000000,6510000000,39507000000,8129000000,76200000000,121822000000,null,null,4412000000,26481000000
MSFT,0000789019,2019,Q1,10-Q,2018-10-24,2017-09-30,2017-07-01,0001564590-18-024893,null,6576000000,0.85,0.84,7708000000,16260000000,3574000000,null,258848000000,176130000000,89647000000,7663000000,12440000000,2132000000,76200000000,121822000000,null,null,1408000000,26481000000
MSFT,0000789019,2019,Q2,10-Q,2019-01-30,2017-12-31,2017-07-01,0001564590-19-001392,null,274000000,0.04,0.04,16387000000,34114000000,7078000000,null,258848000000,176130000000,78360000000,7663000000,20315000000,4718000000,76200000000,121822000000,null,null,16879000000,26481000000
MSFT,0000789019,2019,Q3,10-Q,2019-04-24,2018-03-31,2017-07-01,0001564590-19-012709,null,7698000000,1,0.99,24679000000,51664000000,10793000000,null,258848000000,176130000000,79239000000,7663000000,32466000000,7652000000,76200000000,121822000000,null,null,18096000000,26481000000
MSFT,0000789019,2020,FY,10-K,2020-07-30,2018-06-30,2017-07-01,0001564590-20-034944,null,16571000000,2.15,2.13,35058000000,72007000000,14726000000,null,286556000000,184226000000,82718000000,11356000000,43884000000,11632000000,72178000000,122463000000,null,null,19903000000,29524000000
