ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MSTR,0001050446,2016,FY,10-K,2017-02-10,2014-12-31,2014-01-01,0001564590-17-001395,579830000,5035000,0.45,0.44,5104000,444620000,103355000,null,656894000,201613000,310326000,220171000,null,12400000,null,193320000,135210000,439516000,6016000,68154000
MSTR,0001050446,2016,Q1,10-Q,2016-04-27,2015-03-31,2015-01-01,0001193125-16-559653,123871000,20460000,1.81,1.79,22645000,96773000,15398000,null,656894000,201613000,455281000,146919000,55846000,1535000,null,193320000,27098000,74128000,6937000,68154000
MSTR,0001050446,2016,Q2,10-Q,2016-07-28,2015-06-30,2015-01-01,0001193125-16-662319,256811000,42927000,3.79,3.74,57397000,203801000,30262000,null,656894000,201613000,455281000,146919000,null,3254000,null,193320000,53010000,146404000,16318000,68154000
MSTR,0001050446,2016,Q3,10-Q,2016-10-27,2015-09-30,2015-01-01,0001564590-16-026393,386347000,66820000,5.89,5.8,88128000,308653000,48051000,null,656894000,201613000,455281000,146919000,null,3352000,null,193320000,77694000,220525000,24038000,68154000
MSTR,0001050446,2017,FY,10-K,2018-02-07,2015-12-31,2015-01-01,0001564590-18-001547,529869000,105931000,9.33,9.18,134022000,428761000,65206000,null,768319000,216142000,324471000,401975000,null,3484000,null,187408000,101108000,294739000,31933000,83319000
MSTR,0001050446,2017,Q1,10-Q,2017-04-27,2016-03-31,2016-01-01,0001564590-17-007553,119015000,14272000,1.25,1.24,19796000,96192000,17575000,null,768319000,216142000,552177000,401975000,null,193000,null,187408000,22823000,76396000,4259000,83319000
MSTR,0001050446,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001564590-17-014284,242157000,33156000,2.9,2.88,40875000,195233000,36735000,null,768319000,216142000,552177000,401975000,null,935000,null,187408000,46924000,154358000,8748000,83319000
MSTR,0001050446,2017,Q3,10-Q,2017-10-26,2016-09-30,2016-01-01,0001564590-17-020184,372053000,59784000,5.23,5.2,70883000,302194000,54804000,null,768319000,216142000,552177000,401975000,null,1560000,null,187408000,69859000,231311000,12162000,83319000
MSTR,0001050446,2018,FY,10-K,2019-02-20,2016-12-31,2016-01-01,0001564590-19-003468,513589000,92239000,8.07,8.01,109512000,420442000,73142000,null,933219000,327493000,455281000,420244000,110589000,2337000,null,254927000,null,310930000,22694000,165364000
MSTR,0001050446,2018,Q1,10-Q,2018-04-26,2017-03-31,2017-01-01,0001564590-18-009338,122232000,15557000,1.36,1.34,20835000,99100000,18426000,null,933219000,327493000,605726000,420244000,null,820000,null,254927000,23132000,78265000,4259000,165364000
MSTR,0001050446,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0001564590-18-017618,241452000,25510000,2.23,2.2,34911000,193945000,37987000,null,933219000,327493000,605726000,420244000,37113000,1467000,null,254927000,null,159034000,6927000,165364000
MSTR,0001050446,2018,Q3,10-Q,2018-10-25,2017-09-30,2017-01-01,0001564590-18-025131,367462000,43694000,3.82,3.78,56085000,295566000,57347000,null,933219000,327493000,605726000,420244000,49283000,2282000,null,254927000,null,239481000,9463000,165364000
MSTR,0001050446,2019,FY,10-K,2020-02-14,2017-12-31,2017-01-01,0001564590-20-004679,503843000,18195000,1.59,1.58,73222000,407194000,78766000,null,855768000,326037000,566317000,109924000,78322000,3982000,null,466186000,null,333972000,53279000,171359000
MSTR,0001050446,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001564590-19-014300,122967000,1673000,0.15,0.15,715000,97782000,23560000,null,855768000,326037000,605726000,109924000,18717000,1294000,null,466186000,null,97067000,-518000,171359000
MSTR,0001050446,2019,Q2,10-Q,2019-07-30,2018-06-30,2018-01-01,0001564590-19-026999,243569000,1673000,0.57,0.57,-1082000,193344000,48642000,null,855768000,326037000,605726000,109924000,23327000,2644000,null,466186000,null,194426000,541000,171359000
MSTR,0001050446,2019,Q3,10-Q,2019-10-29,2018-09-30,2018-01-01,0001564590-19-038406,365721000,1673000,1.68,1.67,6138000,292107000,74471000,null,855768000,326037000,605726000,109924000,23248000,4457000,null,466186000,null,285969000,-699000,171359000
MSTR,0001050446,2020,FY,10-K,2021-02-12,2018-12-31,2018-01-01,0001564590-21-005783,497638000,22501000,1.98,1.97,3981000,398139000,102499000,null,916571000,408012000,605726000,456727000,10627000,6846000,null,108919000,null,394158000,-2019000,163516000
MSTR,0001050446,2020,Q1,10-Q,2020-04-28,2019-03-31,2019-01-01,0001564590-20-019245,115366000,-7906000,-0.77,-0.77,-10386000,89193000,28215000,null,916571000,408012000,529731000,456727000,26456000,6011000,null,108919000,null,99579000,-510000,163516000
MSTR,0001050446,2020,Q2,10-Q,2020-07-28,2019-06-30,2019-01-01,0001564590-20-033897,233103000,-7906000,1.21,1.21,-15216000,181580000,55979000,null,916571000,408012000,529731000,456727000,49202000,8432000,null,108919000,null,196796000,6710000,163516000
MSTR,0001050446,2020,Q3,10-Q,2020-10-27,2019-09-30,2019-01-01,0001564590-20-047995,352796000,-7906000,2.16,2.15,-10630000,277458000,83436000,null,916571000,408012000,529731000,456727000,52323000,9382000,null,108919000,null,288088000,6419000,163516000
MSTR,0001050446,2021,FY,10-K,2022-02-16,2019-12-31,2019-01-01,0001564590-22-005287,486327000,34355000,3.35,3.33,-1002000,386353000,109423000,null,1465612000,912567000,529731000,59675000,60867000,10182000,2155151000,0,null,387355000,3908000,197461000
MSTR,0001050446,2021,Q1,10-Q,2021-04-29,2020-03-31,2020-01-01,0001564590-21-021949,111424000,657000,0.07,0.07,-72000,86879000,26101000,null,1465612000,912567000,508559000,59675000,29069000,661000,1724443000,null,null,86951000,1560000,197461000
MSTR,0001050446,2021,Q2,10-Q,2021-07-29,2020-06-30,2020-01-01,0001564590-21-039125,222008000,657000,0.41,0.41,6256000,173474000,51968000,null,1465612000,912567000,508559000,59675000,26521000,1162000,2150927000,null,null,167218000,3069000,197461000
MSTR,0001050446,2021,Q3,10-Q,2021-10-28,2020-09-30,2020-01-01,0001564590-21-052646,349416000,657000,-1.04,-1.04,-14015000,279146000,78606000,null,1465612000,912567000,508559000,59675000,28297000,1162000,2153034000,null,null,293161000,-5735000,197461000
MSTR,0001050446,2022,FY,10-K,2023-02-16,2020-12-31,2020-01-01,0001564590-23-002012,480735000,-7524000,-0.78,-0.78,-13625000,389680000,103561000,null,3557124000,2578166000,508559000,63356000,53619000,3651000,2155151000,0,null,403305000,-12429000,189280000
MSTR,0001050446,2022,Q1,10-Q,2022-05-03,2021-03-31,2021-01-01,0001564590-22-017437,122902000,-110020000,-11.4,-11.4,-183152000,100353000,29483000,null,3557124000,2578166000,446192000,63356000,62703000,447000,2155151000,null,null,283505000,-74264000,189280000
