ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
MU,0000723125,2016,FY,10-K,2016-10-28,2014-08-28,2013-08-30,0000723125-16-000269,null,3045000000,2.87,2.54,3087000000,5437000000,1371000000,707000000,24143000000,10855000000,12302000000,2880000000,null,3107000000,null,null,null,null,128000000,2188000000
MU,0000723125,2016,Q1,10-Q,2016-01-08,2014-12-04,2014-08-29,0000723125-16-000146,null,1003000000,0.94,0.84,1085000000,1638000000,376000000,193000000,24143000000,10855000000,12302000000,4150000000,null,669000000,null,null,null,null,75000000,2188000000
MU,0000723125,2016,Q2,10-Q,2016-04-08,2015-03-05,2014-08-29,0000723125-16-000176,null,1937000000,1.81,1.62,1940000000,3043000000,755000000,380000000,24143000000,10855000000,12302000000,4150000000,null,1522000000,null,null,null,null,122000000,2188000000
MU,0000723125,2016,Q3,10-Q,2016-07-06,2015-06-04,2014-08-29,0000723125-16-000201,null,2428000000,2.26,2.05,2571000000,4245000000,1161000000,549000000,24143000000,10855000000,12302000000,4150000000,null,2256000000,null,null,null,null,226000000,2188000000
MU,0000723125,2017,FY,10-K,2017-10-26,2015-09-03,2014-08-29,0000723125-17-000131,null,2899000000,2.71,2.47,2998000000,5215000000,1540000000,719000000,27540000000,14612000000,12080000000,4140000000,5208000000,4021000000,null,null,null,null,157000000,1765000000
MU,0000723125,2017,Q1,10-Q,2017-01-09,2015-12-03,2015-09-04,0000723125-17-000005,null,206000000,0.2,0.19,232000000,849000000,421000000,179000000,27540000000,14612000000,12080000000,2287000000,null,990000000,null,null,null,null,-4000000,1765000000
MU,0000723125,2017,Q2,10-Q,2017-03-28,2016-03-03,2015-09-04,0000723125-17-000037,null,109000000,0.11,0.1,227000000,1428000000,824000000,354000000,27540000000,14612000000,12080000000,2287000000,null,2209000000,null,null,null,null,1000000,1765000000
MU,0000723125,2017,Q3,10-Q,2017-06-30,2016-06-02,2015-09-04,0000723125-17-000085,null,-106000000,-0.1,-0.1,200000000,1926000000,1206000000,502000000,27540000000,14612000000,12080000000,2287000000,null,3894000000,null,null,null,null,16000000,1765000000
MU,0000723125,2018,FY,10-K,2018-10-15,2016-09-01,2015-09-04,0000723125-18-000092,12399000000,-276000000,-0.27,-0.27,168000000,2505000000,1617000000,659000000,35336000000,15845000000,18621000000,5109000000,3168000000,5817000000,null,null,null,null,19000000,3490000000
MU,0000723125,2018,Q1,10-Q,2017-12-20,2016-12-01,2016-09-02,0000723125-17-000166,null,180000000,0.17,0.16,359000000,1011000000,470000000,159000000,35336000000,15845000000,18621000000,5109000000,1138000000,1264000000,null,null,null,null,31000000,3490000000
