ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
NFLX,0001065280,2016,FY,10-K,2017-01-27,2014-12-31,2014-01-01,0001628280-17-000496,5504656000,266799000,0.63,0.62,402648000,526728000,398200000,null,10202871000,7979445000,1333561000,604965000,16483000,69726000,null,null,3752760000,null,82570000,null
NFLX,0001065280,2016,Q1,10-Q,2016-04-20,2015-03-31,2015-01-01,0001065280-16-000057,1573129000,23696000,0.06,0.05,97456000,null,143106000,null,10202871000,7979445000,2223426000,1113608000,-127382000,13036000,null,null,1046401000,null,14730000,null
NFLX,0001065280,2016,Q2,10-Q,2016-07-19,2015-06-30,2015-01-01,0001065280-16-000072,3217823000,50031000,0.12,0.12,172291000,null,298167000,null,10202871000,7979445000,2223426000,1113608000,-308725000,40574000,null,null,2168153000,null,28885000,null
NFLX,0001065280,2016,Q3,10-Q,2016-10-20,2015-09-30,2015-01-01,0001065280-16-000081,4956178000,79463000,0.19,0.18,245932000,null,469929000,null,10202871000,7979445000,2223426000,1113608000,-504694000,78394000,null,null,3342111000,null,41691000,null
NFLX,0001065280,2017,FY,10-K,2018-01-29,2015-12-31,2015-01-01,0001065280-18-000069,6779511000,122641000,0.29,0.28,305826000,588196000,570000000,null,13586610000,10906810000,1857708000,1113608000,-749439000,91248000,null,null,4591476000,null,19244000,null
NFLX,0001065280,2017,Q1,10-Q,2017-04-20,2016-03-31,2016-01-01,0001628280-17-003939,1957736000,27658000,0.06,0.06,49453000,null,203508000,null,13586610000,10906810000,2679800000,1809330000,-228590000,8425000,null,null,1369540000,null,12221000,null
NFLX,0001065280,2017,Q2,10-Q,2017-07-19,2016-06-30,2016-01-01,0001065280-17-000046,4062940000,68413000,0.16,0.16,119823000,null,410808000,null,13586610000,10906810000,2679800000,1809330000,-454883000,19239000,null,null,2842638000,null,22698000,null
NFLX,0001065280,2017,Q3,10-Q,2017-10-18,2016-09-30,2016-01-01,0001065280-17-000180,6353128000,119930000,0.28,0.27,225859000,null,626907000,null,13586610000,10906810000,2679800000,1809330000,-916824000,46605000,null,null,4375482000,null,50308000,null
NFLX,0001065280,2018,FY,10-K,2019-01-29,2016-03-31,2016-01-01,0001065280-19-000043,1957736000,186678000,0.44,0.43,49453000,895904000,768000000,null,19012742000,15430786000,2223426000,2822795000,-1473984000,107653000,9048828000,null,1418581000,null,73829000,null
NFLX,0001065280,2018,Q1,10-Q,2018-04-18,2017-03-31,2017-01-01,0001065280-18-000205,2636635000,178222000,0.41,0.4,256942000,null,257108000,null,19012742000,15430786000,3581956000,2822795000,-343856000,52523000,9048828000,null,1657024000,null,45570000,null
NFLX,0001065280,2018,Q2,10-Q,2018-07-18,2017-06-30,2017-01-01,0001065280-18-000360,5422099000,243822000,0.57,0.55,384749000,null,524191000,null,19012742000,15430786000,3581956000,2822795000,-878384000,117754000,9048828000,null,3559332000,null,-6068000,null
NFLX,0001065280,2018,Q3,10-Q,2018-10-18,2017-09-30,2017-01-01,0001065280-18-000538,8406958000,373412000,0.87,0.84,593376000,null,779427000,null,19012742000,15430786000,3581956000,2822795000,-1297991000,151717000,9048828000,null,5552312000,null,-19421000,null
NFLX,0001065280,2019,FY,10-K,2020-01-29,2017-12-31,2017-01-01,0001065280-20-000040,11692713000,558929000,1.29,1.25,838679000,1400277000,981000000,null,25974400000,20735635000,2679800000,3794483000,-1785948000,173302000,14873195000,null,8033000000,null,-73608000,null
NFLX,0001065280,2019,Q1,10-Q,2019-04-18,2018-03-31,2018-01-01,0001065280-19-000157,3700856000,290124000,0.67,0.64,446578000,null,282310000,null,25974400000,20735635000,3581956000,3794483000,-236757000,37170000,14873195000,null,2300579000,null,9492000,null
NFLX,0001065280,2019,Q2,10-Q,2019-07-19,2018-06-30,2018-01-01,0001065280-19-000260,7608126000,674473000,1.55,1.5,908791000,null,581405000,null,25974400000,20735635000,3581956000,3794483000,-754996000,64493000,14873195000,null,4703010000,null,53779000,null
NFLX,0001065280,2019,Q3,10-Q,2019-10-18,2018-09-30,2018-01-01,0001065280-19-000368,11607500000,1077308000,2.48,2.39,1389459000,null,890025000,null,25974400000,20735635000,3581956000,3794483000,-1445407000,103826000,14873195000,null,7234138000,null,29754000,null
NFLX,0001065280,2020,FY,10-K,2021-01-28,2018-12-31,2018-01-01,0001065280-21-000040,15794341000,1211242000,2.78,2.68,1605226000,1650378000,1218000000,null,33975712000,26393555000,3581956000,5018437000,-2680479000,173946000,20723441000,null,9967538000,null,15216000,null
NFLX,0001065280,2020,Q1,10-Q,2020-04-21,2019-03-31,2019-01-01,0001065280-20-000155,4520992000,344052000,0.79,0.76,459084000,null,372764000,null,33975712000,26393555000,5238765000,5018437000,-379799000,60381000,20723441000,null,2870614000,null,55607000,null
NFLX,0001065280,2020,Q2,10-Q,2020-07-20,2019-06-30,2019-01-01,0001065280-20-000309,9444108000,614702000,1.41,1.36,1165503000,null,755997000,null,33975712000,26393555000,5238765000,5018437000,-923553000,99965000,20723441000,null,5876271000,null,285873000,null
NFLX,0001065280,2020,Q3,10-Q,2020-10-22,2019-09-30,2019-01-01,0001065280-20-000451,14689013000,1279946000,2.93,2.83,2145742000,null,1135773000,null,33975712000,26393555000,5238765000,5018437000,-1425347000,145298000,20723441000,null,8974190000,null,632952000,null
NFLX,0001065280,2021,FY,10-K,2022-01-27,2019-12-31,2019-01-01,0001065280-22-000036,20156447000,1866916000,4.26,4.13,2604254000,null,null,null,39280359000,28215119000,5238765000,8205550000,-2887322000,253035000,null,null,12440213000,null,195315000,null
NFLX,0001065280,2021,Q1,10-Q,2021-04-22,2020-03-31,2020-01-01,0001065280-21-000144,5767691000,709067000,1.61,1.57,958256000,null,453817000,null,39280359000,28215119000,7582157000,8205550000,259912000,98015000,21857087000,null,3599701000,null,86803000,null
NFLX,0001065280,2021,Q2,10-Q,2021-07-22,2020-06-30,2020-01-01,0001065280-21-000250,11915977000,1429263000,3.25,3.15,2316184000,null,888862000,null,39280359000,28215119000,7582157000,8205550000,1300988000,239756000,21857087000,null,7243408000,null,402209000,null
