ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
NVDA,0001045810,2016,FY,10-K,2016-03-17,2014-01-26,2013-01-28,0001045810-16-000205,4130000000,440000000,0.75,0.74,496000000,2268000000,1336000000,436000000,7201000000,2783000000,4827000000,733000000,835000000,null,1384000000,null,1862000000,1772000000,70000000,474000000
NVDA,0001045810,2016,Q1,10-Q,2015-05-20,2014-04-27,2014-01-27,0001045810-15-000097,1103000000,137000000,0.24,0.24,151000000,604000000,334000000,119000000,7201000000,null,4418000000,1152000000,151000000,29000000,1384000000,null,499000000,453000000,26000000,474000000
NVDA,0001045810,2016,Q2,10-Q,2015-08-19,2014-07-27,2014-01-27,0001045810-15-000143,2206000000,265000000,0.47,0.46,314000000,1223000000,672000000,237000000,7201000000,null,4418000000,1152000000,247000000,52000000,1384000000,null,983000000,909000000,53000000,474000000
NVDA,0001045810,2016,Q3,10-Q,2015-11-18,2014-10-26,2014-01-27,0001045810-15-000173,3431000000,437000000,0.79,0.77,528000000,1900000000,1011000000,361000000,7201000000,null,4418000000,1152000000,463000000,91000000,1384000000,null,1531000000,1372000000,90000000,474000000
NVDA,0001045810,2017,FY,10-K,2017-03-01,2015-01-25,2014-01-27,0001045810-17-000027,4682000000,631000000,1.14,1.12,759000000,2599000000,1360000000,480000000,7370000000,2814000000,4455000000,1152000000,906000000,null,0,null,2083000000,1840000000,124000000,505000000
NVDA,0001045810,2017,Q1,10-Q,2016-05-25,2015-04-26,2015-01-26,0001045810-16-000275,1151000000,134000000,0.24,0.24,176000000,653000000,339000000,138000000,7370000000,2814000000,4469000000,497000000,246000000,30000000,null,null,498000000,477000000,38000000,505000000
NVDA,0001045810,2017,Q2,10-Q,2016-08-23,2015-07-26,2015-01-26,0001045810-16-000300,2304000000,160000000,0.29,0.28,250000000,1286000000,658000000,289000000,7370000000,2814000000,4469000000,497000000,409000000,54000000,null,null,1018000000,1036000000,84000000,505000000
NVDA,0001045810,2017,Q3,10-Q,2016-11-22,2015-10-25,2015-01-26,0001045810-16-000353,3609000000,406000000,0.75,0.72,495000000,2020000000,987000000,441000000,7370000000,2814000000,4469000000,497000000,664000000,71000000,0,null,1589000000,1525000000,83000000,505000000
NVDA,0001045810,2018,FY,10-K,2018-02-28,2016-01-31,2015-01-26,0001045810-18-000010,5010000000,614000000,1.13,1.08,747000000,2811000000,1331000000,602000000,9841000000,4048000000,4418000000,497000000,1175000000,null,1983000000,null,2199000000,2064000000,129000000,826000000
NVDA,0001045810,2018,Q1,10-Q,2017-05-23,2016-05-01,2016-02-01,0001045810-17-000075,1305000000,208000000,0.39,0.35,245000000,751000000,346000000,159000000,9841000000,4048000000,5762000000,596000000,319000000,55000000,1983000000,null,554000000,506000000,33000000,826000000
NVDA,0001045810,2018,Q2,10-Q,2017-08-23,2016-07-31,2016-02-01,0001045810-17-000123,2733000000,469000000,0.88,0.76,561000000,1577000000,697000000,316000000,9841000000,4048000000,5762000000,596000000,519000000,87000000,1983000000,null,1156000000,1016000000,89000000,826000000
NVDA,0001045810,2018,Q3,10-Q,2017-11-21,2016-10-30,2016-02-01,0001045810-17-000172,4737000000,1012000000,1.89,1.59,1201000000,2760000000,1069000000,487000000,9841000000,4048000000,5762000000,596000000,951000000,125000000,1983000000,null,1977000000,1559000000,168000000,826000000
