ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
NXPI,0001413447,2019,FY,10-K,2020-02-27,2017-12-31,2017-01-01,0001413447-20-000009,null,2215000000,6.54,6.41,2102000000,4619000000,1554000000,1090000000,21530000000,null,10505000000,2789000000,2447000000,552000000,7400000000,null,4637000000,4092000000,-483000000,792000000
NXPI,0001413447,2019,Q3,10-Q,2019-10-29,2018-09-30,2018-01-01,0001413447-19-000035,null,1932000000,5.74,5.69,2486000000,3608000000,1297000000,742000000,21530000000,10840000000,10505000000,2789000000,3638000000,441000000,null,null,3396000000,3124000000,317000000,792000000
NXPI,0001413447,2020,FY,10-K,2021-02-25,2018-12-31,2018-01-01,0001413447-21-000011,null,2208000000,6.78,6.72,2710000000,4851000000,1700000000,993000000,20016000000,null,9441000000,1045000000,4369000000,611000000,7650000000,null,4556000000,4142000000,176000000,667000000
NXPI,0001413447,2020,Q1,10-Q,2020-04-28,2019-03-31,2019-01-01,0001413447-20-000026,null,-21000000,-0.07,-0.07,54000000,1072000000,415000000,248000000,20016000000,10361000000,9441000000,1045000000,296000000,144000000,null,null,1022000000,1020000000,-9000000,667000000
NXPI,0001413447,2020,Q2,10-Q,2020-07-28,2019-06-30,2019-01-01,0001413447-20-000056,null,20000000,0.07,0.07,211000000,2223000000,823000000,478000000,20016000000,10361000000,9441000000,1045000000,813000000,250000000,null,null,2088000000,2013000000,12000000,667000000
NXPI,0001413447,2020,Q2,10-Q,2020-10-27,2019-09-29,2019-01-01,0001413447-20-000084,null,129000000,0.46,0.45,444000000,3409000000,1219000000,699000000,20016000000,10361000000,9441000000,1045000000,1559000000,388000000,null,null,3167000000,2988000000,40000000,667000000
NXPI,0001413447,2021,FY,10-K,2022-02-24,2019-12-31,2019-01-01,0001413447-22-000008,null,243000000,0.86,0.85,641000000,4618000000,1643000000,924000000,19847000000,null,8944000000,2275000000,2373000000,526000000,10650000000,null,4259000000,4002000000,20000000,765000000
NXPI,0001413447,2021,Q1,10-Q,2021-04-27,2020-03-29,2020-01-01,0001413447-21-000032,null,-21000000,-0.08,-0.08,68000000,997000000,425000000,233000000,19847000000,10696000000,8944000000,2275000000,512000000,143000000,null,null,1024000000,1039000000,2000000,765000000
NXPI,0001413447,2021,Q2,10-Q,2021-08-03,2020-06-28,2020-01-01,0001413447-21-000062,null,-235000000,-0.84,-0.84,-77000000,1857000000,827000000,455000000,19847000000,10696000000,8944000000,2275000000,926000000,218000000,null,null,1981000000,2043000000,-31000000,765000000
NXPI,0001413447,2021,Q3,10-Q,2021-11-02,2020-09-27,2020-01-01,0001413447-21-000094,null,-257000000,-0.92,-0.92,-45000000,2947000000,1265000000,658000000,19847000000,10696000000,8944000000,2275000000,1453000000,288000000,null,null,3158000000,3102000000,-88000000,765000000
