ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ODFL,0000878927,2016,FY,10-K,2017-02-27,2014-12-31,2014-01-01,0000878927-17-000005,null,267514000,3.1,3.1,441307000,null,null,null,2466504000,781867000,1232082000,30174000,391674000,null,104975000,null,null,null,165000000,310501000
ODFL,0000878927,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0000878927-16-000066,null,62524000,0.73,0.73,103565000,null,null,null,2466504000,781867000,1684637000,34787000,172594000,null,null,null,null,null,39306000,310501000
ODFL,0000878927,2016,Q2,10-Q,2016-08-08,2015-06-30,2015-01-01,0000878927-16-000079,null,148098000,1.73,1.73,244464000,null,null,null,2466504000,781867000,1684637000,34787000,254225000,null,null,null,null,null,93104000,310501000
ODFL,0000878927,2016,Q3,10-Q,2016-11-07,2015-09-30,2015-01-01,0000878927-16-000089,null,232466000,2.71,2.71,384318000,null,null,null,2466504000,781867000,1684637000,34787000,372274000,null,null,null,null,null,145594000,310501000
ODFL,0000878927,2017,FY,10-K,2018-02-27,2015-12-31,2015-01-01,0000878927-18-000005,null,304690000,3.57,3.57,498240000,null,null,null,2696247000,845089000,1494064000,34787000,553880000,null,95000000,null,null,null,185327000,320087000
ODFL,0000878927,2017,Q1,10-Q,2017-05-10,2016-03-31,2016-01-01,0000878927-17-000015,null,60285000,0.72,0.72,99548000,null,null,null,2696247000,845089000,1851158000,11472000,168393000,null,null,null,null,null,37580000,320087000
ODFL,0000878927,2017,Q2,10-Q,2017-08-07,2016-06-30,2016-01-01,0000878927-17-000027,null,141673000,1.69,1.69,232984000,null,null,null,2696247000,845089000,1851158000,11472000,292231000,null,null,null,null,null,88316000,320087000
ODFL,0000878927,2017,Q3,10-Q,2017-11-07,2016-09-30,2016-01-01,0000878927-17-000035,null,227254000,2.73,2.73,370388000,null,null,null,2696247000,845089000,1851158000,11472000,410128000,null,null,null,null,null,139012000,320087000
ODFL,0000878927,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0001564590-19-004755,null,295765000,3.56,3.56,483835000,null,null,null,3068424000,791570000,1684637000,11472000,565583000,null,45000000,null,null,null,181822000,394169000
ODFL,0000878927,2018,Q1,10-Q,2018-05-07,2017-03-31,2017-01-01,0000878927-18-000020,null,65792000,0.8,0.8,108122000,null,null,null,3068424000,791570000,2276854000,10171000,110809000,null,null,null,null,null,41361000,394169000
ODFL,0000878927,2018,Q2,10-Q,2018-08-07,2017-06-30,2017-01-01,0000878927-18-000042,null,null,1.99,1.99,268554000,null,null,null,3068424000,791570000,2276854000,10171000,238514000,null,null,null,null,null,103233000,394169000
ODFL,0000878927,2018,Q3,10-Q,2018-11-05,2017-09-30,2017-01-01,0000878927-18-000054,null,null,3.24,3.23,432429000,null,null,null,3068424000,791570000,2276854000,10171000,388013000,null,null,null,null,null,165444000,394169000
ODFL,0000878927,2019,FY,10-K,2020-02-26,2017-12-31,2017-01-01,0001564590-20-006626,null,463774000,5.63,5.63,575886000,null,null,null,3545283000,864800000,1851158000,190282000,536294000,null,null,null,null,null,112058000,427569000
ODFL,0000878927,2019,Q1,10-Q,2019-05-07,2018-03-31,2018-01-01,0001564590-19-016333,null,null,1.33,1.33,149340000,null,null,null,3545283000,864800000,2358751000,127462000,211247000,null,null,null,null,null,38153000,427569000
ODFL,0000878927,2019,Q2,10-Q,2019-08-07,2018-06-30,2018-01-01,0001564590-19-029912,null,null,3.32,3.32,369821000,null,null,null,3545283000,864800000,2482051000,127462000,424691000,null,null,null,null,null,96191000,427569000
ODFL,0000878927,2019,Q3,10-Q,2019-11-04,2018-09-30,2018-01-01,0001564590-19-039710,null,null,5.44,5.43,598206000,null,null,null,3545283000,864800000,2616932000,190282000,675418000,null,null,null,null,null,151953000,427569000
ODFL,0000878927,2020,FY,10-K,2021-02-24,2018-12-31,2018-01-01,0001564590-21-008056,null,605668000,4.93,4.92,817051000,null,null,null,3995568000,914851000,2276854000,403571000,900116000,null,null,330274000,null,null,209845000,397579000
ODFL,0000878927,2020,Q1,10-Q,2020-05-05,2019-03-31,2019-01-01,0001564590-20-021054,null,null,1.1,1.1,178426000,null,null,null,3995568000,914851000,2770371000,403571000,206175000,null,null,null,null,null,47064000,397579000
ODFL,0000878927,2020,Q2,10-Q,2020-08-06,2019-06-30,2019-01-01,0001564590-20-037340,null,null,2.54,2.53,412915000,null,null,null,3995568000,914851000,2798485000,403571000,461883000,null,null,null,null,null,108566000,397579000
ODFL,0000878927,2020,Q3,10-Q,2020-11-06,2019-09-30,2019-01-01,0001564590-20-051868,null,null,3.91,3.9,630442000,null,null,null,3995568000,914851000,2909528000,403571000,747515000,null,null,205294000,null,null,162861000,397579000
ODFL,0000878927,2021,FY,10-K,2022-02-23,2019-12-31,2019-01-01,0001564590-22-006303,null,615518000,5.11,5.1,818706000,null,null,null,4369410000,1043122000,2680483000,401430000,983888000,null,null,330274000,null,null,208431000,444653000
ODFL,0000878927,2021,Q1,10-Q,2021-05-04,2020-03-31,2020-01-01,0001564590-21-023371,null,null,1.12,1.11,183170000,null,null,null,4369410000,1043122000,3016049000,401430000,204018000,null,null,330274000,null,null,47524000,444653000
ODFL,0000878927,2021,Q2,10-Q,2021-08-05,2020-06-30,2020-01-01,0001564590-21-041321,null,null,2.37,2.36,382336000,null,null,null,4369410000,1043122000,2982468000,401430000,516216000,null,null,330274000,null,null,98724000,444653000
ODFL,0000878927,2021,Q3,10-Q,2021-11-03,2020-09-30,2020-01-01,0001564590-21-054053,null,null,4.09,4.07,652580000,null,null,null,4369410000,1043122000,3170833000,401430000,686458000,null,null,330274000,null,null,165191000,444653000
ODFL,0000878927,2022,FY,10-K,2023-02-22,2020-12-31,2020-01-01,0000950170-23-003783,null,672682000,5.71,5.68,906882000,null,null,null,4821544000,1141737000,3080717000,462564000,933024000,null,null,254433000,null,null,228682000,567474000
ODFL,0000878927,2022,Q1,10-Q,2022-05-04,2021-03-31,2021-01-01,0001564590-22-017820,null,199359000,1.71,1.7,269657000,null,null,null,4821544000,1141737000,3326288000,462564000,310308000,null,null,254433000,null,null,69949000,567474000
ODFL,0000878927,2022,Q2,10-Q,2022-08-03,2021-03-31,2021-01-01,0000950170-22-014258,null,199359000,4.04,4.01,635701000,null,null,null,4821544000,1141737000,3326288000,462564000,508291000,null,null,254433000,null,null,164761000,567474000
ODFL,0000878927,2022,Q3,10-Q,2022-11-03,2021-09-30,2021-01-01,0000950170-22-021737,null,755569000,6.52,6.48,1019111000,null,null,null,4821544000,1141737000,3326288000,462564000,872615000,null,null,254433000,null,null,261078000,567474000
ODFL,0000878927,2023,FY,10-K,2024-02-26,2021-12-31,2021-01-01,0000950170-24-020176,null,1034375000,8.94,8.89,1391602000,null,null,null,4838610000,1185693000,3326288000,186312000,1212606000,null,null,49355000,null,null,354048000,578648000
ODFL,0000878927,2023,Q1,10-Q,2023-05-08,2022-03-31,2022-01-01,0000950170-23-018765,null,299751000,2.62,2.6,405618000,null,null,null,4838610000,1185693000,3679807000,186312000,388725000,null,null,49355000,null,null,105318000,578648000
ODFL,0000878927,2023,Q2,10-Q,2023-08-04,2022-06-30,2022-01-01,0000950170-23-038553,null,675829000,5.94,5.9,914323000,null,null,null,4838610000,1185693000,3679807000,186312000,816053000,null,null,49355000,null,null,237453000,578648000
ODFL,0000878927,2023,Q3,10-Q,2023-11-06,2022-09-30,2022-01-01,0000950170-23-059408,null,1053230000,9.32,9.26,1410403000,null,null,null,4838610000,1185693000,3679807000,186312000,1330234000,null,null,49355000,null,null,356117000,578648000
ODFL,0000878927,2024,FY,10-K,2025-02-25,2022-12-31,2022-01-01,0000950170-25-026661,null,1377159000,6.13,6.09,1840632000,null,null,null,5512393000,1254582000,3679807000,433799000,1691582000,null,null,0,null,null,464190000,578885000
ODFL,0000878927,2024,Q1,10-Q,2024-05-07,2023-03-31,2023-01-01,0000950170-24-054284,null,285038000,1.3,1.29,383049000,null,null,null,5512393000,1254582000,3652917000,433799000,415367000,null,null,null,null,null,99111000,578885000
ODFL,0000878927,2024,Q2,10-Q,2024-08-05,2023-06-30,2023-01-01,0000950170-24-090872,null,577400000,2.63,2.61,774643000,null,null,null,5512393000,1254582000,3652917000,433799000,703207000,null,null,30271000,null,null,198675000,578885000
ODFL,0000878927,2024,Q3,10-Q,2024-11-06,2023-09-30,2023-01-01,0000950170-24-122440,null,916687000,4.18,4.16,1219662000,null,null,null,5512393000,1254582000,3652917000,433799000,1132442000,null,null,null,null,null,305764000,578885000
ODFL,0000878927,2025,Q1,10-Q,2025-05-06,2024-03-31,2024-01-01,0000950170-25-064508,null,292304000,1.34,1.34,386426000,null,null,null,5491395000,1246807000,4257811000,108676000,423893000,null,null,null,null,null,100578000,501554000
ODFL,0000878927,2025,Q2,10-Q,2025-08-06,2024-06-30,2024-01-01,0000950170-25-103916,null,614349000,2.83,2.82,808117000,null,null,null,5491395000,1246807000,4257811000,108676000,811748000,null,null,null,null,null,204979000,501554000
ODFL,0000878927,2025,Q3,10-Q,2025-11-06,2024-09-30,2024-01-01,0001193125-25-268415,null,922929000,4.27,4.25,1209978000,null,null,null,5491395000,1246807000,4257811000,108676000,1258224000,null,null,null,null,null,299493000,501554000
